 Nrows 
   180 
    Z     N          Q20                 Q30           beta2       beta3
     4     6      0.0007280333      0.0004125296    0.001439        0.01 
     6     4      0.0003642696      0.0004125296     0.00072        0.01 
    18    12      0.0036401717      0.0037127665    0.001153        0.01 
    24    18       0.000779935      0.0072770224    0.000141        0.01 
    54    72      5.2257325441      0.0654932013    0.151393        0.01 
    56    66      8.4271991033      0.0614009075    0.257628        0.01 
    64    90     13.3889684834      0.0978355229    0.277623        0.01 
    66    90     13.3780159182      0.1003932065    0.271494        0.01 
    68   154     25.8486315294      0.2033110942    0.291357        0.01 
    70    88      8.8387156808      0.1029838925    0.175605        0.01 
    70   148     23.0323052007       0.196050573      0.2676        0.01 
    72    90     10.0183911396      0.1082642715    0.190919        0.01 
    74    88      6.5475661031      0.1082642715    0.124776        0.01 
    76    90      7.1896543662        0.11367666    0.131554        0.01 
    78   140      8.7183644357       0.196050573    0.101294        0.01 
    78   160    -15.0777404608      0.2336732737   -0.151339        0.01 
    84   162    -10.3360922005      0.2496464203   -0.098184        0.01 
    86   158     17.7506794596      0.2456036301    0.170926        0.01 
    86   200     15.9901442206      0.3374327218    0.118164        0.01 
    86   202     17.8242910563      0.3421685618    0.130197        0.01 
    88   112     12.6415338023       0.165011845    0.169561        0.01 
    88   132      9.0548247563      0.1996643324    0.103614        0.01 
    88   134     11.7308358907      0.2033110942    0.132226        0.01 
    88   136     13.7781082515      0.2069908584    0.152998        0.01 
    88   138      15.580293839      0.2107036249    0.170466        0.01 
    88   140     17.1857917597      0.2144493938    0.185291        0.01 
    88   154     21.7826503683      0.2415938423    0.212648        0.01 
    88   162     19.2268257424      0.2578310078    0.177794        0.01 
    88   170     13.4445675796      0.2745962113    0.117966        0.01 
    88   194     11.8113870671       0.328060049    0.089357        0.01 
    88   196     15.5669444827      0.3327298843     0.11639        0.01 
    88   198      18.116994164      0.3374327218    0.133881        0.01 
    88   200     20.2877141249      0.3421685618    0.148191        0.01 
    88   202      22.172907939      0.3469374041    0.160104        0.01 
    90   132     11.3579538308      0.2033110942    0.128023        0.01 
    90   134     14.1655213007      0.2069908584      0.1573        0.01 
    90   136     16.6237876428      0.2107036249    0.181883        0.01 
    90   138     18.7626392358      0.2144493938    0.202292        0.01 
    90   156     24.1426033642      0.2496464203    0.229334        0.01 
    90   158     23.5403879481      0.2537222129    0.220616        0.01 
    90   194     14.9611992162      0.3327298843    0.111861        0.01 
    90   196     18.7902192368      0.3374327218    0.138856        0.01 
    90   198     21.7802248671      0.3421685618    0.159093        0.01 
    90   200     24.2828130785      0.3469374041    0.175339        0.01 
    90   202     26.3245707275      0.3517392488    0.187917        0.01 
    92   120     -8.8598444089       0.185407309   -0.107839        0.01 
    92   130      8.0604805019      0.2033110942    0.090855        0.01 
    92   132      13.521724023      0.2069908584    0.150151        0.01 
    92   134     16.8469821658      0.2107036249    0.184325        0.01 
    92   136     19.6190953028      0.2144493938    0.211526        0.01 
    92   160     25.6245599078      0.2619728051    0.233829        0.01 
    92   162     24.6605716854      0.2661476048    0.222087        0.01 
    92   164     23.5313096468      0.2703554068    0.209165        0.01 
    92   166     22.2113565473      0.2745962113    0.194888        0.01 
    92   170     18.5051084009      0.2831768272    0.158258        0.01 
    92   192               0.0      0.3327298843         0.0        0.01 
    92   194     18.1893912322      0.3374327218    0.134416        0.01 
    92   196     22.9651157562      0.3421685618    0.167748        0.01 
    92   198     26.1421886218      0.3469374041    0.188765        0.01 
    94   120    -10.3150719589      0.1889220613   -0.123602        0.01 
    94   130      9.8041977369      0.2069908584     0.10887        0.01 
    94   132     16.5464647246      0.2107036249    0.181037        0.01 
    94   144     26.9475294676      0.2336732737    0.270479        0.01 
    94   160     29.0151218357      0.2661476048    0.261303        0.01 
    94   162     28.5107244451      0.2703554068    0.253426        0.01 
    94   168     24.6234708033      0.2831768272    0.210583        0.01 
    94   170     21.8115721163      0.2875166387    0.184186        0.01 
    94   192      0.3036617213      0.3374327218    0.002244        0.01 
    94   194     24.4502337649      0.3421685618    0.178596        0.01 
    96   130     12.3769680235      0.2107036249    0.135418        0.01 
    96   158     31.3107657006      0.2661476048    0.281977        0.01 
    96   164     32.5167885591       0.278870018    0.281662        0.01 
    96   166     33.0137831623      0.2831768272    0.282338        0.01 
    96   192     11.0662374629      0.3421685618    0.080833        0.01 
    96   220     42.4911726092      0.4119355699    0.265907        0.01 
    96   238     49.2391863816      0.4602015345    0.280959        0.01 
    98   160     33.2241493914      0.2745962113    0.291517        0.01 
    98   162      33.934813404       0.278870018    0.293945        0.01 
    98   188      0.0051422217      0.3374327218     3.8e-05        0.01 
    98   190     -0.0109521977      0.3421685618      -8e-05        0.01 
    98   192     38.5134204041      0.3469374041    0.278094        0.01 
    98   218     42.9056863367      0.4119355699    0.268501        0.01 
    98   236     51.3273376981      0.4602015345    0.292874        0.01 
    98   246     57.3095290184      0.4881710422    0.311319        0.01 
   100   158     33.3596595456      0.2745962113    0.292706        0.01 
   100   162     34.7628221459      0.2831768272    0.297296        0.01 
   100   188     -0.0276542992      0.3421685618   -0.000202        0.01 
   100   190     43.6847999784      0.3469374041    0.315435        0.01 
   100   216     42.4421148936      0.4119355699      0.2656        0.01 
   100   228     47.3895180082      0.4438158583    0.278699        0.01 
   100   230     48.6211854995       0.449244748     0.28306        0.01 
   100   232     49.7708970882      0.4547066401     0.28685        0.01 
   100   234     50.8669454607      0.4602015345    0.290247        0.01 
   100   236      52.180460875      0.4657294313    0.294794        0.01 
   100   238     53.5425686996      0.4712903305    0.299512        0.01 
   100   240     54.9342268904       0.476884232     0.30429        0.01 
   100   242     56.3314198855       0.482511136    0.308994        0.01 
   100   244      57.664999454      0.4881710422     0.31325        0.01 
   100   260      0.1550882909      0.5346383778    0.000781        0.01 
   100   262      0.2290784959      0.5405953054    0.001143        0.01 
   100   264     -0.0645233336      0.5465852354   -0.000319        0.01 
   102   154     32.6446928637      0.2703554068    0.290172        0.01 
   102   156     32.9296512934      0.2745962113    0.288933        0.01 
   102   174     40.9302450625      0.3142485576    0.320951        0.01 
   102   188      0.0282520938      0.3469374041    0.000204        0.01 
   102   230     47.2460022149      0.4547066401    0.272298        0.01 
   102   232     48.4277603979      0.4602015345    0.276329        0.01 
   102   234     49.7267964563      0.4657294313    0.280932        0.01 
   102   238     52.6360484806       0.476884232     0.29156        0.01 
   102   242      55.796156439      0.4881710422    0.303098        0.01 
   102   244     57.4203908246      0.4938639509    0.308922        0.01 
   102   260      0.3737807479      0.5405953054    0.001865        0.01 
   102   262      0.2876243901      0.5465852354    0.001422        0.01 
   102   264       0.319248623      0.5526081677    0.001564        0.01 
   104   148     31.5243817082      0.2619728051    0.287666        0.01 
   104   154     32.3184309763      0.2745962113     0.28357        0.01 
   104   172     36.8033108561      0.3142485576     0.28859        0.01 
   104   176     39.7472219711      0.3234232162    0.304289        0.01 
   104   180     52.3812501429      0.3327298843    0.391641        0.01 
   104   192     46.8232528542      0.3614419453    0.326752        0.01 
   104   198     43.1080832569      0.3762435078    0.290931        0.01 
   104   230     45.1960767826      0.4602015345    0.257889        0.01 
   104   232     46.0555041674      0.4657294313    0.260191        0.01 
   104   234     47.3000592209      0.4712903305    0.264592        0.01 
   104   250     71.4346846337      0.5169656092    0.369953        0.01 
   104   262      0.4035514882      0.5526081677    0.001977        0.01 
   104   264     66.6639403799      0.5586641024    0.323634        0.01 
   106   144      30.600774532      0.2578310078    0.282971        0.01 
   106   150     31.4879557146      0.2703554068     0.27989        0.01 
   106   166     31.9400740299      0.3052059085    0.256624        0.01 
   106   176     36.4339858571       0.328060049    0.275635        0.01 
   106   200     43.1563541388       0.386276228    0.284939        0.01 
   106   202     42.0939237612      0.3913420916    0.274923        0.01 
   106   230     43.4821833393      0.4657294313    0.245653        0.01 
   106   236     45.3735609787       0.482511136    0.248887        0.01 
   106   238     46.5642339406      0.4881710422    0.252948        0.01 
   106   242     49.1923600051      0.4995898619    0.262125        0.01 
   108   148     31.1066892102      0.2703554068    0.276501        0.01 
   108   194     52.0504645523      0.3762435078    0.351282        0.01 
   108   198     49.2034750852       0.386276228    0.324865        0.01 
   108   200     46.9624160075      0.3913420916     0.30672        0.01 
   108   202     44.5416169832      0.3964409576    0.287788        0.01 
   108   244     45.5829076972      0.5111406911    0.238309        0.01 
   108   248     72.6783238294      0.5228235297    0.372876        0.01 
   108   252     74.0728286802      0.5346383778    0.373019        0.01 
   110   156     31.0098660594      0.2918894526    0.258587        0.01 
   110   164      30.056291781      0.3097107319    0.238558        0.01 
   110   174     66.0230240879      0.3327298843    0.493637        0.01 
   110   190     55.3306681427      0.3712766512    0.377578        0.01 
   110   196     54.5111769948       0.386276228    0.359909        0.01 
   110   204     36.1231234389      0.4067376967    0.228461        0.01 
   110   232     39.7352050422       0.482511136    0.217959        0.01 
   112   162     29.3251628262      0.3097107319    0.232755        0.01 
   112   190     59.4404386161      0.3762435078    0.401156        0.01 
   114   192     10.3817037838       0.386276228    0.068545        0.01 
   114   198     65.1569957871       0.401572826    0.416498        0.01 
   114   200     65.9278111896      0.4067376967    0.416961        0.01 
   114   208     32.4066804083      0.4277272034     0.19654        0.01 
   114   220     36.1240538787      0.4602015345    0.206124        0.01 
