 Nrows 
   414 
    Z     N          Q20                 Q30           beta2       beta3
    26    36      1.3528098676      0.0158576383    0.127789        0.01 
    32    70      5.8516341214      0.0429195809    0.241094        0.01 
    34    78      5.3603300775      0.0517477146    0.188975        0.01 
    36    32     -2.3831994405      0.0190753693   -0.192999        0.01 
    40    56      0.0011846852      0.0380187291     5.4e-05        0.01 
    40    58     -0.0002951734       0.039619344    -1.3e-05        0.01 
    40    60     -0.0083834998      0.0412529612   -0.000357        0.01 
    42    58      0.0007984286      0.0412529612     3.4e-05        0.01 
    42    74     -5.1613417118      0.0555099847   -0.171623        0.01 
    42   104     -0.0722757264      0.0879348122   -0.001638        0.01 
    52    58      4.7578893094      0.0499160831     0.17285        0.01 
    52    72      5.6236823765      0.0634305532    0.167325        0.01 
    54    54      4.8853212929       0.048117454    0.182991        0.01 
    54    56      5.6337152975      0.0499160831    0.204668        0.01 
    54    58      6.5719249389      0.0517477146    0.231689        0.01 
    54    72       7.536724595      0.0654932013    0.218344        0.01 
    54    74      6.4031513918      0.0675888517    0.180698        0.01 
    54    88      6.2427827861      0.0831824711    0.148186        0.01 
    54    90      7.8543364017      0.0855421404    0.182144        0.01 
    56    54      5.6907494117      0.0499160831     0.20674        0.01 
    56    56      6.5096914996      0.0517477146    0.229495        0.01 
    56    58      7.9947543166      0.0536123484    0.273657        0.01 
    56    90      9.0007547809      0.0879348122    0.203986        0.01 
    58    54      6.5865046963      0.0517477146    0.232203        0.01 
    58    56      7.7883246108      0.0536123484    0.266591        0.01 
    58    90     10.8915424528      0.0903604863    0.241303        0.01 
    60    62     12.7735060733      0.0614009075    0.390499        0.01 
    60    88      8.0599120306      0.0903604863    0.178568        0.01 
    60   136     -4.7989055056      0.1584773759   -0.066572        0.01 
    62    86      3.3767875473      0.0903604863    0.074813        0.01 
    62    88      9.5764415031      0.0928191628    0.207473        0.01 
    62    90      13.061679165      0.0953108417    0.276802        0.01 
    62   132      4.0393992948       0.155259645    0.057002        0.01 
    62   134      4.6907045027      0.1584773759    0.065071        0.01 
    62   136     -5.4537618487      0.1617281093   -0.074387        0.01 
    62   138      -8.927378242       0.165011845   -0.119743        0.01 
    62   140    -10.1578158355      0.1683285831   -0.134006        0.01 
    64    86     -2.9708833482      0.0928191628   -0.064364        0.01 
    64    88     10.0660556564      0.0953108417    0.213319        0.01 
    64   132      3.3356329157      0.1584773759    0.046273        0.01 
    64   134      4.0228522811      0.1617281093     0.05487        0.01 
    64   136     -8.9041172412       0.165011845   -0.119431        0.01 
    64   138    -10.3796859528      0.1683285831   -0.136933        0.01 
    64   140    -11.5592731614      0.1716783235   -0.150011        0.01 
    66    72     13.2810935703      0.0785621394    0.330632        0.01 
    66    84      0.0097392391      0.0928191628    0.000211        0.01 
    66    86     -5.1136953831      0.0953108417   -0.108369        0.01 
    66    88      9.9366273269      0.0978355229    0.206038        0.01 
    66    94     16.2223352444      0.1056075808    0.315614        0.01 
    66   130      2.3339987151      0.1584773759    0.032378        0.01 
    66   132      3.9211629042      0.1617281093    0.053483        0.01 
    66   134     -7.9648052274       0.165011845   -0.106832        0.01 
    66   136     -9.7329500999      0.1683285831   -0.128401        0.01 
    66   138    -11.0057016341      0.1716783235   -0.142827        0.01 
    68    86     -5.7380673437      0.0978355229    -0.11898        0.01 
    68   130      3.0574263865      0.1617281093    0.041702        0.01 
    68   132      5.1653586994       0.165011845    0.069283        0.01 
    68   134     -8.5121717465      0.1683285831   -0.112296        0.01 
    68   136    -10.0188432612      0.1716783235    -0.13002        0.01 
    68   138     16.3555119886      0.1750610664    0.208831        0.01 
    70    94     15.2401349149      0.1109539646     0.28455        0.01 
    70    96     16.8072120666        0.11367666    0.307533        0.01 
    70   130      3.8995725758       0.165011845    0.052305        0.01 
    70   132      6.3718490152      0.1683285831     0.08406        0.01 
    70   134      9.9678320764      0.1716783235    0.129358        0.01 
    70   136     13.5809700494      0.1750610664    0.173405        0.01 
    72    94     14.5922865443        0.11367666    0.267005        0.01 
    72    96     16.4397737652      0.1164323578    0.294865        0.01 
    72   130      4.1633810036      0.1683285831    0.054925        0.01 
    72   132      6.7988970732      0.1716783235    0.088233        0.01 
    72   134      9.7855351452      0.1750610664    0.124944        0.01 
    72   136     12.8020955752      0.1784768115    0.160849        0.01 
    74    96     16.8777963756       0.119221058    0.296809        0.01 
    74    98     17.9067016178      0.1220427606    0.308824        0.01 
    74   130      3.6996979042      0.1716783235    0.048013        0.01 
    74   132      6.3908604483      0.1750610664      0.0816        0.01 
    74   134      8.8428527799      0.1784768115    0.111104        0.01 
    74   136     11.5475575305      0.1819255591    0.142791        0.01 
    76    96     16.9084573912      0.1220427606    0.291608        0.01 
    76    98      17.815165696      0.1248974655    0.301382        0.01 
    76   132       5.190909943      0.1784768115     0.06522        0.01 
    76   134      7.4128184964      0.1819255591    0.091663        0.01 
    76   136      9.6787960782       0.185407309    0.117807        0.01 
    76   138     11.9449271016      0.1889220613    0.143132        0.01 
    78    90      7.4436579295      0.1164323578     0.13351        0.01 
    78    96     16.5987085259      0.1248974655    0.280803        0.01 
    78   100     18.5512117318      0.1307058824    0.302168        0.01 
    78   132      2.7447395325      0.1819255591     0.03394        0.01 
    78   138      -7.922233826       0.192469816   -0.093469        0.01 
