Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            627.068863            -0.501962            -0.501962              -0.501962            -175.443677                -175.443319                    -350.886996                   -0.051198                       -0.051198                          -0.102396                              0.0                    -0.0              5.295412             5.295406             117.696356               5.359785             1               NO
22     44     66          -516.990966              0.09465             0.070534               0.077462                0.36218                   0.669658                       1.031839                     0.00584                         0.01213                            0.01797                         1.057275                0.580554              3.713097             4.135665               3.999772               3.789048             2              YES
24     24     48          -411.147577             0.205899             0.205093               0.205502               0.805578                   0.778751                       1.584329                    0.004844                        0.004661                           0.009505                         0.784516                0.765539              3.594726             3.541303               3.568114               3.688896             3              YES
24     28     52           -458.65203             0.089554             0.062992               0.075112               0.348631                   0.292208                       0.640839                     0.00537                        0.005785                           0.011155                         0.675565                0.831791              3.585754              3.62383               3.606307               3.677524             4              YES
26     46     72          -599.274886             0.173414             0.136181               0.148317                0.84196                    1.36731                        2.20927                    0.007748                        0.013637                           0.021386                         0.833926                0.438398              3.847354             4.159505                4.04956               3.924121             5              YES
30     44     74          -642.680039             0.172753             0.153045               0.160596               1.012397                   1.443848                       2.456245                    0.009155                        0.013436                            0.02259                         0.891474                0.448893              3.935021             4.122592               4.047597               4.014487             6              YES
30     46     76          -657.008512             0.155484             0.131978               0.140679               0.917345                   1.324831                       2.242176                    0.009548                         0.01428                           0.023828                         0.780783                0.455358              3.948274             4.159068               4.077162               4.026518             7              YES
32     44     76          -662.240356             0.198613             0.182833               0.189208               1.282298                   1.741494                       3.023792                    0.010114                        0.013713                           0.023828                         0.840698                0.539808              3.999083               4.1424               4.082669               4.078606             8              YES
32     46     78          -678.688311             0.177615             0.152345                0.16222               1.152943                   1.541748                       2.694692                    0.010613                        0.014485                           0.025098                         0.737976                0.549954              4.009902              4.17598               4.108658               4.088328             9              YES
34     44     78          -678.618661             0.202229             0.194315               0.197668               1.428141                    1.86591                       3.294051                    0.011068                         0.01403                           0.025098                         0.807905                0.633784              4.057601             4.159214                4.11523               4.137134            10              YES
34     52     86          -741.897374             0.125791             0.106041               0.113385               0.904732                   1.288213                       2.192945                    0.012375                        0.018135                           0.030511                         0.426338                0.635235              4.094877             4.303289               4.222124               4.170426            11              YES
34     62     96          -782.675219            -0.226076            -0.206404              -0.212649              -1.734555                  -3.404943                      -5.139498                    0.013688                        0.024331                           0.038019                         0.831148                0.453775               4.22934             4.592451               4.467226               4.298559            12              YES
34     64     98          -788.781791            -0.227528            -0.205134              -0.212043              -1.762889                   -3.56237                       -5.32526                    0.014646                        0.024973                           0.039619                         0.858808                0.441325              4.250116             4.637728               4.507028               4.318211            13              YES
36     32     68          -547.293031            -0.144772            -0.144805              -0.144787              -1.071527                  -0.875785                      -1.947312                    0.010448                        0.008627                           0.019075                         0.628247                0.783608              4.036944             3.870583               3.959527               4.122586            14              YES
36     38     74          -626.063532            -0.258025             -0.24789              -0.252871              -1.979028                  -1.967738                      -3.946766                    0.011254                        0.011336                            0.02259                         0.797638                0.655582              4.109499              4.06918               4.088844               4.191352           466              YES
36     40     76          -648.956144            -0.220899            -0.205182              -0.212642              -1.691956                  -1.739278                      -3.431234                    0.011616                        0.012212                           0.023828                         0.834633                0.686879              4.106688             4.098547               4.102405               4.187826           467              YES
36     44     80             -692.409             0.279652             0.253439               0.265065               2.172337                   2.469955                       4.642292                    0.012297                        0.014105                           0.026402                         0.697219                0.656484              4.135697             4.190119               4.165717               4.214746            15              YES
36     52     88          -763.528935             0.087662             0.082745               0.084662               0.683023                   1.009338                       1.692362                    0.013152                        0.018794                           0.031946                         0.426337                0.670284              4.141949             4.312109               4.243323               4.217825            16              YES
36     62     98          -812.487185             -0.26475            -0.233704              -0.244158              -2.224723                  -3.868744                      -6.093467                    0.014675                        0.024944                           0.039619                         0.785325                0.467478              4.301439             4.600453               4.492924               4.370861           468              YES
36     68     104         -835.000185             0.327002             0.287997               0.300124               2.831077                    5.52633                       8.357407                    0.014804                        0.029816                           0.044619                         0.718214                0.411964              4.366104             4.729499               4.606953               4.432332            17              YES
38     34     72          -576.138316             0.370396             0.361352               0.366299               3.092605                   2.498941                       5.591546                    0.011802                        0.009584                           0.021386                         0.686312                0.642983              4.173325             4.015303               4.099463               4.256144            18              YES
38     42     80          -680.345638              -0.1816            -0.179347              -0.180419               -1.50691                  -1.637644                      -3.144554                    0.012756                        0.013646                           0.026402                         0.789655                 0.72744              4.160441             4.151289               4.155639               4.240631            19              YES
38     44     82          -704.215366             0.326557             0.285841               0.304664               2.769773                   2.819835                       5.589608                    0.013504                        0.014234                           0.027739                         0.655082                0.618093              4.206259             4.215683               4.211318               4.284878            20              YES
38     58     96          -819.030648             0.001234             0.001045               0.001115               0.010584                   0.015244                       0.025828                    0.014377                        0.023642                           0.038019                         0.705915                0.587279              4.229621              4.46469               4.373153               4.302847           469              YES
38     62     100         -838.917536            -0.243556            -0.226398              -0.232451              -2.195613                  -3.744502                      -5.940115                    0.015517                        0.025736                           0.041253                         0.789639                0.529414              4.336424             4.598432               4.500666               4.406489           470              YES
40     36     76          -606.669021             0.367399             0.371414               0.369228                3.33147                    2.81808                        6.14955                    0.012939                        0.010889                           0.023828                         0.649802                0.570872              4.239005             4.087344               4.167854               4.320495            21              YES
40     38     78          -633.552327             -0.17845            -0.176376              -0.177468              -1.585708                  -1.407679                      -2.993388                    0.012991                        0.012107                           0.025098                         0.774042                0.760167              4.196319             4.080238               4.140173               4.277943           471              YES
40     40     80          -661.472018              5.7e-05              5.6e-05                5.7e-05               0.000508                   0.000473                        0.00098                    0.013761                         0.01264                           0.026402                         0.816704                0.783109              4.184179             4.102233               4.143409               4.265356           472              YES
40     42     82          -689.731455              0.36235             0.343831               0.352978               3.322212                   3.229816                       6.552028                    0.013987                        0.013751                           0.027739                         0.603517                0.519209              4.262499             4.210529                4.23596               4.341543            22              YES
