Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      4      8           1057.607243             0.282328              0.28233               0.282329             106.412724                 106.413023                     212.825748                    0.253701                        0.253701                           0.507402                             -0.0                    -0.0              6.118762             6.118751               86.42405               6.174556             1               NO
6      4      10           957.512066            -0.498197            -0.498209              -0.498203            -113.758657                -113.756799                    -227.515456                   -0.448931                       -0.299279                           -0.74821                             -0.0                    -0.0              6.883434             6.883291              60.165469               6.933077             2               NO
12     2      14            -0.092664            -0.009215            -0.000216               -0.00886              -0.025475                   -2.5e-05                        -0.0255                    0.000806                           2e-06                           0.000809                         1.362839                0.798493              4.273332             2.122546               4.036855               4.363945             3              YES
14     2      16            13.299369            -0.093197             0.032863               -0.08918              -0.333661                   0.003873                      -0.329787                    0.001055                           1e-06                           0.001056                         1.285361                0.870486              4.502276             2.161277               4.280253               4.588671           187              YES
14     16     30          -257.990791               -6e-06              1.2e-05                  4e-06                 -1e-05                    2.4e-05                        1.4e-05                     0.00159                        0.002123                           0.003713                         0.719903                1.139418               3.05278             3.119517               3.088553               3.160503             4              YES
14     24     38          -302.988412              0.13106             0.146083               0.141262               0.234169                    0.55228                       0.786449                    0.001866                        0.004091                           0.005957                         0.962824                0.955177              3.180604             3.533619               3.407818               3.274021             5              YES
46     58     104         -892.996949             0.114004             0.111315               0.112475               1.286643                   1.654159                       2.940802                    0.019065                        0.025554                           0.044619                         0.700503                0.703717              4.409972              4.50654               4.464085               4.483689             6              YES
50     62     112          -953.62968             0.062274             0.074394               0.069072               0.803887                   1.226919                       2.030806                    0.021575                        0.030173                           0.051748                         0.843321                0.515414              4.523817             4.591859               4.561609               4.595972             7              YES
52     60     112         -941.110902             0.113934             0.119486               0.116919               1.548125                   1.888085                        3.43621                    0.023422                        0.028326                           0.051748                         0.738093                0.496281              4.551133             4.569009               4.560718               4.623943             8              YES
52     62     114         -961.222305             0.115643             0.120407               0.118254               1.582502                   1.998678                        3.58118                    0.023761                        0.029851                           0.053612                           0.7839                0.492034              4.567254             4.606755               4.588779                4.63933             9              YES
52     64     116         -980.664079            -0.121329            -0.132416              -0.127519              -1.675437                  -2.311839                      -3.987276                    0.023629                        0.031881                            0.05551                         0.778331                0.507431              4.588025             4.650116               4.622385                 4.6593            10              YES
52     68     120        -1017.124849            -0.105284            -0.112712              -0.109573              -1.471855                  -2.152275                      -3.624129                    0.024428                        0.034976                           0.059404                         0.800808                0.499594              4.616305             4.717951               4.674176               4.686198            11              YES
56     64     120         -993.077202             0.295964              0.30266               0.299546               4.665806                   5.488373                      10.154179                    0.027744                        0.031659                           0.059404                         0.565703                0.665228              4.723834             4.739136               4.732001               4.794155            12              YES
56     88     144        -1189.705016             0.170419              0.15506               0.160683               2.819259                   4.441322                       7.260581                    0.032596                        0.052947                           0.085542                         0.486051                0.610181              4.839038             5.079374               4.987286               4.902637            13              YES
56     90     146         -1198.94465             0.190664             0.176106               0.181338               3.185114                    5.24379                       8.428903                     0.03307                        0.054865                           0.087935                         0.544113                0.569388              4.862719             5.121058                5.02354               4.925591            14              YES
56     94     150         -1215.86737             0.239256             0.227075               0.231297               4.081835                   7.302269                      11.384104                    0.033678                        0.059141                           0.092819                         0.610416                0.503537              4.914138             5.207456               5.099925               4.975527            15              YES
56     102    158        -1244.532148             0.267797             0.254894               0.259059                4.70877                   9.400381                      14.109151                    0.034888                        0.068095                           0.102983                         0.634227                0.476458               4.98887             5.353505               5.227178               5.047708            16              YES
58     92     150        -1229.085646             0.274305             0.248699               0.258045                4.92051                   7.761469                      12.681979                    0.035733                        0.057086                            0.09282                          0.54053                0.527759              4.951296             5.185448               5.096185                 5.0133            17              YES
58     94     152        -1239.116839             0.293227               0.2688                0.27756                5.31216                    8.70949                       14.02165                    0.036003                        0.059309                           0.095312                         0.543569                 0.49764               4.97582              5.22712               5.132681               5.037125            18              YES
58     96     154        -1248.462197             0.300182             0.276349               0.284746                5.47769                   9.270099                      14.747788                    0.036286                        0.061551                           0.097837                         0.549424                0.486802              4.993869             5.262872               5.163204               5.054558            19              YES
58     98     156        -1257.213697             0.303504             0.280095               0.288199               5.574559                   9.716505                      15.291064                    0.036592                        0.063802                           0.100394                         0.554587                0.483812              5.010192             5.297048               5.192248               5.070291            20              YES
58     100    158        -1265.274539             0.305312             0.281893               0.289861               5.643903                   10.10489                      15.748793                     0.03694                        0.066043                           0.102983                         0.562227                 0.48017              5.026301             5.330506               5.220895               5.085816            21              YES
58     112    170        -1301.256252             0.262519             0.223135               0.235238               4.987102                   9.555027                      14.542129                    0.040339                        0.078881                            0.11922                         0.628593                0.492741              5.095362             5.505133               5.368845               5.151749            22              YES
58     114    172        -1305.904413             0.241136             0.198322               0.211257               4.590135                     8.7206                      13.310735                     0.04137                        0.080672                           0.122042                         0.628554                0.505384              5.100504             5.529426               5.388606               5.156447            23              YES
60     90     150        -1236.553221             0.274139             0.238343               0.252047                5.12641                   7.185221                      12.311631                    0.037793                        0.055027                            0.09282                         0.511801                0.583518               4.97039             5.152788               5.080615               5.033153            24              YES
60     92     152        -1248.847755              0.30746              0.27283               0.285862               5.824431                   8.565801                      14.390232                    0.037988                        0.057322                            0.09531                         0.514942                 0.51404               5.00267             5.201022               5.123643               5.064651            25              YES
60     94     154        -1260.260799             0.319467             0.286487               0.298685               6.102676                   9.324124                        15.4268                      0.0382                        0.059635                           0.097835                         0.517175                0.487419              5.023615             5.238808               5.156034                5.08496            26              YES
60     96     156        -1270.861748             0.325223             0.292861               0.304626               6.255989                   9.862292                      16.118282                    0.038506                        0.061888                           0.100393                         0.519779                0.475411               5.04112              5.27312               5.185117               5.101875            27              YES
60     98     158         -1280.79994             0.328067             0.295918               0.307407               6.351093                  10.300402                      16.651495                     0.03885                        0.064133                           0.102983                         0.521602                0.470005              5.057227             5.306079               5.212977               5.117413            28              YES
60     100    160        -1290.033237             0.330018             0.297621               0.309006               6.429848                  10.701318                      17.131166                    0.039243                        0.066365                           0.105608                          0.52664                0.466689              5.073421             5.338653               5.240764                5.13304            29              YES
60     106    166        -1313.169344             0.337294             0.301462                0.31344               6.703341                  11.931106                      18.634448                    0.040512                        0.073164                           0.113677                         0.556367                0.460065              5.124016             5.440219               5.328095               5.181933            30              YES
60     116    176         -1341.41814             0.258263             0.210901               0.225476               5.195032                   9.543887                      14.738919                    0.044377                        0.083407                           0.127785                         0.595094                0.532796              5.155048             5.560821               5.425899               5.210764            31              YES
62     90     152        -1252.376669             0.293683             0.254857               0.270135               5.774303                   7.723454                      13.497757                    0.039976                        0.055335                           0.095311                         0.518563                0.573229              5.013716             5.166317               5.104623               5.076497            32              YES
62     96     158        -1290.470104             0.334434             0.300165               0.312983               6.747575                   10.13549                      16.883066                    0.040605                         0.06238                           0.102985                         0.509339                0.470961              5.078875             5.280215               5.202138               5.139767            33              YES
62     98     160        -1301.614303             0.337047             0.303004               0.315528               6.843289                  10.571688                      17.414977                     0.04097                        0.064637                           0.105608                         0.507758                0.462572              5.094908             5.312263                5.22911               5.155247            34              YES
62     100    162        -1312.029033             0.338709             0.304355               0.316787               6.920008                  10.964678                      17.884686                    0.041387                        0.066878                           0.108265                         0.503088                 0.45935                5.1108             5.343835               5.255869               5.170592            35              YES
62     114    176        -1365.378009              0.30803             0.263891               0.278153               6.509736                  11.682761                      18.192497                    0.045142                        0.082643                           0.127785                         0.581072                0.495146              5.197975             5.548209                5.42741               5.254281            36              YES
62     118    180        -1376.318887             0.240411             0.189825               0.205645                5.07098                   8.799558                      13.870538                    0.048218                         0.08544                           0.133658                         0.577178                0.561151              5.192996             5.580296               5.450001               5.248642            37              YES
62     122    184        -1387.834672             0.072614              0.05219               0.058375               1.526267                   2.525074                       4.051341                    0.052116                         0.08755                           0.139666                         0.549907                0.721447              5.183857             5.606735               5.467898               5.238885            38              YES
62     134    196        -1406.609683             0.169822             0.146532               0.152954               3.691175                    8.36426                      12.055434                    0.046396                        0.112081                           0.158477                         0.473132                0.611539              5.271503             5.810864               5.645824               5.323516            39              YES
64     90     154        -1265.863595             0.289261             0.252458               0.267309               5.942486                   7.666883                      13.609369                    0.041933                        0.055901                           0.097834                         0.518808                0.594459              5.044217             5.171762               5.119142               5.107138            40              YES
64     92     156        -1280.557829             0.315133             0.280971               0.294525               6.545448                   8.872534                      15.417982                    0.042049                        0.058344                           0.100393                         0.521338                0.538123              5.071983             5.216082               5.157452               5.134211            41              YES
64     94     158        -1294.441739             0.325499              0.29304               0.305706               6.813108                   9.584792                        16.3979                     0.04227                        0.060713                           0.102984                         0.517508                 0.51114               5.09158             5.251808               5.187502               5.153219            42              YES
64     98     162        -1319.867313             0.333056             0.301842                0.31363               7.061458                  10.545629                      17.607088                    0.042942                        0.065322                           0.108264                         0.505007                0.481285              5.124409             5.315919               5.241097               5.184958            43              YES
66     86     152          -1244.2221             0.183156             0.156291               0.167743               3.814132                   4.380646                       8.194778                    0.043676                        0.051635                           0.095311                         0.405033                0.817817              5.001041             5.082733               5.047424               5.065682            44              YES
66     90     156        -1277.250127             0.274094             0.240994               0.254669               5.864243                   7.324672                      13.188915                    0.043804                        0.056589                           0.100393                         0.514372                0.618233              5.069077             5.173857               5.129788               5.132175            45              YES
66     92     158        -1292.972791             0.300869             0.270494               0.282835               6.506609                   8.547482                      15.054092                    0.043961                        0.059022                           0.102984                         0.526287                0.562158              5.096379              5.21785               5.167456               5.158802            46              YES
66     94     160        -1308.013213             0.314126             0.285797                0.29712               6.848877                   9.358902                      16.207779                    0.044176                        0.061432                           0.105608                         0.527592                0.529944              5.117182             5.254901               5.198534               5.179015            47              YES
