Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     1757.852564             0.062764       13.208872      1         NO             
12     14     26     -211.223208             -0.149113      0.010001       2         YES            
16     4      20     -19.231795              -0.005335      0.009999       3         YES            
24     36     60     -510.812259             0.06011        0.01           4         NO             
26     24     50     -417.471087             0.205105       0.01           5         YES            
26     34     60     -523.954956             0.128377       0.01           6         YES            
26     36     62     -537.333812             0.089567       0.01           7         YES            
46     36     82     -596.747762             0.106871       0.01           8         YES            
52     72     124    -1050.090418            0.135863       0.01           9         YES            
52     74     126    -1065.738362            0.107976       0.01           10        YES            
56     56     112    -898.237417             0.217534       0.01           11        NO             
56     78     134    -1127.141912            0.126971       0.01           12        YES            
56     90     146    -1198.04018             0.190535       0.01           13        NO             
56     118    174    -1275.876762            0.132262       0.01           14        YES            
58     88     146    -1207.891411            0.177472       0.010001       15        NO             
58     90     148    -1218.195515            0.21767        0.01           16        NO             
60     60     120    -949.540416             0.362938       0.01           17        YES            
60     74     134    -1111.110385            0.218987       0.01           18        YES            
60     86     146    -1212.09465             0.140711       0.010001       19        NO             
60     88     148    -1224.39797             0.18949        0.01           20        NO             
60     136    196    -1366.503349            0.111787       0.01           21        NO             
60     138    198    -1366.451143            0.120937       0.01           22        YES            
60     140    200    -1366.19028             0.128199       0.01           23        NO             
62     132    194    -1401.787783            0.074295       0.01           183       YES            
62     134    196    -1402.692299            0.088927       0.01           24        NO             
62     136    198    -1403.349088            0.10159        0.01           25        NO             
62     138    200    -1403.831489            -0.122289      0.01           26        NO             
64     132    196    -1435.489152            0.070906       0.01           27        NO             
64     134    198    -1436.92584             -0.083737      0.01           28        NO             
64     136    200    -1438.415878            -0.115425      0.01           29        YES            
66     88     154    -1262.405212            0.209477       0.01           30        YES            
66     132    198    -1467.3044              0.075927       0.01           31        NO             
66     134    200    -1469.507963            -0.099879      0.01           32        YES            
66     136    202    -1471.8713              -0.129829      0.01           33        YES            
68     92     160    -1304.893325            0.273167       0.01           34        YES            
68     132    200    -1497.498619            0.087754       0.01           35        NO             
68     134    202    -1500.44172             0.13241        0.01           184       NO             
70     92     162    -1313.458375            0.246907       0.01           185       YES            
70     136    206    -1533.738314            0.166032       0.01           36        YES            
72     92     164    -1320.47176             0.223463       0.01           186       YES            
72     130    202    -1548.3928              0.057571       0.01           37        YES            
74     96     170    -1362.648871            0.276904       0.01           38        YES            
74     98     172    -1380.564413            0.296818       0.01           39        YES            
74     136    210    -1588.593508            0.150884       0.01           40        YES            
76     98     174    -1386.416261            0.286702       0.01           41        YES            
80     96     176    -1371.219716            0.252243       0.01           42        YES            
86     132    218    -1686.868122            0.09981        0.01           187       NO             
86     134    220    -1697.122373            0.12351        0.010001       43        NO             
86     136    222    -1707.117092            0.143416       0.009999       44        NO             
88     130    218    -1684.613504            0.070005       0.01           188       NO             
88     132    220    -1696.380599            0.117211       0.010001       189       NO             
88     134    222    -1707.910325            0.143288       0.010003       190       NO             
88     136    224    -1719.253033            0.167263       0.010003       45        NO             
88     138    226    -1730.349627            0.185906       0.010001       46        NO             
88     140    228    -1741.033101            0.200223       0.01           47        YES            
88     196    284    -1896.12216             0.117243       0.01           48        YES            
88     198    286    -1896.742109            0.136074       0.01           49        YES            
88     200    288    -1897.356311            0.153313       0.01           50        YES            
88     202    290    -1897.91557             0.166221       0.01           51        YES            
90     130    220    -1691.228458            0.083156       0.010001       191       NO             
90     132    222    -1704.060289            0.13062        0.010001       192       NO             
90     134    224    -1716.964712            0.164579       0.010002       52        NO             
90     136    226    -1729.805249            0.192306       0.01           53        NO             
90     138    228    -1742.233975            0.209958       0.01           54        YES            
90     194    284    -1924.656476            0.097138       0.01           55        YES            
90     196    286    -1925.928759            0.129975       0.01           56        NO             
90     198    288    -1927.409911            0.15504        0.01           57        YES            
90     200    290    -1928.897656            0.172256       0.01           58        NO             
90     202    292    -1930.195694            0.183864       0.01           59        YES            
92     130    222    -1696.18793             0.088259       0.01           193       NO             
92     132    224    -1710.244884            0.145615       0.010027       194       NO             
92     134    226    -1724.605494            0.184945       0.01           60        YES            
92     136    228    -1738.888238            0.211334       0.01           61        NO             
92     138    230    -1752.429182            0.226648       0.01           62        YES            
92     192    284    -1951.41687             4e-06          0.01           63        YES            
92     194    286    -1952.337246            3e-06          0.01           64        YES            
92     196    288    -1954.203231            0.148737       0.009999       65        NO             
92     198    290    -1956.796365            0.17273        0.01           66        NO             
