Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
2      2      4      -0.003801           -30.083113          -30.079312          -0.334673      0.286422       0.000365       0.286057       
22     44     66     -0.003239           -517.021094         -517.017855         -0.043351      0.114395       0.081125       0.03327        
24     24     48     -0.000681           -411.279223         -411.278542         -0.021691      0.214529       0.213004       0.001525       
24     28     52     -0.004679           -458.662169         -458.65749          -0.01237       0.079133       0.075941       0.003192       
26     46     72     -8.7e-05            -599.32348          -599.323393         0.021049       0.157086       0.154202       0.002884       
30     44     74     -0.000345           -642.736332         -642.735987         0.02589        0.170272       0.166432       0.00384        
30     46     76     -0.00019            -657.061123         -657.060933         0.025825       0.148723       0.143387       0.005336       
32     44     76     -6e-05              -662.299748         -662.299688         0.030919       0.202605       0.199006       0.003599       
32     46     78     -0.000179           -678.753694         -678.753515         0.032748       0.1742         0.168316       0.005884       
34     44     78     -3e-06              -678.649181         -678.649178         -0.016751      0.21047        0.210355       0.000115       
34     52     86     -1.8e-05            -741.924951         -741.924933         -0.025063      0.121779       0.113592       0.008187       
34     62     96     -4.5e-05            -782.896766         -782.896721         0.016662       -0.231274      -0.2322        0.000926       
34     64     98     -0.002142           -788.989867         -788.987725         0.02175        -0.231419      -0.233014      0.001595       
36     32     68     -0.00714            -547.312508         -547.305368         0.04307        -0.142513      -0.15752       0.015007       
36     38     74     -0.000142           -626.282252         -626.28211          0.014707       -0.270935      -0.271478      0.000543       
36     40     76     -6.2e-05            -648.997828         -648.997766         0.039244       -0.22247       -0.228314      0.005844       
36     44     80     0.000209            -692.505726         -692.505935         0.049242       0.286627       0.282767       0.00386        
36     52     88     0.00079             -763.532504         -763.533294         -0.02258       0.095724       0.083186       0.012538       
36     62     98     -0.000556           -812.863949         -812.863393         0.05168        -0.255513      -0.262908      0.007395       
36     68     104    -8.8e-05            -835.172992         -835.172904         0.045878       0.334253       0.332045       0.002208       
