 Nrows 
   5219 
    Z     N          Q20                 Q30           beta2       beta3
    14     2     -0.4429456463               0.0        -0.4         0.0 
    14     2     -0.3875774405               0.0       -0.35         0.0 
    14     2     -0.3322092347               0.0        -0.3         0.0 
    14     2     -0.2768410289               0.0       -0.25         0.0 
    14     2     -0.2214728232               0.0        -0.2         0.0 
    14     2     -0.1661046174               0.0       -0.15         0.0 
    14     2     -0.1107364116               0.0        -0.1         0.0 
    14     2     -0.0553682058               0.0       -0.05         0.0 
    14     2              -0.0               0.0        -0.0         0.0 
    14     2      0.0553682058               0.0        0.05         0.0 
    14     2      0.1107364116               0.0         0.1         0.0 
    14     2      0.1661046174               0.0        0.15         0.0 
    14     2      0.2214728232               0.0         0.2         0.0 
    14     2      0.2768410289               0.0        0.25         0.0 
    14     2      0.3322092347               0.0         0.3         0.0 
    14     2      0.3875774405               0.0        0.35         0.0 
    14     2      0.4429456463               0.0         0.4         0.0 
    22    46      -4.939299044               0.0        -0.4         0.0 
    22    46     -4.3218866635               0.0       -0.35         0.0 
    22    46      -3.704474283               0.0        -0.3         0.0 
    22    46     -3.0870619025               0.0       -0.25         0.0 
    22    46      -2.469649522               0.0        -0.2         0.0 
    22    46     -1.8522371415               0.0       -0.15         0.0 
    22    46      -1.234824761               0.0        -0.1         0.0 
    22    46     -0.6174123805               0.0       -0.05         0.0 
    22    46              -0.0               0.0        -0.0         0.0 
    22    46      0.6174123805               0.0        0.05         0.0 
    22    46       1.234824761               0.0         0.1         0.0 
    22    46      1.8522371415               0.0        0.15         0.0 
    22    46       2.469649522               0.0         0.2         0.0 
    22    46      3.0870619025               0.0        0.25         0.0 
    22    46       3.704474283               0.0         0.3         0.0 
    22    46      4.3218866635               0.0        0.35         0.0 
    22    46       4.939299044               0.0         0.4         0.0 
    24    28     -3.1585617541               0.0        -0.4         0.0 
    24    28     -2.7637415349               0.0       -0.35         0.0 
    24    28     -2.3689213156               0.0        -0.3         0.0 
    24    28     -1.9741010963               0.0       -0.25         0.0 
    24    28     -1.5792808771               0.0        -0.2         0.0 
    24    28     -1.1844606578               0.0       -0.15         0.0 
    24    28     -0.7896404385               0.0        -0.1         0.0 
    24    28     -0.3948202193               0.0       -0.05         0.0 
    24    28              -0.0               0.0        -0.0         0.0 
    24    28      0.3948202193               0.0        0.05         0.0 
    24    28      0.7896404385               0.0         0.1         0.0 
    24    28      1.1844606578               0.0        0.15         0.0 
    24    28      1.5792808771               0.0         0.2         0.0 
    24    28      1.9741010963               0.0        0.25         0.0 
    24    28      2.3689213156               0.0         0.3         0.0 
    24    28      2.7637415349               0.0        0.35         0.0 
    24    28      3.1585617541               0.0         0.4         0.0 
    24    46     -5.1837876139               0.0        -0.4         0.0 
    24    46     -4.5358141622               0.0       -0.35         0.0 
    24    46     -3.8878407104               0.0        -0.3         0.0 
    24    46     -3.2398672587               0.0       -0.25         0.0 
    24    46     -2.5918938069               0.0        -0.2         0.0 
    24    46     -1.9439203552               0.0       -0.15         0.0 
    24    46     -1.2959469035               0.0        -0.1         0.0 
    24    46     -0.6479734517               0.0       -0.05         0.0 
    24    46              -0.0               0.0        -0.0         0.0 
    24    46      0.6479734517               0.0        0.05         0.0 
    24    46      1.2959469035               0.0         0.1         0.0 
    24    46      1.9439203552               0.0        0.15         0.0 
    24    46      2.5918938069               0.0         0.2         0.0 
    24    46      3.2398672587               0.0        0.25         0.0 
    24    46      3.8878407104               0.0         0.3         0.0 
    24    46      4.5358141622               0.0        0.35         0.0 
    24    46      5.1837876139               0.0         0.4         0.0 
    26    20     -2.5748198729               0.0        -0.4         0.0 
    26    20     -2.2529673888               0.0       -0.35         0.0 
    26    20     -1.9311149047               0.0        -0.3         0.0 
    26    20     -1.6092624206               0.0       -0.25         0.0 
    26    20     -1.2874099365               0.0        -0.2         0.0 
    26    20     -0.9655574523               0.0       -0.15         0.0 
    26    20     -0.6437049682               0.0        -0.1         0.0 
    26    20     -0.3218524841               0.0       -0.05         0.0 
    26    20              -0.0               0.0        -0.0         0.0 
    26    20      0.3218524841               0.0        0.05         0.0 
    26    20      0.6437049682               0.0         0.1         0.0 
    26    20      0.9655574523               0.0        0.15         0.0 
    26    20      1.2874099365               0.0         0.2         0.0 
    26    20      1.6092624206               0.0        0.25         0.0 
    26    20      1.9311149047               0.0         0.3         0.0 
    26    20      2.2529673888               0.0        0.35         0.0 
    26    20      2.5748198729               0.0         0.4         0.0 
    32    48     -6.4759046344               0.0        -0.4         0.0 
    32    48     -5.6664165551               0.0       -0.35         0.0 
    32    48     -4.8569284758               0.0        -0.3         0.0 
    32    48     -4.0474403965               0.0       -0.25         0.0 
    32    48     -3.2379523172               0.0        -0.2         0.0 
    32    48     -2.4284642379               0.0       -0.15         0.0 
    32    48     -1.6189761586               0.0        -0.1         0.0 
    32    48     -0.8094880793               0.0       -0.05         0.0 
    32    48              -0.0               0.0        -0.0         0.0 
    32    48      0.8094880793               0.0        0.05         0.0 
    32    48      1.6189761586               0.0         0.1         0.0 
    32    48      2.4284642379               0.0        0.15         0.0 
    32    48      3.2379523172               0.0         0.2         0.0 
    32    48      4.0474403965               0.0        0.25         0.0 
    32    48      4.8569284758               0.0         0.3         0.0 
    32    48      5.6664165551               0.0        0.35         0.0 
    32    48      6.4759046344               0.0         0.4         0.0 
    34    48     -6.7479763776               0.0        -0.4         0.0 
    34    48     -5.9044793304               0.0       -0.35         0.0 
    34    48     -5.0609822832               0.0        -0.3         0.0 
    34    48      -4.217485236               0.0       -0.25         0.0 
    34    48     -3.3739881888               0.0        -0.2         0.0 
    34    48     -2.5304911416               0.0       -0.15         0.0 
    34    48     -1.6869940944               0.0        -0.1         0.0 
    34    48     -0.8434970472               0.0       -0.05         0.0 
    34    48              -0.0               0.0        -0.0         0.0 
    34    48      0.8434970472               0.0        0.05         0.0 
    34    48      1.6869940944               0.0         0.1         0.0 
    34    48      2.5304911416               0.0        0.15         0.0 
    34    48      3.3739881888               0.0         0.2         0.0 
    34    48       4.217485236               0.0        0.25         0.0 
    34    48      5.0609822832               0.0         0.3         0.0 
    34    48      5.9044793304               0.0        0.35         0.0 
    34    48      6.7479763776               0.0         0.4         0.0 
    34    56     -7.8805158832               0.0        -0.4         0.0 
    34    56     -6.8954513978               0.0       -0.35         0.0 
    34    56     -5.9103869124               0.0        -0.3         0.0 
    34    56      -4.925322427               0.0       -0.25         0.0 
    34    56     -3.9402579416               0.0        -0.2         0.0 
    34    56     -2.9551934562               0.0       -0.15         0.0 
    34    56     -1.9701289708               0.0        -0.1         0.0 
    34    56     -0.9850644854               0.0       -0.05         0.0 
    34    56              -0.0               0.0        -0.0         0.0 
    34    56      0.9850644854               0.0        0.05         0.0 
    34    56      1.9701289708               0.0         0.1         0.0 
    34    56      2.9551934562               0.0        0.15         0.0 
    34    56      3.9402579416               0.0         0.2         0.0 
    34    56       4.925322427               0.0        0.25         0.0 
    34    56      5.9103869124               0.0         0.3         0.0 
    34    56      6.8954513978               0.0        0.35         0.0 
    34    56      7.8805158832               0.0         0.4         0.0 
    36    32      -4.939299044               0.0        -0.4         0.0 
    36    32     -4.3218866635               0.0       -0.35         0.0 
    36    32      -3.704474283               0.0        -0.3         0.0 
    36    32     -3.0870619025               0.0       -0.25         0.0 
    36    32      -2.469649522               0.0        -0.2         0.0 
    36    32     -1.8522371415               0.0       -0.15         0.0 
    36    32      -1.234824761               0.0        -0.1         0.0 
    36    32     -0.6174123805               0.0       -0.05         0.0 
    36    32              -0.0               0.0        -0.0         0.0 
    36    32      0.6174123805               0.0        0.05         0.0 
    36    32       1.234824761               0.0         0.1         0.0 
    36    32      1.8522371415               0.0        0.15         0.0 
    36    32       2.469649522               0.0         0.2         0.0 
    36    32      3.0870619025               0.0        0.25         0.0 
    36    32       3.704474283               0.0         0.3         0.0 
    36    32      4.3218866635               0.0        0.35         0.0 
    36    32       4.939299044               0.0         0.4         0.0 
    36    38     -5.6868267706               0.0        -0.4         0.0 
    36    38     -4.9759734242               0.0       -0.35         0.0 
    36    38     -4.2651200779               0.0        -0.3         0.0 
    36    38     -3.5542667316               0.0       -0.25         0.0 
    36    38     -2.8434133853               0.0        -0.2         0.0 
    36    38      -2.132560039               0.0       -0.15         0.0 
    36    38     -1.4217066926               0.0        -0.1         0.0 
    36    38     -0.7108533463               0.0       -0.05         0.0 
    36    38              -0.0               0.0        -0.0         0.0 
    36    38      0.7108533463               0.0        0.05         0.0 
    36    38      1.4217066926               0.0         0.1         0.0 
    36    38       2.132560039               0.0        0.15         0.0 
    36    38      2.8434133853               0.0         0.2         0.0 
    36    38      3.5542667316               0.0        0.25         0.0 
    36    38      4.2651200779               0.0         0.3         0.0 
    36    38      4.9759734242               0.0        0.35         0.0 
    36    38      5.6868267706               0.0         0.4         0.0 
    36    62     -9.0822599036               0.0        -0.4         0.0 
    36    62     -7.9469774156               0.0       -0.35         0.0 
    36    62     -6.8116949277               0.0        -0.3         0.0 
    36    62     -5.6764124397               0.0       -0.25         0.0 
    36    62     -4.5411299518               0.0        -0.2         0.0 
    36    62     -3.4058474638               0.0       -0.15         0.0 
    36    62     -2.2705649759               0.0        -0.1         0.0 
    36    62     -1.1352824879               0.0       -0.05         0.0 
    36    62              -0.0               0.0        -0.0         0.0 
    36    62      1.1352824879               0.0        0.05         0.0 
    36    62      2.2705649759               0.0         0.1         0.0 
    36    62      3.4058474638               0.0        0.15         0.0 
    36    62      4.5411299518               0.0         0.2         0.0 
    36    62      5.6764124397               0.0        0.25         0.0 
