Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     2      14             7.355247            -0.283079            -0.035008               -0.27443              -0.843571                  -0.005928                      -0.849499                         0.0                             0.0                                0.0                         1.403494                0.483796              4.559862             2.122912               4.297188               4.644888             4              YES
12     14     26          -211.291964            -0.167534            -0.156179              -0.161269               -0.20264                  -0.234371                       -0.43701                         0.0                             0.0                                0.0                         0.881657                1.251121               2.94726             3.026897               2.990405               3.058249            21              YES
24     36     60          -510.852212             0.069545             0.053361               0.059303               0.237482                   0.347085                       0.584567                         0.0                             0.0                                0.0                         0.813204                0.855336              3.659541             3.923024               3.819812               3.744341            50              YES
26     24     50          -417.554805             0.210159             0.221506               0.215462               0.894303                   0.793821                       1.688124                         0.0                             0.0                                0.0                         0.647625                0.810813              3.646884             3.555738               3.603422               3.740935            62              YES
26     34     60          -523.988825             0.142962             0.125205               0.132563               0.601998                   0.773679                       1.375677                         0.0                             0.0                                0.0                         0.752664                0.756523              3.700405             3.847014               3.784181               3.787238            84              YES
26     36     62          -537.376125             0.101131             0.084722               0.091208               0.421226                   0.562717                       0.983943                         0.0                             0.0                                0.0                         0.823265                0.769114              3.720281             3.910698               3.831998               3.805488           102              YES
46     36     82          -596.794487             0.108746             0.113147               0.110555               1.109365                   0.827662                       1.937027                         0.0                             0.0                                0.0                          0.67901                0.721475              4.313885             4.072452               4.209595               4.395536           114              YES
52     72     124        -1050.135569             0.141052             0.137085               0.138692               1.972009                   2.786957                       4.758966                         0.0                             0.0                                0.0                         0.779548                0.440783              4.647964             4.787501               4.729487               4.716441           135              YES
52     74     126        -1065.756986              0.11477             0.106237               0.109623               1.592517                   2.245216                       3.837733                         0.0                             0.0                                0.0                         0.752328                0.454113               4.65892             4.815166               4.751306               4.726766           152              YES
56     56     112          -898.29922             0.230595             0.225759               0.228217               3.509384                    3.32149                       6.830874                         0.0                             0.0                                0.0                         0.498264                 0.61373              4.641618             4.564445               4.603193               4.714925           170              YES
56     78     134        -1127.177337             0.144045             0.118777               0.129003               2.243488                   2.773431                        5.01692                         0.0                             0.0                                0.0                         0.511546                0.621434              4.769481             4.901312               4.846655               4.836139           183              YES
56     90     146        -1198.083371             0.209014             0.194775               0.199917                3.50217                   5.782236                       9.284406                         0.0                             0.0                                0.0                         0.546256                0.476894              4.884242             5.124573               5.033748               4.946841           202              YES
56     118    174        -1275.972993             0.177699             0.130481               0.143874               3.231302                   6.063333                       9.294635                         0.0                             0.0                                0.0                         0.605531                0.394534              5.105324             5.589453               5.438347               5.159622           217              YES
58     88     146        -1207.924401             0.195664             0.177838               0.184592               3.417146                   5.078618                       8.495764                         0.0                             0.0                                0.0                         0.484957                0.574291              4.895828             5.088663               5.012945               4.959333           234              YES
