Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.079312              0.00038             0.000349               0.000365               0.000103                    5.7e-05                        0.00016                         0.0                             0.0                                0.0                         3.394115                3.461247              1.945485             1.940043               1.942766                2.11443             6              YES
2      2      4            -30.074204             -0.00029            -0.000262              -0.000276               -1.3e-05                   -1.7e-05                         -3e-05                         0.0                             0.0                                0.0                        -3.378568               -3.472198              1.944986              1.93989                1.94244                2.11397             3              YES
2      2      4            -30.068008            -0.000202             -0.00018              -0.000191               -3.5e-05                   -3.3e-05                       -6.8e-05                         0.0                             0.0                                0.0                         3.373425                 3.46871               1.94528               1.9402               1.942742               2.114241             5              YES
2      2      4            -30.066261             0.000807              0.00075               0.000779               0.000186                   0.000162                       0.000348                         0.0                             0.0                                0.0                         3.375166                3.469222              1.945084              1.93999               1.942538                2.11406            16              YES
2      2      4            -30.065492            -0.000201            -0.000158               -0.00018                  1e-05                    1.3e-05                        2.2e-05                         0.0                             0.0                                0.0                         3.371316                3.469856              1.944645             1.939644               1.942146               2.113656             2              YES
2      2      4            -30.061054             0.001183             0.001112               0.001148               0.000268                   0.000222                        0.00049                         0.0                             0.0                                0.0                         3.387342                3.448477              1.945242             1.939676               1.942461               2.114206            15              YES
2      2      4            -30.058541             -0.00041            -0.000362              -0.000386               -5.3e-05                   -3.8e-05                       -9.1e-05                         0.0                             0.0                                0.0                         3.375286                3.459667              1.945074             1.939838               1.942458               2.114051             4              YES
2      2      4            -30.053234             0.000275              0.00026               0.000268                4.6e-05                      4e-05                        8.6e-05                         0.0                             0.0                                0.0                         3.369282                3.467605              1.945142             1.940095                1.94262               2.114114            11              YES
2      2      4             -30.04733             0.000578             0.000588               0.000583                8.6e-05                    0.00015                       0.000235                         0.0                             0.0                                0.0                         -3.39141               -3.429401              1.945289             1.939461               1.942377               2.114249            17              YES
2      2      4            -30.045875             0.001239             0.001181                0.00121               0.000253                   0.000233                       0.000487                         0.0                             0.0                                0.0                          3.36593                3.455419              1.944812             1.939675               1.942245                2.11381            14              YES
2      2      4            -30.024683            -0.000968            -0.000818              -0.000893              -0.000126                   -5.5e-05                      -0.000182                         0.0                             0.0                                0.0                           3.3711                3.421975              1.944254             1.938669               1.941464               2.113297             1              YES
2      2      4            -30.022527              0.00048             0.000478               0.000479               0.000112                   0.000108                        0.00022                         0.0                             0.0                                0.0                         3.342477                3.439865              1.945062             1.940029               1.942547                2.11404             7              YES
2      2      4            -30.010073             0.000346             0.000329               0.000337                5.7e-05                    5.5e-05                       0.000112                         0.0                             0.0                                0.0                         3.360239                  3.4183              1.945179             1.939585               1.942384               2.114148            12              YES
2      2      4            -29.980813             0.000806             0.000724               0.000765               0.000179                   0.000107                       0.000287                         0.0                             0.0                                0.0                         3.327615                3.413345              1.944628             1.939493               1.942062               2.113641            13              YES
2      2      4            -29.947821              4.3e-05              6.7e-05                5.5e-05                 -9e-06                    2.7e-05                        1.7e-05                         0.0                             0.0                                0.0                         3.307131                3.396752              1.944887             1.939664               1.942277               2.113879             8              YES
2      2      4            -29.946777            -0.000117            -0.000121              -0.000119               -2.1e-05                   -2.5e-05                       -4.6e-05                         0.0                             0.0                                0.0                        -3.306063                3.398029              1.944859             1.939687               1.942275               2.113854            10              YES
2      2      4            -29.945345                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                             0.0                                0.0                         3.308376                3.393227              1.944963             1.939549               1.942258               2.113949             9              YES
22     44     66          -517.017855             0.098371             0.074177               0.081125               0.323532                   0.673931                       0.997462                         0.0                             0.0                                0.0                         1.051625                0.572416              3.709965             4.133134               3.997059               3.785979            29              YES
22     44     66          -517.016975             0.098286             0.074036                  0.081               0.323284                   0.672499                       0.995783                         0.0                             0.0                                0.0                         1.050832                0.573691              3.709974             4.133128               3.997057               3.785988            28              YES
22     44     66          -517.016772             0.099991             0.075705               0.082679               0.329432                   0.687965                       1.017396                         0.0                             0.0                                0.0                          1.04813                0.570193              3.710143             4.133354               3.997266               3.786154            30              YES
22     44     66          -516.993566             0.091438             0.068562               0.075133               0.298445                   0.621955                       0.920399                         0.0                             0.0                                0.0                         1.061235                0.582457              3.709153             4.131378               3.995597               3.785184            32              YES
22     44     66          -516.984504             0.089348             0.066659               0.073176               0.290946                   0.604346                       0.895292                         0.0                             0.0                                0.0                         1.060551                0.585591              3.708955             4.131355                3.99552                3.78499            31              YES
22     44     66          -516.978454             0.087553             0.065419               0.071778               0.284533                    0.59305                       0.877583                         0.0                             0.0                                0.0                         1.066451                 0.58796              3.708741             4.130353               3.994763                3.78478            34              YES
22     44     66          -516.973834              0.08521             0.063336                0.06962               0.276185                   0.573878                       0.850063                         0.0                             0.0                                0.0                         1.067344                0.591017              3.708519             4.130289                3.99465               3.784563            33              YES
