 Nrows 
   1736 
    Z     N          Q20                 Q30           beta2       beta3
    60    62    -16.3553633598               0.0        -0.5         0.0 
    60    62    -14.7198270238               0.0       -0.45         0.0 
    60    62    -13.0842906878               0.0        -0.4         0.0 
    60    62    -11.4487543518               0.0       -0.35         0.0 
    60    62     -9.8132180159               0.0        -0.3         0.0 
    60    62     -8.1776816799               0.0       -0.25         0.0 
    60    62     -6.5421453439               0.0        -0.2         0.0 
    60    62     -4.9066090079               0.0       -0.15         0.0 
    60    62      -3.271072672               0.0        -0.1         0.0 
    60    62      -1.635536336               0.0       -0.05         0.0 
    60    62              -0.0               0.0        -0.0         0.0 
    60    62       1.635536336               0.0        0.05         0.0 
    60    62       3.271072672               0.0         0.1         0.0 
    60    62      4.9066090079               0.0        0.15         0.0 
    60    62      6.5421453439               0.0         0.2         0.0 
    60    62      8.1776816799               0.0        0.25         0.0 
    60    62      9.8132180159               0.0         0.3         0.0 
    60    62     11.4487543518               0.0        0.35         0.0 
    60    62     13.0842906878               0.0         0.4         0.0 
    60    62     14.7198270238               0.0        0.45         0.0 
    60    62     16.3553633598               0.0         0.5         0.0 
   108   244    -95.6382421504               0.0        -0.5         0.0 
   108   244    -86.0744179353               0.0       -0.45         0.0 
   108   244    -76.5105937203               0.0        -0.4         0.0 
   108   244    -66.9467695053               0.0       -0.35         0.0 
   108   244    -57.3829452902               0.0        -0.3         0.0 
   108   244    -47.8191210752               0.0       -0.25         0.0 
   108   244    -38.2552968601               0.0        -0.2         0.0 
   108   244    -28.6914726451               0.0       -0.15         0.0 
   108   244    -19.1276484301               0.0        -0.1         0.0 
   108   244      -9.563824215               0.0       -0.05         0.0 
   108   244              -0.0               0.0        -0.0         0.0 
   108   244       9.563824215               0.0        0.05         0.0 
   108   244     19.1276484301               0.0         0.1         0.0 
   108   244     28.6914726451               0.0        0.15         0.0 
   108   244     38.2552968601               0.0         0.2         0.0 
   108   244     47.8191210752               0.0        0.25         0.0 
   108   244     57.3829452902               0.0         0.3         0.0 
   108   244     66.9467695053               0.0        0.35         0.0 
   108   244     76.5105937203               0.0         0.4         0.0 
   108   244     86.0744179353               0.0        0.45         0.0 
   108   244     95.6382421504               0.0         0.5         0.0 
   108   246    -96.5456215164               0.0        -0.5         0.0 
   108   246    -86.8910593647               0.0       -0.45         0.0 
   108   246    -77.2364972131               0.0        -0.4         0.0 
   108   246    -67.5819350615               0.0       -0.35         0.0 
   108   246    -57.9273729098               0.0        -0.3         0.0 
   108   246    -48.2728107582               0.0       -0.25         0.0 
   108   246    -38.6182486065               0.0        -0.2         0.0 
   108   246    -28.9636864549               0.0       -0.15         0.0 
   108   246    -19.3091243033               0.0        -0.1         0.0 
   108   246     -9.6545621516               0.0       -0.05         0.0 
   108   246              -0.0               0.0        -0.0         0.0 
   108   246      9.6545621516               0.0        0.05         0.0 
   108   246     19.3091243033               0.0         0.1         0.0 
