Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     2      14             7.506772             0.707191             0.037811               0.687675               2.407281                   0.006477                       2.413758                         0.0                             0.0                                0.0                         1.428764                0.478612              4.968792             2.109163                4.66877               5.046934            88              YES
12     2      14             7.679991             0.641398             0.038697               0.623049               2.120484                   0.006651                       2.127135                         0.0                             0.0                                0.0                         1.422691                0.497922              4.864703             2.111589               4.574008               4.944491            87              YES
12     2      14             7.697941             -0.35827            -0.031894              -0.347216              -1.163963                  -0.005431                      -1.169394                         0.0                             0.0                                0.0                         1.423974                0.446006              4.620716             2.119126               4.352287               4.704643            86              YES
12     2      14             7.833488             -0.38755            -0.028618               -0.37563              -1.286724                  -0.004896                      -1.291619                         0.0                             0.0                                0.0                         1.435328                0.421103              4.665778             2.118138               4.393232               4.748909            85              YES
12     14     26          -211.275556             -0.16963            -0.158554               -0.16352              -0.205498                  -0.238309                      -0.443807                         0.0                             0.0                                0.0                           0.8758                1.243236              2.947625             3.026981               2.990617               3.058602            90              YES
12     14     26          -211.128397             0.178982             0.135399               0.154962               0.197438                   0.217821                        0.41526                         0.0                             0.0                                0.0                          0.87527                1.258807              2.944627              3.02078               2.985874               3.055713            92              YES
12     14     26          -211.056363             0.176199             0.131753               0.151707               0.193641                   0.211095                       0.404736                         0.0                             0.0                                0.0                          0.86862                1.248589              2.943017             3.018675               2.983994               3.054161            89              YES
12     14     26          -164.658544             1.284177             1.216829                1.24959               6.273179                   6.372736                      12.645915                         0.0                             0.0                                0.0                        -0.824582                0.104687              5.725114             5.446071               5.576595               5.783034            91              YES
16     4      20            -19.25017            -0.015424            -0.007709              -0.014837              -0.065836                   -0.00135                      -0.067187                         0.0                             0.0                                0.0                         1.304431                0.787558              4.281594              2.45876               3.984311               4.370929            10              YES
16     4      20           -19.238711             0.015722             0.007784               0.015117               0.067631                   0.001352                       0.068982                         0.0                             0.0                                0.0                         1.304386                0.777895               4.28113             2.458816               3.983919               4.370474            12              YES
16     4      20           -19.227008                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         1.304279                0.765653              4.280217             2.458897               3.983145               4.369581            11              YES
16     4      20            -19.05261            -0.070858            -0.053789              -0.069556              -0.293718                  -0.009692                       -0.30341                         0.0                             0.0                                0.0                         1.308581                0.806956              4.276175             2.458047               3.979565               4.365621             9              YES
16     4      20           -19.002414             0.082217             0.067759               0.081112               0.346122                    0.01147                       0.357592                         0.0                             0.0                                0.0                         1.308205                0.803825              4.273561             2.458488               3.977373               4.363061            13              YES
