 Nrows 
   198 
    Z     N          Q20                 Q30           beta2       beta3
     4     4          0.000316      0.0007920569    0.000906        0.03 
     6     4          0.000693      0.0012375888     0.00137        0.03 
    12     2         -0.074669      0.0024256741   -0.084237        0.03 
    14    16          -3.9e-05      0.0111382995    -1.2e-05        0.03 
    14    24          0.827609      0.0178707828    0.176778        0.03 
    46    58          2.909444      0.1338576087    0.116055        0.03 
    50    62          2.126946      0.1552431438    0.074984        0.03 
    52    60          3.483466      0.1552431438    0.122807        0.03 
    52    62          3.642959      0.1608370453    0.124697        0.03 
    52    64         -4.059615       0.166529954   -0.134989        0.03 
    52    68         -3.651895      0.1782127926    -0.11476        0.03 
    56    64         10.797563      0.1782127926    0.339313        0.03 
    56    88          7.421899      0.2566264213    0.172116        0.03 
    56    90          8.781457      0.2638044366    0.199016        0.03 
    56    94         12.085292      0.2784574884    0.261827        0.03 
    56   102         15.247356      0.3089516774     0.30293        0.03 
    58    92         13.338719      0.2784574884    0.288983        0.03 
    58    94         14.872959       0.285932525    0.315186        0.03 
    58    96         15.754307      0.2935065687    0.326669        0.03 
    58    98         16.409799      0.3011796195    0.333021        0.03 
    58   100         16.952621      0.3089516774     0.33681        0.03 
    58   112         15.776825       0.357663174    0.277448        0.03 
    58   114         14.434207      0.3661282817    0.248936        0.03 
    60    90         12.897182      0.2784574884    0.279417        0.03 
    60    92         15.207315       0.285932525    0.322272        0.03 
    60    94         16.387652      0.2935065687    0.339801        0.03 
    60    96         17.193505      0.3011796195    0.348926        0.03 
    60    98         17.823137      0.3089516774    0.354105        0.03 
    60   100         18.401492      0.3168227424    0.358011        0.03 
    60   106         20.171378      0.3410299801    0.369089        0.03 
    60   116         15.884464      0.3833555183     0.26365        0.03 
    62    90         14.222919       0.285932525    0.301411        0.03 
    62    96         17.997386      0.3089516774    0.357567        0.03 
    62    98         18.608019      0.3168227424    0.362029        0.03 
    62   100         19.171518      0.3247928145    0.365349        0.03 
    62   114          19.64337      0.3833555183     0.32604        0.03 
    62   118          14.93091      0.4009787833    0.238712        0.03 
    62   122          4.204488      0.4189980768    0.064803        0.03 
    62   134         13.024643      0.4754321278    0.180682        0.03 
    64    90         14.325153      0.2935065687    0.297035        0.03 
    64    92         16.313662      0.3011796195     0.33107        0.03 
    64    94         17.412738      0.3089516774    0.345951        0.03 
    64    98         18.774284      0.3247928145    0.357779        0.03 
    66    86          8.284011       0.285932525    0.175554        0.03 
    66    90         13.806796      0.3011796195    0.280196        0.03 
    66    92          15.85386      0.3089516774     0.31498        0.03 
    66    94         17.149967      0.3168227424    0.333662        0.03 
    68    86          8.049765      0.2935065687    0.166914        0.03 
    68    90         13.109946      0.3089516774    0.260465        0.03 
    68    96         17.694389      0.3328618937    0.330374        0.03 
    70    86          7.572873      0.3011796195    0.153684        0.03 
    70    94         15.739981      0.3328618937    0.293883        0.03 
    72    86          6.910551      0.3089516774    0.137297        0.03 
    72    88          9.491581      0.3168227424    0.184664        0.03 
    72   132           8.82871      0.5150349706    0.114575        0.03 
    74    86          5.953277      0.3168227424    0.115824        0.03 
    74    88          8.496368      0.3247928145    0.161914        0.03 
    74    94         13.007233      0.3492970735    0.233299        0.03 
    76    88           7.20796      0.3328618937    0.134581        0.03 
    76    92         10.141347      0.3492970735    0.181896        0.03 
    76    94         11.367726       0.357663174     0.19991        0.03 
    76   134          9.290327      0.5457766773    0.114879        0.03 
    78    90          7.093014      0.3492970735    0.127221        0.03 
    78    92          8.347554       0.357663174    0.146798        0.03 
    78    94          9.417986      0.3661282817    0.162425        0.03 
    78    96         10.479946      0.3746923964    0.177291        0.03 
    84   138         10.278873      0.6099332827     0.11586        0.03 
    86   132          8.353995      0.5881517191    0.097061        0.03 
    86   140         17.091645      0.6321108746    0.187002        0.03 
    86   192         12.172896      0.9564581572    0.094311        0.03 
    86   194         15.206795      0.9702696486    0.116417        0.03 
    86   196         17.627211      0.9841801471    0.133356        0.03 
    86   198         19.865191      0.9981896528    0.148527        0.03 
    86   200         22.159076      1.0122981655    0.163751        0.03 
    86   202         24.292416      1.0265056854    0.177443        0.03 
    88   130          7.384186      0.5881517191    0.085793        0.03 
    88   132         11.090191      0.5989929973    0.126905        0.03 
    88   134         13.707662      0.6099332827    0.154508        0.03 
    88   140         20.221103      0.6433481813    0.218017        0.03 
    88   190         10.786095      0.9564581572    0.083567        0.03 
    88   192         14.920318      0.9702696486    0.114224        0.03 
    88   194         18.060996      0.9841801471    0.136637        0.03 
    88   196         20.854138      0.9981896528    0.155921        0.03 
    88   198         23.703499      1.0122981655    0.175164        0.03 
    88   200         26.323193      1.0265056854    0.192277        0.03 
    88   202         28.614809      1.0408122123    0.206619        0.03 
    88   204          30.59157      1.0552177464    0.218377        0.03 
    90   134          16.22302      0.6209725751    0.180147        0.03 
    90   136         18.887837      0.6321108746    0.206654        0.03 
    90   138         21.060293      0.6433481813    0.227064        0.03 
    90   190         12.546134      0.9702696486    0.096048        0.03 
