 Nrows 
   537 
    Z     N          Q20                 Q30           beta2       beta3
     2     2       4.01005e-05      0.0001980142    0.000365        0.03 
    22    44      0.9531291325      0.0539093698    0.081125        0.03 
    24    24      1.4719067482      0.0285140468    0.213004        0.03 
    24    28      0.5996608454      0.0334644022    0.075941        0.03 
    26    46       2.094440251      0.0641566053    0.154202        0.03 
    30    44      2.3661748827      0.0677703647    0.166432        0.03 
    30    46      2.1311936188      0.0714831313    0.143387        0.03 
    32    44      2.9578714758      0.0714831313    0.199006        0.03 
    32    46      2.6124032444      0.0752949049    0.168316        0.03 
    34    44      3.2648832225      0.0752949049    0.210355        0.03 
    34    52      2.0746060492      0.0915320704    0.113592        0.03 
    34    62     -5.0941462846      0.1140561873     -0.2322        0.03 
    34    64     -5.2907342729       0.118858032   -0.233014        0.03 
    36    32     -1.9450959635      0.0572261078    -0.15752        0.03 
    36    44      4.5779303144      0.0792056856    0.282767        0.03 
    36    52       1.578623282      0.0958388796    0.083186        0.03 
    36    68      8.3242091854      0.1338576087    0.332045        0.03 
    38    34      5.5087410547      0.0641566053    0.405578        0.03 
    38    42     -3.1196213498      0.0792056856   -0.192691        0.03 
    38    44      5.5037001434      0.0832154734    0.326243        0.03 
    40    36      6.0816462983      0.0714831313    0.409174        0.03 
    40    42      6.4720347536      0.0832154734    0.383643        0.03 
    40    44      5.4382691219      0.0873242684    0.309674        0.03 
    40    58      0.0051768881       0.118858032    0.000228        0.03 
    40    64      9.8025337844      0.1338576087    0.391014        0.03 
    40    66      9.9562123661      0.1390554818    0.384734        0.03 
    40    94     -0.1021579949      0.2222214517   -0.002671        0.03 
    40    96     -0.1122780865      0.2289044314   -0.002864        0.03 
    40    98     -0.1182569729      0.2356864182   -0.002944        0.03 
    40   100     -0.1155727925      0.2425674121   -0.002809        0.03 
    40   102     -0.1052779222      0.2495474132   -0.002499        0.03 
    42    36      5.8068529613      0.0752949049    0.374133        0.03 
    42    38      6.5357419933      0.0792056856    0.403696        0.03 
    42    42      5.9059433374      0.0873242684    0.336305        0.03 
    42    58      0.0072093402      0.1237588837    0.000307        0.03 
    42    64      9.3258201126      0.1390554818    0.360374        0.03 
    42    96     -0.1134367159      0.2356864182   -0.002824        0.03 
    42    98     -0.1299731049      0.2425674121   -0.003159        0.03 
    46    36      2.2142472287      0.0832154734    0.131254        0.03 
    52    56      3.5862691603       0.144352362    0.134332        0.03 
    52    90              -0.0      0.2495474132        -0.0        0.03 
    54    54      4.3942022187       0.144352362    0.164595        0.03 
    54    56      5.2904646195      0.1497482493    0.192198        0.03 
    54    58      6.3316993248      0.1552431438     0.22322        0.03 
    54    86      5.0949127952      0.2425674121    0.123832        0.03 
    54    88      6.5251247768      0.2495474132    0.154888        0.03 
    54    90      7.9580006712      0.2566264213    0.184548        0.03 
    54    92      9.4837843152      0.2638044366    0.214933        0.03 
    54    94     10.8024432506       0.271081459    0.239329        0.03 
    54    96      11.560569146      0.2784574884    0.250459        0.03 
    56    52      3.9713208241       0.144352362    0.148755        0.03 
    56    54      5.3906596851      0.1497482493    0.195838        0.03 
    56    56      6.3331459544      0.1552431438    0.223271        0.03 
    56    58      8.7433468416      0.1608370453    0.299281        0.03 
    56    66     10.2416304037      0.1842027226    0.313097        0.03 
    56    84      4.2394930981      0.2425674121    0.103041        0.03 
    56    86      5.9730370734      0.2495474132    0.141783        0.03 
    56    88      7.6798233822      0.2566264213    0.178097        0.03 
    56    90      9.5815198061      0.2638044366    0.217148        0.03 
    56    92      11.840895807       0.271081459    0.262336        0.03 
    56    94      13.012823555      0.2784574884    0.281922        0.03 
    56    96     13.4763184191       0.285932525    0.285589        0.03 
    56   132      7.4115303743      0.4374133987     0.11021        0.03 
    56   134      8.9581111056      0.4467695703    0.130879        0.03 
    56   136     10.4696932069       0.456224749    0.150317        0.03 
    56   138     12.2204548787      0.4657789349    0.172449        0.03 
    58    54      6.6255636963      0.1552431438     0.23358        0.03 
    58    56      8.7739636448      0.1608370453    0.300329        0.03 
    58    58     10.2508072375       0.166529954    0.340856        0.03 
    58    84      4.4076441026      0.2495474132    0.104625        0.03 
    58    86      6.4153262775      0.2566264213    0.148773        0.03 
    58    88      9.1912838326      0.2638044366    0.208304        0.03 
    58    90     11.7607336068       0.271081459     0.26056        0.03 
    58    92     13.4270412414      0.2784574884    0.290896        0.03 
    58   132      7.1588092715      0.4467695703    0.104591        0.03 
    58   134      8.8631984404       0.456224749    0.127252        0.03 
    58   136     10.5597531055      0.4657789349    0.149014        0.03 
    58   138     16.6367151602      0.4754321278     0.23079        0.03 
    60    84      4.1595934973      0.2566264213    0.096462        0.03 
    60    86      6.9324688221      0.2638044366    0.157112        0.03 
    60    88     10.8464512152       0.271081459    0.240304        0.03 
    60    90     13.3782527308      0.2784574884    0.289839        0.03 
    60   130      3.4741692976      0.4467695703    0.050758        0.03 
    60   132      5.8957974851       0.456224749    0.084648        0.03 
    60   134      7.8457972058      0.4657789349    0.110716        0.03 
    60   136     16.0100720436      0.4754321278    0.222097        0.03 
    62    84       3.474706291      0.2638044366    0.078748        0.03 
    62    86      7.9360578204       0.271081459    0.175824        0.03 
    62    88     11.3957406015      0.2784574884    0.246888        0.03 
    62    90     14.1087765872       0.285932525    0.298992        0.03 
    62   130      0.1689030916       0.456224749    0.002425        0.03 
    62   132      3.7931463116      0.4657789349    0.053527        0.03 
    62   134      5.3775393831      0.4754321278    0.074599        0.03 
    62   136     16.7088769924      0.4851843278    0.227902        0.03 
    64    84     -2.6533868814       0.271081459   -0.058786        0.03 
    64    86      8.6300736377      0.2784574884     0.18697        0.03 
    64    88     11.4677222553       0.285932525    0.243023        0.03 
    64    90     14.0299556498      0.2935065687    0.290914        0.03 
    64   130      0.1327285864      0.4657789349    0.001873        0.03 
    64   132      1.7609154553      0.4754321278    0.024428        0.03 
    64   134     -0.4498673519      0.4851843278   -0.006136        0.03 
    64   136     16.4949571491       0.495035535    0.221247        0.03 
    66   130      2.1412408992      0.4754321278    0.029704        0.03 
    66   132      3.5965193849      0.4851843278    0.049055        0.03 
    66   134     -7.8098064436       0.495035535   -0.104753        0.03 
    66   136     15.7265511186      0.5049857492    0.207471        0.03 
    68   130      4.1042331091      0.4851843278     0.05598        0.03 
    68   132      5.7325692559       0.495035535    0.076891        0.03 
    68   134     11.7259152951      0.5049857492    0.154693        0.03 
    68   190      9.0854486743      0.8237886338    0.079718        0.03 
    70   130      5.1476147309       0.495035535    0.069045        0.03 
    70   132      7.3389207465      0.5049857492    0.096818        0.03 
    70   134     11.3496803782      0.5150349706    0.147291        0.03 
    70   166     24.7003369857      0.6892874789    0.251435        0.03 
    70   168     24.0127605002      0.7010198211    0.241022        0.03 
    72   132      7.7466109116      0.5150349706    0.100532        0.03 
    72   168     20.3178790165      0.7128511704    0.201111        0.03 
    72   170     19.2939860465      0.7247815268    0.188353        0.03 
    74   170     18.0458213983      0.7368108903    0.173768        0.03 
    76    90      9.1628006121      0.3410299801    0.167658        0.03 
    76   136     10.7819325212      0.5562219271    0.131234        0.03 
    78   134      4.7880081646      0.5562219271    0.058278        0.03 
    78   136      6.6108026182       0.566766184    0.079215        0.03 
    78   138     -7.7142380006       0.577409448   -0.091015        0.03 
    80   134               0.0       0.566766184         0.0        0.03 
    80   136               0.0       0.577409448         0.0        0.03 
    80   138               0.0      0.5881517191         0.0        0.03 
    80   140     -6.6561447525      0.5989929973   -0.076166        0.03 
    82   134               0.0       0.577409448         0.0        0.03 
    82   136               0.0      0.5881517191         0.0        0.03 
    82   138               0.0      0.5989929973         0.0        0.03 
    82   140               0.0      0.6099332827         0.0        0.03 
    82   142       0.051240824      0.6209725751    0.000569        0.03 
    84   132               0.0       0.577409448         0.0        0.03 
    84   134               0.0      0.5881517191         0.0        0.03 
    84   136     10.2925289567      0.5989929973    0.117777        0.03 
    84   154     22.9962466742      0.7010198211    0.230819        0.03 
    84   156     22.8457051964      0.7128511704    0.226132        0.03 
    84   158     22.2564133849      0.7247815268    0.217273        0.03 
    84   160     20.6801864794      0.7368108903    0.199135        0.03 
    84   162     17.6393839426      0.7489392609    0.167559        0.03 
    84   194               0.0      0.9564581572         0.0        0.03 
    84   196               0.0      0.9702696486         0.0        0.03 
    84   198     -4.4110455568      0.9841801471   -0.033371        0.03 
    86   130      6.1305371047       0.577409448     0.07233        0.03 
    86   132      8.9273421526      0.5881517191    0.103722        0.03 
    86   134     11.3793980622      0.5989929973    0.130214        0.03 
    86   136     13.5970205515      0.6099332827    0.153261        0.03 
    86   138     15.4194355956      0.6209725751    0.171224        0.03 
    86   140     16.8604177084      0.6321108746    0.184472        0.03 
    86   142     18.0878809634      0.6433481813    0.195017        0.03 
    86   152     22.2593912142      0.7010198211    0.223423        0.03 
    86   154     22.0810228753      0.7128511704    0.218563        0.03 
    86   156     21.6867709772      0.7247815268    0.211712        0.03 
    86   158     21.0352499167      0.7368108903    0.202554        0.03 
    86   160     20.0283367283      0.7489392609    0.190252        0.03 
    86   164     17.4659654008      0.7734930234    0.161511        0.03 
    86   192               0.0      0.9564581572         0.0        0.03 
    86   194     11.2406542448      0.9702696486    0.086054        0.03 
    86   196     16.3901715832      0.9841801471    0.123997        0.03 
    88   128              -0.0       0.577409448        -0.0        0.03 
    88   130      8.2140808925      0.5881517191    0.095435        0.03 
    88   132     11.2071524236      0.5989929973    0.128243        0.03 
    88   134     13.8724014494      0.6099332827    0.156365        0.03 
    88   138      18.120799556      0.6321108746    0.198262        0.03 
    88   140     19.4460232841      0.6433481813     0.20966        0.03 
    88   142     20.5596988736       0.654684495    0.218464        0.03 
