Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     2      14            14.530523              -0.3494            -0.003271              -0.334151              -0.848951                  -0.000548                      -0.849499                    0.000803                           6e-06                           0.000809                         1.343468                0.764349              4.069443             2.139881               3.853409               4.164495             1              YES
12     14     26          -211.283913             -0.16745            -0.156161              -0.161222               -0.20267                   -0.23434                       -0.43701                    0.001293                        0.001495                           0.002789                         0.873462                1.249091              2.947922             3.027599               2.991089               3.058888             2              YES
16     4      20           -19.250429            -0.015307             -0.01274              -0.015112              -0.064957                   -0.00223                      -0.067187                     0.00164                           1e-05                            0.00165                         1.304382                0.787478              4.281643             2.458807               3.984359               4.370977             3              YES
24     36     60          -510.793528             0.068821             0.053014               0.058816               0.238604                   0.345963                       0.584567                    0.005928                        0.008923                           0.014851                         0.797607                0.854469              3.665251             3.930001                 3.8263               3.749922             4              YES
26     24     50          -417.548566              0.21012             0.221587                0.21548               0.894172                   0.793952                       1.688124                    0.005463                         0.00485                           0.010313                         0.640511                0.813396              3.647113             3.556034               3.603682               3.741158             5              YES
26     34     60          -523.976296             0.143018              0.12511                0.13253               0.602393                   0.773284                       1.375677                    0.006502                        0.008349                           0.014851                         0.748916                0.754925              3.701383             3.848282               3.785326               3.788194             6              YES
26     36     62          -537.344722             0.101087             0.084651               0.091146               0.421966                   0.561977                       0.983943                    0.006784                        0.009074                           0.015858                           0.8149                 0.76652                3.7227             3.913832                3.83484               3.807853             7              YES
46     36     82          -596.781267             0.108669             0.113265               0.110558                1.10848                   0.828547                       1.937027                    0.015912                        0.011826                           0.027739                         0.680002                 0.72031              4.315213             4.073957               4.210998                4.39684             8              YES
52     72     124        -1050.117364             0.140894             0.136982               0.138567               1.972174                   2.786792                       4.758966                     0.02624                         0.03719                           0.063431                         0.773001                0.449708              4.649429             4.789016               4.730981               4.717885             9              YES
52     74     126        -1065.744939             0.114548             0.106116               0.109462               1.592603                    2.24513                       3.837733                    0.027152                        0.038341                           0.065493                         0.748325                0.465562              4.661411             4.817742               4.753848               4.729221            10              YES
56     56     112         -898.272539             0.230537             0.225748               0.228183               3.509086                   3.321788                       6.830874                    0.026602                        0.025146                           0.051748                         0.498932                0.609425              4.642135             4.564917               4.603688               4.715434            11              YES
56     78     134        -1127.158988             0.143918              0.11879                0.12896               2.242555                   2.774365                        5.01692                     0.03305                        0.041024                           0.074074                         0.511108                0.626527              4.770987             4.902846               4.848177               4.837624            12              YES
56     90     146        -1198.071613             0.208972              0.19473               0.199873               3.502102                   5.782304                       9.284406                    0.033143                        0.054791                           0.087934                         0.540986                0.476098              4.885011             5.125321               5.034503                 4.9476            13              YES
56     118    174        -1275.967506             0.177793             0.130399               0.143841               3.234389                   6.060246                       9.294635                     0.04285                        0.082048                           0.124898                         0.605735                0.394011              5.106512             5.590711               5.439582               5.160797            14              YES
58     88     146        -1207.923148             0.195588             0.177842               0.184566               3.416505                   5.079259                       8.495764                    0.035341                        0.052593                           0.087935                         0.484019                0.575725              4.896476             5.089339                5.01361               4.959972            15              YES
58     90     148        -1218.249944             0.244031             0.220021                0.22897                4.30206                   6.580025                      10.882085                    0.035691                         0.05467                            0.09036                         0.516472                0.527794              4.933593             5.137977               5.058864               4.996217            16              YES
60     60     120         -949.832083             0.393655             0.387597               0.390678               6.968029                   6.622809                      13.590838                    0.030466                        0.028938                           0.059404                         0.451672                0.552689              4.835439             4.753296               4.794543               4.905851            17              YES
60     74     134        -1111.109897             0.237836             0.221347               0.228643               4.231546                   4.922949                       9.154494                    0.034242                        0.039832                           0.074074                          0.52671                0.652234              4.841246             4.893309               4.870066               4.908816            18              YES
60     86     146        -1212.101593             0.154213             0.138135               0.144509               2.781304                   3.778179                       6.559482                    0.037155                         0.05078                           0.087935                         0.427508                0.689861              4.899827             5.050158               4.988927               4.964262            19              YES
