Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
4      6      10     1382.031844         -71.624639          1310.407205         -0.395253      -12.786331     -0.683181      NO
6      4      10     1481.532367         -67.276437          1414.25593          0.14464        -14.278636     0.061961       NO
18     12     30     0.051861            -215.218461         -215.1666           0.000953       0.010001       -0.211394      YES
24     18     42     0.04482             -321.709321         -321.664501         0.000121       0.01           -0.102465      YES
54     72     126    0.033551            -1063.490702        -1063.457151        0.147542       0.01           -0.006144      YES
56     66     122    0.079314            -1014.267804        -1014.18849         0.243683       0.01           -0.014788      YES
64     90     154    0.080504            -1265.413885        -1265.333381        0.263453       0.01           -0.016786      YES
66     90     156    0.080327            -1276.608533        -1276.528206        0.258252       0.01           -0.013507      YES
68     154    222    0.322856            -1524.42672         -1524.103864        0.268413       0.01           -0.030019      YES
70     88     158    0.027505            -1274.618863        -1274.591358        0.170223       0.01           -0.011272      YES
70     148    218    0.24036             -1555.893063        -1555.652703        0.250348       0.01           -0.025902      YES
72     90     162    0.037117            -1298.508751        -1298.471634        0.184767       0.01           -0.00802       YES
74     88     162    0.043862            -1282.151847        -1282.107985        0.122585       0.01           -0.008512      YES
76     90     166    0.029231            -1304.363937        -1304.334706        0.129043       0.01           -0.004162      YES
78     140    218    0.066372            -1652.280933        -1652.214561        0.099286       0.01           -0.005402      YES
78     160    238    0.169483            -1698.746602        -1698.577119        -0.144322      0.01           0.004013       YES
84     162    246    0.167115            -1785.124031        -1784.956916        -0.095327      0.01           0.000568       YES
86     158    244    0.145919            -1796.8543          -1796.708381        0.164865       0.01           -0.007258      YES
86     200    286    0.119983            -1857.442647        -1857.322664        0.111986       0.01           -0.013021      YES
86     202    288    0.135301            -1856.543234        -1856.407933        0.122983       0.01           -0.014783      YES
88     112    200    0.051326            -1528.94297         -1528.891644        0.165025       0.01           -0.007496      YES
88     132    220    0.097605            -1694.646369        -1694.548764        0.102108       0.01           -0.009187      YES
88     134    222    0.076064            -1706.635175        -1706.559111        0.12928        0.01           -0.008385      YES
88     136    224    0.092589            -1718.205295        -1718.112706        0.148868       0.01           -0.006512      YES
88     138    226    0.136037            -1729.386798        -1729.250761        0.165439       0.01           -0.005083      YES
88     140    228    0.145895            -1740.178794        -1740.032899        0.179488       0.01           -0.005186      YES
88     154    242    0.145003            -1803.308388        -1803.163385        0.204165       0.01           -0.009166      YES
88     162    250    0.114058            -1830.611924        -1830.497866        0.171369       0.01           -0.007554      YES
88     170    258    0.129749            -1853.341996        -1853.212247        0.114251       0.01           -0.005703      YES
88     194    282    0.029985            -1890.169184        -1890.139199        0.085627       0.01           -0.010454      YES
88     196    284    0.104162            -1890.685145        -1890.580983        0.110925       0.01           -0.014403      YES
88     198    286    0.128982            -1890.954203        -1890.825221        0.127112       0.01           -0.015802      YES
88     200    288    0.113724            -1891.037112        -1890.923388        0.140248       0.01           -0.016107      YES
88     202    290    0.131693            -1890.940635        -1890.808942        0.151103       0.01           -0.016083      YES
90     132    222    0.099494            -1701.601285        -1701.501791        0.125121       0.010026       -0.00949       NO
90     134    224    0.122047            -1714.764867        -1714.64282         0.152893       0.01           -0.005625      NO
90     136    226    0.143189            -1727.608685        -1727.465496        0.176404       0.009976       -0.001177      NO
90     138    228    0.153894            -1740.096907        -1739.943013        0.195472       0.01           -0.000482      YES
90     156    246    0.144852            -1829.012489        -1828.867637        0.219748       0.01           -0.010649      YES
90     158    248    0.1393              -1836.637656        -1836.498356        0.211519       0.01           -0.013239      YES
90     194    284    0.017976            -1919.668616        -1919.65064         0.106829       0.01           -0.024141      YES
90     196    286    0.070659            -1920.93949         -1920.868831        0.13177        0.01           -0.017604      YES
90     198    288    0.140059            -1922.04109         -1921.901031        0.150412       0.01           -0.013938      YES
90     200    290    0.176478            -1923.004657        -1922.828179        0.165517       0.01           -0.009049      YES
90     202    292    0.200031            -1923.72882         -1923.528789        0.177108       0.01           -0.009314      YES
92     120    212    0.055758            -1606.371671        -1606.315913        -0.105395      0.01           -0.001375      YES
92     130    222    0.070864            -1692.388961        -1692.318097        0.089203       0.01           -0.014846      YES
92     132    224    0.110442            -1707.019154        -1706.908712        0.145737       0.009975       -0.003456      NO
92     134    226    0.115119            -1721.420221        -1721.305102        0.178255       0.010007       0.001924       NO
92     136    228    0.144295            -1735.600846        -1735.456551        0.204023       0.01           0.003418       YES
92     160    252    0.0748              -1862.007073        -1861.932273        0.223674       0.01           -0.014667      YES
92     162    254    0.059941            -1869.525255        -1869.465314        0.212618       0.01           -0.020198      YES
92     164    256    0.052979            -1876.709761        -1876.656782        0.200462       0.01           -0.01768       YES
92     166    258    0.031931            -1883.584042        -1883.552111        0.187038       0.01           -0.018408      YES
92     170    262    0.102169            -1896.551396        -1896.449227        0.152457       0.01           -0.006869      YES
92     192    284    0.009029            -1945.580915        -1945.571886        3e-06          0.01           -0.112683      YES
92     194    286    0.096282            -1947.605683        -1947.509401        0.12785        0.01           -0.014228      NO
92     196    288    0.15788             -1949.726472        -1949.568592        0.159037       0.009992       -0.004681      NO
92     198    290    0.180774            -1951.790027        -1951.609253        0.178521       0.01           -0.00242       YES
94     120    214    0.076719            -1605.21002         -1605.133301        -0.120278      0.01           -0.002586      YES
94     130    224    0.062354            -1695.263341        -1695.200987        0.106127       0.01           -0.00512       YES
94     132    226    0.08176             -1711.018003        -1710.936243        0.17495        0.01           0.006205       NO
94     144    238    0.206243            -1797.163888        -1796.957645        0.258772       0.01           -0.012487      YES
94     160    254    0.092585            -1878.738491        -1878.645906        0.249151       0.01           -0.016805      YES
94     162    256    0.067042            -1886.839369        -1886.772327        0.241752       0.01           -0.017796      YES
94     168    262    0.042682            -1908.98847         -1908.945788        0.201689       0.01           -0.019493      YES
94     170    264    0.055067            -1915.805985        -1915.750918        0.176861       0.01           -0.026142      YES
94     192    286    0.024019            -1971.212575        -1971.188556        0.002161       0.01           -0.108189      YES
94     194    288    0.145588            -1974.160117        -1974.014529        0.168831       0.01           0.020404       YES
96     130    226    0.045527            -1696.708844        -1696.663317        0.131286       0.01           0.011514       YES
96     158    254    0.123676            -1884.833769        -1884.710093        0.26838        0.01           -0.0146        YES
96     164    260    0.094116            -1911.223862        -1911.129746        0.267634       0.01           -0.019758      YES
96     166    262    0.099226            -1919.207322        -1919.108096        0.268066       0.01           -0.022022      YES
96     192    288    0.077435            -1995.390303        -1995.312868        0.07721        0.01           -0.020984      YES
96     220    316    0.257509            -2024.168625        -2023.911116        0.24747        0.01           -0.029176      YES
96     238    334    0.162894            -2014.199734        -2014.03684         0.257197       0.01           -0.041442      YES
98     160    258    0.141579            -1907.710566        -1907.568987        0.277154       0.01           -0.020836      YES
98     162    260    0.143578            -1917.220104        -1917.076526        0.279218       0.01           -0.037128      YES
98     188    286    0.013708            -2011.175789        -2011.162081        4.6e-05        0.01           -0.004424      YES
98     190    288    0.043448            -2014.750891        -2014.707443        -6.7e-05       0.01           -0.029256      YES
98     192    290    0.064827            -2018.899568        -2018.834741        0.262309       0.01           0.181049       YES
98     218    316    0.266187            -2055.542351        -2055.276164        0.250886       0.01           -0.035098      YES
98     236    334    0.310971            -2052.138001        -2051.82703         0.269248       0.01           -0.04413       YES
98     246    344    0.416421            -2043.548615        -2043.132194        0.283052       0.01           -0.028767      YES
100    158    258    0.151667            -1908.718607        -1908.56694         0.278612       0.01           -0.015842      YES
100    162    262    0.182116            -1929.69188         -1929.509764        0.282497       0.01           -0.035249      YES
100    188    288    0.006083            -2031.098627        -2031.092544        -0.000188      0.01           -0.018066      YES
100    190    290    0.18788             -2035.669443        -2035.481563        0.296536       0.01           0.264225       YES
100    216    316    0.221019            -2083.614631        -2083.393612        0.249085       0.01           -0.039337      YES
100    228    328    0.186117            -2088.142609        -2087.956492        0.258959       0.01           -0.044897      YES
100    230    330    0.186224            -2088.024347        -2087.838123        0.262495       0.01           -0.039464      YES
100    232    332    0.156149            -2087.677479        -2087.52133         0.265506       0.01           -0.039882      YES
100    234    334    0.238223            -2087.151556        -2086.913333        0.268165       0.01           -0.040084      YES
100    236    336    0.302912            -2086.446564        -2086.143652        0.271801       0.01           -0.039572      YES
100    238    338    0.330435            -2085.522275        -2085.19184         0.275559       0.01           -0.038282      YES
100    240    340    0.358589            -2084.437043        -2084.078454        0.279343       0.01           -0.035858      YES
100    242    342    0.354323            -2083.157362        -2082.803039        0.283038       0.01           -0.031521      YES
100    244    344    0.387932            -2081.723841        -2081.335909        0.286322       0.01           -0.047724      YES
100    260    360    0.174099            -2067.40897         -2067.234871        0.000719       0.01           -0.002187      YES
100    262    362    0.177046            -2064.144759        -2063.967713        0.001051       0.01           -0.005432      YES
100    264    364    0.187691            -2060.505037        -2060.317346        -0.000285      0.01           -0.032583      YES
102    154    256    0.219688            -1893.163091        -1892.943403        0.27675        0.01           -0.015332      YES
