Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
14     2      16     1.510966            21.819099           23.330065           -0.084703      0.009999       0.287183       YES
26     36     62     0.052125            -537.136849         -537.084724         0.122781       0.01           -0.007316      YES
32     70     102    0.230944            -745.086            -744.855056         0.211011       0.01           -0.028695      YES
34     78     112    0.194522            -795.269897         -795.075375         0.16565        0.01           -0.022667      YES
36     32     68     0.022106            -547.325096         -547.30299          -0.179015      0.01           0.008496       YES
40     56     96     0.0052              -830.587774         -830.582574         5.5e-05        0.01           -0.000338      YES
40     58     98     0.0106              -841.653877         -841.643277         -6e-06         0.01           -0.005361      YES
40     60     100    0.010608            -851.10838          -851.097772         -0.000324      0.01           -0.002935      YES
42     58     100    0.006705            -860.742912         -860.736207         3e-05          0.01           0.0025         YES
42     74     116    0.091636            -941.36302          -941.271384         -0.162017      0.01           0.007039       YES
42     104    146    0.135871            -975.151976         -975.016105         -0.001444      0.01           0.021345       YES
52     58     110    0.03136             -920.063779         -920.032419         0.167496       0.01           -0.006059      YES
52     72     124    0.039618            -1049.847849        -1049.808231        0.162741       0.01           -0.007929      YES
54     54     108    0.054989            -873.321073         -873.266084         0.177346       0.01           -0.007491      YES
54     56     110    0.072192            -898.879526         -898.807334         0.19692        0.01           -0.010765      YES
54     58     112    0.051846            -922.74715          -922.695304         0.221349       0.01           -0.011635      YES
54     72     126    0.079626            -1064.190013        -1064.110387        0.210388       0.01           -0.008901      YES
54     74     128    0.04671             -1080.538674        -1080.491964        0.175575       0.01           -0.009052      YES
54     88     142    0.031787            -1167.926812        -1167.895025        0.143243       0.01           -0.015892      NO
54     90     144    0.050211            -1175.330823        -1175.280612        0.17457        0.010001       -0.00933       YES
56     54     110    0.061894            -869.467849         -869.405955         0.19816        0.01           -0.012144      YES
56     56     112    0.026706            -897.206387         -897.179681         0.218592       0.01           -0.016129      YES
56     58     114    0.042794            -923.129759         -923.086965         0.258984       0.010001       -0.020406      NO
56     86     142    0.027448            -1179.931782        -1179.904334        0.122114       0.01           -0.013722      NO
56     88     144    0.063161            -1189.122271        -1189.05911         0.160552       0.010001       -0.015555      NO
56     90     146    0.070609            -1198.038045        -1197.967436        0.195382       0.01           -0.013065      NO
58     54     112    0.069442            -863.384969         -863.315527         0.22034        0.01           -0.014012      YES
58     56     114    0.03128             -893.11064          -893.07936          0.25152        0.01           -0.016731      NO
58     86     144    0.032533            -1197.324625        -1197.292092        0.117597       0.01           -0.01601       NO
58     88     146    0.032763            -1207.670286        -1207.637523        0.162529       0.01           -0.015591      YES
58     90     148    0.12753             -1218.253586        -1218.126056        0.230457       0.01           0.016743       YES
60     62     122    0.372786            -976.366966         -975.99418          0.363902       0.01           -0.027472      YES
60     86     146    0.028824            -1212.575694        -1212.54687         0.098912       0.010001       -0.0197        NO
60     88     148    0.019963            -1223.904537        -1223.884574        0.172243       0.01           0.010414       YES
60     136    196    0.016642            -1365.714801        -1365.698159        -0.061567      0.01           -0.14086       YES
62     86     148    0.02097             -1225.855487        -1225.834517        0.073823       0.009998       -0.035731      NO
62     88     150    0.049009            -1238.387541        -1238.338532        0.200201       0.01           0.068168       YES
62     90     152    0.121694            -1252.688522        -1252.566828        0.263744       0.01           -0.033534      YES
62     132    194    -0.005346           -1402.108027        -1402.113373        0.054841       0.01           -0.020197      NO
62     134    196    0.016067            -1402.680902        -1402.664835        0.061792       0.01           -0.034163      NO
62     136    198    0.013849            -1402.976953        -1402.963104        -0.069273      0.01           -0.167166      YES
62     138    200    0.065944            -1403.539248        -1403.473304        -0.110333      0.01           -0.203542      YES
62     140    202    0.080284            -1403.812687        -1403.732403        -0.122658      0.01           -0.190569      YES
64     86     150    0.01495             -1236.938505        -1236.923555        -0.062996      0.01           -0.147162      NO
64     88     152    0.053394            -1251.015902        -1250.962508        0.206048       0.010001       0.084681       NO
64     130    194    -0.044235           -1434.283255        -1434.32749         0.023268       0.01           -0.025613      YES
64     132    196    -0.00549            -1435.816532        -1435.822022        0.044502       0.01           -0.042651      YES
64     134    198    -0.023371           -1437.035452        -1437.058823        0.051822       0.01           -0.042332      YES
64     136    200    0.069802            -1438.427687        -1438.357885        -0.111512      0.01           -0.205754      YES
64     138    202    0.096317            -1439.920385        -1439.824068        -0.127187      0.01           -0.206565      YES
64     140    204    0.142768            -1441.021119        -1440.878351        -0.138635      0.01           -0.206701      YES
66     72     138    0.018521            -1100.074058        -1100.055537        0.309925       0.010001       -0.022553      YES
66     84     150    0.004483            -1230.774025        -1230.769542        0.000226       0.01           -0.026194      YES
66     86     152    0.020086            -1246.09103         -1246.070944        -0.106573      0.01           -0.186537      YES
66     88     154    0.030826            -1261.682507        -1261.651681        0.199227       0.01           0.089079       YES
66     94     160    0.224354            -1309.51069         -1309.286336        0.299379       0.01           -0.03611       YES
66     130    196    -0.047933           -1465.24551         -1465.293443        0.031756       0.01           -0.020056      YES
66     132    198    -0.006161           -1467.495129        -1467.50129         0.051399       0.01           -0.021896      YES
66     134    200    0.050185            -1469.617729        -1469.567544        -0.10109       0.01           -0.191647      YES
66     136    202    0.084874            -1472.114214        -1472.02934         -0.12068       0.01           -0.199524      YES
66     138    204    0.109123            -1474.360326        -1474.251203        -0.133438      0.01           -0.205809      YES
68     86     154    0.0354              -1253.376741        -1253.341341        -0.117252      0.01           -0.201157      YES
68     130    198    -0.003613           -1494.519273        -1494.522886        0.041151       0.01           -0.011683      YES
68     132    200    0.032478            -1497.510966        -1497.478488        0.066871       0.010001       -0.004288      NO
68     134    202    0.060074            -1500.532656        -1500.472582        -0.10693       0.01           -0.181747      YES
68     136    204    0.079345            -1503.650222        -1503.570877        -0.122959      0.01           -0.190201      YES
68     138    206    0.183225            -1506.88099         -1506.697765        0.195373       0.01           0.12409        YES
70     90     160    0.046128            -1295.390485        -1295.344357        0.21632        0.01           -0.021961      YES
70     92     162    0.1043              -1313.080852        -1312.976552        0.247322       0.01           -0.025162      YES
70     94     164    0.091869            -1330.261733        -1330.169864        0.271707       0.01           -0.025783      YES
70     96     166    0.099505            -1346.827951        -1346.728446        0.292024       0.010002       -0.02405       YES
70     130    200    0.005111            -1522.244761        -1522.23965         0.051822       0.01           -0.00153       YES
70     132    202    0.053501            -1526.028271        -1525.97477         0.081445       0.01           0.012537       NO
70     134    204    0.053491            -1529.574188        -1529.520697        0.123331       0.01           0.058642       NO
70     136    206    0.099751            -1533.613233        -1533.513482        0.164391       0.010001       0.111777       YES
72     92     164    0.098377            -1319.823447        -1319.72507         0.229392       0.01           -0.020807      YES
72     94     166    0.077974            -1337.937529        -1337.859555        0.255795       0.01           -0.02339       YES
72     96     168    0.056747            -1355.480892        -1355.424145        0.280308       0.010001       -0.023929      YES
72     130    202    0.000699            -1548.382595        -1548.381896        0.054734       0.01           0.001221       YES
72     132    204    0.042984            -1552.952737        -1552.909753        0.086045       0.01           0.017845       NO
72     134    206    0.035997            -1557.319889        -1557.283892        0.120161       0.01           0.069487       NO
72     136    208    0.07606             -1561.964593        -1561.888533        0.1535         0.01           0.129412       YES
74     92     166    0.03985             -1324.607224        -1324.567374        0.207955       0.01           -0.021776      YES
74     94     168    0.058516            -1343.683109        -1343.624593        0.251703       0.01           -0.022099      YES
74     96     170    0.125315            -1362.380361        -1362.255046        0.282688       0.01           -0.022889      YES
74     98     172    0.127572            -1380.296163        -1380.168591        0.293352       0.009999       -0.021231      YES
74     130    204    -0.005835           -1572.928982        -1572.934817        0.048215       0.01           -0.000182      YES
74     132    206    0.026476            -1578.200936        -1578.17446         0.080225       0.01           0.013973       NO
74     134    208    0.040364            -1583.263522        -1583.223158        0.107658       0.01           0.073338       YES
74     136    210    0.046084            -1588.457401        -1588.411317        0.137403       0.009999       0.13107        YES
76     96     172    0.164889            -1367.223608        -1367.058719        0.27876        0.01           -0.020649      YES
76     98     174    0.13926             -1386.081183        -1385.941923        0.287095       0.010001       -0.019336      YES
76     132    208    -0.014468           -1601.823917        -1601.838385        0.064653       0.01           0.009287       YES
76     134    210    0.015426            -1607.497232        -1607.481806        0.089656       0.01           0.06098        NO
76     136    212    0.042348            -1613.170001        -1613.127653        0.114413       0.01           0.111506       YES
