 Nrows 
   325 
    Z     N          Q20                 Q30           beta2       beta3
    22    46      1.4998551995      0.0190753693    0.121463        0.01 
    24    28      0.8946310312      0.0111548007    0.113296        0.01 
    24    46      2.2775230071       0.020213951    0.175742        0.01 
    26    20      0.0017959369      0.0087291266    0.000279        0.01 
    32    48      2.1258937836      0.0264018952    0.131311        0.01 
    34    48      1.8628800987      0.0277384911    0.110426        0.01 
    34    56      3.0575613575      0.0334148986    0.155196        0.01 
    36    32      -2.084754644      0.0190753693    -0.16883        0.01 
    36    38     -1.8633456596      0.0225901216   -0.131064        0.01 
    36    62     -4.6599713226       0.039619344   -0.205234        0.01 
    36    64     -4.8967388222      0.0412529612   -0.208521        0.01 
    38    62      8.8875195537      0.0412529612    0.378463        0.01 
    40    70     -4.8418990182      0.0499160831   -0.175902        0.01 
    46    58      3.8924944264      0.0446192029    0.155268        0.01 
    52    66     -4.7313802728      0.0574406232   -0.152907        0.01 
    54    64      8.4686901456      0.0574406232    0.273688        0.01 
    54    66      8.4866418246      0.0594042642    0.266692        0.01 
    54    74      5.7498242813      0.0675888517    0.162261        0.01 
    54    90      7.7009529546      0.0855421404    0.178587        0.01 
    56    54      5.4859275757      0.0499160831    0.199299        0.01 
    56    88      7.5057847001      0.0855421404    0.174061        0.01 
    56    90      8.8085490029      0.0879348122     0.19963        0.01 
    56    92     10.2894232238      0.0903604863    0.227963        0.01 
    58    78      5.1532270224      0.0763014771    0.131449        0.01 
    58    86      6.2869964663      0.0855421404    0.145797        0.01 
    58    88      8.2304314402      0.0879348122    0.186528        0.01 
    58    90     10.3467915552      0.0903604863    0.229234        0.01 
    58   136     10.7724164732       0.155259645    0.152015        0.01 
    58   138      12.029918697      0.1584773759    0.166883        0.01 
    58   140     13.2203521657      0.1617281093     0.18032        0.01 
    60    78      5.4456452316      0.0785621394    0.135569        0.01 
    60    86      6.4790908678      0.0879348122    0.146837        0.01 
    60    88      9.1056315432      0.0903604863    0.201736        0.01 
    60    92     14.5694239525      0.0953108417    0.308754        0.01 
    60   118      9.4775297473      0.1307058824    0.154373        0.01 
    60   120      7.0194151853      0.1336595944    0.112225        0.01 
    60   134      8.8396671597       0.155259645    0.124741        0.01 
    60   136      10.952017567      0.1584773759     0.15193        0.01 
    60   138     12.9629394746      0.1617281093    0.176809        0.01 
    62    90     13.7488751884      0.0953108417    0.291365        0.01 
    62   132      5.3203399926       0.155259645    0.075078        0.01 
    62   134      8.3826582427      0.1584773759    0.116287        0.01 
    62   136      11.645669802      0.1617281093    0.158842        0.01 
    64    88     10.8295543626      0.0953108417    0.229499        0.01 
    64   132      4.0672331677      0.1584773759    0.056422        0.01 
    64   134      8.6717504093      0.1617281093    0.118279        0.01 
    64   136     13.0629157772       0.165011845    0.175213        0.01 
    66    70     13.7101971677      0.0763014771    0.349721        0.01 
    66    88     10.8666880827      0.0978355229    0.225323        0.01 
    66    90     13.5663963423      0.1003932065    0.275317        0.01 
    66    92     15.2834961365      0.1029838925    0.303648        0.01 
    66    94     16.3142885727      0.1056075808    0.317403        0.01 
    66   132      4.5958172998      0.1617281093    0.062685        0.01 
    66   134      9.9159707734       0.165011845    0.133003        0.01 
    68    68     13.5129264515      0.0763014771    0.344689        0.01 
    68   132      6.0701519845       0.165011845    0.081419        0.01 
    70    92     13.4958804457      0.1082642715    0.257189        0.01 
    70    94     15.1638672919      0.1109539646    0.283126        0.01 
    70    96     16.7438707055        0.11367666    0.306374        0.01 
    72    90     10.7040762575      0.1082642715    0.203986        0.01 
    74    90      9.8106728278      0.1109539646    0.183176        0.01 
    74    98     16.6990209282      0.1220427606    0.287996        0.01 
    76    88      7.1860275581      0.1109539646    0.134171        0.01 
    78    96     10.1384041317      0.1248974655    0.171513        0.01 
    78    98     16.4986401836      0.1277851728    0.273844        0.01 
    86   132      8.4068774681       0.196050573    0.097675        0.01 
    86   134     10.8231608783      0.1996643324    0.123849        0.01 
    86   136     12.8654513234      0.2033110942    0.145015        0.01 
    86   138     14.8511937685      0.2069908584    0.164914        0.01 
    86   194     12.7497447983      0.3234232162    0.097607        0.01 
    86   196     16.1460314272       0.328060049     0.12215        0.01 
    88   130      6.3585859914       0.196050573    0.073877        0.01 
    88   132      10.472552303      0.1996643324    0.119837        0.01 
    88   134     13.0537997919      0.2033110942    0.147138        0.01 
    88   136     15.4377165926      0.2069908584    0.171427        0.01 
