 Nrows 
   198 
    Z     N          Q20                 Q30           beta2       beta3
     4     4      0.0002696207       0.000264019    0.000773        0.01 
     6     4      0.0004037322      0.0004125296    0.000798        0.01 
    12     2     -0.0244251712       0.000808558   -0.027555        0.01 
    14    16        6.3143e-06      0.0037127665       2e-06        0.01 
    14    24      0.7359980048      0.0059569276     0.15721        0.01 
    46    58      2.8649448891      0.0446192029     0.11428        0.01 
    50    62       2.040485273      0.0517477146    0.071936        0.01 
    52    60      3.3968849236      0.0517477146    0.119755        0.01 
    52    62      3.5457354888      0.0536123484    0.121369        0.01 
    52    64     -3.9459725445      0.0555099847    -0.13121        0.01 
    52    68     -3.5697152768      0.0594042642   -0.112178        0.01 
    56    64     10.1173860799      0.0594042642    0.317938        0.01 
    56    88      7.1632268976      0.0855421404    0.166117        0.01 
    56    90      8.3693790975      0.0879348122    0.189677        0.01 
    56    94     11.3458904676      0.0928191628    0.245808        0.01 
    56   102      14.047117833      0.1029838925    0.279084        0.01 
    58    92     12.5763579385      0.0928191628    0.272466        0.01 
    58    94     13.9130415666      0.0953108417    0.294844        0.01 
    58    96      14.655654807      0.0978355229    0.303888        0.01 
    58    98     15.2037735622      0.1003932065    0.308546        0.01 
    58   100     15.6542485622      0.1029838925    0.311014        0.01 
    58   112     14.4994526144       0.119221058    0.254984        0.01 
    58   114     13.2784573002      0.1220427606    0.229004        0.01 
    60    90     12.2234836113      0.0928191628    0.264821        0.01 
    60    92     14.2731789044      0.0953108417    0.302476        0.01 
    60    94     15.2990051042      0.0978355229    0.317228        0.01 
    60    96     15.9964693201      0.1003932065    0.324633        0.01 
    60    98     16.5319543453      0.1029838925    0.328452        0.01 
    60   100      17.009926552      0.1056075808    0.330937        0.01 
    60   106     18.5271021718        0.11367666    0.339003        0.01 
    60   116     14.6850453383      0.1277851728    0.243742        0.01 
    62    90     13.4369166008      0.0953108417    0.284754        0.01 
    62    96     16.7688714872      0.1029838925    0.333159        0.01 
    62    98     17.2987391577      0.1056075808    0.336556        0.01 
    62   100     17.7694613507      0.1082642715     0.33863        0.01 
    62   114     18.0904609731      0.1277851728    0.300265        0.01 
    62   118     13.8616327478      0.1336595944    0.221617        0.01 
    62   122      3.9946826181      0.1396660256    0.061569        0.01 
    62   134     11.9552376584      0.1584773759    0.165847        0.01 
    64    90     13.5622968918      0.0978355229    0.281217        0.01 
    64    92     15.3437653971      0.1003932065    0.311387        0.01 
    64    94     16.3071171086      0.1029838925    0.323985        0.01 
    64    98     17.5079806021      0.1082642715    0.333647        0.01 
    66    86       8.093416601      0.0953108417    0.171515        0.01 
    66    90     13.1341019503      0.1003932065    0.266544        0.01 
    66    92     14.9817501697      0.1029838925    0.297653        0.01 
    66    94     16.1265269695      0.1056075808     0.31375        0.01 
    68    86      7.8956539702      0.0978355229    0.163718        0.01 
    68    90     12.5533368816      0.1029838925    0.249406        0.01 
    68    96     16.6673677921      0.1109539646    0.311198        0.01 
    70    86      7.4615500174      0.1003932065    0.151425        0.01 
    70    94     15.0083327574      0.1109539646    0.280222        0.01 
    72    86      6.8436186611      0.1029838925    0.135967        0.01 
    72    88      9.2844591955      0.1056075808    0.180634        0.01 
    72   132      8.5338938035      0.1716783235    0.110749        0.01 
    74    86      5.9327629496      0.1056075808    0.115425        0.01 
    74    88      8.3587256534      0.1082642715    0.159291        0.01 
    74    94     12.5397006659      0.1164323578    0.224913        0.01 
    76    88       7.138306735      0.1109539646     0.13328        0.01 
    76    92      9.8736768859      0.1164323578    0.177095        0.01 
    76    94     11.0202185911       0.119221058    0.193799        0.01 
    76   134      9.0422750916      0.1819255591    0.111812        0.01 
    78    90      7.0062154899      0.1164323578    0.125664        0.01 
    78    92      8.1863928568       0.119221058    0.143964        0.01 
    78    94      9.1950261073      0.1220427606     0.15858        0.01 
    78    96     10.2010032932      0.1248974655    0.172572        0.01 
    84   138     10.0324171055      0.2033110942    0.113082        0.01 
    86   132       8.255738724       0.196050573    0.095919        0.01 
    86   140     16.4197867521      0.2107036249    0.179651        0.01 
    86   192     11.4526813531      0.3188193857    0.088731        0.01 
    86   194     14.1856863247      0.3234232162      0.1086        0.01 
    86   196     16.3351838707       0.328060049    0.123581        0.01 
    86   198     18.3086473347      0.3327298843    0.136889        0.01 
    86   200     20.3174590702      0.3374327218    0.150142        0.01 
    86   202     22.1682064708      0.3421685618    0.161927        0.01 
    88   130      7.3400410595       0.196050573     0.08528        0.01 
    88   132     10.8681667148      0.1996643324    0.124364        0.01 
    88   134      13.326962738      0.2033110942    0.150217        0.01 
    88   140      19.363568287      0.2144493938    0.208771        0.01 
    88   190     10.2246910183      0.3188193857    0.079217        0.01 
    88   192     13.9945844914      0.3234232162    0.107137        0.01 
    88   194     16.8124930765       0.328060049    0.127192        0.01 
    88   196     19.3074783459      0.3327298843    0.144357        0.01 
    88   198     21.8437516522      0.3374327218    0.161421        0.01 
    88   200     24.1501435478      0.3421685618    0.176404        0.01 
    88   202     26.1315248413      0.3469374041    0.188688        0.01 
    88   204     27.8085034091      0.3517392488     0.19851        0.01 
    90   134     15.7402986115      0.2069908584    0.174787        0.01 
    90   136     18.2331280035      0.2107036249    0.199491        0.01 
    90   138     20.2252183695      0.2144493938    0.218061        0.01 
    90   190     11.8817532179      0.3234232162    0.090962        0.01 
    90   192     15.9979875861       0.328060049     0.12103        0.01 
    90   194     19.1860350468      0.3327298843    0.143449        0.01 
    90   196     22.2215696227      0.3374327218    0.164213        0.01 
    90   198     25.0170099961      0.3421685618    0.182736        0.01 
    90   200     27.3465033637      0.3469374041    0.197461        0.01 
    92   128              -0.0      0.1996643324        -0.0        0.01 
    92   130     10.9820553565      0.2033110942    0.123786        0.01 
    92   132     14.6522641019      0.2069908584    0.162705        0.01 
    92   134     17.7519162248      0.2107036249    0.194226        0.01 
    92   188              -0.0      0.3234232162        -0.0        0.01 
    92   190     13.2824405567       0.328060049    0.100486        0.01 
    92   192     17.7913095801      0.3327298843    0.133021        0.01 
    92   194     21.3813576676      0.3374327218    0.158004        0.01 
    92   196     24.6614742781      0.3421685618    0.180139        0.01 
    92   198     27.4367992712      0.3469374041    0.198113        0.01 
    94   128              -0.0      0.2033110942        -0.0        0.01 
    94   130     12.2529507897      0.2069908584    0.136062        0.01 
    94   132     16.2882646724      0.2107036249    0.178212        0.01 
    94   134     19.4666138458      0.2144493938    0.209882        0.01 
    94   188       0.132182001       0.328060049       0.001        0.01 
    94   190     14.3590651492      0.3327298843    0.107359        0.01 
    94   192     19.2684458513      0.3374327218     0.14239        0.01 
    94   194     23.0754591481      0.3421685618    0.168554        0.01 
    94   196     26.3359370491      0.3469374041    0.190164        0.01 
    94   242     25.0869574664      0.4657294313    0.141729        0.01 
    96   128              -0.0      0.2069908584        -0.0        0.01 
    96   130     13.3417679353      0.2107036249    0.145974        0.01 
    96   188      0.1364230894      0.3327298843     0.00102        0.01 
    96   190     15.0698218649      0.3374327218    0.111363        0.01 
    96   192     20.3357668924      0.3421685618    0.148542        0.01 
    96   194      24.389173902      0.3469374041    0.176107        0.01 
    98   128              -0.0      0.2107036249        -0.0        0.01 
    98   186              -0.0      0.3327298843        -0.0        0.01 
    98   188      0.1484478201      0.3374327218    0.001097        0.01 
    98   190     15.3433444713      0.3421685618    0.112075        0.01 
    98   192     20.9112580656      0.3469374041    0.150994        0.01 
    98   262      7.7538188175      0.5346383778    0.039047        0.01 
   100   128               0.0      0.2144493938         0.0        0.01 
   100   186              -0.0      0.3374327218        -0.0        0.01 
