Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            23.330065            -0.089029             0.059478              -0.084703              -0.339225                   0.006799                      -0.332426                    0.001057                          -1e-06                           0.001056                         1.693467                 0.83422              4.644726             2.128534               4.409436               4.728519           358              YES
26     36     62          -537.084724             0.135628             0.114331               0.122781               0.617882                   0.791846                       1.409728                    0.006681                        0.009177                           0.015858                         0.942565                0.862088              3.726806             3.905105               3.831345               3.811866             1              YES
32     70     102         -744.855056              0.24377             0.199291               0.211011               1.789273                   4.088699                       5.877972                     0.01225                        0.030668                           0.042918                         0.881048                0.624631              4.264011             4.819976               4.652713               4.327796             2              YES
34     78     112         -795.075375             0.203576             0.152749                0.16565                1.67912                   3.703861                       5.382981                     0.01472                        0.037027                           0.051747                         0.770348                0.626069              4.385136             4.964043               4.795696               4.445793             3              YES
36     32     68           -547.30299            -0.176648            -0.181877              -0.179015              -1.299237                  -1.106232                      -2.405469                    0.010275                        0.008801                           0.019075                         0.741873                1.009286               4.02424              3.88154               3.957728               4.110147             4              YES
40     56     96          -830.582574              5.4e-05              5.6e-05                5.5e-05               0.000492                   0.000774                       0.001266                    0.015598                         0.02242                           0.038018                         0.659729                0.745017              4.246512             4.410725               4.343058               4.321149             5              YES
40     58     98          -841.643277                1e-06               -1e-05                 -6e-06                1.1e-05                  -0.000146                      -0.000136                    0.015805                        0.023813                           0.039618                         0.790734                0.731093              4.264332             4.457999               4.379986               4.337993             6              YES
40     60     100         -851.097772            -0.000272            -0.000355              -0.000324              -0.002516                  -0.005452                      -0.007968                    0.016088                        0.025163                           0.041251                         0.973873                0.714316              4.284311              4.50566               4.418451               4.356968             7              YES
42     58     100         -860.736207              1.3e-05              4.1e-05                  3e-05               0.000126                   0.000601                       0.000727                    0.016942                        0.024311                           0.041252                         0.824214                 0.77813              4.308201             4.460428               4.397135               4.382039             8              YES
42     74     116         -941.271384              -0.1786            -0.153766              -0.162017              -1.923369                  -3.328597                      -5.251967                    0.020411                        0.035098                           0.055509                         0.855231                0.672906              4.508277             4.815364               4.706492               4.574058             9              YES
42     104    146         -975.016105            -0.001881            -0.001316              -0.001444              -0.021783                  -0.051893                      -0.073676                    0.022046                        0.065886                           0.087932                         0.890728                 0.57536              4.675542             5.483151               5.263537               4.730244            10              YES
52     58     110         -920.032419             0.163429             0.171142               0.167496               2.212865                    2.58448                       4.797345                    0.023343                        0.026573                           0.049916                         0.794827                0.574091              4.543141             4.542965               4.543048               4.616561            11              YES
52     72     124        -1049.808231             0.161556              0.16355               0.162741                2.29737                   3.404969                       5.702339                    0.025888                        0.037545                           0.063433                         0.840193                0.548739              4.655828             4.787516               4.732738               4.724191            12              YES
54     54     108         -873.266084             0.179399             0.175224               0.177346               2.547239                   2.406007                       4.953246                     0.02514                        0.022978                           0.048118                         0.555081                0.667657              4.565342             4.489524               4.527591               4.639854            13              YES
54     56     110         -898.807334             0.196749             0.197088                0.19692               2.817557                   2.862245                       5.679802                      0.0255                        0.024417                           0.049918                          0.64183                0.646259               4.58488              4.53392               4.559008               4.658619            14              YES
54     58     112         -922.695304             0.217497             0.224974               0.221349               3.142503                   3.452558                       6.595062                    0.025545                        0.026202                           0.051747                         0.715926                0.641894               4.60531             4.579678               4.592054               4.678267            15              YES
