Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
4      6      10     1310.407205             -0.395253      -12.786331     1         NO             
6      4      10     1414.25593              0.14464        -14.278636     2         NO             
18     12     30     -215.1666               0.000953       0.010001       3         YES            
24     18     42     -321.664501             0.000121       0.01           4         YES            
54     72     126    -1063.457151            0.147542       0.01           5         YES            
56     66     122    -1014.18849             0.243683       0.01           6         YES            
64     90     154    -1265.333381            0.263453       0.01           7         YES            
66     90     156    -1276.528206            0.258252       0.01           8         YES            
68     154    222    -1524.103864            0.268413       0.01           9         YES            
70     88     158    -1274.591358            0.170223       0.01           10        YES            
70     148    218    -1555.652703            0.250348       0.01           11        YES            
72     90     162    -1298.471634            0.184767       0.01           12        YES            
74     88     162    -1282.107985            0.122585       0.01           13        YES            
76     90     166    -1304.334706            0.129043       0.01           14        YES            
78     140    218    -1652.214561            0.099286       0.01           15        YES            
78     160    238    -1698.577119            -0.144322      0.01           16        YES            
84     162    246    -1784.956916            -0.095327      0.01           17        YES            
86     158    244    -1796.708381            0.164865       0.01           18        YES            
86     200    286    -1857.322664            0.111986       0.01           19        YES            
86     202    288    -1856.407933            0.122983       0.01           20        YES            
88     112    200    -1528.891644            0.165025       0.01           21        YES            
88     132    220    -1694.548764            0.102108       0.01           22        YES            
88     134    222    -1706.559111            0.12928        0.01           23        YES            
88     136    224    -1718.112706            0.148868       0.01           24        YES            
88     138    226    -1729.250761            0.165439       0.01           25        YES            
88     140    228    -1740.032899            0.179488       0.01           26        YES            
88     154    242    -1803.163385            0.204165       0.01           27        YES            
88     162    250    -1830.497866            0.171369       0.01           28        YES            
88     170    258    -1853.212247            0.114251       0.01           29        YES            
88     194    282    -1890.139199            0.085627       0.01           30        YES            
88     196    284    -1890.580983            0.110925       0.01           31        YES            
88     198    286    -1890.825221            0.127112       0.01           32        YES            
88     200    288    -1890.923388            0.140248       0.01           33        YES            
88     202    290    -1890.808942            0.151103       0.01           34        YES            
90     132    222    -1701.501791            0.125121       0.010026       35        NO             
90     134    224    -1714.64282             0.152893       0.01           36        NO             
90     136    226    -1727.465496            0.176404       0.009976       37        NO             
90     138    228    -1739.943013            0.195472       0.01           38        YES            
90     156    246    -1828.867637            0.219748       0.01           39        YES            
90     158    248    -1836.498356            0.211519       0.01           40        YES            
90     194    284    -1919.65064             0.106829       0.01           41        YES            
90     196    286    -1920.868831            0.13177        0.01           42        YES            
90     198    288    -1921.901031            0.150412       0.01           43        YES            
90     200    290    -1922.828179            0.165517       0.01           44        YES            
90     202    292    -1923.528789            0.177108       0.01           45        YES            
92     120    212    -1606.315913            -0.105395      0.01           46        YES            
92     130    222    -1692.318097            0.089203       0.01           47        YES            
92     132    224    -1706.908712            0.145737       0.009975       48        NO             
92     134    226    -1721.305102            0.178255       0.010007       49        NO             
92     136    228    -1735.456551            0.204023       0.01           50        YES            
92     160    252    -1861.932273            0.223674       0.01           51        YES            
92     162    254    -1869.465314            0.212618       0.01           52        YES            
92     164    256    -1876.656782            0.200462       0.01           53        YES            
92     166    258    -1883.552111            0.187038       0.01           54        YES            
92     170    262    -1896.449227            0.152457       0.01           55        YES            
92     192    284    -1945.571886            3e-06          0.01           56        YES            
92     194    286    -1947.509401            0.12785        0.01           57        NO             
92     196    288    -1949.568592            0.159037       0.009992       58        NO             
92     198    290    -1951.609253            0.178521       0.01           59        YES            
94     120    214    -1605.133301            -0.120278      0.01           60        YES            
94     130    224    -1695.200987            0.106127       0.01           61        YES            
94     132    226    -1710.936243            0.17495        0.01           62        NO             
94     144    238    -1796.957645            0.258772       0.01           63        YES            
94     160    254    -1878.645906            0.249151       0.01           64        YES            
94     162    256    -1886.772327            0.241752       0.01           65        YES            
94     168    262    -1908.945788            0.201689       0.01           66        YES            
94     170    264    -1915.750918            0.176861       0.01           67        YES            
94     192    286    -1971.188556            0.002161       0.01           68        YES            
94     194    288    -1974.014529            0.168831       0.01           69        YES            
96     130    226    -1696.663317            0.131286       0.01           70        YES            
96     158    254    -1884.710093            0.26838        0.01           71        YES            
96     164    260    -1911.129746            0.267634       0.01           72        YES            
96     166    262    -1919.108096            0.268066       0.01           73        YES            
96     192    288    -1995.312868            0.07721        0.01           74        YES            
96     220    316    -2023.911116            0.24747        0.01           75        YES            
96     238    334    -2014.03684             0.257197       0.01           76        YES            
98     160    258    -1907.568987            0.277154       0.01           77        YES            
98     162    260    -1917.076526            0.279218       0.01           78        YES            
98     188    286    -2011.162081            4.6e-05        0.01           79        YES            
98     190    288    -2014.707443            -6.7e-05       0.01           80        YES            
98     192    290    -2018.834741            0.262309       0.01           81        YES            
98     218    316    -2055.276164            0.250886       0.01           82        YES            
98     236    334    -2051.82703             0.269248       0.01           83        YES            
98     246    344    -2043.132194            0.283052       0.01           84        YES            
100    158    258    -1908.56694             0.278612       0.01           85        YES            
100    162    262    -1929.509764            0.282497       0.01           86        YES            
100    188    288    -2031.092544            -0.000188      0.01           87        YES            
100    190    290    -2035.481563            0.296536       0.01           88        YES            
100    216    316    -2083.393612            0.249085       0.01           89        YES            
100    228    328    -2087.956492            0.258959       0.01           90        YES            
100    230    330    -2087.838123            0.262495       0.01           91        YES            
100    232    332    -2087.52133             0.265506       0.01           92        YES            
100    234    334    -2086.913333            0.268165       0.01           93        YES            
100    236    336    -2086.143652            0.271801       0.01           94        YES            
100    238    338    -2085.19184             0.275559       0.01           95        YES            
100    240    340    -2084.078454            0.279343       0.01           96        YES            
100    242    342    -2082.803039            0.283038       0.01           97        YES            
100    244    344    -2081.335909            0.286322       0.01           98        YES            
100    260    360    -2067.234871            0.000719       0.01           99        YES            
100    262    362    -2063.967713            0.001051       0.01           100       YES            
100    264    364    -2060.317346            -0.000285      0.01           101       YES            
102    154    256    -1892.943403            0.27675        0.01           102       YES            
102    156    258    -1905.636743            0.275475       0.01           103       YES            
102    174    276    -1997.255571            0.302895       0.01           104       YES            
102    188    290    -2049.610146            0.000199       0.01           105       YES            
102    230    332    -2119.194614            0.253434       0.01           106       YES            
102    232    334    -2119.367619            0.256721       0.01           107       YES            
102    234    336    -2119.305919            0.260497       0.01           108       YES            
102    238    340    -2118.441114            0.269247       0.01           109       YES            
102    242    344    -2116.979643            0.278664       0.01           110       YES            
102    244    346    -2115.988159            0.283375       0.01           111       YES            
102    260    362    -2104.324244            0.001716       0.01           112       YES            
102    262    364    -2101.444787            0.001312       0.01           113       YES            
102    264    366    -2098.297673            0.001446       0.01           114       YES            
104    148    252    -1854.489686            0.274259       0.01           115       YES            
104    154    258    -1898.736535            0.270533       0.01           116       YES            
104    172    276    -2001.002995            0.273838       0.01           117       YES            
104    176    280    -2019.237452            0.287731       0.01           118       YES            
104    180    284    -2036.4552              0.363815       0.01           119       YES            
104    192    296    -2080.079947            0.306591       0.01           120       YES            
104    198    302    -2097.789183            0.274409       0.01           121       YES            
104    230    334    -2149.08161             0.241208       0.01           122       YES            
104    232    336    -2149.716403            0.242983       0.01           123       YES            
104    234    338    -2150.11571             0.246627       0.01           124       YES            
104    250    354    -2146.698875            0.334894       0.01           125       YES            
