Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
14     2      16     23.330065               -0.084703      0.009999       358       YES            
26     36     62     -537.084724             0.122781       0.01           1         YES            
32     70     102    -744.855056             0.211011       0.01           2         YES            
34     78     112    -795.075375             0.16565        0.01           3         YES            
36     32     68     -547.30299              -0.179015      0.01           4         YES            
40     56     96     -830.582574             5.5e-05        0.01           5         YES            
40     58     98     -841.643277             -6e-06         0.01           6         YES            
40     60     100    -851.097772             -0.000324      0.01           7         YES            
42     58     100    -860.736207             3e-05          0.01           8         YES            
42     74     116    -941.271384             -0.162017      0.01           9         YES            
42     104    146    -975.016105             -0.001444      0.01           10        YES            
52     58     110    -920.032419             0.167496       0.01           11        YES            
52     72     124    -1049.808231            0.162741       0.01           12        YES            
54     54     108    -873.266084             0.177346       0.01           13        YES            
54     56     110    -898.807334             0.19692        0.01           14        YES            
54     58     112    -922.695304             0.221349       0.01           15        YES            
54     72     126    -1064.110387            0.210388       0.01           16        YES            
54     74     128    -1080.491964            0.175575       0.01           17        YES            
54     88     142    -1167.895025            0.143243       0.01           18        NO             
54     90     144    -1175.280612            0.17457        0.010001       19        YES            
56     54     110    -869.405955             0.19816        0.01           20        YES            
56     56     112    -897.179681             0.218592       0.01           21        YES            
56     58     114    -923.086965             0.258984       0.010001       22        NO             
56     86     142    -1179.904334            0.122114       0.01           359       NO             
56     88     144    -1189.05911             0.160552       0.010001       360       NO             
56     90     146    -1197.967436            0.195382       0.01           23        NO             
58     54     112    -863.315527             0.22034        0.01           24        YES            
58     56     114    -893.07936              0.25152        0.01           25        NO             
58     86     144    -1197.292092            0.117597       0.01           361       NO             
58     88     146    -1207.637523            0.162529       0.01           362       YES            
58     90     148    -1218.126056            0.230457       0.01           26        YES            
60     62     122    -975.99418              0.363902       0.01           27        YES            
60     86     146    -1212.54687             0.098912       0.010001       363       NO             
60     88     148    -1223.884574            0.172243       0.01           28        YES            
60     136    196    -1365.698159            -0.061567      0.01           29        YES            
62     86     148    -1225.834517            0.073823       0.009998       30        NO             
62     88     150    -1238.338532            0.200201       0.01           31        YES            
62     90     152    -1252.566828            0.263744       0.01           32        YES            
62     132    194    -1402.113373            0.054841       0.01           33        NO             
62     134    196    -1402.664835            0.061792       0.01           34        NO             
62     136    198    -1402.963104            -0.069273      0.01           35        YES            
62     138    200    -1403.473304            -0.110333      0.01           36        YES            
62     140    202    -1403.732403            -0.122658      0.01           37        YES            
64     86     150    -1236.923555            -0.062996      0.01           38        NO             
64     88     152    -1250.962508            0.206048       0.010001       39        NO             
64     130    194    -1434.32749             0.023268       0.01           364       YES            
64     132    196    -1435.822022            0.044502       0.01           40        YES            
64     134    198    -1437.058823            0.051822       0.01           41        YES            
64     136    200    -1438.357885            -0.111512      0.01           42        YES            
64     138    202    -1439.824068            -0.127187      0.01           43        YES            
64     140    204    -1440.878351            -0.138635      0.01           44        YES            
66     72     138    -1100.055537            0.309925       0.010001       45        YES            
66     84     150    -1230.769542            0.000226       0.01           46        YES            
66     86     152    -1246.070944            -0.106573      0.01           47        YES            
66     88     154    -1261.651681            0.199227       0.01           48        YES            
66     94     160    -1309.286336            0.299379       0.01           49        YES            
66     130    196    -1465.293443            0.031756       0.01           50        YES            
66     132    198    -1467.50129             0.051399       0.01           51        YES            
66     134    200    -1469.567544            -0.10109       0.01           52        YES            
66     136    202    -1472.02934             -0.12068       0.01           53        YES            
66     138    204    -1474.251203            -0.133438      0.01           54        YES            
68     86     154    -1253.341341            -0.117252      0.01           55        YES            
68     130    198    -1494.522886            0.041151       0.01           56        YES            
68     132    200    -1497.478488            0.066871       0.010001       57        NO             
68     134    202    -1500.472582            -0.10693       0.01           58        YES            
68     136    204    -1503.570877            -0.122959      0.01           59        YES            
68     138    206    -1506.697765            0.195373       0.01           60        YES            
70     90     160    -1295.344357            0.21632        0.01           365       YES            
70     92     162    -1312.976552            0.247322       0.01           366       YES            
70     94     164    -1330.169864            0.271707       0.01           61        YES            
70     96     166    -1346.728446            0.292024       0.010002       62        YES            
70     130    200    -1522.23965             0.051822       0.01           63        YES            
70     132    202    -1525.97477             0.081445       0.01           64        NO             
70     134    204    -1529.520697            0.123331       0.01           65        NO             
70     136    206    -1533.513482            0.164391       0.010001       66        YES            
72     92     164    -1319.72507             0.229392       0.01           367       YES            
72     94     166    -1337.859555            0.255795       0.01           67        YES            
72     96     168    -1355.424145            0.280308       0.010001       68        YES            
72     130    202    -1548.381896            0.054734       0.01           69        YES            
72     132    204    -1552.909753            0.086045       0.01           70        NO             
72     134    206    -1557.283892            0.120161       0.01           71        NO             
72     136    208    -1561.888533            0.1535         0.01           72        YES            
74     92     166    -1324.567374            0.207955       0.01           368       YES            
74     94     168    -1343.624593            0.251703       0.01           369       YES            
74     96     170    -1362.255046            0.282688       0.01           73        YES            
74     98     172    -1380.168591            0.293352       0.009999       74        YES            
