Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
40     30     70     -507.792138             4.7e-05        0.000671       0.0            15        YES            
40     32     72     -542.804914             -6.5e-05       -0.000969      0.0            36        YES            
40     36     76     -608.39799              -0.000245      -0.003949      0.0            57        YES            
40     38     78     -639.419635             -0.000162      -0.002713      0.0            78        YES            
40     40     80     -668.526653             -4.6e-05       -0.00079       0.0            99        YES            
40     42     82     -694.471355             -0.000132      -0.002378      0.0            113       YES            
40     44     84     -718.733934             -0.000237      -0.004414      0.0            134       YES            
40     46     86     -742.220856             -8.9e-05       -0.001707      0.0            162       YES            
40     48     88     -765.075865             0.000326       0.006487       0.0            185       YES            
40     50     90     -786.26004              -4e-05         -0.000831      0.0            204       YES            
40     52     92     -800.818303             0.0            0.0            0.0            221       YES            
40     54     94     -814.235682             0.0            0.0            0.0            242       YES            
40     56     96     -826.624316             -0.0           -0.0           0.0            263       YES            
40     58     98     -838.293208             -0.181249      -4.40595       0.0            278       YES            
40     60     100    -849.699858             0.374106       9.73495        0.0            313       YES            
40     62     102    -860.81632              0.382923       10.338715      0.0            334       YES            
40     64     104    -870.700406             0.381951       10.674017      0.0            355       YES            
40     66     106    -879.689017             0.374849       10.824157      0.0            376       YES            
40     68     108    -887.827848             0.370048       11.040617      0.0            397       YES            
40     72     112    -901.592532             -0.163089      -5.010041      0.0            406       YES            
40     74     114    -908.335538             0.000181       0.005667       0.0            433       YES            
40     76     116    -914.732158             0.00019        0.006122       0.0            454       YES            
40     78     118    -920.911598             0.00017        0.005631       0.0            475       YES            
40     80     120    -926.967121             -0.000166      -0.005663      0.0            492       YES            
40     82     122    -931.759966             0.0            0.0            0.0            515       YES            
40     84     124    -931.842562             -0.001735      -0.062754      0.0            534       YES            
40     86     126    -931.315341             -0.001813      -0.067843      0.0            556       YES            
40     88     128    -930.664885             -0.007529      -0.291608      0.0            576       YES            
40     90     130    -929.771853             -0.007977      -0.3201        0.0            597       YES            
40     92     132    -928.579694             -0.006829      -0.284384      0.0            618       YES            
40     94     134    -926.970455             -0.005914      -0.255839      0.0            639       YES            
40     96     136    -924.711667             -0.005367      -0.240771      0.0            660       YES            
40     98     138    -921.802005             -0.004814      -0.223297      0.0            681       YES            
40     100    140    -918.485417             -0.003844      -0.183855      0.0            702       YES            
40     102    142    -915.323734             -0.183116      -8.953531      0.0            722       YES            
54     50     104    -816.569537             -0.001359      -0.035606      0.0            744       YES            
54     52     106    -844.695402             0.148427       4.041821       0.0            771       YES            
54     54     108    -871.51184              0.183705       5.175469       0.0            792       YES            
54     56     110    -896.838538             0.202292       5.883903       0.0            813       YES            
54     58     112    -920.410279             0.21684        6.507745       0.0            834       YES            
54     60     114    -942.746837             0.23811        7.380421       0.0            855       YES            
54     62     116    -964.41336              0.272386       8.739366       0.0            876       YES            
54     64     118    -985.415704             0.291123       9.640772       0.0            894       YES            
54     66     120    -1005.727681            0.29229        9.954835       0.0            919       YES            
54     68     122    -1025.097708            0.281744       9.836257       0.0            943       YES            
54     70     124    -1043.228497            0.243367       8.655873       0.0            957       YES            
54     72     126    -1060.476473            0.203543       7.383533       0.0            978       YES            
54     74     128    -1077.309602            0.168224       6.23572        0.0            999       YES            
54     76     130    -1093.924109            0.136226       5.161704       0.0            1020      YES            
54     78     132    -1110.048668            0.104452       4.044544       0.0            1041      YES            
54     80     134    -1125.493986            0.030995       1.224543       0.0            1065      YES            
54     82     136    -1140.738267            0.000157       0.006361       0.0            1084      YES            
54     84     138    -1149.115463            0.083307       3.467803       0.0            1107      YES            
54     86     140    -1157.648603            0.135865       5.83426        0.0            1128      YES            
54     96     150    -1190.604806            0.253821       12.565631      0.0            1148      YES            
54     98     152    -1196.288801            0.270585       13.763569      0.0            1169      YES            
54     100    154    -1201.693921            0.284226       14.843205      0.0            1191      YES            
54     102    156    -1206.474113            0.290321       15.541084      0.0            1212      YES            
54     104    158    -1210.316627            0.287363       15.741002      0.0            1233      YES            
54     106    160    -1213.376886            0.27545        15.417737      0.0            1253      YES            
54     108    162    -1216.166363            0.257948       14.736902      0.0            1274      YES            
54     110    164    -1218.870784            0.23878        13.913379      0.0            1296      YES            
54     112    166    -1221.386803            0.218656       12.98622       0.0            1317      YES            
54     114    168    -1223.289421            0.194812       11.788714      0.0            1337      YES            
54     116    170    -1224.675508            0.163479       10.076468      0.0            1357      YES            
54     118    172    -1226.338539            0.129793       8.150432       0.0            1378      YES            
54     120    174    -1228.413207            0.09729        6.225565       0.0            1399      YES            
54     122    176    -1230.69871             0.061015       3.975406       0.0            1421      YES            
54     124    178    -1233.493908            -0.000375      -0.024863      0.0            1437      YES            
54     126    180    -1235.530952            0.0            0.0            0.0            1460      YES            
54     128    182    -1232.16241             -0.008214      -0.568945      0.0            1479      YES            
54     130    184    -1228.989902            0.078645       5.610809       0.0            1506      YES            
54     132    186    -1225.731257            0.104865       7.677572       0.0            1527      YES            
56     52     108    -838.573045             0.171705       4.857312       0.0            1548      YES            
56     60     116    -945.150048             0.319798       10.381254      0.0            1573      YES            
56     62     118    -968.951256             0.357603       12.036109      0.0            1593      YES            
56     64     120    -991.313455             0.340057       11.707472      0.0            1615      YES            
56     66     122    -1013.047691            0.315384       11.091186      0.0            1636      YES            
56     68     124    -1033.919274            0.295343       10.61908       0.0            1650      YES            
56     70     126    -1053.445232            0.268904       9.865799       0.0            1671      YES            
56     72     128    -1071.733997            0.235026       8.790587       0.0            1692      YES            
56     74     130    -1089.348983            0.197963       7.552977       0.0            1713      YES            
56     76     132    -1106.820168            0.16196        6.306873       0.0            1734      YES            
56     78     134    -1124.021153            0.128182       5.09553        0.0            1755      YES            
56     80     136    -1140.5618              0.079361       3.217806       0.0            1778      YES            
56     82     138    -1156.662828            0.000986       0.040852       0.0            1799      YES            
56     84     140    -1166.555798            0.098042       4.178983       0.0            1821      YES            
56     94     150    -1210.598872            0.268941       13.275972      0.0            1841      YES            
56     96     152    -1218.045817            0.28067        14.216741      0.0            1862      YES            
56     98     154    -1225.125643            0.288722       14.99408       0.0            1883      YES            
56     100    156    -1231.772945            0.295361       15.719324      0.0            1905      YES            
56     102    158    -1237.633101            0.296728       16.163383      0.0            1926      YES            
56     104    160    -1242.490328            0.290728       16.185287      0.0            1947      YES            
56     106    162    -1246.516539            0.27681        15.729659      0.0            1968      YES            
56     108    164    -1250.288743            0.258932       15.009676      0.0            1989      YES            
56     110    166    -1254.000948            0.241492       14.278514      0.0            2009      YES            
56     112    168    -1257.523931            0.223999       13.500021      0.0            2031      YES            
56     114    170    -1260.353765            0.204305       12.545893      0.0            2051      YES            
56     116    172    -1262.328398            0.177752       11.116834      0.0            2072      YES            
56     118    174    -1264.438428            0.14481        9.220727       0.0            2092      YES            
56     120    176    -1267.085029            0.111863       7.254288       0.0            2114      YES            
56     122    178    -1270.033512            0.075594       4.991587       0.0            2134      YES            
56     124    180    -1273.714436            -0.00093       -0.062501      0.0            2151      YES            
56     126    182    -1276.811457            -0.000149      -0.010233      0.0            2173      YES            
56     128    184    -1274.079679            -0.005111      -0.357935      0.0            2193      YES            
56     130    186    -1271.381603            0.078419       5.643948       0.0            2220      YES            
56     132    188    -1268.814359            0.112863       8.329805       0.0            2241      YES            
56     134    190    -1266.132619            0.141356       10.689211      0.0            2262      YES            
58     54     112    -861.284312             0.22717        6.891668       0.0            2283      YES            
58     58     116    -919.157626             0.325682       10.621579      0.0            2308      YES            
58     60     118    -946.729123             0.371437       12.580041      0.0            2329      YES            
58     62     120    -971.987829             0.382938       13.348578      0.0            2350      YES            
58     64     122    -995.712718             0.37576        13.418831      0.0            2371      YES            
58     68     126    -1040.311148            0.328634       12.218025      0.0            2392      YES            
58     70     128    -1060.78305             0.297672       11.273159      0.0            2411      YES            
58     72     130    -1079.991475            0.256887       9.896847       0.0            2430      YES            
58     74     132    -1098.675848            0.211617       8.296715       0.0            2448      YES            
58     76     134    -1117.366598            0.171859       6.867305       0.0            2469      YES            
58     78     136    -1135.882776            0.136253       5.552769       0.0            2490      YES            
58     80     138    -1153.694898            0.089193       3.705176       0.0            2513      YES            
58     82     140    -1170.975199            0.001136       0.048167       0.0            2534      YES            
58     92     150    -1225.283644            0.286465       14.135989      0.0            2555      YES            
58     94     152    -1234.915004            0.303283       15.367687      0.0            2577      YES            
58     96     154    -1243.637598            0.310281       16.107708      0.0            2597      YES            
58     98     156    -1251.909039            0.3148         16.733454      0.0            2619      YES            
58     100    158    -1259.638052            0.317233       17.25683       0.0            2640      YES            
58     102    160    -1266.407998            0.315928       17.570846      0.0            2661      YES            
58     104    162    -1272.099659            0.311166       17.681969      0.0            2682      YES            
58     106    164    -1276.781315            0.294004       17.029583      0.0            2703      YES            
58     108    166    -1281.244884            0.267583       15.778527      0.0            2723      YES            
58     110    168    -1286.001124            0.245911       14.775531      0.0            2744      YES            
58     112    170    -1290.679282            0.227175       13.906936      0.0            2765      YES            
58     114    172    -1294.621756            0.207407       12.928157      0.0            2786      YES            
58     116    174    -1297.503441            0.182264       11.562725      0.0            2807      YES            
58     118    176    -1300.336803            0.151014       9.74712        0.0            2828      YES            
58     120    178    -1303.629809            0.118987       7.818267       0.0            2848      YES            
58     122    180    -1307.242899            -0.076144      -5.086779      0.0            2865      YES            
58     124    182    -1311.984732            -0.000948      -0.064537      0.0            2886      YES            
58     126    184    -1316.104445            0.0            0.0            0.0            2909      YES            
58     128    186    -1314.066029            0.0            0.0            0.0            2930      YES            
58     130    188    -1311.825539            0.068924       5.006752       0.0            2955      YES            
58     140    198    -1301.476838            0.246854       20.233839      0.0            2976      YES            
58     142    200    -1299.828452            0.264328       22.155248      0.0            2997      YES            
58     144    202    -1297.628058            0.276187       23.646331      0.0            3018      YES            
58     146    204    -1294.885396            0.28627        25.045112      0.0            3039      YES            
58     148    206    -1291.792417            0.295326       26.422406      0.0            3060      YES            
58     150    208    -1288.481639            0.302961       27.717393      0.0            3081      YES            
80     86     166    -1258.679499            0.001608       0.090031       0.0            3099      YES            
80     88     168    -1280.567191            0.065466       3.747089       0.0            3120      YES            
80     90     170    -1302.390285            0.096886       5.66722        0.0            3142      YES            
80     92     172    -1323.739146            0.110286       6.584905       0.0            3162      YES            
80     94     174    -1344.482933            0.119103       7.254611       0.0            3186      YES            
80     96     176    -1364.637866            0.12562        7.803465       0.0            3206      YES            
80     98     178    -1384.856515            0.274518       17.779766      0.0            3229      YES            
80     100    180    -1405.068743            0.294695       19.522332      0.0            3249      YES            
80     102    182    -1424.384844            0.297669       20.096732      0.0            3269      YES            
80     104    184    -1442.968669            -0.184407      -12.440481     0.0            3285      YES            
80     106    186    -1461.084786            -0.181862      -12.484942     0.0            3306      YES            
80     108    188    -1478.583673            -0.172567      -12.041606     0.0            3327      YES            
80     110    190    -1495.730452            -0.161528      -11.452951     0.0            3348      YES            
80     112    192    -1512.520994            -0.152358      -10.977488     0.0            3369      YES            
80     114    194    -1528.847233            -0.144221      -10.557391     0.0            3390      YES            
80     116    196    -1544.598314            -0.134074      -9.965816      0.0            3411      YES            
80     118    198    -1559.701854            -0.113878      -8.585282      0.0            3433      YES            
80     120    200    -1574.541336            -0.091599      -7.006875      0.0            3454      YES            
80     122    202    -1589.483826            -0.069748      -5.414612      0.0            3475      YES            
80     124    204    -1603.913736            -0.000458      -0.036057      0.0            3496      YES            
80     126    206    -1617.996878            0.0            0.0            0.0            3518      YES            
80     128    208    -1624.913517            0.0            0.0            0.0            3539      YES            
80     130    210    -1631.095502            -0.00049       -0.040581      0.0            3559      YES            
80     132    212    -1637.106591            0.000702       0.059111       0.0            3582      YES            
80     134    214    -1642.87319             0.0            0.0            0.0            3602      YES            
80     136    216    -1648.292008            0.0            0.0            0.0            3623      YES            
80     138    218    -1653.544855            0.095733       8.526804       0.0            3646      YES            
80     140    220    -1659.157393            0.200897       18.450839      0.0            3669      YES            
80     142    222    -1665.776734            0.221261       20.718382      0.0            3689      YES            
80     144    224    -1672.10356             0.23683        22.593546      0.0            3710      YES            
80     146    226    -1678.163827            0.250615       24.353163      0.0            3731      YES            
80     148    228    -1683.816312            0.259315       25.644514      0.0            3752      YES            
80     150    230    -1688.915158            0.262706       26.41486       0.0            3773      YES            
80     152    232    -1693.478118            0.262889       26.863607      0.0            3794      YES            
80     154    234    -1697.74261             0.260974       27.091577      0.0            3815      YES            
80     156    236    -1701.900192            0.256854       27.071576      0.0            3836      YES            
80     158    238    -1705.644233            0.249004       26.621173      0.0            3857      YES            
80     160    240    -1708.751221            0.236559       25.628519      0.0            3878      YES            
80     162    242    -1711.326579            0.22052        24.196504      0.0            3899      YES            
80     164    244    -1713.640199            -0.164111      -18.138485     0.0            3915      YES            
80     166    246    -1716.788969            -0.158494      -17.762327     0.0            3936      YES            
80     168    248    -1719.635583            -0.150599      -17.106        0.0            3957      YES            
80     170    250    -1722.24386             -0.139678      -16.076157     0.0            3978      YES            
80     172    252    -1724.806945            -0.126588      -14.761051     0.0            3999      YES            
80     174    254    -1727.387662            -0.111745      -13.197251     0.0            4021      YES            
80     176    256    -1729.864872            -0.096118      -11.494865     0.0            4042      YES            
80     178    258    -1731.871915            -0.076158      -9.225599      0.0            4063      YES            
80     180    260    -1733.714916            -0.042479      -5.212859      0.0            4084      YES            
80     182    262    -1736.129224            9.5e-05        0.01179        0.0            4107      YES            
80     184    264    -1737.727591            -0.0           -0.0           0.0            4127      YES            
80     186    266    -1734.607983            -0.00022       -0.028176      0.0            4147      YES            
80     188    268    -1730.863383            -0.0           -0.0           0.0            4169      YES            
80     190    270    -1727.095551            -0.0           -0.0           0.0            4190      YES            
86     100    186    -1403.488268            0.299108       20.964627      0.0            4214      YES            
86     102    188    -1425.431663            0.297673       21.216252      0.0            4235      YES            
86     104    190    -1446.561657            0.276229       19.937936      0.0            4256      YES            
86     106    192    -1467.037681            -0.233124      -17.069817     0.0            4271      YES            
86     108    194    -1487.199948            -0.230987      -17.189319     0.0            4292      YES            
86     110    196    -1506.233116            -0.223036      -16.848686     0.0            4314      YES            
86     112    198    -1525.171517            0.151228       11.450447      0.0            4339      YES            
86     114    200    -1544.078838            0.136932       10.523952      0.0            4360      YES            
86     116    202    -1562.711238            -0.123951      -9.668926      0.0            4377      YES            
86     118    204    -1580.994205            -0.111334      -8.813408      0.0            4398      YES            
86     120    206    -1598.813836            -0.090549      -7.27047       0.0            4420      YES            
86     122    208    -1616.522513            -0.06569       -5.349222      0.0            4441      YES            
86     124    210    -1633.786805            0.0            0.0            0.0            4463      YES            
86     126    212    -1650.455534            0.0            0.0            0.0            4484      YES            
86     128    214    -1659.998789            0.0            0.0            0.0            4505      YES            
86     142    228    -1725.359224            0.202163       19.607809      0.0            4527      YES            
86     144    230    -1733.73835             0.218435       21.568165      0.0            4548      YES            
86     146    232    -1741.833764            0.232212       23.330548      0.0            4569      YES            
86     148    234    -1749.516869            0.240081       24.517466      0.0            4590      YES            
86     150    236    -1756.610898            0.242371       25.134461      0.0            4611      YES            
86     160    246    -1786.594463            0.213578       23.784183      0.0            4634      YES            
86     162    248    -1791.719352            0.197306       22.244466      0.0            4655      YES            
86     164    250    -1796.433172            0.176308       20.104348      0.0            4674      YES            
86     166    252    -1801.054533            0.153051       17.648094      0.0            4695      YES            
86     168    254    -1805.693433            0.132739       15.491311      0.0            4716      YES            
86     170    256    -1810.292326            0.117355       13.872538      0.0            4737      YES            
86     172    258    -1814.745934            0.103208       12.359368      0.0            4758      YES            
86     174    260    -1819.325869            -0.096317      -11.68587      0.0            4776      YES            
86     176    262    -1823.884749            -0.083856      -10.306586     0.0            4797      YES            
86     178    264    -1827.975423            -0.067193      -8.365712      0.0            4819      YES            
86     180    266    -1831.707409            -0.041458      -5.229046      0.0            4840      YES            
86     182    268    -1835.498057            5e-06          0.000616       0.0            4861      YES            
86     184    270    -1838.649889            -0.0           -0.0           0.0            4883      YES            
86     186    272    -1837.184451            -0.0           -0.0           0.0            4904      YES            
86     188    274    -1835.029253            -0.0           -0.0           0.0            4925      YES            
86     190    276    -1832.847667            -0.0           -0.0           0.0            4946      YES            
86     200    286    -1825.447111            0.167865       24.619739      0.0            4968      YES            
86     202    288    -1824.003844            0.181685       27.046549      0.0            4989      YES            
86     204    290    -1822.32263             0.193029       29.154561      0.0            5010      YES            
86     206    292    -1820.369195            0.20209        30.959174      0.0            5031      YES            
86     208    294    -1818.15992             0.209423       32.536632      0.0            5052      YES            
86     210    296    -1815.787964            0.2156         33.969063      0.0            5073      YES            
86     212    298    -1813.308797            0.220756       35.265866      0.0            5094      YES            
86     214    300    -1810.720054            0.224619       36.370455      0.0            5115      YES            
88     104    192    -1444.785582            0.382825       28.871073      0.0            5145      YES            
88     106    194    -1466.111029            0.250477       18.622186      0.0            5159      YES            
88     108    196    -1486.5104              0.226956       17.088259      0.0            5180      YES            
88     110    198    -1506.428315            0.198537       15.130479      0.0            5201      YES            
88     112    200    -1526.214527            0.176393       13.626483      0.0            5221      YES            
88     114    202    -1545.833928            0.158345       12.407204      0.0            5242      YES            
88     116    204    -1565.120837            0.140993       11.207204      0.0            5263      YES            
88     118    206    -1583.750001            0.119765       9.65443        0.0            5283      YES            
88     120    208    -1602.143386            -0.104943      -8.578348      0.0            5301      YES            
88     122    210    -1620.555726            -0.075774      -6.278332      0.0            5323      YES            
88     124    212    -1638.466397            -0.015505      -1.302035      0.0            5344      YES            
88     126    214    -1655.951943            0.0            0.0            0.0            5366      YES            
88     128    216    -1666.375339            0.000303       0.026231       0.0            5388      YES            
88     144    232    -1750.857189            0.231551       23.208689      0.0            5409      YES            
88     146    234    -1759.774196            0.240206       24.469521      0.0            5430      YES            
88     148    236    -1768.145605            0.244504       25.294049      0.0            5451      YES            
88     150    238    -1775.877393            0.244241       25.639846      0.0            5472      YES            
88     158    246    -1803.016397            0.223443       24.820513      0.0            5493      YES            
88     160    248    -1809.358273            0.211569       23.810132      0.0            5514      YES            
88     162    250    -1815.246446            0.197054       22.456118      0.0            5535      YES            
88     164    252    -1820.616953            0.179736       20.729446      0.0            5556      YES            
88     166    254    -1825.771441            0.161266       18.823844      0.0            5577      YES            
88     168    256    -1830.919043            0.142205       16.803045      0.0            5598      YES            
88     170    258    -1836.127774            0.124984       14.955253      0.0            5619      YES            
88     172    260    -1841.200958            0.109908       13.320394      0.0            5640      YES            
88     174    262    -1845.935206            0.093399       11.462064      0.0            5661      YES            
88     176    264    -1850.740307            -0.084301      -10.47637      0.0            5677      YES            
88     178    266    -1855.476153            -0.066592      -8.381195      0.0            5701      YES            
88     180    268    -1859.798435            -0.040411      -5.151367      0.0            5722      YES            
88     182    270    -1864.060729            -0.0           -0.0           0.0            5744      YES            
88     184    272    -1867.677365            -0.0           -0.0           0.0            5765      YES            
88     186    274    -1866.797724            -0.0           -0.0           0.0            5786      YES            
88     188    276    -1865.180204            -0.0           -0.0           0.0            5807      YES            
88     190    278    -1863.534683            -0.0           -0.0           0.0            5828      YES            
88     202    290    -1860.277339            0.193601       29.087517      0.0            5850      YES            
88     204    292    -1859.376075            0.202291       30.814365      0.0            5871      YES            
88     206    294    -1858.053306            0.208793       32.235077      0.0            5892      YES            
88     208    296    -1856.376592            0.214015       33.487298      0.0            5913      YES            
88     210    298    -1854.48628             0.218365       34.631359      0.0            5934      YES            
88     212    300    -1852.484668            0.221931       35.670846      0.0            5955      YES            
88     214    302    -1850.409862            0.22449        36.558152      0.0            5976      YES            
88     216    304    -1848.127736            0.225113       37.12952       0.0            5997      YES            
88     218    306    -1845.501449            0.223228       37.278429      0.0            6018      YES            
88     220    308    -1842.634841            0.219451       37.100075      0.0            6039      YES            
90     108    198    -1484.721015            0.240319       18.455957      0.0            6062      YES            
90     110    200    -1505.289838            0.219213       17.052638      0.0            6082      YES            
90     112    202    -1525.686239            0.196924       15.516892      0.0            6103      YES            
90     114    204    -1546.010031            0.175742       14.032875      0.0            6124      YES            
90     116    206    -1566.066588            0.156043       12.631638      0.0            6145      YES            
90     120    210    -1604.014942            -0.115657      -9.621174      0.0            6162      YES            
90     122    212    -1623.084466            -0.082209      -6.927412      0.0            6184      YES            
90     124    214    -1641.854342            -0.022937      -1.958532      0.0            6205      YES            
