Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
40     30     70     -506.344611             -9.8e-05       -0.001387      0.0            10        YES            
40     32     72     -542.052419             0.0            0.0            0.0            32        YES            
40     34     74     -575.918456             -0.202738      -3.157414      0.0            49        YES            
40     36     76     -608.083243             -0.000302      -0.004798      0.0            73        YES            
40     38     78     -639.459461             0.0            0.0            0.0            95        YES            
40     40     80     -668.486093             3.3e-05        0.000568       0.0            118       YES            
40     42     82     -694.27024              -3.5e-05       -0.000629      0.0            140       YES            
40     44     84     -718.716258             0.0            1e-06          0.0            158       YES            
40     46     86     -742.497848             -9.9e-05       -0.001893      0.0            183       YES            
40     48     88     -765.687231             -6.4e-05       -0.001271      0.0            204       YES            
40     50     90     -787.266399             0.000325       0.006637       0.0            227       YES            
40     52     92     -802.734093             0.000238       0.005057       0.0            243       YES            
40     54     94     -817.225561             0.0            7e-06          0.0            263       YES            
40     62     102    -861.795736             0.376728       10.121269      0.0            289       YES            
40     64     104    -871.596139             0.38226        10.662784      0.0            310       YES            
40     66     106    -880.123996             0.372592       10.744372      0.0            331       YES            
40     68     108    -887.879767             0.347308       10.301315      0.0            351       YES            
40     70     110    -895.18643              -0.200896      -6.020013      0.0            365       YES            
40     72     112    -901.988981             -0.184798      -5.703711      0.0            386       YES            
40     74     114    -908.318435             -0.162301      -5.153316      0.0            407       YES            
40     76     116    -914.923158             -0.00026       -0.008434      0.0            432       YES            
40     78     118    -921.33926              -0.000221      -0.007376      0.0            450       YES            
40     80     120    -927.598543             -0.000141      -0.004834      0.0            471       YES            
40     82     122    -932.460902             3.7e-05        0.001315       0.0            495       YES            
40     84     124    -934.361786             -0.003809      -0.139296      0.0            512       YES            
40     86     126    -935.653508             -0.013152      -0.497511      0.0            533       YES            
40     88     128    -937.019405             -0.024162      -0.945139      0.0            553       YES            
40     90     130    -938.384429             -0.004033      -0.163026      0.0            576       YES            
40     92     132    -939.668358             -0.002588      -0.108234      0.0            597       YES            
40     94     134    -940.394109             -0.002619      -0.113576      0.0            618       YES            
40     96     136    -939.697203             -0.003214      -0.144687      0.0            639       YES            
40     98     138    -937.617391             -0.003608      -0.168235      0.0            660       YES            
40     100    140    -935.004822             -0.003624      -0.174666      0.0            681       YES            
