Z      N      quad_gs_beta2
56      52      0.171705      4.857312
56      54      0.205222      5.977227
56      56      0.224964      6.780537
56      58      0.247034      7.703833
56      60      0.319798      10.381254
56      62      0.357603      12.036109
56      64      0.340057      11.707472
56      66      0.315384      11.091186
56      68      0.295343      10.61908
56      70      0.268904      9.865799
56      72      0.235026      8.790587
56      74      0.197963      7.552977
56      76      0.16196      6.306873
56      78      0.128182      5.09553
56      80      0.079361      3.217806
56      82      0.000986      0.040852
56      84      0.098042      4.178983
56      86      0.149395      6.472794
56      88      0.18127      8.143766
56      90      0.205777      9.569872
56      92      0.238539      11.427739
56      94      0.268941      13.275972
56      96      0.28067      14.216741
56      98      0.288722      14.99408
56      100      0.295361      15.719324
56      102      0.296728      16.163383
56      104      0.290728      16.185287
56      106      0.27681      15.729659
56      108      0.258932      15.009676
56      110      0.241492      14.278514
56      112      0.223999      13.500021
56      114      0.204305      12.545893
56      116      0.177752      11.116834
56      118      0.14481      9.220727
56      120      0.111863      7.254288
56      122      0.075594      4.991587
56      124      -0.00093      -0.062501
56      126      -0.000149      -0.010233
56      128      -0.005111      -0.357935
56      130      0.078419      5.643948
56      132      0.112863      8.329805
56      134      0.141356      10.689211
56      136      0.160838      12.288132
56      138      0.176823      13.864986
