Z      N      quad_gs_beta2
56      52      0.161351      4.524845
56      54      0.199299      5.739341
56      56      0.221114      6.610952
56      58      0.246627      7.612845
56      60      0.298795      9.575909
56      62      0.340965      11.337958
56      64      0.333314      11.366289
56      66      0.309441      10.780816
56      68      0.283901      10.101212
56      70      0.257779      9.365661
56      72      0.228176      8.464294
56      74      0.194054      7.349619
56      76      0.158585      6.134148
56      78      0.120416      4.757068
56      80      0.046356      1.867604
56      82      0.0      0.0
56      84      0.07902      3.348886
56      86      0.140753      6.154077
56      88      0.174061      7.763254
56      90      0.19963      9.214771
56      92      0.227963      10.854682
56      94      0.25716      12.634408
56      96      0.27472      13.871063
56      98      0.284888      14.761698
56      100      0.291025      15.460862
56      102      0.292723      15.92812
56      104      0.288145      16.037945
56      106      0.275208      15.643336
56      108      0.256072      14.848141
56      110      0.236902      14.009639
56      112      0.217785      13.134965
56      114      0.19651      12.085403
56      116      0.170038      10.660033
56      118      0.138894      8.872846
56      120      0.104803      6.82057
56      122      0.057222      3.790675
56      124      0.000661      0.044584
56      126      -0.000561      -0.038618
56      128      0.003335      0.234618
56      130      0.076453      5.520969
56      132      0.109862      8.136292
56      134      0.132069      10.023782
56      136      0.147852      11.491399
56      138      0.158853      12.634075
