Z      N      quad_gs_beta2
56      52      4.788732
56      54      6.000342
56      56      6.830874
56      58      8.179145
56      60      11.087535
56      62      12.265879
56      64      12.183721
56      66      11.528751
56      68      10.751412
56      70      9.821743
56      72      8.758797
56      74      7.598672
56      76      6.376751
56      78      5.01692
56      80      3.047969
56      82      -0.035656
56      84      3.797885
56      86      6.35691
56      88      7.979967
56      90      9.284406
56      92      10.993247
56      94      12.836686
56      96      14.060368
56      98      14.974442
56      100      15.69763
56      102      16.193347
56      104      16.306296
56      106      15.697161
56      108      14.805557
56      110      13.929478
56      112      13.061132
56      114      12.089053
56      116      10.884908
56      118      9.294635
56      120      7.46272
56      122      4.964024
56      124      1.3e-05
56      126      0.066234
56      128      0.074625
56      130      6.168254
56      132      8.297271
56      134      9.604827
56      136      10.182626
56      138      10.350569
