Z      N      quad_gs_beta2
56      52      0.167209      4.690427
56      54      0.20674      5.966156
56      56      0.229495      6.869969
56      58      0.273657      8.486884
56      60      0.331325      10.69828
56      62      0.36087      12.06054
56      64      0.353519      12.117726
56      66      0.314513      10.975557
56      68      0.289143      10.30817
56      70      0.265582      9.675202
56      72      0.238764      8.885065
56      74      0.20437      7.768074
56      76      0.165098      6.411523
56      78      0.128771      5.110791
56      80      0.073475      2.978132
56      82      -0.000119      -0.004924
56      84      0.074086      3.155045
56      86      0.124737      5.372975
56      88      0.166089      7.415349
56      90      0.203986      9.417603
56      92      0.242819      11.649853
56      94      0.264088      13.028453
56      96      0.273552      13.847811
56      98      0.27796      14.424377
56      100      0.280947      14.939537
56      102      0.280845      15.290468
56      104      0.273289      15.214298
56      106      0.257601      14.640303
56      108      0.239284      13.879911
56      110      0.224289      13.28423
56      112      0.209721      12.682492
56      114      0.191899      11.84459
56      116      0.169418      10.671798
56      118      0.142874      9.180655
56      120      0.111471      7.301247
56      122      0.061383      4.095852
56      124      6e-05      0.004062
56      126      -0.000525      -0.036455
56      128      0.006693      0.475397
56      130      0.06073      4.425066
56      132      0.084925      6.339398
56      134      0.093904      7.176457
56      136      0.090326      7.061846
56      138      -0.07187      -5.746655
