 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          4.463988          0.048117          0.167209              0.01 
    56    54          5.690749          0.049916           0.20674              0.01 
    56    56          6.509691          0.051748          0.229495              0.01 
    56    58          7.994754          0.053612          0.273657              0.01 
    56    60          9.964175           0.05551          0.331325              0.01 
    56    62         11.166351          0.057441           0.36087              0.01 
    56    64         11.249641          0.059404          0.353519              0.01 
    56    66         10.287949          0.061401          0.314513              0.01 
    56    68          9.717905          0.063431          0.289143              0.01 
    56    70           9.16727          0.065493          0.265582              0.01 
    56    72          8.460758          0.067589          0.238764              0.01 
    56    74          7.431558          0.069718           0.20437              0.01 
    56    76          6.158224          0.071879          0.165098              0.01 
    56    78          4.925117          0.074074          0.128771              0.01 
    56    80          2.880458          0.076301          0.073475              0.01 
    56    82          -0.00478          0.078562         -0.000119              0.01 
    56    84          3.048176          0.080856          0.074086              0.01 
    56    86          5.254923          0.083182          0.124737              0.01 
    56    88          7.162019          0.085542          0.166089              0.01 
    56    90          9.000755          0.087935          0.203986              0.01 
    56    92         10.959969           0.09036          0.242819              0.01 
    56    94          12.18965          0.092819          0.264088              0.01 
    56    96         12.908319          0.095311          0.273552              0.01 
    56    98         13.405221          0.097836           0.27796              0.01 
    56   100         13.843818          0.100393          0.280947              0.01 
    56   102         14.135754          0.102984          0.280845              0.01 
    56   104          14.04686          0.105608          0.273289              0.01 
    56   106           13.5175          0.108264          0.257601              0.01 
    56   108         12.815746          0.110954          0.239284              0.01 
    56   110         12.257783          0.113677          0.224289              0.01 
    56   112         11.692693          0.116432          0.209721              0.01 
    56   114         10.912177          0.119221          0.191899              0.01 
    56   116          9.823451          0.122043          0.169418              0.01 
    56   118          8.445508          0.124897          0.142874              0.01 
    56   120           6.71594          0.127785          0.111471              0.01 
    56   122           3.76853          0.130706          0.061383              0.01 
    56   124          0.003753           0.13366             6e-05              0.01 
    56   126         -0.033448          0.136646         -0.000525              0.01 
    56   128          0.434251          0.139666          0.006693              0.01 
    56   130          4.011887          0.142719           0.06073              0.01 
    56   132          5.711135          0.145804          0.084925              0.01 
    56   134           6.42733          0.148923          0.093904              0.01 
    56   136          6.291274          0.152075          0.090326              0.01 
    56   138         -5.093008           0.15526          -0.07187              0.01 
