 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          4.857312          0.005248          0.171705             0.001 
    56    54          5.977227          0.005433          0.205222             0.001 
    56    56          6.780537          0.005668          0.224964             0.001 
    56    58          7.703833          0.005913          0.247034             0.001 
    56    60         10.381254          0.006225          0.319798             0.001 
    56    62         12.036109          0.006516          0.357603             0.001 
    56    64         11.707472          0.006685          0.340057             0.001 
    56    66         11.091186          0.006845          0.315384             0.001 
    56    68          10.61908          0.007019          0.295343             0.001 
    56    70          9.865799          0.007177          0.268904             0.001 
    56    72          8.790587          0.007329          0.235026             0.001 
    56    74          7.552977          0.007493          0.197963             0.001 
    56    76          6.306873          0.007667           0.16196             0.001 
    56    78           5.09553          0.007849          0.128182             0.001 
    56    80          3.217806          0.008026          0.079361             0.001 
    56    82          0.040852           0.00823          0.000986             0.001 
    56    84          4.178983          0.008526          0.098042             0.001 
    56    86          6.472794          0.008676          0.149395             0.001 
    56    88          8.143766          0.009097           0.18127             0.001 
    56    90          9.569872          0.009515          0.205777             0.001 
    56    92         11.427739          0.009881          0.238539             0.001 
    56    94         13.275972          0.010266          0.268941             0.001 
    56    96         14.216741            0.0106           0.28067             0.001 
    56    98          14.99408          0.010932          0.288722             0.001 
    56   100         15.719324          0.011269          0.295361             0.001 
    56   102         16.163383          0.011594          0.296728             0.001 
    56   104         16.185287          0.011904          0.290728             0.001 
    56   106         15.729659            0.0122           0.27681             0.001 
    56   108         15.009676          0.012493          0.258932             0.001 
    56   110         14.278514          0.012792          0.241492             0.001 
    56   112         13.500021          0.013086          0.223999             0.001 
    56   114         12.545893          0.013379          0.204305             0.001 
    56   116         11.116834          0.013671          0.177752             0.001 
    56   118          9.220727          0.013964           0.14481             0.001 
    56   120          7.254288           0.01427          0.111863             0.001 
    56   122          4.991587          0.014579          0.075594             0.001 
    56   124         -0.062501          0.014886          -0.00093             0.001 
    56   126         -0.010233          0.015294         -0.000149             0.001 
    56   128         -0.357935          0.015662         -0.005111             0.001 
    56   130          5.643948           0.01623          0.078419             0.001 
    56   132          8.329805          0.016764          0.112863             0.001 
    56   134         10.689211          0.017294          0.141356             0.001 
    56   136         12.288132          0.017471          0.160838             0.001 
    56   138         13.864986          0.018071          0.176823             0.001 
