 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          4.524845           0.00518          0.161351             0.001 
    56    54          5.739341          0.005341          0.199299             0.001 
    56    56          6.610952            0.0056          0.221114             0.001 
    56    58          7.612845          0.005823          0.246627             0.001 
    56    60          9.575909          0.006107          0.298795             0.001 
    56    62         11.337958          0.006399          0.340965             0.001 
    56    64         11.366289           0.00659          0.333314             0.001 
    56    66         10.780816          0.006749          0.309441             0.001 
    56    68         10.101212          0.006909          0.283901             0.001 
    56    70          9.365661          0.007072          0.257779             0.001 
    56    72          8.464294          0.007239          0.228176             0.001 
    56    74          7.349619          0.007411          0.194054             0.001 
    56    76          6.134148          0.007591          0.158585             0.001 
    56    78          4.757068          0.007776          0.120416             0.001 
    56    80          1.867604          0.007949          0.046356             0.001 
    56    82               0.0          0.007856               0.0             0.001 
    56    84          3.348886          0.008453           0.07902             0.001 
    56    86          6.154077          0.008795          0.140753             0.001 
    56    88          7.763254          0.008998          0.174061             0.001 
    56    90          9.214771          0.009409           0.19963             0.001 
    56    92         10.854682          0.009791          0.227963             0.001 
    56    94         12.634408          0.010193           0.25716             0.001 
    56    96         13.871063          0.010549           0.27472             0.001 
    56    98         14.761698          0.010896          0.284888             0.001 
    56   100         15.460862          0.011239          0.291025             0.001 
    56   102          15.92812          0.011576          0.292723             0.001 
    56   104         16.037945          0.011901          0.288145             0.001 
    56   106         15.643336          0.012206          0.275208             0.001 
    56   108         14.848141          0.012499          0.256072             0.001 
    56   110         14.009639          0.012795          0.236902             0.001 
    56   112         13.134965            0.0131          0.217785             0.001 
    56   114         12.085403          0.013409           0.19651             0.001 
    56   116         10.660033          0.013721          0.170038             0.001 
    56   118          8.872846          0.014032          0.138894             0.001 
    56   120           6.82057          0.014346          0.104803             0.001 
    56   122          3.790675           0.01465          0.057222             0.001 
    56   124          0.044584          0.014968          0.000661             0.001 
    56   126         -0.038618          0.015347         -0.000561             0.001 
    56   128          0.234618          0.015769          0.003335             0.001 
    56   130          5.520969          0.016312          0.076453             0.001 
    56   132          8.136292           0.01685          0.109862             0.001 
    56   134         10.023782           0.01739          0.132069             0.001 
    56   136         11.491399          0.017926          0.147852             0.001 
    56   138         12.634075           0.01846          0.158853             0.001 
