 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          4.857312          0.004812             0.182             0.001 
    56    54          5.977227          0.004992             0.217             0.001 
    56    56          6.780537          0.005175             0.239             0.001 
    56    58          7.703833          0.005361             0.264             0.001 
    56    60         10.381254          0.005551             0.345             0.001 
    56    62         12.036109          0.005744             0.389             0.001 
    56    64         11.707472           0.00594             0.368             0.001 
    56    66         11.091186           0.00614             0.339             0.001 
    56    68          10.61908          0.006343             0.316             0.001 
    56    70          9.865799          0.006549             0.286             0.001 
    56    72          8.790587          0.006759             0.248             0.001 
    56    74          7.552977          0.006972             0.208             0.001 
    56    76          6.306873          0.007188             0.169             0.001 
    56    78           5.09553          0.007407             0.133             0.001 
    56    80          3.217806           0.00763             0.082             0.001 
    56    82          0.040852          0.007856             0.001             0.001 
    56    84          4.178983          0.008086             0.102             0.001 
    56    86          6.472794          0.008318             0.154             0.001 
    56    88          8.143766          0.008554             0.189             0.001 
    56    90          9.569872          0.008793             0.217             0.001 
    56    92         11.427739          0.009036             0.253             0.001 
    56    94         13.275972          0.009282             0.288             0.001 
    56    96         14.216741          0.009531             0.301             0.001 
    56    98          14.99408          0.009784             0.311             0.001 
    56   100         15.719324          0.010039             0.319             0.001 
    56   102         16.163383          0.010298             0.321             0.001 
    56   104         16.185287          0.010561             0.315             0.001 
    56   106         15.729659          0.010826               0.3             0.001 
    56   108         15.009676          0.011095              0.28             0.001 
    56   110         14.278514          0.011368             0.261             0.001 
    56   112         13.500021          0.011643             0.242             0.001 
    56   114         12.545893          0.011922             0.221             0.001 
    56   116         11.116834          0.012204             0.192             0.001 
    56   118          9.220727           0.01249             0.156             0.001 
    56   120          7.254288          0.012779              0.12             0.001 
    56   122          4.991587          0.013071             0.081             0.001 
    56   124         -0.062501          0.013366            -0.001             0.001 
    56   126         -0.010233          0.013665              -0.0             0.001 
    56   128         -0.357935          0.013967            -0.006             0.001 
    56   130          5.643948          0.014272             0.085             0.001 
    56   132          8.329805           0.01458             0.124             0.001 
    56   134         10.689211          0.014892             0.156             0.001 
    56   136         12.288132          0.015207             0.176             0.001 
    56   138         13.864986          0.015526             0.196             0.001 
