 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          4.524845          0.004812             0.169             0.001 
    56    54          5.739341          0.004992             0.209             0.001 
    56    56          6.610952          0.005175             0.233             0.001 
    56    58          7.612845          0.005361             0.261             0.001 
    56    60          9.575909          0.005551             0.318             0.001 
    56    62         11.337958          0.005744             0.366             0.001 
    56    64         11.366289           0.00594             0.357             0.001 
    56    66         10.780816           0.00614              0.33             0.001 
    56    68         10.101212          0.006343             0.301             0.001 
    56    70          9.365661          0.006549             0.271             0.001 
    56    72          8.464294          0.006759             0.239             0.001 
    56    74          7.349619          0.006972             0.202             0.001 
    56    76          6.134148          0.007188             0.164             0.001 
    56    78          4.757068          0.007407             0.124             0.001 
    56    80          1.867604           0.00763             0.048             0.001 
    56    82               0.0          0.007856               0.0             0.001 
    56    84          3.348886          0.008086             0.081             0.001 
    56    86          6.154077          0.008318             0.146             0.001 
    56    88          7.763254          0.008554              0.18             0.001 
    56    90          9.214771          0.008793             0.209             0.001 
    56    92         10.854682          0.009036              0.24             0.001 
    56    94         12.634408          0.009282             0.274             0.001 
    56    96         13.871063          0.009531             0.294             0.001 
    56    98         14.761698          0.009784             0.306             0.001 
    56   100         15.460862          0.010039             0.314             0.001 
    56   102          15.92812          0.010298             0.316             0.001 
    56   104         16.037945          0.010561             0.312             0.001 
    56   106         15.643336          0.010826             0.298             0.001 
    56   108         14.848141          0.011095             0.277             0.001 
    56   110         14.009639          0.011368             0.256             0.001 
    56   112         13.134965          0.011643             0.236             0.001 
    56   114         12.085403          0.011922             0.213             0.001 
    56   116         10.660033          0.012204             0.184             0.001 
    56   118          8.872846           0.01249              0.15             0.001 
    56   120           6.82057          0.012779             0.113             0.001 
    56   122          3.790675          0.013071             0.062             0.001 
    56   124          0.044584          0.013366             0.001             0.001 
    56   126         -0.038618          0.013665            -0.001             0.001 
    56   128          0.234618          0.013967             0.004             0.001 
    56   130          5.520969          0.014272             0.084             0.001 
    56   132          8.136292           0.01458             0.121             0.001 
    56   134         10.023782          0.014892             0.146             0.001 
    56   136         11.491399          0.015207             0.165             0.001 
    56   138         12.634075          0.015526             0.178             0.001 
