 Nrows 
   44 
    Z     N           Q20               Q30               beta2                 beta3
    56    52          2.345234          0.004812             0.088             0.001 
    56    54          5.016329          0.004992             0.182             0.001 
    56    56          6.113253          0.005175             0.216             0.001 
    56    58           7.39448          0.005361             0.253             0.001 
    56    60          9.617389          0.005551              0.32             0.001 
    56    62         10.784407          0.005744             0.349             0.001 
    56    64         10.797563           0.00594             0.339             0.001 
    56    66         10.311787           0.00614             0.315             0.001 
    56    68          9.742694          0.006343              0.29             0.001 
    56    70          9.188649          0.006549             0.266             0.001 
    56    72          8.443737          0.006759             0.238             0.001 
    56    74          7.312294          0.006972             0.201             0.001 
    56    76           5.85139          0.007188             0.157             0.001 
    56    78            4.1519          0.007407             0.109             0.001 
    56    80         -0.058383           0.00763            -0.001             0.001 
    56    82         -0.020138          0.007856            -0.001             0.001 
    56    84          2.779182          0.008086             0.068             0.001 
    56    86          5.673011          0.008318             0.135             0.001 
    56    88          7.421899          0.008554             0.172             0.001 
    56    90          8.781457          0.008793             0.199             0.001 
    56    92          10.23926          0.009036             0.227             0.001 
    56    94         12.085292          0.009282             0.262             0.001 
    56    96         13.589257          0.009531             0.288             0.001 
    56    98         14.411123          0.009784             0.299             0.001 
    56   100         14.985274          0.010039             0.304             0.001 
    56   102         15.247356          0.010298             0.303             0.001 
    56   104          15.18922          0.010561             0.296             0.001 
    56   106         14.822175          0.010826             0.282             0.001 
    56   108         14.312235          0.011095             0.267             0.001 
    56   110         13.696754          0.011368             0.251             0.001 
    56   112         12.897028          0.011643             0.231             0.001 
    56   114         11.797223          0.011922             0.207             0.001 
    56   116         10.416627          0.012204              0.18             0.001 
    56   118          8.804896           0.01249             0.149             0.001 
    56   120          7.173481          0.012779             0.119             0.001 
    56   122          5.436094          0.013071             0.089             0.001 
    56   124         -0.016235          0.013366              -0.0             0.001 
    56   126         -0.092654          0.013665            -0.001             0.001 
    56   128          4.864781          0.013967             0.075             0.001 
    56   130           8.37254          0.014272             0.127             0.001 
    56   132          10.20181           0.01458             0.152             0.001 
    56   134         11.526285          0.014892             0.168             0.001 
    56   136         12.465149          0.015207             0.179             0.001 
    56   138         12.983557          0.015526             0.183             0.001 
