Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
56     52     108    -838.576583             0.173273       0.010907       1         YES            
56     54     110    -867.639703             0.205235       0.010884       2         NO             
56     56     112    -895.147639             0.22495        0.010953       3         YES            
56     58     114    -920.58932              0.247017       0.011029       4         YES            
56     60     116    -945.152274             0.320003       0.011215       5         YES            
56     62     118    -968.953448             0.359072       0.011345       6         YES            
56     64     120    -991.311478             0.340604       0.011253       7         YES            
56     66     122    -1013.040361            0.314403       0.011147       8         YES            
56     68     124    -1033.912854            0.294793       0.011065       9         YES            
56     70     126    -1053.432306            0.269006       0.010958       10        YES            
56     72     128    -1071.737687            0.236439       0.010844       11        YES            
56     74     130    -1089.342418            0.200041       0.010748       12        YES            
56     76     132    -1106.815083            0.164228       0.010667       13        YES            
56     78     134    -1124.027731            0.130994       0.010596       14        YES            
56     80     136    -1140.544577            0.082696       0.010518       15        YES            
56     82     138    -1156.622411            0.000998       0.010475       16        YES            
56     84     140    -1166.552239            0.101275       0.010545       17        YES            
56     86     142    -1176.642545            0.149359       0.01043        18        NO             
56     88     144    -1186.254964            0.18125        0.010634       19        YES            
56     90     146    -1194.762873            0.205753       0.010821       20        YES            
56     92     148    -1202.644509            0.238495       0.010935       21        YES            
56     94     150    -1210.56404             0.268963       0.01106        22        YES            
56     96     152    -1218.01622             0.279997       0.011121       23        YES            
56     98     154    -1225.096691            0.287717       0.011174       24        YES            
56     100    156    -1231.739804            0.294447       0.011225       25        YES            
56     102    158    -1237.599935            0.29566        0.011259       26        YES            
56     104    160    -1242.453198            0.289913       0.011272       27        YES            
56     106    162    -1246.493443            0.276182       0.011269       28        YES            
56     108    164    -1250.26779             0.258597       0.01126        29        YES            
56     110    166    -1253.97436             0.241597       0.011253       30        YES            
56     112    168    -1257.520533            0.224379       0.011239       31        YES            
56     114    170    -1260.353257            0.205502       0.011222       32        YES            
56     116    172    -1262.327406            0.179505       0.011202       33        YES            
56     118    174    -1264.440444            0.146415       0.01118        34        YES            
56     120    176    -1267.086443            0.113187       0.011167       35        YES            
56     122    178    -1270.028767            0.07704        0.011154       36        YES            
56     124    180    -1273.611644            -0.000954      0.011138       37        YES            
56     126    182    -1276.772185            -0.000149      0.011192       38        YES            
56     128    184    -1274.024623            -0.005295      0.011214       39        YES            
56     130    186    -1271.345712            0.081249       0.011372       40        YES            
56     132    188    -1268.784544            0.115499       0.011497       41        YES            
56     134    190    -1266.142511            0.143848       0.011612       42        YES            
56     136    192    -1263.2391              0.160932       0.011478       43        NO             
56     138    194    -1260.145331            0.176772       0.011643       44        NO             
