Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
56     52     108    -836.589594             0.162894       0.010766       1         YES            
56     54     110    -865.812259             0.199246       0.010701       2         YES            
56     56     112    -893.362088             0.22143        0.010822       3         YES            
56     58     114    -919.249926             0.246471       0.010861       4         YES            
56     60     116    -944.13799              0.298918       0.011001       5         YES            
56     62     118    -968.185315             0.341747       0.01114        6         YES            
56     64     120    -990.818005             0.333699       0.011093       7         YES            
56     66     122    -1012.475465            0.309063       0.010992       8         YES            
56     68     124    -1033.247032            0.283788       0.010892       9         YES            
56     70     126    -1052.998491            0.258368       0.010799       10        YES            
56     72     128    -1071.667158            0.229732       0.010711       11        YES            
56     74     130    -1089.583584            0.195985       0.01063        12        YES            
56     76     132    -1107.127439            0.16067        0.01056        13        YES            
56     78     134    -1124.225678            0.123066       0.010498       14        YES            
56     80     136    -1140.57365             0.046047       0.010418       15        YES            
56     82     138    -1156.498409            1e-06          0.01           16        YES            
56     84     140    -1167.378792            0.08147        0.010454       17        YES            
56     86     142    -1178.068946            0.142998       0.010574       18        NO             
56     88     144    -1188.073757            0.174027       0.010519       19        YES            
56     90     146    -1197.346718            0.19959        0.0107         20        YES            
56     92     148    -1206.038401            0.227976       0.01078        21        NO             
56     94     150    -1214.502               0.257453       0.010982       22        YES            
56     96     152    -1222.574768            0.274559       0.011069       23        YES            
56     98     154    -1230.180037            0.284394       0.011137       24        YES            
56     100    156    -1237.216916            0.290462       0.011195       25        YES            
56     102    158    -1243.567396            0.292104       0.01124        26        YES            
56     104    160    -1249.199626            0.287472       0.011269       27        YES            
56     106    162    -1254.271936            0.274503       0.011274       28        YES            
56     108    164    -1258.986457            0.25555        0.011265       29        YES            
56     110    166    -1263.433161            0.236757       0.011256       30        YES            
56     112    168    -1267.559834            0.218172       0.011251       31        YES            
56     114    170    -1271.283742            0.197428       0.011248       32        YES            
56     116    172    -1274.635122            0.171288       0.011242       33        YES            
56     118    174    -1277.946321            0.140147       0.011235       34        YES            
56     120    176    -1281.402832            0.106          0.011227       35        YES            
56     122    178    -1284.847051            0.058402       0.011208       36        YES            
56     124    180    -1288.799296            0.000661       0.011198       37        YES            
56     126    182    -1291.594273            -0.000547      0.011231       38        NO             
56     128    184    -1291.098325            0.003364       0.011291       39        YES            
56     130    186    -1290.214127            0.078893       0.011429       40        YES            
56     132    188    -1289.504209            0.112282       0.011557       41        YES            
56     134    190    -1288.497645            0.134417       0.011677       42        YES            
56     136    192    -1287.201691            0.149971       0.011788       43        YES            
56     138    194    -1285.592036            0.160756       0.01189        44        YES            
