Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -840.874837              0.18027             0.163996               0.172669                2.70023                   2.152625                       4.852854                    0.028744                        0.023161                           0.051905                         0.390616                0.681695              4.604573             4.473126               4.541759               4.679347             1               NO
56     54     110         -870.437231             0.212208             0.202734               0.207664               3.205625                   2.822602                       6.028227                    0.028914                        0.025118                           0.054032                         0.431473                0.630818              4.624095              4.52074               4.573649               4.698117             2              YES
56     56     112         -898.269934             0.230531             0.225749                0.22818               3.509601                   3.323353                       6.832953                    0.028917                        0.027176                           0.056093                         0.496738                0.607972              4.642109             4.564847                4.60364               4.715409             3               NO
56     58     114         -924.200373             0.261843             0.265891               0.263881               4.026774                   4.146604                       8.173379                    0.029703                         0.02882                           0.058523                         0.532597                0.599975              4.665616             4.616633               4.640759               4.738114             4               NO
56     60     116         -949.522074             0.341577             0.345014               0.343345                5.37443                    5.75055                       11.12498                    0.030229                        0.031814                           0.062044                          0.48634                0.645354              4.719248             4.692516                4.70544               4.790502             5              YES
56     62     118         -973.490858             0.370791             0.365578               0.368057                5.90679                   6.421926                      12.328716                    0.030976                        0.033666                           0.064642                         0.470356                0.643855               4.74856             4.739055               4.743568                4.81895             6              YES
56     64     120         -995.931926             0.359257             0.354372               0.356645               5.738671                   6.503039                       12.24171                    0.031236                        0.035261                           0.066497                         0.509514                0.636835              4.755038             4.767422               4.761647               4.824904             7              YES
56     66     122        -1017.387307             0.329732             0.328441               0.329029               5.262937                   6.267412                      11.530349                    0.031285                        0.036787                           0.068072                         0.534234                0.626432              4.753183             4.787273               4.771656               4.822646             8              YES
56     68     124        -1037.929325             0.299688             0.300609               0.300198               4.781101                   5.957174                      10.738276                    0.031386                        0.038254                            0.06964                         0.546074                0.605262              4.752041              4.80629               4.781867               4.821091             9              YES
56     70     126        -1057.431423             0.270428             0.268392               0.269282               4.313171                   5.513685                       9.826856                    0.031585                        0.039584                           0.071169                         0.551769                0.586548              4.751424             4.823162               4.791411               4.820052            10              YES
56     72     128        -1075.807851             0.241243             0.233207               0.236651               3.850302                   4.963602                       8.813904                    0.032011                        0.040758                           0.072769                         0.569991                0.568541              4.753038              4.84068               4.802534               4.821214            11              YES
56     74     130         -1093.35666             0.210942             0.195209               0.201823               3.373435                    4.30414                       7.677575                     0.03277                        0.041749                           0.074519                         0.582325                0.559177              4.757789             4.859845               4.816148               4.825468            12              YES
56     76     132        -1110.484773             0.179387             0.157025               0.166248               2.876565                   3.586594                       6.463159                    0.033799                        0.042601                             0.0764                          0.56433                0.577244               4.76423             4.880851               4.831719                4.83139            13              YES
56     78     134        -1127.158365             0.143912              0.11879               0.128958               2.314333                   2.809928                       5.124261                    0.033883                        0.042066                           0.075949                         0.511166                0.626641              4.771059             4.902917               4.848248               4.837695            14              YES
56     80     136          -1143.2667             0.089855             0.069934               0.077847               1.451389                   1.714201                        3.16559                    0.036392                        0.043914                           0.080306                         0.434429                0.728963              4.781583             4.928179               4.868351               4.847647            15               NO
56     82     138        -1158.841803            -0.001066            -0.000729              -0.000861              -0.017256                   -0.01846                      -0.035716                    0.032765                        0.049761                           0.082526                         0.423739                 0.78717              4.786104             4.947254               4.882502               4.851679            16               NO
56     84     140        -1169.246824             0.103412             0.085148                0.09213               1.690032                   2.248528                        3.93856                    0.036062                        0.049353                           0.085415                         0.331875                0.677754               4.80964             4.991906                4.91981               4.874473            17               NO
56     86     142        -1179.563125              0.15844             0.139855               0.146822               2.615172                   3.849776                       6.464948                    0.034609                        0.054231                            0.08884                         0.411715                0.555416              4.833572             5.037036               4.957794               4.897665            18              YES
56     88     144        -1189.228779             0.187749             0.171998               0.177792               3.132679                   4.932277                       8.064956                    0.035431                        0.056809                            0.09224                          0.48356                 0.50493              4.859821             5.082361               4.996995               4.923151            19               NO
56     90     146        -1198.071246             0.208982             0.194743               0.199885               3.522842                   5.807866                       9.330708                    0.035808                        0.059147                           0.094954                         0.541141                0.475425              4.884759             5.125079               5.034258               4.947351            20               NO
56     92     148        -1206.371664             0.236829             0.225192                0.22932               4.038418                    6.98714                      11.025559                    0.036856                        0.062452                           0.099308                         0.571527                 0.45325              4.912913             5.170397               5.074508               4.974734            21               NO
56     94     150        -1214.481243              0.26533             0.256327               0.259464               4.580362                   8.275634                      12.855996                    0.037266                        0.065926                           0.103192                         0.566405                0.445649              4.943196              5.21776                5.11698               5.004229            22               NO
56     96     152        -1222.214329              0.28161             0.272592               0.275679                4.91019                   9.132573                      14.042762                    0.037937                         0.06894                           0.106878                         0.558311                0.455223              4.967937             5.259557               5.154038               5.028257            23              YES
56     96     152        -1222.214329              0.28161             0.272592               0.275679                4.91019                   9.132573                      14.042762                    0.037937                         0.06894                           0.106878                         0.558311                0.455223              4.967937             5.259557               5.154038               5.028257            24              YES
56     96     152        -1222.214329              0.28161             0.272592               0.275679                4.91019                   9.132573                      14.042762                    0.037937                         0.06894                           0.106878                         0.558311                0.455223              4.967937             5.259557               5.154038               5.028257            25              ***
56     96     152        -1222.214329              0.28161             0.272592               0.275679                4.91019                   9.132573                      14.042762                    0.037937                         0.06894                           0.106878                         0.558311                0.455223              4.967937             5.259557               5.154038               5.028257            26              ***
56     96     152        -1222.214329              0.28161             0.272592               0.275679                4.91019                   9.132573                      14.042762                    0.037937                         0.06894                           0.106878                         0.558311                0.455223              4.967937             5.259557               5.154038               5.028257            27              ***
56     106    162        -1252.529115             0.286319             0.265849               0.272272               5.162611                  10.482207                      15.644819                     0.04146                        0.082629                           0.124089                         0.590763                0.445063              5.051971             5.430011                5.30238               5.109271            28              YES
56     108    164        -1257.153945             0.268627             0.244179               0.251718               4.856102                   9.901205                      14.757307                    0.042138                        0.084967                           0.127104                         0.611024                0.435068              5.058484              5.45535               5.323162               5.115306            29              YES
56     110    166        -1261.511822             0.252539             0.223696               0.232437               4.580304                   9.329708                      13.910012                    0.043004                        0.087236                            0.13024                         0.623333                0.421839              5.066804             5.482189               5.345668               5.123129            30              YES
56     112    168        -1265.521815             0.237426             0.204055                  0.214               4.322697                    8.75127                      13.073967                    0.044068                        0.089439                           0.133507                         0.622367                0.411008              5.076494             5.509316                5.36892               5.132308            31              YES
56     114    170        -1269.236658             0.221773             0.182959               0.194334               4.053694                   8.067466                       12.12116                    0.045464                        0.091421                           0.136885                         0.619842                0.398483              5.086536              5.53712               5.392852               5.141838            32              YES
56     116    172        -1272.689894             0.203205             0.158841               0.171627               3.728788                   7.198889                      10.927677                    0.047303                        0.093027                            0.14033                         0.616358                0.389768              5.096448             5.565028               5.416919               5.151242            33              YES
56     118    174        -1275.972841             0.177809             0.130373               0.143828               3.276236                   6.067076                       9.343312                    0.049227                        0.093473                             0.1427                         0.608188                0.393702              5.106952             5.591136               5.440011               5.161232            34              YES
56     120    176        -1279.247969             0.146224             0.100518               0.113294               2.708526                   4.798958                       7.507484                    0.052694                        0.094473                           0.147167                         0.586725                0.418186              5.120459             5.615727               5.463014               5.174197            35              YES
56     122    178        -1282.503019              0.09982             0.065007               0.074614               1.862584                   3.182848                       5.045432                    0.055745                        0.094704                           0.150449                         0.555316                 0.47664              5.139267             5.640163                5.48751               5.192411            36              YES
56     124    180        -1286.098973             -2.7e-05                3e-06                 -5e-06              -0.000497                   0.000143                      -0.000354                    0.031199                        0.102461                            0.13366                         0.508642                0.513124              5.147249             5.652458               5.500257               5.199913            37              YES
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            38              YES
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            39              ***
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            40              ***
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            41              ***
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            42              ***
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            43              ***
56     126    182        -1288.827654             0.001185             0.000797               0.000901               0.022313                   0.040875                       0.063188                    0.035549                        0.122124                           0.157673                         0.456109                0.496612              5.162705             5.679912                5.52593               5.214815            44              ***
