Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
56     52     108    -840.313417             0.087048       0.001064       1         YES            
56     54     110    -868.943836             0.175587       0.001076       2         YES            
56     56     112    -896.157268             0.205554       0.00108        3         YES            
56     58     114    -921.779013             0.239961       0.001087       4         YES            
56     60     116    -946.755443             0.30092        0.001104       5         YES            
56     62     118    -970.657556             0.325745       0.001111       6         YES            
56     64     120    -993.146048             0.317924       0.001102       7         YES            
56     66     122    -1014.64                0.296739       0.001097       8         YES            
56     68     124    -1035.302591            0.274389       0.001089       9         YES            
56     70     126    -1055.014915            0.253484       0.001082       10        YES            
56     72     128    -1073.658138            0.22869        0.001075       11        YES            
56     74     130    -1091.485003            0.194339       0.001068       12        YES            
56     76     132    -1108.956034            0.152736       0.00106        13        YES            
56     78     134    -1125.979341            0.107487       0.001053       14        YES            
56     80     136    -1142.287523            -0.001489      0.001046       15        YES            
56     82     138    -1157.800162            -0.00048       0.001048       16        YES            
56     84     140    -1169.001809            0.067915       0.001051       17        YES            
56     86     142    -1179.7418              0.131517       0.001063       18        YES            
56     88     144    -1189.736289            0.166111       0.001055       19        YES            
56     90     146    -1198.967574            0.189678       0.001075       20        YES            
56     92     148    -1207.580292            0.21427        0.001093       21        YES            
56     94     150    -1215.916995            0.245819       0.001099       22        YES            
56     96     152    -1223.992861            0.268433       0.001116       23        YES            
56     98     154    -1231.54843             0.277141       0.001123       24        YES            
56     100    156    -1238.462805            0.28104        0.001129       25        YES            
56     102    158    -1244.688793            0.279099       0.001131       26        YES            
56     104    160    -1250.376352            0.271534       0.001136       27        YES            
56     106    162    -1255.687763            0.2591         0.001137       28        YES            
56     108    164    -1260.670118            0.244984       0.001138       29        YES            
56     110    166    -1265.341034            0.229853       0.001139       30        YES            
56     112    168    -1269.633468            0.212279       0.00114        31        YES            
56     114    170    -1273.651312            0.19045        0.00114        32        YES            
56     116    172    -1277.453884            0.165011       0.001141       33        YES            
56     118    174    -1281.122165            0.13706        0.001141       34        YES            
56     120    176    -1284.652345            0.109992       0.001141       35        YES            
56     122    178    -1287.82535             0.082533       0.00114        36        YES            
56     124    180    -1290.533402            -0.000243      0.001139       37        YES            
56     126    182    -1292.735742            -0.001308      0.001141       38        YES            
56     128    184    -1293.186695            0.068711       0.001152       39        YES            
56     130    186    -1293.656343            0.115313       0.001167       40        YES            
56     132    188    -1293.772787            0.137238       0.00118        41        YES            
56     134    190    -1293.549502            0.151392       0.001191       42        YES            
56     136    192    -1292.964226            0.160025       0.001202       43        YES            
56     138    194    -1292.025939            0.163149       0.001211       44        YES            
