Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -838.581007             0.183549             0.161418               0.173261               2.779562                   2.123172                       4.902734                    0.002946                        0.002302                           0.005248                          0.57632                0.659629              4.629813             4.477756               4.557234               4.704185             1              YES
56     54     110         -867.641521             0.210621             0.199316               0.205222               3.217064                   2.782487                       5.999551                    0.002933                          0.0025                           0.005433                         0.622471                0.616742              4.649752             4.526829               4.589819               4.723372             2              YES
56     56     112         -895.147744              0.22714             0.222697               0.224965               3.496871                   3.288633                       6.785504                    0.002921                        0.002747                           0.005668                         0.693882                0.596955              4.668138             4.571947               4.620293               4.741035             3              YES
56     58     114         -920.585335             0.245383             0.248687               0.247039               3.808151                   3.881073                       7.689224                    0.003029                        0.002884                           0.005913                         0.746933                 0.59053              4.686905             4.618282               4.652118               4.759079             4              YES
56     60     116         -945.153175             0.312301             0.327378               0.320034               4.938613                    5.45161                      10.390223                    0.003007                        0.003218                           0.006225                         0.688769                 0.65338              4.731153             4.690371               4.710103                4.80223             5              YES
56     62     118         -968.953982             0.358962             0.359228               0.359101               5.769096                   6.322389                      12.091485                    0.003115                        0.003402                           0.006516                         0.655277                0.666932              4.769586              4.74356               4.755929               4.839671             6              YES
56     64     120         -991.311668             0.338538             0.342481                0.34064                5.44253                   6.287254                      11.729784                    0.003121                        0.003564                           0.006685                         0.703883                 0.65498              4.770324             4.768339               4.769265                4.83997             7              YES
56     66     122        -1013.039942             0.309596             0.318502               0.314433               4.973711                   6.082135                      11.055847                     0.00312                        0.003725                           0.006845                         0.718727                0.628514              4.768627             4.789002                4.77966               4.837868             8              YES
56     68     124        -1033.913017             0.289766             0.298898               0.294812                4.66151                   5.936777                      10.598287                    0.003142                        0.003877                           0.007019                         0.700324                0.613805              4.771888             4.811762               4.793795               4.840655             9              YES
56     70     126        -1053.432831             0.266632             0.270889               0.269022               4.290299                   5.579892                       9.870191                    0.003164                        0.004013                           0.007177                         0.691346                0.595704              4.772416             4.829622               4.804281               4.840747            10              YES
56     72     128        -1071.739599             0.239259             0.234342               0.236457               3.850393                   4.996416                       8.846809                    0.003214                        0.004115                           0.007329                         0.728758                 0.57379              4.772758             4.844881                4.81346               4.840656            11              YES
56     74     130        -1089.345233             0.209435             0.193233               0.200073               3.374287                   4.261705                       7.635991                    0.003312                        0.004181                           0.007493                         0.750003                0.573637               4.77548             4.860492               4.824055               4.842912            12              YES
56     76     132        -1106.819761             0.179451             0.153528               0.164268               2.895929                   3.502596                       6.398525                     0.00345                        0.004217                           0.007667                          0.72002                0.605446              4.779381             4.877972               4.836391                4.84633            13              YES
