Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -836.592538             0.172289             0.152122               0.162907               2.584614                   1.985425                       4.570039                    0.002894                        0.002286                            0.00518                         0.604452                0.675709              4.608077             4.460402               4.537574               4.682794             1              YES
56     54     110         -865.813887             0.204231             0.193814               0.199252               3.090225                   2.684917                       5.775142                    0.002853                        0.002488                           0.005341                         0.662306                0.631356              4.627911             4.509423               4.570128               4.701873             2              YES
56     56     112         -893.362631             0.223902             0.218905               0.221453               3.414705                   3.208242                       6.622947                    0.003244                        0.002357                           0.005601                         0.733533                0.606384              4.646206             4.554672               4.600667               4.719441             3               NO
56     58     114         -919.249546              0.24577             0.247228               0.246502               3.779301                   3.830254                       7.609555                    0.002894                        0.002929                           0.005823                         0.789551                0.603845              4.665433              4.60146               4.632996               4.737934             4              YES
56     60     116         -944.138545             0.293377             0.304225               0.298947               4.575527                   5.006252                       9.581779                    0.002959                        0.003148                           0.006107                          0.77321                0.628091              4.698488             4.662599               4.679959               4.770052             5              YES
56     62     118         -968.185879              0.33975              0.34362               0.341777               5.382941                    5.98478                      11.367721                    0.003052                        0.003347                           0.006399                         0.729521                0.654126              4.735669             4.718823               4.726825               4.806248             6              YES
56     64     120         -990.818199             0.331911             0.335319                0.33373                5.27679                   6.105495                      11.382285                    0.003081                        0.003509                            0.00659                         0.756514                0.652346              4.743787             4.748826               4.746475               4.813816             7              YES
56     66     122        -1012.475281             0.306087             0.311609                0.30909               4.865037                   5.903371                      10.768408                    0.003089                         0.00366                           0.006749                         0.791203                0.634139              4.743199             4.769997               4.757715               4.812806             8              YES
56     68     124        -1033.247026             0.281526             0.285651               0.283808               4.475893                   5.622338                      10.098231                    0.003103                        0.003806                           0.006909                         0.799448                0.618058              4.743852             4.789949               4.769186               4.813019             9              YES
56     70     126         -1052.99917             0.258902             0.257984               0.258386               4.119796                   5.269738                       9.389534                    0.003135                        0.003937                           0.007072                         0.803949                0.597951               4.74593             4.809432               4.781313               4.814637            10              YES
56     72     128        -1071.668894              0.23428             0.226351               0.229755               3.732619                   4.793576                       8.526195                    0.003188                        0.004051                           0.007239                         0.805986                0.589268              4.748867             4.828554               4.793854               4.817101            11              YES
56     74     130        -1089.586038             0.205515             0.189111               0.196019               3.279444                     4.1479                       7.427344                    0.003272                        0.004139                           0.007411                         0.803423                0.594358              4.752574             4.847133               4.806628               4.820326            12              YES
56     76     132        -1107.133201              0.17459             0.150939               0.160711               2.791406                   3.427606                       6.219012                    0.003386                        0.004205                           0.007591                         0.772444                 0.62737              4.757211             4.866685               4.820545               4.824468            13              YES
56     78     134        -1124.237483             0.138936              0.11235               0.123127               2.225518                   2.640186                       4.865704                     0.00354                        0.004236                           0.007776                         0.699439                0.691412              4.761667              4.88684               4.834923               4.828433            14              YES
56     80     136        -1140.663854             0.056887             0.042498                0.04822               0.912506                   1.032666                       1.945172                    0.004748                        0.003201                           0.007949                         0.607271                0.835149               4.76499             4.906746               4.848878                4.83128            15              YES
56     82     138        -1156.520837                  0.0                 -0.0                    0.0                  1e-06                       -0.0                          1e-06                    0.003164                        0.004692                           0.007856                         0.560966                0.855189              4.773259             4.930538               4.867328               4.839008            16              YES
56     84     140        -1167.415729             0.094133             0.073966               0.081686               1.527618                   1.935365                       3.462983                    0.003938                        0.004514                           0.008453                         0.485592                 0.75374               4.79278             4.969008               4.899277               4.857838            17              YES
56     86     142        -1178.065362             0.155756             0.135246               0.142948               2.558148                   3.693903                       6.252051                    0.003353                        0.005442                           0.008795                          0.58656                0.616518              4.821603             5.017375               4.941096               4.885853            18              YES
56     88     144        -1188.079854             0.184645             0.167888               0.174064               3.064708                   4.774234                       7.838942                    0.003492                        0.005505                           0.008998                         0.665303                0.563558              4.847037             5.061103               4.978949               4.910532            19              YES
56     90     146        -1197.348504              0.20883             0.194412                0.19963               3.502373                   5.749461                       9.251834                    0.003559                         0.00585                           0.009409                         0.726733                 0.52506              4.872318             5.103589               5.016143               4.935068            20              YES
56     92     148         -1206.04169             0.235135             0.224005               0.227961               3.987246                   6.888897                      10.876143                    0.003608                        0.006182                            0.00979                         0.755528                0.499007               4.89924             5.147504                  5.055               4.961231            21              YES
56     94     150        -1214.502831             0.262551             0.254764               0.257483                4.50428                   8.147156                      12.651436                    0.003669                        0.006523                           0.010193                         0.756017                0.488407              4.927846             5.192958               5.095597               4.989066            22              YES
56     96     152        -1222.575205             0.279054             0.272246               0.274582               4.834272                   9.030521                      13.864792                    0.003728                        0.006822                           0.010549                         0.745736                 0.49619              4.951904             5.233411               5.131495               5.012417            23              YES
56     98     154        -1230.180128             0.289206             0.281978               0.284415               5.052577                   9.684308                      14.736885                    0.003792                        0.007105                           0.010896                         0.742667                 0.50567              4.972829             5.270586               5.164297               5.032679            24              YES
56     100    156        -1237.216954             0.296425             0.287537               0.290483               5.219742                  10.211648                       15.43139                    0.003861                        0.007377                           0.011238                         0.740414                0.510093              4.992498             5.305737               5.195466               5.051705            25              YES
56     102    158        -1243.567391             0.299747              0.28844               0.292126               5.315939                  10.578789                      15.894728                     0.00393                        0.007646                           0.011576                         0.738869                  0.5107              5.010294             5.338696               5.224662               5.068883            26              YES
56     104    160        -1249.199412             0.296672             0.283166               0.287494               5.291435                  10.709556                      16.000991                    0.003992                        0.007908                           0.011899                          0.75246                0.505412              5.024579             5.369004               5.251026               5.082596            27              YES
56     106    162        -1254.271415             0.285423             0.269512               0.274524               5.110699                  10.492694                      15.603393                    0.004047                        0.008158                           0.012205                         0.773948                0.498158              5.034385             5.395684               5.273591               5.091883            28              YES
56     108    164        -1258.985889             0.268891              0.24959               0.255569               4.828758                    9.98687                      14.815628                    0.004106                        0.008393                           0.012499                         0.791195                0.494618              5.041737             5.419193               5.293333               5.098746            29              YES
56     110    166        -1263.432912             0.252768             0.229763               0.236773                4.55402                   9.445649                      13.999669                    0.004175                        0.008621                           0.012796                         0.799686                0.488276              5.049949             5.442821               5.313533                5.10646            30              YES
56     112    168        -1267.560447             0.237191             0.210055               0.218189               4.288274                   8.871777                      13.160052                    0.004266                        0.008834                             0.0131                         0.793467                0.480494              5.058748              5.46733               5.334614               5.114756            31              YES
56     114    170         -1271.28585             0.219998             0.188019               0.197449               3.990463                   8.154653                      12.145116                    0.004388                         0.00902                           0.013408                         0.793739                 0.47287              5.067026             5.491543                5.35542               5.122539            32              YES
56     116    172        -1274.639175             0.197874             0.160462               0.171317               3.599746                   7.141986                      10.741731                    0.004559                        0.009161                            0.01372                         0.788745                0.472303              5.074485             5.514921               5.375487               5.129513            33              YES
56     118    174        -1277.951924             0.169474             0.128481                0.14019               3.092802                   5.863943                       8.956745                    0.004797                        0.009234                           0.014031                         0.788953                0.490258              5.082478             5.537053               5.394935               5.137017            34              YES
56     120    176        -1281.411461             0.134846             0.094789               0.106062               2.469947                   4.433361                       6.903308                    0.005146                          0.0092                           0.014346                         0.766909                0.532936              5.091842             5.558299               5.414242               5.145879            35              YES
56     122    178        -1284.891476              0.07863             0.050941               0.058626               1.445848                   2.438541                       3.884389                    0.005554                        0.009096                            0.01465                         0.726817                0.615902               5.10173             5.576934               5.431916               5.155261            36              YES
56     124    180        -1288.828978             0.000919             0.000571               0.000666               0.016993                   0.027986                       0.044979                    0.003686                        0.011282                           0.014968                         0.633006                0.650815              5.115292             5.597446               5.452014               5.168282            37              YES
56     126    182        -1291.627776            -0.000757            -0.000468              -0.000546              -0.014077                  -0.023525                      -0.037602                    0.003672                        0.011675                           0.015347                         0.571506                0.640709              5.129898             5.623437               5.476318               5.182338            38              YES
56     128    184          -1291.1266             0.004004             0.003148               0.003375                0.07476                   0.162723                       0.237483                    0.003643                        0.012126                           0.015769                         0.466732                0.636136              5.141172             5.657703                5.50563               5.193099            39              YES
56     130    186        -1290.260294              0.08502             0.076962               0.079055               1.594363                    4.11348                       5.707843                    0.005445                        0.010867                           0.016312                         0.501126                0.586046              5.152103             5.708749               5.547037               5.203523            40              YES
56     132    188        -1289.524293             0.118636             0.110209               0.112354               2.236039                   6.083334                       8.319373                    0.005015                        0.011835                            0.01685                         0.552762                0.538608              5.165138             5.757307               5.587483               5.216031            41              YES
56     134    190        -1288.510291             0.139662             0.132747               0.134473               2.647027                    7.55993                      10.206957                    0.004782                        0.012607                            0.01739                         0.599884                0.502673              5.179533             5.804166               5.627275                5.22989            42              YES
56     136    192        -1287.211038             0.155336             0.148293               0.150021                2.96168                    8.70036                      11.662039                    0.004753                        0.013172                           0.017925                         0.648488                0.474705              5.194976              5.84768               5.665081               5.244789            43              YES
56     138    194        -1285.597291             0.166846             0.158867               0.160791               3.200242                   9.590706                      12.790948                    0.004663                        0.013797                            0.01846                          0.68936                0.456093              5.210568             5.888621               5.701179               5.259839            44              YES
