Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
56     52     108    -840.820527             0.165236       0.009999       1         NO             
56     54     110    -870.379583             0.198248       0.01           2         YES            
56     56     112    -898.237975             0.217532       0.01           3         YES            
56     58     114    -924.189045             0.249851       0.01           4         YES            
56     60     116    -949.409746             0.320287       0.01           5         YES            
56     62     118    -973.368979             0.341663       0.01           6         YES            
56     64     120    -995.856075             0.331781       0.01           7         YES            
56     66     122    -1017.363605            0.308386       0.01           8         YES            
56     68     124    -1037.898557            0.283686       0.01           9         YES            
56     70     126    -1057.380371            0.256251       0.01           10        YES            
56     72     128    -1075.739268            0.226361       0.01           11        YES            
56     74     130    -1093.306713            0.193718       0.01           12        YES            
56     76     132    -1110.449825            0.160087       0.01           13        YES            
56     78     134    -1127.143072            0.126978       0.010001       14        NO             
56     80     136    -1143.249623            0.075346       0.01           15        NO             
56     82     138    -1158.844398            -0.000833      0.01           16        YES            
56     84     140    -1169.223244            0.089003       0.01           17        NO             
56     86     142    -1179.514889            0.14096        0.01           18        YES            
56     88     144    -1189.171778            0.169784       0.01           19        NO             
56     90     146    -1198.038712            0.190562       0.01           20        NO             
56     92     148    -1206.346546            0.215905       0.01           21        NO             
56     94     150    -1214.408081            0.242945       0.01           22        YES            
56     96     152    -1222.140979            0.257156       0.01           23        YES            
56     98     154    -1229.425745            0.265468       0.01           24        YES            
56     100    156    -1236.124888            0.270388       0.01           25        YES            
56     102    158    -1242.148266            0.271306       0.01           26        YES            
56     104    160    -1247.547499            0.266174       0.01           27        YES            
56     106    162    -1252.48179             0.250725       0.01           28        YES            
56     108    164    -1257.091134            0.232002       0.01           29        YES            
56     110    166    -1261.420381            0.214221       0.01           30        YES            
56     112    168    -1265.409003            0.197022       0.01           31        YES            
56     114    170    -1269.117234            0.178619       0.01           32        YES            
56     116    172    -1272.565649            0.157435       0.01           33        YES            
56     118    174    -1275.876766            0.132262       0.01           34        YES            
56     120    176    -1279.177918            0.103601       0.01           35        YES            
56     122    178    -1282.458208            0.068206       0.01           36        YES            
56     124    180    -1286.098973            -5e-06         0.01           37        YES            
56     126    182    -1288.836854            0.00082        0.01           38        YES            
56     128    184    -1288.61726             0.000954       0.01           39        YES            
56     130    186    -1288.346311            0.07819        0.010001       40        NO             
56     132    188    -1288.08435             0.100926       0.010001       41        NO             
56     134    190    -1287.574063            0.112829       0.01           42        NO             
56     136    192    -1286.748392            0.115815       0.01           43        NO             
56     138    194    -1285.675613            0.114079       0.01           44        YES            
