Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -836.553259             0.164969             0.145295               0.155816               2.472474                   1.894528                       4.367002                    0.027046                         0.02107                           0.048117                         0.597108                0.686278              4.605911             4.458286               4.535432               4.680663             1              YES
56     54     110         -865.762865             0.196175             0.186286               0.191448               2.964025                   2.576962                       5.540987                    0.026936                         0.02298                           0.049916                         0.663938                0.639524              4.624562              4.50622                4.56685               4.698576             2              YES
56     56     112         -893.322831             0.213665             0.208812               0.211287               3.252048                   3.054127                       6.306175                    0.027114                        0.024634                           0.051748                         0.739446                0.612806              4.641542             4.550052               4.596025               4.714851             3              YES
56     58     114         -919.235107             0.234231             0.234241               0.234236               3.594239                   3.620075                       7.214314                    0.027228                        0.026384                           0.053612                         0.802978                0.605892              4.660493             4.595773               4.627679                4.73307             4              YES
56     60     116          -944.08251             0.276404             0.286823               0.281753               4.294815                   4.702051                       8.996866                    0.027067                        0.028443                            0.05551                         0.802902                0.614234              4.689763              4.65378               4.671186               4.761458             5              YES
56     62     118          -968.09331             0.314217             0.323787               0.319231               4.947452                   5.610871                      10.558323                    0.027395                        0.030046                           0.057441                         0.765286                0.642323              4.720925             4.706892               4.713557               4.791721             6              YES
56     64     120         -990.775501              0.30792             0.316527               0.312517               4.867386                   5.735957                      10.603343                    0.027758                        0.031645                           0.059403                         0.790994                0.639634              4.730207             4.737538               4.734118               4.800434             7              YES
56     66     122        -1012.452354             0.287399             0.295226               0.291656               4.548265                   5.570971                      10.119236                    0.028153                        0.033248                           0.061401                         0.820529                0.620423              4.732939             4.760591               4.747919               4.802695             8              YES
56     68     124        -1033.201979              0.26727             0.271519                0.26962               4.235683                   5.327171                       9.562854                    0.028636                        0.034795                           0.063431                         0.825632                0.607111              4.736284             4.782319               4.761584                4.80556             9              YES
56     70     126        -1052.928353             0.247619             0.246162                 0.2468               3.931262                   5.016277                       8.947538                    0.029224                        0.036269                           0.065493                         0.826404                0.592583              4.740507             4.803708               4.775722               4.809291            10              YES
