Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -840.305589               0.0845             0.082661               0.083643               1.256437                   1.071276                       2.327713                    0.002655                        0.002157                           0.004812                         0.342707                0.827739              4.587691             4.444706               4.519411               4.662736             1              YES
56     54     110         -868.913991             0.170885             0.164387               0.167777               2.574641                   2.270827                       4.845468                     0.00267                        0.002322                           0.004992                         0.417127                0.759058              4.618038              4.50305               4.561951               4.692155             2              YES
56     56     112         -896.124941             0.198014              0.19429               0.196188               3.009717                   2.841447                       5.851165                    0.002688                        0.002487                           0.005175                         0.493842                0.723649               4.63837             4.549832               4.594314               4.711728             3              YES
56     58     114         -921.758626             0.227664              0.22771               0.227687               3.492286                   3.524071                       7.016357                    0.002699                        0.002662                           0.005361                         0.550493                0.688064              4.659713             4.598986               4.628916               4.732301             4              YES
56     60     116          -946.65092             0.278886             0.287353               0.283238               4.337232                    4.72614                       9.063372                    0.002701                         0.00285                           0.005551                         0.542379                0.670585              4.691844             4.661381               4.676112               4.763508             5              YES
56     62     118         -970.555981             0.301168             0.309741               0.305667                4.72893                   5.369472                      10.098401                    0.002733                        0.003011                           0.005744                         0.537949                0.673556              4.714415              4.70777               4.710925               4.785308             6              YES
56     64     120         -993.078028             0.295983             0.302674               0.299562               4.665804                   5.488275                      10.154079                    0.002775                        0.003166                            0.00594                         0.565454                0.665325              4.723684             4.738985               4.731851               4.794007             7              YES
56     66     122        -1014.589486             0.278462             0.282041               0.280412               4.396446                   5.327405                       9.723851                    0.002822                         0.00332                           0.006142                         0.595295                0.649009              4.727358             4.762935               4.746638               4.797196             8              YES
56     68     124        -1035.247597             0.260711             0.260422               0.260551               4.124101                   5.119173                       9.243274                    0.002871                        0.003472                           0.006343                         0.603404                0.641211              4.731906             4.786873               4.762128               4.801245             9              YES
56     70     126        -1054.949033              0.24421             0.239722               0.241682               3.872924                   4.901719                       8.774643                    0.002927                        0.003622                           0.006549                         0.600788                0.635407              4.737931             4.811897               4.779165               4.806752            10              YES
56     72     128        -1073.593941             0.224199             0.214669               0.218749               3.564775                   4.560151                       8.124926                    0.002997                        0.003762                           0.006759                         0.602171                0.637583              4.744061             4.835972               4.795978               4.812364            11              YES
56     74     130        -1091.449115             0.195977             0.179714               0.186541               3.122769                   3.957903                       7.080673                    0.003085                        0.003888                           0.006972                         0.607916                0.657272              4.749183             4.857024               4.810866               4.816983            12              YES
56     76     132        -1108.933516             0.159756             0.138419               0.147205               2.550321                   3.156882                       5.707203                     0.00319                        0.003997                           0.007188                         0.590389                0.701118              4.753573             4.877185                4.82513                4.82088            13              YES
