Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
56     52     108    -838.513588             0.164767       0.01           1         YES            
56     54     110    -867.555696             0.195413       0.01           2         YES            
56     56     112    -895.069921             0.213292       0.01           3         YES            
56     58     114    -920.564778             0.232481       0.01           4         YES            
56     60     116    -945.048511             0.297683       0.01           5         YES            
56     62     118    -968.832892             0.331087       0.01           6         YES            
56     64     120    -991.280629             0.315344       0.01           7         YES            
56     66     122    -1013.033206            0.294042       0.01           8         YES            
56     68     124    -1033.82655             0.277602       0.01           9         YES            
56     70     126    -1053.332081            0.25482        0.01           10        YES            
56     72     128    -1071.627321            0.22523        0.01           11        YES            
56     74     130    -1089.270253            0.191372       0.01           12        YES            
56     76     132    -1106.763575            0.157804       0.01           13        YES            
56     78     134    -1123.983109            0.126419       0.01           14        YES            
56     80     136    -1140.52483             0.080118       0.01           15        YES            
56     82     138    -1156.624997            0.000967       0.01           16        YES            
56     84     140    -1166.532821            0.098025       0.01           17        YES            
56     86     142    -1176.622832            0.145546       0.01           18        YES            
56     88     144    -1186.164581            0.174822       0.00998        19        NO             
56     90     146    -1194.704481            0.196008       0.00995        20        NO             
56     92     148    -1202.611885            0.225431       0.009988       21        NO             
56     94     150    -1210.457206            0.252615       0.01           22        YES            
56     96     152    -1217.911161            0.262492       0.01           23        YES            
56     98     154    -1224.985664            0.269225       0.01           24        YES            
56     100    156    -1231.594346            0.274747       0.01           25        YES            
56     102    158    -1237.428477            0.275496       0.01           26        YES            
56     104    160    -1242.276306            0.270011       0.01           27        YES            
56     106    162    -1246.345259            0.257272       0.01           28        YES            
56     108    164    -1250.126356            0.240948       0.01           29        YES            
56     110    166    -1253.810863            0.225045       0.01           30        YES            
56     112    168    -1257.321813            0.209276       0.01           31        YES            
56     114    170    -1260.117574            0.191828       0.01           32        YES            
56     116    172    -1262.161269            0.167378       0.01           33        YES            
56     118    174    -1264.359603            0.136438       0.01           34        YES            
56     120    176    -1267.033414            0.105524       0.01           35        YES            
56     122    178    -1269.992415            0.071883       0.01           36        YES            
56     124    180    -1273.618378            -0.000887      0.01           37        YES            
56     126    182    -1276.779929            -0.000138      0.01           38        YES            
56     128    184    -1274.031528            -0.004904      0.01           39        YES            
56     130    186    -1271.306716            0.075007       0.01           40        YES            
56     132    188    -1268.705734            0.105716       0.01           41        YES            
56     134    190    -1265.983361            0.131057       0.01           42        YES            
56     136    192    -1263.061644            0.14768        0.01           43        NO             
56     138    194    -1259.922113            0.160995       0.01           44        YES            
