Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
56     52     108         -838.513588             0.174692             0.153339               0.164767               2.641991                   2.014205                       4.656195                    0.027292                        0.020825                           0.048117                         0.562774                0.673466               4.62679             4.474747               4.554218                4.70121             1              YES
56     54     110         -867.555696             0.200292             0.190076               0.195413               3.053292                   2.648518                        5.70181                    0.027138                        0.022777                           0.049916                         0.624336                 0.62751              4.645187             4.522581               4.585408               4.718878             2              YES
56     56     112         -895.069921              0.21533             0.211167               0.213292                3.30725                   3.111068                       6.418318                    0.027268                         0.02448                           0.051748                         0.700643                0.604336              4.662644             4.566593               4.614868               4.735626             3              YES
56     58     114         -920.564778             0.232322              0.23264               0.232481               3.596783                   3.619627                        7.21641                    0.027538                        0.026074                           0.053612                         0.761462                0.593304              4.681263             4.611271               4.645785               4.753523             4              YES
56     60     116         -945.048511             0.288418             0.306475               0.297683               4.535314                   5.078836                       9.614151                    0.026965                        0.028545                            0.05551                         0.730596                0.624593              4.717845             4.679006               4.697796                4.78912             5              YES
56     62     118         -968.832892             0.325144             0.336501               0.331087               5.181273                    5.88605                      11.067323                     0.02739                        0.030052                           0.057441                         0.699997                0.659891              4.749316             4.728986               4.738645               4.819696             6              YES
56     64     120         -991.280629             0.308395             0.321419               0.315344               4.922365                   5.868268                      10.790634                    0.027704                          0.0317                           0.059404                         0.741608                0.639198              4.753178             4.755257               4.754287               4.823071             7              YES
56     66     122        -1013.033206             0.286803             0.300128               0.294042               4.582925                   5.704901                      10.287825                     0.02809                        0.033311                           0.061401                         0.756179                0.614164              4.755879             4.777977               4.767846               4.825303             8              YES
56     68     124         -1033.82655             0.271742             0.282347               0.277602               4.352697                   5.585245                       9.937942                    0.028556                        0.034875                           0.063431                         0.736577                0.604176              4.761586             4.801979               4.783779               4.830499             9              YES
56     70     126        -1053.332081             0.252784              0.25641                0.25482                4.05472                   5.264458                       9.319178                    0.029137                        0.036356                           0.065493                         0.727452                0.587465              4.764933             4.821753               4.796583               4.833369            10              YES
56     72     128        -1071.627321             0.228554             0.222721                0.22523               3.670982                   4.738408                       8.409389                    0.029963                        0.037626                           0.067589                         0.755451                0.572779              4.768122             4.839653               4.808489               4.836085            11              YES
56     74     130        -1089.270253             0.201061             0.184293               0.191372               3.235692                   4.059431                       7.295123                    0.031043                        0.038675                           0.069718                          0.76758                0.581587              4.772768             4.857436               4.821146               4.840237            12              YES
56     76     132        -1106.763575             0.172928             0.147105               0.157804               2.789056                   3.354085                       6.143142                     0.03231                        0.039569                           0.071879                         0.730862                0.618409              4.778007             4.876538               4.834982               4.844975            13              YES
56     78     134        -1123.983109             0.144238             0.114209               0.126419               2.332077                   2.694833                       5.026911                    0.033771                        0.040303                           0.074074                          0.64838                0.676306               4.78391             4.896821               4.849954               4.850369            14              YES
56     80     136         -1140.52483             0.095082             0.070178               0.080118               1.542101                   1.713365                       3.255467                    0.035789                        0.040512                           0.076301                         0.546493                0.793122              4.791366             4.918408               4.866498               4.857296            15              YES
56     82     138        -1156.624997              0.00124             0.000792               0.000967               0.020122                   0.019959                       0.040081                    0.031622                         0.04694                           0.078562                         0.528386                0.883613              4.793648             4.935186               4.878245               4.859121            16              YES
56     84     140        -1166.532821             0.112648             0.088902               0.098025               1.847093                   2.336367                       4.183459                    0.035179                        0.045677                           0.080856                         0.414317                0.729274              4.817637             4.979888                4.91563               4.882364            17              YES
56     86     142        -1176.622832             0.158433              0.13775               0.145546                2.62437                      3.772                        6.39637                    0.030522                         0.05266                           0.083182                         0.496241                0.609865              4.842174             5.023838               4.952992               4.906155            18              YES
56     88     144        -1186.164581             0.184713             0.169013               0.174822               3.092198                   4.817717                       7.909915                    0.034009                        0.051358                           0.085367                         0.580842                0.558874              4.867838             5.067162               4.990591               4.931065            19               NO
56     90     146        -1194.704481             0.204326             0.191261               0.196008               3.453925                   5.665092                       9.119017                    0.033685                        0.053815                           0.087499                         0.649959                0.520157               4.89154             5.107566               5.025804               4.954046            20               NO
56     92     148        -1202.611885             0.230174               0.2228               0.225431               3.927304                   6.852916                       10.78022                    0.033094                        0.057154                           0.090248                         0.698839                0.479807              4.914395             5.147908               5.060819               4.976198            21               NO
56     94     150        -1210.457206             0.253367             0.252209               0.252615               4.367804                   8.057442                      12.425246                      0.0341                         0.05872                            0.09282                         0.691514                0.466839              4.939775             5.190384               5.098265               5.000849            22              YES
56     96     152        -1217.911161             0.261911             0.262797               0.262492               4.549599                   8.689666                      13.239265                    0.034009                        0.061302                            0.09531                         0.695552                0.466666              4.958616             5.225178               5.128583               5.019048            23              YES
56     98     154        -1224.985664              0.26792             0.269893               0.269225               4.687889                   9.227049                      13.914939                    0.034077                        0.063759                           0.097836                         0.688828                0.469761              4.976645             5.258571               5.157836                5.03645            24              YES
56     100    156        -1231.594346             0.273636             0.275302               0.274747               4.823238                   9.723589                      14.546827                    0.034317                        0.066076                           0.100393                         0.665953                0.475819              4.994975             5.291194               5.186806               5.054152            25              YES
56     102    158        -1237.428477             0.275891             0.275303               0.275496               4.895652                  10.030643                      14.926294                    0.034722                        0.068262                           0.102984                         0.649859                0.476958              5.011728             5.321126               5.213567               5.070301            26              YES
56     104    160        -1242.276306             0.272548             0.268804               0.270011               4.863859                  10.090378                      14.954238                      0.0352                        0.070408                           0.105608                         0.656849                0.476601              5.025971             5.348894               5.238136               5.083972            27              YES
56     106    162        -1246.345259             0.262837             0.254689               0.257272               4.712203                    9.83882                      14.551023                    0.035692                        0.072571                           0.108264                         0.680739                0.477095              5.037557             5.374754               5.260637               5.095019            28              YES
56     108    164        -1250.126356             0.249725              0.23697               0.240948               4.495997                   9.413165                      13.909162                    0.036187                        0.074765                           0.110952                         0.701375                0.478971              5.048156             5.399512               5.282165               5.105093            29              YES
56     110    166        -1253.810863              0.23687             0.219807               0.225045               4.282915                   8.973589                      13.256504                    0.036702                        0.076975                           0.113677                         0.689881                0.473506              5.059009             5.423887               5.303603                5.11542            30              YES
