Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
40     30     70          -506.384236                  0.0                1e-06                    0.0                  4e-06                      3e-06                          7e-06                         0.0                             0.0                                0.0                         0.563876                0.853946              4.145263             3.849549               4.021192               4.230618            11              YES
40     32     72          -542.318067            -0.000232            -0.000629              -0.000397              -0.002007                  -0.003858                      -0.005866                         0.0                             0.0                                0.0                         0.738635                0.847254              4.136913             3.899306               4.033039                4.22175            34              YES
40     34     74          -576.936424            -0.186348            -0.200902              -0.192726              -1.630268                   -1.37104                      -3.001308                         0.0                             0.0                                0.0                         0.631071                 0.87667              4.163722             3.988769               4.084269                4.24734            47              YES
40     36     76          -609.145343                 -0.0                 -0.0                   -0.0                 -1e-06                     -1e-06                         -1e-06                         0.0                             0.0                                0.0                         0.795036                0.818852              4.139007             4.002213               4.074782               4.222427            74              YES
40     38     78          -640.307305             -3.4e-05             -1.5e-05               -2.5e-05              -0.000291                  -0.000119                       -0.00041                         0.0                             0.0                                0.0                         0.725165                0.818609              4.145729              4.04943               4.099097                4.22833            94              YES
40     40     80          -669.210054               -3e-05             -3.5e-05               -3.3e-05              -0.000264                  -0.000296                       -0.00056                         0.0                             0.0                                0.0                         0.679204                0.821221              4.153216              4.09258                4.12301               4.234986           119              YES
40     42     82          -695.288891               -6e-06             -1.2e-05                 -9e-06               -5.4e-05                  -0.000111                      -0.000164                         0.0                             0.0                                0.0                         0.682657                0.798694              4.159989             4.134468               4.146937               4.240944           136              YES
40     44     84          -719.719759              3.6e-05                5e-05                4.3e-05               0.000319                   0.000483                       0.000801                         0.0                             0.0                                0.0                         0.717854                0.790064              4.167007             4.173836               4.170585               4.247144           159              YES
40     46     86           -743.07282             -7.5e-05             -8.6e-05               -8.1e-05              -0.000663                  -0.000886                      -0.001549                         0.0                             0.0                                0.0                         0.679865                0.798611              4.175707             4.212004               4.195161               4.254999           183              YES
40     48     88           -765.44181                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         0.570573                0.779536               4.18564             4.249068               4.220355               4.264067           200              YES
40     50     90          -786.030122             0.000626             0.000609               0.000616               0.005568                   0.007055                       0.012623                         0.0                             0.0                                0.0                         0.492957                0.786611              4.197657             4.286979               4.247512               4.275184           229              YES
40     52     92          -801.550379               -1e-06               -1e-06                 -1e-06                 -5e-06                     -8e-06                       -1.2e-05                         0.0                             0.0                                0.0                         0.447541                0.741704              4.211921              4.33027               4.279216               4.288513           242              YES
40     54     94          -815.714364             -9.1e-05             -0.00014               -0.00012              -0.000818                  -0.001829                      -0.002646                         0.0                             0.0                                0.0                         0.541974                0.717303              4.227612             4.377584               4.314404               4.303251           262              YES
40     56     96          -828.647502                7e-06              3.6e-05                2.5e-05                6.3e-05                   0.000501                       0.000564                         0.0                             0.0                                0.0                         0.638057                0.687904               4.24493             4.426583               4.351816               4.319594           285              YES
40     58     98           -840.10146             0.000104              9.3e-05                9.7e-05               0.000959                    0.00136                       0.002318                         0.0                             0.0                                0.0                         0.739703                 0.66781               4.26487             4.477019               4.391666               4.338522           304              YES
40     60     100         -850.817777            -0.186545            -0.178766               -0.18169              -1.765306                  -2.809092                      -4.574398                         0.0                             0.0                                0.0                         0.729602                0.655499              4.330453             4.556272               4.467314               4.402349           323              YES
40     62     102         -861.280039             0.398535             0.362792               0.375992               3.972886                    6.17659                      10.149476                         0.0                             0.0                                0.0                         0.577253                0.596204              4.444621             4.665461               4.580127               4.514056           355              YES
40     64     104         -870.980998             0.405077              0.36442                0.37905               4.084147                   6.536233                       10.62038                         0.0                             0.0                                0.0                         0.577679                0.579461              4.469889             4.713219               4.621147               4.538298           376              YES
40     66     106         -879.961982            -0.209828            -0.197285              -0.201643              -2.054019                  -3.627359                      -5.681378                         0.0                             0.0                                0.0                         0.725466                0.605732              4.404383             4.699167               4.590152               4.473145           386              YES
40     68     108         -888.053537            -0.205409            -0.190635              -0.195639              -2.027436                  -3.673426                      -5.700861                         0.0                             0.0                                0.0                         0.724382                0.590217              4.422611             4.739422               4.624616               4.490448           407              YES
40     70     110         -895.392391               -2e-06               -2e-06                 -2e-06               -1.6e-05                     -3e-05                       -4.6e-05                         0.0                             0.0                                0.0                         0.848689                0.607143              4.393586             4.758423               4.629083               4.461213           431              YES
40     72     112         -902.722833                  0.0                  0.0                    0.0                  2e-06                      4e-06                          7e-06                         0.0                             0.0                                0.0                         0.805093                0.599381              4.412907             4.797008               4.663462               4.479594           452              YES
40     74     114         -909.367711                2e-05             -0.00032              -0.000214               0.000202                   -0.00698                      -0.006779                         0.0                             0.0                                0.0                         0.773272                 0.58784                4.4316             4.831778                4.69525               4.497365           471              YES
40     76     116         -915.447631            -0.000432            -0.000862               -0.00073              -0.004319                   -0.01955                      -0.023869                         0.0                             0.0                                0.0                          0.73249                0.583595              4.449894             4.864848               4.725878                4.51475           491              YES
40     78     118         -921.084614            -0.000408            -0.000822              -0.000698              -0.004113                  -0.019394                      -0.023507                         0.0                             0.0                                0.0                         0.663931                0.586702              4.468133              4.89735               4.756194               4.532087           512              YES
40     80     120         -926.321702            -0.000348            -0.000732               -0.00062               -0.00353                  -0.017959                      -0.021489                         0.0                             0.0                                0.0                         0.575519                0.589409              4.486233             4.929397               4.786237               4.549295           533              YES
40     82     122         -930.366369            -0.000171            -0.000564              -0.000452              -0.001746                  -0.014402                      -0.016148                         0.0                             0.0                                0.0                         0.533055                0.580325              4.502401             4.966219               4.819069               4.564604           555              YES
40     84     124         -932.575005            -0.001411            -0.002644              -0.002301              -0.014524                  -0.070456                       -0.08498                         0.0                             0.0                                0.0                         0.445728                0.563771              4.515922             5.014084                4.85897               4.577307           576              YES
40     86     126         -934.136157             -0.02238            -0.034719              -0.031384              -0.231454                  -0.969553                      -1.201007                         0.0                             0.0                                0.0                         0.470883                0.542998               4.52704             5.073416               4.906559               4.587644           595              YES
40     88     128         -935.690208             -0.03357            -0.053607              -0.048358              -0.348781                  -1.569118                      -1.917899                         0.0                             0.0                                0.0                         0.471631                0.519436              4.537492             5.134754               4.955848               4.597327           616              YES
40     90     130         -937.090505            -0.004932            -0.011105              -0.009535              -0.051431                  -0.339428                      -0.390859                         0.0                             0.0                                0.0                         0.476858                0.496393              4.545853             5.188452               4.999534               4.604949           639              YES
40     92     132         -938.423745            -0.001682            -0.006094              -0.005005              -0.017604                  -0.194836                      -0.212439                         0.0                             0.0                                0.0                         0.433832                0.478704              4.554589             5.248625               5.048397               4.612944           660              YES
40     94     134         -939.551607            -0.000434            -0.004525              -0.003547              -0.004559                  -0.151459                      -0.156018                         0.0                             0.0                                0.0                         0.389147                0.465382              4.562846             5.313018               5.100651               4.620468           681              YES
40     96     136         -939.912365              0.00012            -0.004127              -0.003144               0.001265                  -0.144605                       -0.14334                         0.0                             0.0                                0.0                         0.378316                0.454374              4.571865             5.378711                5.15453               4.628748           702              YES
40     98     138         -939.287397             0.000536            -0.004091              -0.003053               0.005681                  -0.149799                      -0.144118                         0.0                             0.0                                0.0                         0.359597                0.447932              4.581997             5.441999               5.207362                4.63813           723              YES
40     100    140         -938.136464             0.000894            -0.003955              -0.002898               0.009523                  -0.151058                      -0.141535                         0.0                             0.0                                0.0                         0.410986                0.443827              4.594942             5.502085               5.258893               4.650295           744              YES
40     102    142         -936.478312             0.001273            -0.003644              -0.002597               0.013661                  -0.144508                      -0.130847                         0.0                             0.0                                0.0                          0.50066                0.438333              4.611827             5.551571               5.303727               4.666358           765              YES
54     50     104         -817.913635             0.005029             0.003701               0.004409               0.069824                   0.044935                        0.11476                         0.0                             0.0                                0.0                         0.438388                0.778891                4.5144             4.387426               4.453807               4.590676           795              YES
54     52     106          -846.77552             0.154182             0.142886               0.148768               2.169981                   1.851216                       4.021198                         0.0                             0.0                                0.0                         0.375495                0.607531              4.545266             4.444026               4.495886               4.620567           817              YES
54     54     108         -874.134907              0.18695             0.182993               0.185004               2.656477                   2.516568                       5.173045                         0.0                             0.0                                0.0                         0.444502                0.559135              4.567078              4.49299               4.530185               4.641562           838              YES
54     56     110         -899.805112             0.204216             0.204719               0.204469               2.925883                   2.977201                       5.903084                         0.0                             0.0                                0.0                         0.526215                0.552435               4.58598             4.537081               4.561151               4.659701           859              YES
54     58     112         -923.756275             0.222407             0.228381               0.225485               3.214709                   3.509424                       6.724133                         0.0                             0.0                                0.0                         0.587235                0.558889              4.606218             4.582675               4.594041                4.67916           880              YES
54     60     114          -946.54912              0.25441             0.269659               0.262441               3.719943                   4.387574                       8.107517                         0.0                             0.0                                0.0                         0.611715                0.586826              4.632861             4.636328               4.634686               4.704933           901              YES
54     62     116         -968.637167             0.310453             0.320255               0.315716               4.618994                   5.526355                      10.145349                         0.0                             0.0                                0.0                         0.555122                 0.63888              4.673303             4.697004               4.685986               4.744309           922              YES
54     64     118         -989.663938             0.310889             0.317364                0.31443               4.655031                   5.736867                      10.391898                         0.0                             0.0                                0.0                         0.571136                0.627218              4.688208              4.73166               4.711825               4.758539           943              YES
54     66     120        -1009.758854             0.296178             0.301172               0.298957               4.450163                   5.679346                      10.129509                         0.0                             0.0                                0.0                         0.586636                0.603044              4.696344             4.758988               4.730901               4.766104           964              YES
54     68     122        -1028.898232              0.27484             0.278288               0.276791               4.137944                   5.458865                       9.596809                         0.0                             0.0                                0.0                         0.593443                0.573086              4.701109             4.781831               4.746271               4.770348           985              YES
54     70     124        -1047.043118             0.243858             0.245035               0.244534               3.672653                    4.98448                       8.657133                         0.0                             0.0                                0.0                         0.612016                0.539304              4.701861             4.799454                 4.7572               4.770639          1006              YES
54     72     126        -1064.224783             0.209802             0.204938               0.206966               3.162656                   4.319746                       7.482401                         0.0                             0.0                                0.0                         0.642457                0.504694              4.704022             4.817218               4.769034               4.772319          1027              YES
54     74     128        -1080.752785             0.181694             0.168009               0.173605               2.747583                   3.673119                       6.420702                         0.0                             0.0                                0.0                         0.644113                0.494225              4.711433             4.839271               4.785756               4.779173          1048              YES
54     76     130        -1096.825314             0.153559             0.133941               0.141807               2.330776                   3.037587                       5.368363                         0.0                             0.0                                0.0                         0.608958                0.525223               4.72021             4.863461               4.804476               4.787378          1066              YES
54     78     132        -1112.381914             0.119435             0.098544               0.106759               1.819317                   2.316379                       4.135697                         0.0                             0.0                                0.0                         0.550361                 0.58214              4.728637               4.8875               4.823143               4.795238          1086              YES
54     80     134        -1127.358422             0.041688             0.032151                0.03583               0.636776                    0.78197                       1.418747                         0.0                             0.0                                0.0                          0.48338                0.700085              4.735159             4.909038               4.839719               4.801221          1108              YES
54     82     136        -1141.843596            -0.000871            -0.000624              -0.000718              -0.013388                  -0.015738                      -0.029126                         0.0                             0.0                                0.0                         0.427418                0.710958              4.749786             4.937881               4.864067               4.815202          1121              YES
54     84     138        -1150.798767             0.077938             0.065977               0.070413               1.206531                   1.732424                       2.938955                         0.0                             0.0                                0.0                         0.343436                0.627351              4.766973             4.977784               4.896374               4.831711          1149              YES
54     86     140         -1159.70591             0.139172             0.125745               0.130624               2.179025                      3.449                       5.628026                         0.0                             0.0                                0.0                         0.419403                0.487104               4.79406             5.028017                4.93909               4.857995          1170              YES
54     88     142        -1167.853077              0.16639             0.156757               0.160189               2.632048                   4.479717                       7.111765                         0.0                             0.0                                0.0                         0.498417                0.432605              4.818721             5.073593               4.978208               4.881892          1193              YES
54     90     144        -1175.239623              0.18513             0.177661               0.180271               2.957123                   5.281214                       8.238337                         0.0                             0.0                                0.0                         0.561516                0.406329              4.842218             5.116761               5.015568               4.904648          1214              YES
54     92     146        -1182.086893             0.201831              0.19705               0.198689               3.255203                   6.087663                       9.342867                         0.0                             0.0                                0.0                         0.612391                0.399334               4.86568             5.159274               5.052673               4.927377          1235              YES
54     94     148        -1188.639497              0.22032             0.219438               0.219735               3.589735                   7.044616                      10.634352                         0.0                             0.0                                0.0                         0.634468                0.405655              4.890492             5.202994               5.091196               4.951445          1256              YES
54     96     150        -1194.952868             0.241716             0.242671               0.242355               3.980901                    8.09354                       12.07444                         0.0                             0.0                                0.0                         0.627397                0.426201              4.916844              5.24771               5.131057               4.977043          1278              YES
54     98     152        -1200.978121              0.26323             0.261333               0.261949               4.382199                   9.046373                      13.428572                         0.0                             0.0                                0.0                         0.606247                0.444035               4.94341             5.291416               5.170465                5.00286          1300              YES
54     100    154        -1206.571791             0.280405             0.272637               0.275116               4.715457                   9.779371                      14.494828                         0.0                             0.0                                0.0                         0.591811                0.448888              4.968409              5.33222               5.207544               5.027135          1321              YES
54     102    156        -1211.579044             0.289713             0.275853               0.280202               4.914286                  10.234088                      15.148374                         0.0                             0.0                                0.0                          0.59042                0.443494              4.989926             5.369456               5.241191               5.047976          1342              YES
54     104    158        -1216.028822             0.289024              0.27033               0.276093               4.934294                  10.354711                      15.289005                         0.0                             0.0                                0.0                         0.602467                0.431203              5.006029             5.403193               5.270821                5.06347          1363              YES
54     106    160        -1220.098974             0.276046             0.252752               0.259803               4.729845                   9.976922                      14.706767                         0.0                             0.0                                0.0                         0.619546                 0.41123              5.015113             5.433044               5.295681               5.072027          1377              YES
54     108    162        -1223.905893             0.260146             0.234124               0.241857               4.471327                   9.517647                      13.988974                         0.0                             0.0                                0.0                         0.631685                0.401358              5.022941              5.46229               5.319873               5.079344          1401              YES
54     110    164        -1227.409526             0.244325              0.21532               0.223785               4.213287                   9.010403                       13.22369                         0.0                             0.0                                0.0                         0.639866                0.392904              5.031232             5.491344                5.34422               5.087121          1422              YES
54     112    166        -1230.579386             0.227585              0.19481               0.204207               3.938316                   8.387751                      12.326068                         0.0                             0.0                                0.0                         0.644008                0.385251              5.040009             5.520171               5.368689               5.095379          1443              YES
54     114    168        -1233.527909             0.207821             0.169823               0.180527               3.608403                   7.518537                       11.12694                         0.0                             0.0                                0.0                         0.652301                0.378241              5.048488             5.548311               5.392708               5.103345          1463              YES
54     116    170         -1236.31346             0.186185             0.143205               0.155111               3.244761                   6.513707                       9.758467                         0.0                             0.0                                0.0                         0.653584                0.374384              5.057867             5.575078               5.416142               5.112202          1485              YES
54     118    172        -1238.945843              0.16117             0.115258               0.127777                2.82142                   5.382093                       8.203513                         0.0                             0.0                                0.0                         0.642154                0.375865              5.069198             5.600732               5.439452               5.122994          1505              YES
