Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     6.932607                0.728679       2.069586       4260      YES            
14     2      16     17.630322               0.62255        3.982943       5712      YES            
16     4      20     -19.368236              0.602298       -1.849104      7242      YES            
18     6      24     -66.075694              0.83806        2.634878       8970      YES            
20     8      28     -110.492887             0.978622       4.470461       10905     YES            
38     38     76     -637.188798             0.427892       0.001271       15390     YES            
108    188    296    -2100.135976            0.402809       -0.000341      6390      YES            
110    188    298    -2113.334147            0.410732       0.000317       11115     YES            
110    190    300    -2121.940211            0.400802       0.0016         11190     YES            
110    244    354    -2251.587913            0.408359       -7e-06         13215     YES            
110    246    356    -2253.366361            0.405634       -3.9e-05       13290     YES            
112    172    284    -2040.235457            0.494939       -0.00012       765       YES            
112    188    300    -2124.878867            0.423102       0.04902        1380      YES            
112    190    302    -2134.063126            0.408923       0.000154       1440      YES            
112    192    304    -2143.054781            0.407627       0.098833       1545      YES            
114    172    286    -2045.720523            0.495442       -0.00012       5790      YES            
114    174    288    -2058.561422            0.496994       -0.000458      5865      YES            
114    190    304    -2144.696022            0.423851       0.00066        6465      YES            
114    192    306    -2154.190128            0.412945       0.000379       6540      YES            
114    194    308    -2163.411152            0.405934       0.000254       6615      YES            
114    196    310    -2172.193828            0.400143       0.000568       6690      YES            
116    196    312    -2183.054793            0.416335       0.000173       1440      YES            
116    198    314    -2191.827567            0.411017       -0.000191      1515      YES            
116    266    382    -2347.702436            0.555894       6e-06          4063      YES            
118    266    384    -2374.926328            0.553595       -0.000106      9315      YES            
118    268    386    -2376.423914            0.556855       5.1e-05        9389      YES            
120    240    360    -2360.200128            0.478448       0.320384       13500     YES            
120    266    386    -2400.964247            0.551407       -0.000143      14415     YES            
120    268    388    -2402.944187            0.552662       1.4e-05        14490     YES            
120    270    390    -2404.724409            0.555188       -0.000229      14565     YES            
