Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.830858              0.355647       0.526174       17        YES            
4      20     24     -50.969795              0.485986       -0.534444      960       YES            
6      6      12     -92.717528              0.566921       -0.959258      1147      YES            
10     2      12     -10.016988              0.930242       -6.570808      2835      YES            
10     36     46     -198.455934             0.388905       0.225351       4109      YES            
12     2      14     2.881623                0.818482       7.376069       4257      YES            
14     2      16     15.549781               0.77469        8.147938       5712      YES            
16     4      20     -24.351466              0.905864       4.771336       7215      YES            
18     6      24     -72.400303              1.030535       6.217866       8955      YES            
20     8      28     -116.755601             1.07413        6.773351       10935     YES            
36     64     100    -810.922628             0.357252       0.001774       13755     YES            
38     38     76     -635.912586             0.426012       2.2e-05        15390     YES            
38     60     98     -825.841467             0.387452       0.000483       16215     YES            
38     62     100    -835.195951             0.387033       -0.000202      16290     YES            
38     64     102    -843.328055             0.382779       -0.001556      16365     YES            
38     66     104    -850.594987             0.374884       0.000108       16440     YES            
38     68     106    -857.025476             0.369934       9.4e-05        16560     YES            
38     70     108    -862.442001             0.375435       -0.000758      16589     YES            
38     72     110    -867.018564             0.37679        0.004115       16694     YES            
40     60     100    -849.692692             0.373946       0.000472       1170      YES            
40     62     102    -860.798043             0.382933       0.000643       1245      YES            
40     64     104    -870.683775             0.381989       0.000858       1350      YES            
40     66     106    -879.685652             0.374668       0.001141       1364      YES            
40     68     108    -887.81957              0.369998       -8.9e-05       1439      YES            
40     70     110    -894.881821             0.382001       0.02038        1559      YES            
56     62     118    -968.951264             0.357604       0.000913       6795      YES            
58     60     118    -946.725076             0.371077       -0.001418      9914      YES            
58     62     120    -971.98733              0.382828       0.002373       10020     YES            
58     64     122    -995.705449             0.375686       -0.000237      10065     YES            
58     66     124    -1018.441364            0.364029       0.103525       10198     YES            
60     58     118    -916.320142             0.373796       0.00149        13470     YES            
60     60     120    -945.857874             0.38678        0.001086       13515     YES            
60     62     122    -972.61793              0.389701       0.000637       13620     YES            
60     64     124    -997.717401             0.384402       -0.000258      13665     YES            
60     66     126    -1021.719668            0.371629       0.001078       13785     YES            
60     68     128    -1044.734104            0.366107       0.078041       13843     YES            
60     70     130    -1066.554248            0.376956       0.000131       13934     YES            
60     72     132    -1087.278369            0.38603        -0.000101      13964     YES            
60     106    166    -1305.696717            0.361912       -4.9e-05       15237     YES            
60     108    168    -1310.594356            0.354732       0.000462       15374     YES            
62     60     122    -941.37261              0.392491       0.00082        17084     YES            
62     62     124    -969.755593             0.391928       0.000177       17114     YES            
62     64     126    -996.462018             0.384642       9.6e-05        17220     YES            
62     66     128    -1022.089555            0.371629       0.000254       17280     YES            
62     68     130    -1046.714514            0.361432       0.000245       17338     YES            
62     70     132    -1070.008577            0.371164       -9.8e-05       17444     YES            
62     72     134    -1092.061673            0.381475       -4.7e-05       17549     YES            
62     74     136    -1112.343738            0.362506       0.00044        17610     YES            
62     106    168    -1331.169185            0.358459       7e-06          18807     YES            
62     108    170    -1337.218712            0.350504       -5.1e-05       18898     YES            
64     62     126    -964.459604             0.386839       -0.000125      74        YES            
64     64     128    -992.904437             0.376837       -5.3e-05       119       YES            
64     66     130    -1020.371416            0.363432       0.000272       179       YES            
64     68     132    -1046.812498            0.352573       0.000216       283       YES            
64     70     134    -1071.587871            0.357096       -0.001292      313       YES            
64     72     136    -1094.83221             0.373176       0.000449       419       YES            
64     74     138    -1116.340658            0.360281       0.000581       464       YES            
66     66     132    -1016.992268            0.35334        4.9e-05        3870      YES            
66     72     138    -1095.836183            0.360263       0.000683       4109      YES            
66     74     140    -1118.56928             0.352519       -2.8e-05       4138      YES            
70     72     142    -1091.614577            0.361794       -0.000117      13168     YES            
70     74     144    -1116.543152            0.372326       -0.000149      13230     YES            
72     74     146    -1112.282781            0.424546       -0.000477      15        YES            
102    132    234    -1709.939142            0.353334       -1.1e-05       15988     YES            
102    134    236    -1728.675552            0.354277       0.000964       16077     YES            
102    136    238    -1746.57201             0.355545       0.119253       16181     YES            
104    134    238    -1727.264571            0.375973       -0.001734      15        YES            
104    136    240    -1745.978572            0.387313       0.135504       131       YES            
106    190    296    -2071.703195            0.385408       0.086346       6870      YES            
106    192    298    -2078.334567            0.368798       0.055013       6960      YES            
106    194    300    -2084.740901            0.350328       2e-06          6984      YES            
108    188    296    -2080.247687            0.409824       0.120201       11400     YES            
108    190    298    -2087.646203            0.394207       0.089019       11445     YES            
108    192    300    -2094.881848            0.381723       0.059011       11505     YES            
108    194    302    -2101.84531             0.370031       0.040069       11595     YES            
108    196    304    -2108.521076            0.353571       0.000457       11649     YES            
108    268    376    -2156.297993            0.366279       0.000125       14353     YES            
108    270    378    -2153.717412            0.358116       0.000178       14428     YES            
108    272    380    -2151.107934            0.350793       4e-06          14488     YES            
110    188    298    -2093.974954            0.419681       0.134241       16125     YES            
110    190    300    -2102.036919            0.404618       0.108027       16185     YES            
110    192    302    -2109.978665            0.387862       0.000241       16215     YES            
110    194    304    -2117.63108             0.381858       0.040661       16350     YES            
110    196    306    -2124.803646            0.368153       0.010084       16395     YES            
110    198    308    -2131.663108            0.353362       0.001549       16485     YES            
110    262    372    -2197.562585            0.387359       0.013574       18900     YES            
110    264    374    -2195.578279            0.384007       0.001642       18930     YES            
110    266    376    -2193.473798            0.378124       0.001584       19020     YES            
110    268    378    -2191.305307            0.370537       -9.8e-05       19065     YES            
110    270    380    -2189.138462            0.361556       4.7e-05        19138     YES            
110    272    382    -2186.941687            0.354613       -1.7e-05       19228     YES            
112    188    300    -2106.087626            0.428315       0.140216       1425      YES            
112    190    302    -2114.844379            0.411575       0.109987       1500      YES            
112    192    304    -2123.506812            0.399306       0.072031       1530      YES            
112    194    306    -2131.857182            0.389423       -0.000882      1590      YES            
112    196    308    -2139.588212            0.380709       -4.4e-05       1665      YES            
112    198    310    -2146.809706            0.364258       0.003353       1770      YES            
112    200    312    -2153.668749            0.354038       0.001161       1845      YES            
112    202    314    -2159.846821            0.350604       0.002517       1950      YES            
112    264    376    -2227.853392            0.386653       0.000182       4230      YES            
112    266    378    -2226.209097            0.379954       0.000612       4350      YES            
112    268    380    -2224.539775            0.371977       0.000835       4410      YES            
112    270    382    -2222.882963            0.36348        -7.8e-05       4438      YES            
112    272    384    -2221.178824            0.357168       0.000216       4513      YES            
112    274    386    -2219.377714            0.358883       0.088033       4618      YES            
112    276    388    -2217.39212             0.35169        0.066316       4693      YES            
114    190    304    -2126.007565            0.424479       0.122599       6525      YES            
114    192    306    -2135.186895            0.412857       0.097994       6600      YES            
114    194    308    -2144.087939            0.400038       0.00134        6615      YES            
114    196    310    -2152.31427             0.393447       0.008025       6750      YES            
114    198    312    -2159.792825            0.381045       0.003921       6795      YES            
114    200    314    -2167.054288            0.363675       -0.000403      6840      YES            
114    202    316    -2173.851871            0.357956       -0.001567      6915      YES            
114    204    318    -2180.285509            0.355365       0.000656       6990      YES            
114    264    378    -2258.639283            0.39399        0.000289       9240      YES            
114    266    380    -2257.375649            0.387241       0.000609       9360      YES            
114    268    382    -2256.064149            0.378853       0.001488       9435      YES            
114    270    384    -2254.748627            0.370459       0.000508       9525      YES            
114    272    386    -2253.447492            0.367445       0.076812       9568      YES            
114    274    388    -2252.116593            0.359079       0.051681       9643      YES            
114    276    390    -2250.65305             0.35195        6.1e-05        9688      YES            
116    188    304    -2127.509631            0.542665       0.303313       1185      YES            
116    190    306    -2135.885075            0.441798       0.136813       1275      YES            
116    192    308    -2145.41947             0.428275       0.112963       1335      YES            
116    194    310    -2154.770601            0.415962       0.071387       1380      YES            
116    196    312    -2163.518407            0.40619        -0.000222      1440      YES            
116    198    314    -2171.421443            0.399308       0.000706       1515      YES            
116    200    316    -2178.883292            0.385222       0.002238       1605      YES            
116    202    318    -2186.281856            0.368249       0.001726       1725      YES            
116    264    380    -2288.86605             0.553959       0.239851       4050      YES            
116    266    382    -2287.290081            0.397353       0.000128       4065      YES            
116    268    384    -2286.27893             0.388665       -0.000449      4140      YES            
