Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     -2.196198               0.870888       5.30939        4275      YES            
14     2      16     8.864561                0.703342       6.379248       5727      YES            
16     4      20     -27.843507              0.792033       2.450897       7275      YES            
18     6      24     -73.960166              0.920078       -3.698203      8955      YES            
20     8      28     -116.967582             1.031016       5.580453       10935     YES            
114    174    288    -2052.357296            0.557354       0.369439       5909      YES            
114    176    290    -2065.273029            0.565187       0.358535       5969      YES            
114    188    302    -2133.395594            0.671794       0.327716       6435      YES            
116    188    304    -2142.628831            0.684771       0.291048       1155      YES            
116    190    306    -2153.036774            0.710208       -0.089866      1260      YES            
116    192    308    -2161.206018            0.653307       0.3147         1335      YES            
116    194    310    -2170.662224            0.634351       -0.000502      1363      YES            
116    198    314    -2188.257506            0.659985       0.080072       1529      YES            
116    200    316    -2196.805226            0.651082       0.329077       1635      YES            
116    202    318    -2204.902871            0.652662       0.329021       1710      YES            
116    264    380    -2337.513096            0.550296       0.000122       4003      YES            
116    266    382    -2338.515637            0.56763        0.279071       4125      YES            
116    268    384    -2339.294731            0.554545       4.9e-05        4153      YES            
116    270    386    -2339.899321            0.57721        0.277521       4245      YES            
118    188    306    -2146.343655            0.516817       0.000139       6390      YES            
118    190    308    -2159.033273            0.646312       -0.000237      6463      YES            
118    192    310    -2172.416993            0.751864       -0.136076      6585      YES            
118    194    312    -2179.568744            0.645911       0.315878       6660      YES            
118    196    314    -2192.581446            0.783837       -0.194124      6734      YES            
118    198    316    -2198.980058            0.727934       -0.000537      6763      YES            
118    200    318    -2207.681185            0.634898       0.335982       6885      YES            
118    202    320    -2216.382981            0.632768       0.339902       6975      YES            
118    204    322    -2224.752794            0.606047       -0.00062       6990      YES            
118    224    342    -2297.009373            0.663648       0.256797       7800      YES            
118    226    344    -2349.188048            1.305146       2.8e-05        7875      YES            
118    228    346    -2353.520146            1.304307       2.2e-05        7920      YES            
118    248    366    -2383.078471            1.247261       3.5e-05        8639      YES            
118    254    372    -2432.795482            1.239456       -1.1e-05       8924      YES            
118    260    378    -2422.809685            1.203818       -3e-06         9088      YES            
118    264    382    -2364.30814             0.551093       2.9e-05        9238      YES            
118    266    384    -2365.773994            0.568044       0.274406       9375      YES            
118    268    386    -2367.026565            0.56933        0.273254       9450      YES            
118    270    388    -2368.06398             0.572709       0.272589       9525      YES            
118    272    390    -2368.866664            0.578095       0.272053       9570      YES            
118    276    394    -2369.791366            0.593394       0.269689       9750      YES            
118    292    410    -2366.231078            0.605131       -0.000136      10347     YES            
120    166    286    -1995.187389            0.503984       0.089979       10695     YES            
120    188    308    -2152.030305            0.512245       -0.000188      11490     YES            
120    190    310    -2165.217484            0.653807       0.000213       11563     YES            
120    192    312    -2176.352396            0.665745       0.298553       11685     YES            
120    194    314    -2191.17112             0.776183       0.330906       11728     YES            
120    196    316    -2197.761812            0.718574       0.000809       11789     YES            
120    198    318    -2207.546381            0.629703       0.334338       11910     YES            
120    200    320    -2217.259649            0.627051       0.339055       12000     YES            
120    202    322    -2226.617026            0.623418       0.342985       12075     YES            
120    204    324    -2235.667901            0.617542       0.353918       12150     YES            
120    222    342    -2306.367538            0.648865       0.273535       12825     YES            
120    224    344    -2312.912002            0.654271       0.25665        12900     YES            
120    226    346    -2395.882447            1.228948       -0.019712      12973     YES            
120    228    348    -2375.797824            1.305882       -1.3e-05       13050     YES            
120    230    350    -2380.411558            1.304875       -3.9e-05       13125     YES            
120    250    370    -2407.218314            1.22002        -0.038201      13828     YES            
120    252    372    -2414.310404            1.251194       2.5e-05        13889     YES            
120    258    378    -2421.402826            1.245861       -1.2e-05       14114     YES            
120    264    384    -2389.839752            0.567156       0.270079       14370     YES            
120    266    386    -2391.761609            0.550374       -2e-05         14413     YES            
120    268    388    -2393.506903            0.568438       0.26683        14520     YES            
120    270    390    -2395.004176            0.570842       0.266689       14595     YES            
120    272    392    -2396.247725            0.574128       0.264938       14670     YES            
120    274    394    -2397.225836            0.578436       0.263511       14745     YES            
120    296    416    -2395.40669             0.573095       0.000114       15596     YES            
120    302    422    -2392.314423            0.55884        -0.000261      15822     YES            
