Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
12     2      14     6.932607                0.728679       2.069586       4260      YES            
14     2      16     17.630322               0.62255        3.982943       5712      YES            
16     4      20     -19.368236              0.602298       -1.849104      7242      YES            
18     6      24     -66.075694              0.83806        2.634878       8970      YES            
20     8      28     -110.492887             0.978622       4.470461       10905     YES            
116    266    382    -2347.702436            0.555894       6e-06          4063      YES            
118    266    384    -2374.926328            0.553595       -0.000106      9315      YES            
118    268    386    -2376.423914            0.556855       5.1e-05        9389      YES            
120    266    386    -2400.964247            0.551407       -0.000143      14415     YES            
120    268    388    -2402.944187            0.552662       1.4e-05        14490     YES            
120    270    390    -2404.724409            0.555188       -0.000229      14565     YES            
