Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -18.906339             0.001803             0.001724               0.001764               0.000192                   0.000184                       0.000376                        -0.0                            -0.0                               -0.0                         2.051851                2.487574              2.053395             2.058271               2.055835               2.214121            12              YES
2      4      6            -23.390371            -0.000506            -0.003548              -0.002871                 -5e-05                  -0.001229                      -0.001279                        -0.0                            -0.0                               -0.0                         1.561363                2.529636              1.982802             2.619927               2.426214               2.121627            97              YES
2      6      8            -24.622946            -0.000539            -0.010421              -0.009125               -5.5e-05                  -0.007038                      -0.007093                        -0.0                            -0.0                               -0.0                          1.25738                2.326331              2.010266             2.986992               2.775227               2.120111           156              YES
4      2      6            -21.183752             0.013485             0.001334                0.01081                0.00479                   0.000134                       0.004924                         0.0                             0.0                                0.0                         2.034011                1.813376               2.65319             1.993425               2.453064               2.789868           235              YES
4      4      8            -43.535566            -0.000148            -0.000131              -0.000139                 -4e-05                   -3.5e-05                       -7.6e-05                         0.0                             0.0                                0.0                        -1.844669                2.194877              2.319216             2.313772               2.316496               2.462654           367              YES
4      6      10           -58.888186            -0.000601            -0.001921              -0.001463              -0.000157                  -0.000945                      -0.001102                        -0.0                            -0.0                               -0.0                          1.48864               -2.157066              2.276466             2.549237               2.443785               2.410425           425              YES
4      8      12           -64.864685            -0.000376            -0.001104              -0.000924              -0.000101                  -0.000908                       -0.00101                        -0.0                            -0.0                               -0.0                         1.154441                2.080478              2.311671             2.854617               2.685858               2.431794           487              YES
4      10     14           -63.205375               -3e-06               -3e-06                 -3e-06                 -1e-06                     -4e-06                         -4e-06                        -0.0                             0.0                                0.0                         1.012798                1.974936              2.345818             3.319604                3.07303                2.45247           548              YES
4      12     16           -61.054839             0.015675              0.01683                0.01668               0.004469                   0.032181                        0.03665                        -0.0                          -1e-06                             -1e-06                         1.111884                1.946843              2.376799             3.554004               3.299318                 2.4704           654              YES
4      14     18           -59.116256                3e-06                1e-06                  1e-06                  1e-06                      3e-06                          4e-06                        -0.0                            -0.0                               -0.0                         1.074642                1.886412              2.408737             3.689314               3.446114               2.489511           728              YES
4      16     20           -55.888276                1e-06                  0.0                    0.0                    0.0                      1e-06                          1e-06                        -0.0                             0.0                                0.0                          0.92091                1.803677              2.438044             3.847272               3.609711               2.506324           788              YES
4      18     22           -50.692318            -0.002274            -0.012134              -0.011403              -0.000695                  -0.046298                      -0.046992                         0.0                             0.0                                0.0                         0.672191                 1.74259              2.460224             4.099059               3.853286               2.516396           832              YES
4      20     24           -45.476618             0.005753             0.018408               0.017642               0.001782                   0.088503                       0.090285                        -0.0                          -1e-06                             -1e-06                         0.666079                1.702859              2.477862             4.365246               4.111299               2.522162           909              YES
6      2      8            -18.622759             0.004378              0.00024               0.003855               0.003129                    2.5e-05                       0.003154                         0.0                             0.0                                0.0                        -1.869752               -1.548255               3.07296              2.02556               2.847461               3.194743          1044              YES
6      4      10           -54.331233             -0.00392            -0.001236              -0.003002              -0.001983                  -0.000325                      -0.002307                         0.0                             0.0                                0.0                         1.822443                1.837314              2.584869             2.281552                2.46802               2.721424          1054              YES
6      6      12           -83.284082            -0.001275            -0.000989              -0.001133              -0.000589                  -0.000452                      -0.001041                        -0.0                            -0.0                               -0.0                         1.479306                1.818696              2.470389             2.456543               2.463476               2.605517          1141              YES
6      8      14          -100.022375             0.000233             0.000486               0.000387               0.000108                    0.00035                       0.000459                         0.0                             0.0                              1e-06                        -1.303078                1.768717              2.477194             2.671036               2.589738               2.604552          1226              YES
6      10     16          -105.249838             0.006904             0.012531               0.010788               0.003278                   0.013251                       0.016529                      -1e-06                          -2e-06                             -2e-06                         1.378252                1.696503              2.504408             2.895233               2.755178               2.623082          1286              YES
6      12     18          -109.363219               -7e-06               -9e-06                 -9e-06                 -3e-06                   -1.3e-05                       -1.7e-05                         0.0                             0.0                                0.0                         1.430107                1.670155              2.532343             3.089891               2.915911               2.642453          1418              YES
6      14     20           -113.04036             0.000259             0.001281               0.001068               0.000128                   0.002411                        0.00254                        -0.0                            -0.0                               -0.0                         1.193151                1.566143              2.558431              3.26403               3.069429               2.660201          1479              YES
