Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
2      2      4      -30.820949              0.001          0.0            block1a-000047        YES            
2      4      6      -36.273566              -0.01          0.0            block1a-000122        YES            
2      6      8      -36.64459               0.009          -0.0           block1a-000161        YES            
4      2      6      -33.531605              -0.012         0.0            block1a-000259        YES            
4      4      8      -55.773115              -0.001         0.0            block1a-000302        YES            
4      6      10     -70.095284              0.001          0.0            block1a-000387        YES            
4      8      12     -76.236224              0.003          -0.0           block1a-000461        YES            
4      10     14     -74.5412                -0.0           -0.0           block1a-000548        YES            
4      12     16     -71.73906               0.015          0.0            block1a-000609        YES            
4      14     18     -68.922731              0.0            0.0            block1a-000713        YES            
4      16     20     -64.669488              -0.007         0.0            block1a-000817        YES            
4      18     22     -58.197137              -0.0           -0.0           block1a-000848        YES            
4      20     24     -50.900442              0.0            0.0            block1a-000923        YES            
6      2      8      -29.825055              0.013          0.0            block1a-001045        YES            
6      4      10     -65.692042              0.002          -0.0           block1a-001079        YES            
6      6      12     -92.70219               0.0            -0.0           block1a-001167        YES            
6      8      14     -109.327747             -0.0           0.0            block1a-001268        YES            
6      10     16     -115.803529             -0.0           0.0            block1a-001343        YES            
6      12     18     -119.881668             -0.002         0.0            block1a-001357        YES            
6      14     20     -123.297555             0.001          0.0            block1a-001479        YES            
6      16     22     -124.533239             -0.0           0.0            block1a-001568        YES            
6      18     24     -121.633072             -0.002         -0.0           block1a-001612        YES            
6      20     26     -116.652378             0.007          -0.0           block1a-001659        YES            
6      22     28     -110.78573              -0.135         -0.0           block1a-001789        YES            
8      2      10     -21.489365              -0.065         0.0            block1a-001836        YES            
8      4      12     -66.232572              0.008          -0.0           block1a-001917        YES            
8      6      14     -103.388963             0.0            0.0            block1a-001962        YES            
8      8      16     -129.889764             -0.0           -0.0           block1a-002032        YES            
8      10     18     -144.78617              0.0            0.0            block1a-002167        YES            
8      12     20     -156.559343             -0.0           -0.0           block1a-002182        YES            
8      14     22     -166.516591             -0.0           0.0            block1a-002317        YES            
8      16     24     -173.33983              -0.002         0.0            block1a-002344        YES            
8      18     26     -175.341631             -0.002         -0.0           block1a-002405        YES            
8      20     28     -174.659049             -0.007         -0.0           block1a-002494        YES            
8      22     30     -170.750885             -0.036         -0.0           block1a-002585        YES            
8      24     32     -165.987051             -0.112         0.0            block1a-002674        YES            
8      26     34     -161.359374             -0.167         0.0            block1a-002764        YES            
10     2      12     -9.650625               -0.056         -0.0           block1a-002812        YES            
10     4      14     -58.112712              0.017          0.0            block1a-002919        YES            
10     6      16     -102.725295             -0.0           -0.0           block1a-002993        YES            
10     8      18     -137.545071             -0.0           -0.0           block1a-003007        YES            
10     10     20     -159.681949             0.0            0.0            block1a-003128        YES            
