Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
2      2      4      -18.740751              0.004          -0.0           block1a-000012        YES            
2      4      6      -23.250798              0.0            0.0            block1a-000143        YES            
2      6      8      -24.627961              -0.025         0.0            block1a-000171        YES            
4      2      6      -21.049078              0.028          0.0            block1a-000280        YES            
4      4      8      -43.447522              -0.0           -0.0           block1a-000307        YES            
4      6      10     -58.708713              -0.003         0.0            block1a-000380        YES            
4      8      12     -64.915755              0.0            0.0            block1a-000458        YES            
4      10     14     -63.55299               -0.0           -0.0           block1a-000533        YES            
4      12     16     -61.685816              -0.037         -0.0           block1a-000622        YES            
4      14     18     -59.810234              0.0            -0.0           block1a-000683        YES            
4      16     20     -56.912853              0.0            -0.0           block1a-000803        YES            
4      18     22     -52.438203              -0.0           -0.0           block1a-000863        YES            
4      20     24     -47.929245              -0.035         0.0            block1a-000937        YES            
6      2      8      -18.784341              0.01           -0.0           block1a-001014        YES            
6      4      10     -54.238374              -0.005         -0.0           block1a-001054        YES            
6      6      12     -83.172873              -0.0           0.0            block1a-001131        YES            
6      8      14     -99.873915              0.001          -0.0           block1a-001242        YES            
6      10     16     -105.264684             -0.0           -0.0           block1a-001283        YES            
6      12     18     -109.295831             -0.0           -0.0           block1a-001388        YES            
6      14     20     -112.76003              -0.003         -0.0           block1a-001492        YES            
6      16     22     -114.597399             0.0            0.0            block1a-001508        YES            
6      18     24     -112.104457             0.004          -0.0           block1a-001584        YES            
6      20     26     -108.985872             0.0            -0.0           block1a-001703        YES            
6      22     28     -105.849644             0.0            0.0            block1a-001763        YES            
8      2      10     -13.150788              -0.078         -0.0           block1a-001821        YES            
8      4      12     -55.151706              -0.0           -0.0           block1a-001913        YES            
8      6      14     -94.045645              -0.0           -0.0           block1a-001972        YES            
8      8      16     -121.760211             0.0            0.0            block1a-002049        YES            
8      10     18     -136.167695             0.0            0.0            block1a-002108        YES            
8      12     20     -147.659823             -0.0           -0.0           block1a-002183        YES            
8      14     22     -157.254993             -0.0           0.0            block1a-002257        YES            
8      16     24     -164.031837             0.001          -0.0           block1a-002349        YES            
8      18     26     -165.49072              -0.004         0.0            block1a-002436        YES            
8      20     28     -165.138552             -0.003         -0.0           block1a-002542        YES            
8      22     30     -163.099121             -0.039         -0.0           block1a-002556        YES            
8      24     32     -160.466002             -0.062         0.0            block1a-002661        YES            
8      26     34     -157.518486             -0.061         -0.0           block1a-002706        YES            
10     2      12     -4.385182               0.067          0.0            block1a-002844        YES            
10     4      14     -48.644588              -0.026         0.0            block1a-002902        YES            
10     6      16     -93.058678              -0.003         0.0            block1a-002962        YES            
10     8      18     -129.42061              -0.0           -0.0           block1a-003007        YES            
10     10     20     -152.95969              0.336          -0.001         block1a-003086        YES            
10     12     22     -170.994365             -0.141         0.001          block1a-003219        YES            
10     14     24     -186.913798             0.109          -0.002         block1a-003260        YES            
10     16     26     -198.427252             -0.002         0.0            block1a-003305        YES            
10     18     28     -204.408574             -0.004         0.0            block1a-003378        YES            
10     20     30     -207.975136             0.0            0.0            block1a-003458        YES            
10     22     32     -208.714601             0.27           -0.0           block1a-003595        YES            
10     24     34     -207.620091             -0.22          0.0            block1a-003634        YES            
10     26     36     -207.526994             -0.286         -0.0           block1a-003679        YES            
10     28     38     -207.493082             0.346          0.0            block1a-003776        YES            
10     30     40     -206.012912             0.214          -0.0           block1a-003891        YES            
10     32     42     -204.596604             0.062          -0.0           block1a-003966        YES            
10     34     44     -202.792402             -0.018         0.0            block1a-003981        YES            
10     36     46     -198.332925             0.22           -0.0           block1a-004122        YES            
