Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -18.740751             0.002026             0.001945               0.001985                0.00022                   0.000212                       0.000432                        -0.0                            -0.0                               -0.0                         1.678855                2.066012              2.074989             2.080353               2.077673               2.234162            12              YES
2      4      6            -23.250798                  0.0                1e-06                    0.0                    0.0                        0.0                            0.0                         0.0                             0.0                                0.0                         1.293324                2.113089              2.001049             2.660408               2.460335                2.13869           143              YES
2      6      8            -24.627961            -0.000833            -0.012288              -0.010808               -8.7e-05                  -0.008624                      -0.008711                         0.0                             0.0                                0.0                         0.983698                1.939308              2.031587             3.044887               2.825834               2.140337           171              YES
4      2      6            -21.049078             0.015915             0.001713               0.012815               0.005825                   0.000175                          0.006                         0.0                             0.0                                0.0                         1.676909               -1.491692              2.693132             2.012776               2.487113               2.827881           280              YES
4      4      8            -43.447522             -0.00021            -0.000197              -0.000203               -5.8e-05                   -5.4e-05                      -0.000112                        -0.0                            -0.0                               -0.0                         1.556005                1.861711              2.334537             2.329576               2.332057               2.477087           307              YES
4      6      10           -58.708713            -0.000819            -0.002291              -0.001785              -0.000216                  -0.001153                      -0.001369                         0.0                             0.0                                0.0                         1.215757                1.842736               2.28734             2.578292               2.466034               2.420697           380              YES
4      8      12           -64.915755                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                        -0.0                             0.0                                0.0                         0.889298                 1.79067              2.326154             2.894631                2.71838               2.445566           458              YES
4      10     14            -63.55299               -2e-06               -2e-06                 -2e-06                 -1e-06                     -2e-06                         -3e-06                         0.0                            -0.0                               -0.0                         0.814657                1.678382              2.359859             3.378077               3.121238               2.465904           533              YES
4      12     16           -61.685816            -0.017331            -0.018101              -0.018003              -0.004994                  -0.035882                      -0.040876                         0.0                             0.0                                0.0                         0.867499                1.655847              2.389555             3.618598               3.353831               2.482675           637              YES
4      14     18           -59.810234                1e-06                  0.0                    0.0                    0.0                      1e-06                          1e-06                         0.0                            -0.0                               -0.0                         0.816612                1.594436              2.422937             3.763192               3.509868               2.503253           713              YES
4      16     20           -56.912853                2e-06                  0.0                    0.0                  1e-06                      1e-06                          1e-06                        -0.0                            -0.0                               -0.0                         0.713739                1.523154              2.457241             3.925565               3.679083               2.525002           788              YES
4      18     22           -52.438203               -2e-06                 -0.0                   -0.0                 -1e-06                     -1e-06                         -1e-06                         0.0                            -0.0                               -0.0                         0.554081                 1.46828              2.486416             4.155488               3.905442                2.54201           863              YES
4      20     24           -47.929245             -0.00579            -0.015235               -0.01466              -0.001836                   -0.07441                      -0.076246                         0.0                             0.0                                0.0                         0.529005                1.436393              2.506796             4.399667               4.144663               2.550594           922              YES
6      2      8            -18.784341             0.004741             0.000322               0.004186               0.003497                    3.4e-05                       0.003531                        -0.0                            -0.0                               -0.0                         1.532744                1.225584              3.121618              2.04903               2.891021               3.241573          1029              YES
6      4      10           -54.238374            -0.004421              -0.0015               -0.00343              -0.002284                  -0.000398                      -0.002683                        -0.0                            -0.0                               -0.0                         1.547724                1.511339              2.612775             2.293642               2.490035               2.747943          1099              YES
6      6      12           -83.172873            -0.000197            -0.000192              -0.000194               -9.2e-05                   -8.9e-05                      -0.000181                         0.0                             0.0                                0.0                         1.224304                1.521066              2.484855             2.472247               2.478559               2.619238          1131              YES
6      8      14           -99.873915              0.00032             0.000713               0.000559                0.00015                   0.000521                       0.000671                        -0.0                          -2e-06                             -2e-06                         1.055525               -1.496499               2.49046             2.692328               2.607727               2.617172          1242              YES
6      10     16          -105.264684               -2e-06               -3e-06                 -3e-06                 -1e-06                     -3e-06                         -4e-06                         0.0                            -0.0                               -0.0                         1.152561                1.454454              2.515647             2.927932               2.780498               2.633815          1283              YES
6      12     18          -109.295831               -1e-06               -1e-06                 -1e-06                   -0.0                     -1e-06                         -2e-06                        -0.0                             0.0                               -0.0                         1.191437                1.394373              2.541899             3.144686                2.95744               2.651613          1388              YES
6      14     20           -112.76003            -0.000539            -0.001942              -0.001659              -0.000269                  -0.003825                      -0.004094                        -0.0                            -0.0                               -0.0                         0.996301                 1.30773              2.567984             3.339234               3.127891                2.66939          1492              YES
6      16     22          -114.597399                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                         0.0                             0.0                                0.0                         0.795639                 1.24055              2.599586             3.507317               3.284727               2.692628          1508              YES
6      18     24          -112.104457             0.000207             0.002734               0.002371               0.000109                   0.008576                       0.008686                        -0.0                            -0.0                               -0.0                         0.569382                1.203697              2.638778             3.716534               3.478542               2.723389          1599              YES
6      20     26          -108.985872                  0.0                  0.0                    0.0                    0.0                        0.0                            0.0                        -0.0                            -0.0                               -0.0                         0.552479                1.202627              2.671368             3.949801               3.694257               2.747946          1703              YES
6      22     28          -105.849644                 -0.0                 -0.0                   -0.0                   -0.0                     -2e-06                         -2e-06                        -0.0                            -0.0                               -0.0                         0.460516                1.194364              2.688929             4.200542               3.925931               2.758014          1778              YES
8      2      10           -13.150788            -0.030309            -0.000796              -0.028015              -0.039392                   -8.7e-05                      -0.039479                        -0.0                             0.0                               -0.0                         1.501826                0.796275              3.588563              2.08343                3.34221               3.694694          1866              YES
8      4      12           -55.151706                  0.0                 -0.0                   -0.0                    0.0                       -0.0                           -0.0                        -0.0                             0.0                               -0.0                         1.491147                1.097555              2.966679              2.33176                2.77125                3.08952          1913              YES
8      6      14           -94.045645             -0.00025             -0.00014              -0.000208              -0.000187                   -6.6e-05                      -0.000252                        -0.0                            -0.0                               -0.0                         1.200253                1.305532              2.720207              2.48373               2.621473               2.848587          1957              YES
8      8      16          -121.760211              3.4e-05              1.8e-05                2.6e-05                2.4e-05                    1.3e-05                        3.7e-05                         0.0                             0.0                                0.0                         1.046004                1.309206              2.664672             2.650054               2.657373               2.790408          2034              YES
8      10     18          -136.167695                  0.0                1e-06                    0.0                    0.0                      1e-06                          1e-06                         0.0                            -0.0                                0.0                         1.203222                1.267202              2.660343             2.818264               2.749197               2.781061          2108              YES
8      12     20          -147.659823                 -0.0               -1e-06                 -1e-06                   -0.0                     -1e-06                         -1e-06                        -0.0                             0.0                               -0.0                         1.246773                1.197096              2.673354             2.967997               2.853793                2.78831          2183              YES
8      14     22          -157.254993             -5.5e-05            -0.000352              -0.000263                 -4e-05                  -0.000605                      -0.000645                         0.0                             0.0                                0.0                         1.000367                 1.10787              2.693698             3.119166               2.971507               2.802647          2272              YES
8      16     24          -164.031837              4.6e-05             0.000545               0.000418                3.4e-05                   0.001195                        0.00123                         0.0                            -0.0                               -0.0                         0.772649                1.040745               2.72276             3.297392               3.117638                2.82546          2334              YES
8      18     26           -165.49072             0.000101            -0.004081               -0.00316                7.8e-05                  -0.011178                        -0.0111                        -0.0                             0.0                                0.0                         0.655962                1.026939              2.768168              3.47315               3.272448                2.86418          2406              YES
8      20     28          -165.138552            -0.000259            -0.002116              -0.001762              -0.000206                  -0.007157                      -0.007363                        -0.0                            -0.0                               -0.0                           0.6469                1.006938              2.808326             3.661451               3.439363               2.898007          2542              YES
8      22     30          -163.099121            -0.002839            -0.028383              -0.024328              -0.002294                  -0.121517                      -0.123811                        -0.0                          -1e-06                             -1e-06                         0.551643                0.973278              2.829461             3.927542               3.667014               2.913516          2601              YES
8      24     32          -160.466002            -0.006232            -0.040576              -0.035968               -0.00508                  -0.213453                      -0.218533                        -0.0                          -2e-06                             -2e-06                         0.630719                0.955002              2.842108             4.168281               3.879474               2.920836          2646              YES
8      26     34          -157.518486             -0.00706            -0.037749               -0.03413              -0.005824                  -0.232929                      -0.238753                        -0.0                          -3e-06                             -3e-06                         0.693241                0.932663               2.85903             4.337278               4.038432               2.932359          2706              YES
