Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
2      2      4            -30.830858             0.354598             0.356702               0.355647               0.044895                   0.044922                       0.089817                    0.001731                        0.001742                           0.003473                         4.211735                4.171085              2.240068             2.234116               2.237094               2.388264            17              YES
2      4      6            -36.273566            -0.000412            -0.007391              -0.005642                 -4e-05                  -0.002157                      -0.002197                         0.0                             0.0                                0.0                         2.952494                 3.29039              1.966832             2.404616               2.268096                2.10671           122              YES
2      6      8             -36.64459             0.000685             0.005621               0.004869                  7e-05                    0.00317                        0.00324                        -0.0                            -0.0                               -0.0                         2.442412                2.857674              2.005168             2.729534               2.567673               2.115278           161              YES
4      2      6            -33.531605            -0.008355            -0.000966              -0.006548              -0.002519                   -9.4e-05                      -0.002613                         0.0                             0.0                                0.0                         3.330151                2.826325              2.444263             1.966684               2.296134               2.591982           259              YES
4      4      8            -55.773115            -0.000622            -0.000397               -0.00051              -0.000167                  -0.000105                      -0.000273                         0.0                             0.0                                0.0                         2.665979                2.615286              2.308503             2.293124               2.300826               2.452567           302              YES
4      6      10           -70.095284             0.000407              0.00061               0.000536               0.000109                    0.00029                       0.000399                         0.0                             0.0                                0.0                         2.320893                2.373072              2.306149              2.50546                 2.4277               2.438478           387              YES
4      8      12           -76.236224             0.001418             0.002115               0.001926               0.000392                   0.001579                       0.001971                        -0.0                            -0.0                               -0.0                        -1.949478               -2.206734              2.341396             2.719906               2.599866               2.460068           461              YES
4      10     14             -74.5412                  0.0                 -0.0                   -0.0                    0.0                       -0.0                           -0.0                        -0.0                            -0.0                               -0.0                         1.747372                2.103098              2.382516             3.012102               2.846465               2.487596           548              YES
4      12     16            -71.73906             0.007219             0.008657               0.008436               0.002129                   0.014036                       0.016165                         0.0                             0.0                              1e-06                         1.754622                2.029097              2.417359             3.272637               3.081155               2.509447           609              YES
4      14     18           -68.922731                2e-06                1e-06                  1e-06                  1e-06                      2e-06                          3e-06                         0.0                             0.0                                0.0                         1.645586                1.913861              2.449076             3.449229               3.253652               2.528562           728              YES
4      16     20           -64.669488             0.000259            -0.004034              -0.003583                  8e-05                  -0.010666                      -0.010586                         0.0                             0.0                                0.0                         1.466358                1.823484              2.480455              3.61924               3.421937               2.547598           817              YES
4      18     22           -58.197137               -1e-06                 -0.0                   -0.0                   -0.0                     -1e-06                         -2e-06                        -0.0                            -0.0                               -0.0                         1.125505                1.781808              2.509096             3.845184               3.638932               2.564199           848              YES
4      20     24           -50.969795             0.665737             0.467426               0.485986               0.368901                   2.508526                       2.877427                   -0.029769                       -0.097224                          -0.126993                         0.992217                1.771545              3.313741             4.611932               4.422112               3.346995           960              YES
6      2      8            -29.825055             0.007265              0.00063               0.006304               0.004376                    6.4e-05                        0.00444                         0.0                             0.0                                0.0                          -2.8984               -2.296101              2.820705             2.011345               2.641716                2.95291          1045              YES
6      4      10           -65.692042             0.001596             0.000147               0.001084               0.000779                    3.9e-05                       0.000818                        -0.0                            -0.0                               -0.0                        -2.421692                2.264909              2.538894             2.298846               2.445703               2.677794          1079              YES
6      6      12            -92.70219             0.000144             0.000174               0.000159                6.8e-05                    8.1e-05                       0.000149                        -0.0                            -0.0                               -0.0                        -2.117689                2.066543              2.494917             2.474785               2.484871               2.628785          1167              YES
6      8      14          -109.327747                  0.0                 -0.0                   -0.0                    0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                        -1.877074               -1.939387               2.51213             2.645298               2.589065               2.637802          1268              YES
6      10     16          -115.803529                 -0.0                 -0.0                   -0.0                   -0.0                       -0.0                           -0.0                         0.0                             0.0                                0.0                         1.848133               -1.813734              2.539294             2.829627                2.72438                2.65641          1343              YES
6      12     18          -119.881668             -0.00123            -0.001849              -0.001683              -0.000613                   -0.00251                      -0.003123                         0.0                             0.0                                0.0                         1.857811                1.723563               2.56552             2.994774                2.85886               2.674265          1357              YES
6      14     20          -123.297555             0.000186             0.000744               0.000619                9.5e-05                   0.001305                       0.001399                         0.0                             0.0                                0.0                         1.653508                1.604795              2.591671             3.151025               2.994211               2.692185          1479              YES
6      16     22          -124.533239               -1e-06               -1e-06                 -1e-06                   -0.0                     -1e-06                         -2e-06                         0.0                             0.0                                0.0                          1.46156                1.515678              2.623332             3.303446               3.132639               2.715561          1568              YES
6      18     24          -121.633072             -7.8e-05            -0.001485              -0.001255               -4.2e-05                  -0.004066                      -0.004108                        -0.0                            -0.0                               -0.0                         1.217149                1.493148              2.662424             3.471987               3.288335               2.746307          1612              YES
6      20     26          -116.652378             0.000582              0.00494               0.004334               0.000322                   0.016869                       0.017191                        -0.0                            -0.0                               -0.0                         1.123153                1.474112              2.701034             3.678714               3.477578               2.776794          1659              YES
6      22     28           -110.78573            -0.011855            -0.085039              -0.076697              -0.006675                  -0.372227                      -0.378902                        -0.0                          -1e-06                             -1e-06                         0.983818                1.457045              2.727416             3.971274               3.739725                2.79555          1744              YES
8      2      10           -21.489365            -0.030515            -0.002157              -0.027964              -0.032904                   -0.00023                      -0.033134                         0.0                             0.0                                0.0                         2.666634                1.610052              3.268615             2.055249               3.064618               3.384793          1836              YES
8      4      12           -66.232572             0.005638             0.002947               0.004937               0.004422                   0.000814                       0.005236                         0.0                             0.0                                0.0                        -2.270262               -1.825073              2.787789             2.339335               2.646761                2.91817          1932              YES
8      6      14          -103.388963             0.000475             0.000172               0.000356               0.000345                    8.1e-05                       0.000426                         0.0                             0.0                                0.0                        -1.978778               -1.766534              2.681607             2.499263               2.605023                2.81175          1962              YES
8      8      16          -129.889764             -1.8e-05               -8e-06               -1.3e-05               -1.3e-05                     -6e-06                       -1.9e-05                        -0.0                            -0.0                               -0.0                         1.742162                 1.66979              2.669981             2.645323               2.657681               2.795478          2032              YES
8      10     18           -144.78617              2.3e-05              1.7e-05                1.9e-05                1.7e-05                    1.7e-05                        3.3e-05                         0.0                             0.0                                0.0                         1.780337                1.571334              2.678895             2.801568               2.747723               2.798813          2167              YES
8      12     20          -156.559343            -0.000103            -0.000233              -0.000186               -7.5e-05                  -0.000303                      -0.000378                        -0.0                            -0.0                               -0.0                         1.825899                1.464703              2.693143             2.931382               2.838487               2.807289          2182              YES
8      14     22          -166.516591               -7e-06            -0.000145              -0.000102                 -5e-06                  -0.000238                      -0.000244                        -0.0                             0.0                                0.0                         1.593836                1.344067              2.711895             3.053424               2.933835               2.820142          2287              YES
8      16     24           -173.33983                9e-06            -0.001818              -0.001325                  7e-06                  -0.003729                      -0.003722                         0.0                           1e-06                              1e-06                         1.360004                 1.29389              2.739129             3.187701               3.045527               2.841237          2344              YES
