Z      N      A      Energy_new-old(MeV)      beta2_new    beta2_old    beta3_new    fileID    
2      2      4      -0.055795                0.080907     0.000000     -0.056208    27        
2      4      6      0.00989                  -0.002871    0.000000     -0.0         97        
2      6      8      -0.00216                 -0.009125    0.000000     -0.0         156       
4      2      6      -0.025086                0.01081      0.000000     0.0          235       
4      4      8      0.03779                  -0.000139    0.000000     0.0          367       
4      6      10     -0.152718                -0.001463    0.000000     -0.0         425       
4      8      12     0.022514                 -0.000786    0.000000     6.7e-05      517       
4      10     14     0.026195                 -3e-06       0.000000     0.0          548       
4      12     16     0.021116                 0.01668      0.000001     -9e-06       654       
4      14     18     0.020504                 1e-06        0.000000     -0.0         728       
4      16     20     0.018187                 0.0          0.000000     0.0          788       
4      18     22     0.00725                  -0.011403    0.000000     0.0          832       
4      20     24     0.002736                 0.017642     0.000000     -4e-06       909       
6      2      8      0.024722                 0.003855     0.000000     0.0          1044      
6      4      10     -0.161656                -0.003002    0.000000     0.0          1054      
6      6      12     0.022686                 0.109511     0.000000     0.046209     1200      
6      8      14     0.012945                 0.000387     0.000000     1.2e-05      1226      
6      10     16     -0.027453                0.105779     0.000000     0.049087     1332      
6      12     18     0.028923                 -9e-06       0.000000     0.0          1418      
6      14     20     -0.004413                0.001068     0.000000     -0.0         1479      
6      16     22     0.024009                 -0.0         0.000000     0.0          1523      
6      18     24     0.020217                 0.0          0.000000     0.0          1613      
6      20     26     0.018378                 0.0          0.000000     0.0          1703      
6      22     28     0.004632                 -0.039087    0.000000     6e-06        1746      
8      2      10     0.014298                 -0.032653    0.000000     0.0          1866      
8      4      12     0.006979                 0.012984     0.000000     0.0          1947      
8      6      14     0.017341                 0.191079     0.000000     0.117122     2007      
8      8      16     0.037808                 0.0          0.000000     -0.0         2033      
8      10     18     0.025275                 -0.000301    0.000000     -0.0         2107      
8      12     20     0.03465                  2e-06        0.000000     0.0          2213      
8      14     22     0.031377                 0.000175     0.000000     -0.0         2304      
8      16     24     0.025013                 -0.001876    0.000000     0.0          2376      
8      18     26     0.015241                 -0.003227    0.000000     0.0          2436      
8      20     28     0.018466                 -0.001847    0.000000     -0.0         2497      
8      22     30     -0.013369                -0.022014    0.000000     0.0          2571      
8      24     32     -0.055566                -0.034491    -0.000001    -5e-06       2646      
8      26     34     -0.105193                -0.037033    -0.000001    -0.0         2751      
10     2      12     0.021047                 0.020117     0.000000     -0.0         2799      
10     4      14     0.017045                 0.01144      0.000000     0.0          2919      
10     6      16     0.030458                 0.0017       0.000000     -0.0         2979      
10     8      18     0.037334                 0.000137     0.000000     0.0          3007      
10     10     20     0.079262                 0.255993     0.251112     0.000594     3085      
10     12     22     0.075186                 0.272806     0.269609     -4.5e-05     3160      
10     14     24     0.015925                 0.026314     0.000000     -0.002138    3258      
10     16     26     -0.045627                0.006759     0.000000     -0.00038     3350      
10     18     28     -0.131231                -0.001265    0.000000     3e-06        3424      
10     20     30     0.017117                 -0.001432    0.000000     3e-06        3486      
10     22     32     0.008756                 0.198923     0.190604     0.008764     3554      
10     24     34     -0.015136                0.275122     0.267866     -0.000501    3613      
10     26     36     -0.061294                0.265009     0.257138     3.9e-05      3687      
10     28     38     -0.037017                0.2187       0.207780     2.2e-05      3807      
10     30     40     0.006744                 0.139001     0.131521     3e-05        3895      
10     32     42     0.021542                 -2e-06       -0.000001    -0.0         3908      
10     34     44     -0.003919                -0.012882    0.000000     -1e-06       4026      
10     36     46     -0.143885                0.13019      0.000000     -1e-06       4092      
10     38     48     -0.140495                -0.155057    -0.000002    -8e-06       4188      
12     2      14     -0.679137                0.787333     0.000001     3.432048     4245      
12     4      16     -0.003341                -0.015952    0.000001     0.0          4342      
12     6      18     0.023332                 -0.00401     0.000000     -7e-06       4372      
12     8      20     0.036862                 -0.000354    0.000000     0.0          4447      
12     10     22     0.049403                 0.277817     0.278176     0.001447     4523      
12     12     24     0.047444                 0.307161     0.308601     0.002634     4595      
12     14     26     -0.008281                -0.10962     -0.117032    -0.000122    4654      
12     16     28     -0.072088                0.003221     0.000000     0.000161     4774      
12     18     30     -0.000387                0.000266     0.000000     -3e-06       4814      
12     20     32     -0.007301                0.000655     0.000000     -7e-06       4890      
12     22     34     0.012609                 0.18907      0.186510     0.011892     5009      
12     24     36     0.019835                 0.287535     0.287631     -0.000819    5094      
12     26     38     0.008686                 0.288279     0.285890     0.000999     5142      
12     28     40     0.01271                  0.251888     0.247025     0.000601     5232      
12     30     42     0.02765                  -0.155885    -0.154698    9.8e-05      5287      
12     32     44     0.02897                  -4e-06       0.000000     -0.0         5378      
12     34     46     0.021817                 -0.007604    0.000000     5e-06        5451      
12     36     48     -0.073509                0.115797     0.000000     -3.6e-05     5532      
12     38     50     -0.391288                0.191852     -0.000004    5.6e-05      5592      
14     4      18     0.017326                 -0.012482    0.000001     0.0          5797      
14     6      20     0.027172                 -1e-06       0.000000     0.0          5888      
14     8      22     0.0251                   0.000482     0.000000     -0.0         5934      
14     10     24     0.055697                 0.142937     0.144823     -0.000375    6010      
14     12     26     0.023748                 0.15751      0.165560     -0.001499    6138      
14     14     28     0.007125                 -0.000749    0.000000     -1.5e-05     6182      
14     16     30     -0.000133                -0.000323    0.000000     5e-06        6243      
14     18     32     -0.014545                0.037815     0.000000     -0.006893    6345      
14     20     34     0.033506                 0.000255     0.000000     8e-06        6405      
14     22     36     0.041742                 0.084917     0.055521     -0.029283    6479      
14     24     38     0.03214                  0.210982     0.210398     0.001712     6537      
14     26     40     0.039825                 0.224143     0.222679     -0.025483    6669      
14     28     42     0.038162                 -0.193779    -0.193484    0.000574     6697      
14     30     44     0.046794                 -0.113496    -0.108107    0.005329     6816      
14     32     46     0.031924                 0.000574     0.000000     1e-06        6849      
14     34     48     0.022175                 -0.003619    0.000000     3e-06        6906      
14     36     50     0.032063                 0.0          0.000000     -0.0         6983      
14     38     52     0.002712                 0.108677     0.000001     -7e-06       7122      
16     6      22     0.023662                 -0.0         0.000000     0.0          7283      
16     8      24     0.031095                 0.0          0.000000     0.0          7418      
16     10     26     -0.017513                -0.003016    0.000000     -4e-06       7429      
16     12     28     0.019887                 -0.005244    0.000000     -1.5e-05     7518      
16     14     30     -0.022436                -0.000948    0.000000     -8e-06       7592      
16     16     32     0.005499                 -0.000543    0.000000     2e-06        7667      
16     18     34     0.019547                 0.000505     0.000000     -1.7e-05     7755      
16     20     36     0.00195                  0.017893     0.000000     -0.002192    7845      
16     22     38     0.00291                  -0.002385    -0.000003    -4.5e-05     7932      
16     24     40     0.045343                 0.179177     0.179136     -0.000415    7962      
16     26     42     0.052426                 0.185161     0.184711     0.004889     8049      
16     28     44     0.038131                 -0.147174    -0.147263    0.002604     8167      
16     30     46     0.038325                 0.000455     0.000000     -8e-06       8228      
16     32     48     0.030908                 0.000281     0.000000     -1e-06       8304      
16     34     50     0.032499                 1e-06        0.000000     -0.0         8333      
16     36     52     0.031194                 2e-06        0.000000     0.0          8438      
16     38     54     0.013317                 -0.003141    0.000000     -5e-06       8481      
16     40     56     -0.003207                -0.008937    0.000000     3e-06        8601      
16     42     58     -0.048213                0.229522     0.219508     -0.000179    8697      
16     44     60     -0.071706                0.252993     0.241351     6.9e-05      8742      
16     46     62     -0.076365                0.254135     0.238584     2e-06        8847      
16     48     64     -0.053193                -0.226933    -0.208382    8.1e-05      8868      
18     8      26     0.019462                 0.003452     0.000000     -0.0         9024      
18     10     28     0.031219                 -1e-06       0.000000     0.0          9098      
18     12     30     -0.008436                -0.000632    0.000000     1.9e-05      9200      
18     14     32     -0.030765                0.003891     0.000000     0.000317     9270      
18     16     34     0.025061                 0.00164      0.000000     7.8e-05      9358      
18     18     36     -0.008149                0.000202     0.000000     -4e-06       9390      
18     20     38     0.000572                 -1.7e-05     0.000000     -0.0         9462      
18     22     40     0.046517                 0.000138     0.000000     -2e-06       9593      
18     24     42     0.045715                 0.100207     0.099795     0.000121     9612      
18     26     44     0.055899                 0.079945     0.079934     0.000273     9699      
18     28     46     0.034853                 0.001748     0.000002     -7.9e-05     9787      
18     30     48     0.045921                 -0.0         0.000000     0.0          9833      
18     32     50     0.039756                 0.000252     0.000000     -4e-06       9953      
18     34     52     0.037789                 0.000242     0.000000     1e-06        9999      
18     36     54     0.037262                 -0.0         0.000000     0.0          10088     
18     38     56     0.01424                  -0.00066     0.000000     4e-06        10161     
18     40     58     -0.009297                -0.001301    0.000000     -2e-06       10266     
18     42     60     -0.047913                -0.012319    0.000001     -2e-06       10310     
18     44     62     -0.080823                0.140018     0.135302     -9e-06       10406     
18     46     64     -0.067482                0.174902     0.166592     0.0001       10437     
18     48     66     -0.02111                 -0.166518    -0.157707    3.6e-05      10518     
18     50     68     0.013922                 -0.167536    -0.163857    0.000142     10581     
18     52     70     0.033867                 -0.155863    -0.154065    -1.6e-05     10657     
18     54     72     0.042101                 -0.136768    -0.128429    -9.7e-05     10761     
18     56     74     0.025955                 0.00324      -0.000001    -1e-06       10824     
20     10     30     0.029141                 -1e-06       0.000000     -0.0         10973     
20     12     32     0.038403                 1e-06        0.000000     0.0          11033     
20     14     34     0.03835                  0.000486     0.000000     8e-06        11141     
20     16     36     0.030574                 0.000123     0.000000     -2e-06       11187     
20     18     38     0.033369                 2.5e-05      0.000000     0.0          11262     
20     20     40     0.050375                 0.00159      0.000000     -5.5e-05     11393     
20     22     42     0.046582                 0.000114     0.000000     -3e-06       11437     
20     24     44     0.035201                 7.8e-05      0.000000     1e-06        11542     
20     26     46     0.057713                 -0.0         0.000000     0.0          11618     
20     28     48     0.0587                   -0.0         0.000000     0.0          11633     
20     30     50     0.051267                 0.0          0.000000     1e-06        11738     
20     32     52     0.045521                 0.003328     0.000000     -0.00016     11843     
20     34     54     0.043532                 0.0          0.000000     0.0          11858     
20     36     56     0.03078                  0.000471     0.000000     -2e-06       11935     
20     38     58     0.01522                  -0.000415    0.000000     -2e-06       12006     
20     40     60     0.015731                 -0.000457    0.000000     1e-06        12111     
20     42     62     -0.023782                -0.001536    0.000000     3e-06        12185     
20     44     64     -0.052306                -0.004865    0.000000     -3e-06       12260     
20     46     66     0.009528                 0.08339      0.070419     0.000342     12372     
20     48     68     0.0172                   0.099191     0.089243     -6.6e-05     12431     
20     50     70     0.022371                 0.070884     0.054051     0.000129     12506     
20     52     72     0.026095                 0.006104     -0.000001    -7e-06       12579     
20     54     74     0.035485                 2e-06        0.000000     -0.0         12623     
20     56     76     0.033357                 0.0          0.000000     0.0          12698     
20     58     78     0.030849                 0.001498     0.000000     1e-06        12774     
22     12     34     -0.00386                 0.300246     0.291764     0.000637     12989     
22     14     36     0.010682                 0.078659     0.076267     -0.000759    13063     
22     16     38     0.024799                 0.010663     0.000001     6.5e-05      13140     
22     18     40     0.038189                 6.9e-05      -0.000001    -3e-06       13212     
22     20     42     0.057714                 8e-06        0.000000     -0.0         13343     
22     22     44     0.042595                 0.000169     0.000000     -0.0         13359     
22     24     46     0.071439                 0.128452     0.127396     -1.3e-05     13434     
22     26     48     0.058601                 0.075147     0.071537     -0.000116    13569     
22     28     50     0.044629                 -3.3e-05     0.000001     2e-06        13627     
22     30     52     0.060965                 3.5e-05      0.000000     -0.0         13718     
22     32     54     0.054386                 8.5e-05      0.000000     3e-06        13749     
22     34     56     0.051956                 0.000136     0.000000     4e-06        13869     
22     36     58     -0.007009                -0.007147    -0.000001    4e-06        13879     
22     38     60     -0.018615                -0.000616    0.000000     1e-06        13955     
22     40     62     -0.005206                -0.000617    0.000000     2e-06        14074     
22     42     64     -0.076351                -0.000679    0.000000     4e-06        14105     
22     44     66     0.017123                 0.12516      0.125961     0.002236     14201     
22     46     68     0.008204                 0.154255     0.151167     0.020871     14322     
22     48     70     -0.010435                0.151217     0.149504     0.000651     14352     
22     50     72     -0.024408                0.126721     0.124008     0.001508     14442     
22     52     74     0.014147                 -0.087381    -0.078967    5.4e-05      14478     
22     54     76     -0.076161                -0.064631    -0.000015    -2.8e-05     14553     
22     56     78     0.033227                 0.001167     0.000000     -0.0         14634     
22     58     80     0.015418                 -0.001046    0.000000     -1e-06       14722     
22     60     82     0.039113                 -0.0         0.000000     -0.0         14843     
22     62     84     0.039144                 -0.0         0.000000     1e-06        14918     
22     64     86     0.029199                 0.098819     0.000001     2e-06        15000     
24     12     36     -0.025821                0.32796      0.314534     0.000305     15058     
24     14     38     0.019061                 0.228972     0.225014     0.007349     15104     
24     16     40     0.035858                 0.189813     0.189475     0.00123      15164     
24     18     42     0.057538                 0.100633     0.099858     0.006483     15292     
24     20     44     0.064986                 4.1e-05      0.000000     -0.0         15368     
24     22     46     0.065941                 0.124693     0.124540     0.0          15384     
24     24     48     0.069475                 0.213289     0.212988     0.005122     15474     
24     26     50     0.073921                 0.188956     0.188045     0.009618     15549     
24     28     52     0.077101                 0.101038     0.100424     3.4e-05      15609     
24     30     54     0.071246                 -1e-06       0.000001     0.0          15683     
24     32     56     0.063713                 -0.000271    0.000000     -3e-06       15789     
24     34     58     0.055886                 0.135876     0.133803     0.013255     15853     
24     36     60     0.024207                 0.13391      0.129706     0.019601     15944     
24     38     62     0.042421                 0.248084     0.250480     -0.000655    15990     
24     40     64     0.006277                 -0.000299    0.000000     -2e-06       16054     
24     42     66     0.035682                 0.228838     0.228223     0.018928     16153     
24     44     68     0.026823                 0.196854     0.197086     0.006525     16242     
24     46     70     0.021499                 0.186483     0.186340     -0.002048    16317     
24     48     72     0.003362                 0.179942     0.179569     0.001769     16377     
24     50     74     -0.003009                0.153345     0.152108     6.7e-05      16437     
24     52     76     -0.010365                0.104717     0.100578     -0.000342    16542     
24     54     78     -0.00621                 -0.074874    -0.064577    -6.3e-05     16608     
24     56     80     0.023073                 -0.00108     0.000000     -0.0         16717     
24     58     82     0.028847                 -0.000785    0.000000     0.0          16732     
24     60     84     0.046799                 0.0          0.000000     -1e-06       16853     
24     62     86     0.04642                  -1e-06       0.000000     0.0          16928     
24     64     88     0.045069                 -2e-06       0.000000     -0.0         16958     
24     66     90     0.022817                 0.146569     0.144112     5.6e-05      17079     
26     14     40     -0.004162                -0.222354    -0.215853    -7.1e-05     3         
26     16     42     0.025976                 0.214313     0.210879     0.001646     120       
26     18     44     0.04181                  -0.108956    -0.107192    0.000502     154       
26     20     46     0.04328                  0.346644     0.000000     0.254352     282       
26     22     48     0.074255                 0.104799     0.104118     -0.00141     368       
26     24     50     0.078827                 0.200258     0.199532     -0.009093    427       
26     26     52     0.081606                 0.172532     0.171240     0.011166     518       
26     28     54     0.091428                 3.6e-05      0.000000     -0.0         593       
26     30     56     0.081298                 0.040471     0.000000     -0.006572    669       
26     32     58     0.07174                  -4.7e-05     0.000000     3e-06        699       
26     34     60     0.059724                 0.149166     0.140243     0.033632     794       
26     36     62     0.027737                 0.129289     0.127766     0.012701     855       
26     38     64     0.012891                 -0.011723    0.000002     1.3e-05      902       
26     40     66     0.01251                  -0.000183    0.000000     1e-06        979       
26     42     68     0.019323                 -0.001641    0.000000     2e-06        1052      
26     44     70     0.024531                 0.140209     0.139136     0.013902     1197      
26     46     72     0.029931                 0.154022     0.154248     0.001975     1272      
26     48     74     0.021482                 0.126567     0.127104     8.5e-05      1287      
26     50     76     0.011974                 0.006029     0.000000     -4.1e-05     1364      
26     52     78     -0.061949                0.03657      0.004449     0.003713     1470      
26     54     80     0.008755                 -0.042459    -0.000002    0.001691     1563      
26     56     82     0.04614                  0.001301     0.000000     7.2e-05      1644      
26     58     84     0.041014                 -0.000671    0.000000     1e-06        1672      
26     60     86     0.054956                 0.0          0.000000     0.0          1748      
26     62     88     0.054105                 0.0          0.000000     0.0          1808      
26     64     90     0.049942                 0.000412     0.000000     -1e-06       1944      
26     66     92     0.161034                 0.198823     0.176614     -0.000124    1976      
28     16     44     0.01297                  -0.187434    -0.185128    0.009744     2239      
28     18     46     0.035851                 -0.118528    -0.115197    -0.000175    2267      
28     20     48     0.072846                 0.002432     0.000000     -0.000171    2382      
28     22     50     0.091337                 0.048493     0.047463     -9e-06       2424      
28     24     52     0.083506                 0.147385     0.146794     -0.00488     2542      
28     26     54     0.089032                 0.099193     0.096429     -0.009649    2619      
28     28     56     0.087569                 0.003286     0.000000     -0.000169    2660      
28     30     58     0.05334                  0.001169     0.000000     -2.5e-05     2719      
28     32     60     0.057549                 -0.001784    0.000000     4e-06        2823      
28     34     62     0.067032                 0.113375     0.109342     0.018514     2924      
28     36     64     0.051025                 -0.112574    -0.112828    0.000225     2987      
28     38     66     0.034019                 -0.00361     0.000000     0.000214     3017      
28     40     68     0.069207                 -0.000486    0.000000     -1e-06       3078      
28     42     70     0.032257                 0.00402      0.000000     0.000235     3192      
28     44     72     0.036605                 0.074723     0.072015     0.012654     3299      
28     46     74     0.041127                 0.098695     0.100274     3.6e-05      3312      
28     48     76     0.04451                  0.000981     0.000000     1e-06        3389      
28     50     78     0.072427                 0.000997     0.000000     -1e-06       3462      
28     52     80     0.066128                 0.00727      0.000038     2e-06        3537      
28     54     82     0.059645                 0.001577     0.000000     9e-06        3639      
28     56     84     0.067545                 0.0          0.000000     -0.0         3698      
28     58     86     0.063856                 0.0          0.000000     -1e-06       3773      
28     60     88     0.057793                 0.000601     0.000000     -3e-06       3864      
28     62     90     0.057863                 0.000496     0.000000     -0.0         3954      
28     64     92     0.053696                 0.000176     0.000000     0.0          3984      
28     66     94     0.057901                 1.5e-05      0.000000     -1e-06       4088      
28     68     96     0.045981                 0.260439     0.259060     0.000318     4194      
28     70     98     0.04497                  0.279426     0.271408     0.000164     4255      
28     72     100    0.035371                 0.275434     0.273720     -0.000132    4329      
28     74     102    0.032636                 0.271249     0.269731     0.0          4404      
28     76     104    0.025963                 0.265529     0.264274     -7.6e-05     4479      
28     78     106    0.030264                 0.262278     0.260977     9.1e-05      4539      
30     20     50     0.032286                 0.000917     0.000000     -1e-06       4705      
30     22     52     0.068729                 0.000106     0.000000     4e-06        4794      
30     24     54     0.074447                 0.114916     0.113875     -0.008892    4868      
30     26     56     0.03824                  -0.001426    -0.000002    -3e-06       4879      
30     28     58     0.083085                 0.001124     0.000000     1e-06        5017      
30     30     60     0.076007                 0.000609     0.000000     -1.1e-05     5093      
30     32     62     0.06715                  0.000341     0.000000     -2.2e-05     5154      
30     34     64     0.073527                 0.125274     0.125470     0.003352     5216      
30     36     66     0.040523                 -0.128224    -0.128010    9.8e-05      5251      
30     38     68     0.012684                 -0.003529    0.000000     6e-06        5327      
30     40     70     0.025698                 -0.000465    0.000000     -3e-06       5448      
30     42     72     0.000643                 0.000878     0.000000     3.6e-05      5549      
30     44     74     0.031714                 0.131458     0.128126     0.021695     5595      
30     46     76     0.047477                 0.145878     0.146905     -0.000246    5640      
30     48     78     0.035774                 0.109417     0.110718     -0.004836    5772      
30     50     80     0.034341                 0.003615     0.000000     9e-06        5789      
30     52     82     0.03885                  0.072598     0.072646     0.000243     5865      
30     54     84     0.069125                 -0.061763    -0.061896    0.000284     5963      
30     56     86     0.06176                  -2e-06       0.000000     0.0          6008      
30     58     88     0.055103                 -0.000354    0.000000     1e-06        6097      
30     60     90     0.0563                   -3e-06       0.000000     1e-06        6203      
30     62     92     0.062009                 0.087236     0.087954     -5e-06       6278      
30     64     94     0.062534                 0.190664     0.189941     0.001086     6339      
30     66     96     0.056676                 0.231189     0.230564     0.001134     6444      
30     68     98     0.058019                 0.245775     0.244986     0.000685     6519      
30     70     100    0.055763                 0.250973     0.249872     0.000427     6594      
30     72     102    0.054872                 0.249711     0.248446     0.000264     6654      
30     74     104    0.044724                 0.245442     0.244248     0.000303     6729      
30     76     106    0.04648                  0.242157     0.241064     0.000165     6819      
30     78     108    0.045232                 0.241229     0.240209     7.2e-05      6849      
30     80     110    0.010651                 0.244596     0.240017     7e-06        6940      
30     82     112    -0.032454                0.243131     0.236579     -2e-05       7031      
30     84     114    -0.076135                0.231449     0.224205     0.000235     7061      
32     24     56     0.067072                 0.132517     0.133998     0.004979     7227      
32     26     58     0.072735                 0.136607     0.137502     0.00794      7302      
32     28     60     0.067653                 -0.000966    0.000000     0.000201     7417      
32     30     62     0.065446                 0.00077      0.000000     -1.5e-05     7478      
32     32     64     0.059951                 0.0          0.000000     0.0          7508      
32     34     66     0.064924                 0.174923     0.175053     0.005446     7631      
32     36     68     0.025366                 -0.179993    -0.179854    -0.000145    7651      
32     38     70     0.017192                 -0.156627    -0.157599    0.000184     7742      
32     40     72     0.017864                 -0.000143    0.000000     -9e-06       7865      
32     42     74     -0.025628                0.219849     0.204422     0.058759     7920      
32     44     76     0.009257                 0.164374     0.164658     4.2e-05      7965      
32     46     78     0.048684                 0.16539      0.165672     0.000445     8040      
32     48     80     0.054107                 0.143056     0.143600     -3.8e-05     8112      
32     50     82     0.053161                 0.096516     0.098175     0.006972     8234      
32     52     84     0.067122                 0.111615     0.112221     0.001451     8280      
32     54     86     0.071089                 0.112319     0.111270     -0.000538    8397      
32     56     88     0.063169                 0.001117     0.000002     9e-06        8439      
32     58     90     0.059339                 3e-06        0.000000     -1e-06       8528      
32     60     92     0.065452                 0.12694      0.127239     0.002647     8618      
32     62     94     0.06569                  0.172545     0.170484     0.020974     8694      
32     64     96     0.062895                 0.21422      0.213502     0.013677     8754      
32     66     98     0.058788                 0.234216     0.233853     0.00597      8829      
32     68     100    0.063476                 0.242529     0.240665     0.027358     8919      
32     70     102    0.063703                 0.239706     0.238255     0.021522     8994      
32     72     104    0.053857                 0.228471     0.229299     0.000426     9052      
32     74     106    0.062081                 0.219498     0.219424     0.000742     9143      
32     76     108    0.061023                 0.214968     0.214891     0.000474     9218      
32     78     110    0.052943                 0.214904     0.213991     0.00034      9294      
32     80     112    0.030803                 0.215131     0.211246     -0.000154    9340      
32     82     114    0.008605                 0.207019     0.202682     -2.9e-05     9430      
32     84     116    -0.0337                  0.193796     0.187899     -0.000166    9461      
32     86     118    -0.073393                -0.165665    -0.158778    -5.4e-05     9544      
32     88     120    -0.145203                -0.156045    -0.148500    5.9e-05      9619      
34     26     60     0.066762                 0.156254     0.156388     0.000141     9774      
34     28     62     0.06792                  -0.119477    -0.120239    0.000312     9879      
34     30     64     0.072016                 -0.121184    -0.122845    0.006231     9968      
34     32     66     0.069496                 0.176146     0.176427     0.006086     10001     
34     34     68     0.064982                 -0.224264    -0.224384    3e-05        10115     
34     36     70     0.047566                 -0.221231    -0.225077    0.02504      10142     
34     38     72     0.036952                 -0.190366    -0.191999    0.000146     10232     
34     40     74     0.042052                 -0.189164    -0.190046    0.000439     10307     
34     42     76     0.045757                 -0.175305    -0.177780    0.003519     10398     
34     44     78     0.042734                 0.141629     0.141842     0.000716     10470     
34     46     80     0.063152                 0.158885     0.151279     0.033072     10560     
34     48     82     0.064429                 0.125378     0.125432     0.002013     10602     
34     50     84     0.038327                 0.067366     0.070453     -0.00012     10664     
34     52     86     0.060494                 0.101394     0.101819     0.000198     10740     
34     54     88     0.072655                 0.108027     0.106690     1.7e-05      10811     
34     56     90     0.050274                 -0.054762    -0.020946    0.002373     10908     
34     58     92     0.064639                 -2e-06       0.000000     0.0          10988     
34     60     94     0.069107                 -0.190798    -0.189534    0.007526     11074     
34     62     96     0.053246                 -0.21119     -0.210479    9.7e-05      11105     
34     64     98     0.055798                 -0.215663    -0.215418    0.000441     11196     
34     66     100    0.059201                 -0.215922    -0.215488    1.9e-05      11256     
34     68     102    0.069301                 0.262449     0.261661     0.000374     11395     
34     70     104    0.068242                 0.253434     0.253323     0.009459     11468     
34     72     106    0.066724                 0.235635     0.235561     0.007458     11543     
34     74     108    0.064962                 0.213029     0.212128     0.019074     11618     
34     76     110    0.064109                 0.194807     0.194589     0.00758      11693     
34     78     112    0.062262                 0.188317     0.185133     0.025225     11769     
34     80     114    0.047509                 0.177657     0.173275     -4.9e-05     11815     
34     82     116    0.022725                 0.164244     0.160188     3e-06        11875     
34     84     118    -0.00071                 0.151898     -0.116163    0.000347     11936     
34     86     120    -0.044504                -0.13267     -0.128343    0.000121     12049     
34     88     122    -0.11571                 -0.134772    -0.129192    -1.3e-05     12124     
34     90     124    -0.157467                -0.125112    -0.116901    -6e-06       12169     
