 Nrows 
   13671 
    Z     N          Q20                 Q30           beta2       beta3
    40    30     -6.4797345174               0.0        -0.5         0.0 
    40    30     -5.8317610656               0.0       -0.45         0.0 
    40    30     -5.1837876139               0.0        -0.4         0.0 
    40    30     -4.5358141622               0.0       -0.35         0.0 
    40    30     -3.8878407104               0.0        -0.3         0.0 
    40    30     -3.2398672587               0.0       -0.25         0.0 
    40    30     -2.5918938069               0.0        -0.2         0.0 
    40    30     -1.9439203552               0.0       -0.15         0.0 
    40    30     -1.2959469035               0.0        -0.1         0.0 
    40    30     -0.6479734517               0.0       -0.05         0.0 
    40    30              -0.0               0.0        -0.0         0.0 
    40    30      0.6479734517               0.0        0.05         0.0 
    40    30      1.2959469035               0.0         0.1         0.0 
    40    30      1.9439203552               0.0        0.15         0.0 
    40    30      2.5918938069               0.0         0.2         0.0 
    40    30      3.2398672587               0.0        0.25         0.0 
    40    30      3.8878407104               0.0         0.3         0.0 
    40    30      4.5358141622               0.0        0.35         0.0 
    40    30      5.1837876139               0.0         0.4         0.0 
    40    30      5.8317610656               0.0        0.45         0.0 
    40    30      6.4797345174               0.0         0.5         0.0 
    40    32     -6.7912227176               0.0        -0.5         0.0 
    40    32     -6.1121004459               0.0       -0.45         0.0 
    40    32     -5.4329781741               0.0        -0.4         0.0 
    40    32     -4.7538559023               0.0       -0.35         0.0 
    40    32     -4.0747336306               0.0        -0.3         0.0 
    40    32     -3.3956113588               0.0       -0.25         0.0 
    40    32     -2.7164890871               0.0        -0.2         0.0 
    40    32     -2.0373668153               0.0       -0.15         0.0 
    40    32     -1.3582445435               0.0        -0.1         0.0 
    40    32     -0.6791222718               0.0       -0.05         0.0 
    40    32              -0.0               0.0        -0.0         0.0 
    40    32      0.6791222718               0.0        0.05         0.0 
    40    32      1.3582445435               0.0         0.1         0.0 
    40    32      2.0373668153               0.0        0.15         0.0 
    40    32      2.7164890871               0.0         0.2         0.0 
    40    32      3.3956113588               0.0        0.25         0.0 
    40    32      4.0747336306               0.0         0.3         0.0 
    40    32      4.7538559023               0.0        0.35         0.0 
    40    32      5.4329781741               0.0         0.4         0.0 
    40    32      6.1121004459               0.0        0.45         0.0 
    40    32      6.7912227176               0.0         0.5         0.0 
    40    34     -7.1085334632               0.0        -0.5         0.0 
    40    34     -6.3976801169               0.0       -0.45         0.0 
    40    34     -5.6868267706               0.0        -0.4         0.0 
    40    34     -4.9759734242               0.0       -0.35         0.0 
    40    34     -4.2651200779               0.0        -0.3         0.0 
    40    34     -3.5542667316               0.0       -0.25         0.0 
    40    34     -2.8434133853               0.0        -0.2         0.0 
    40    34      -2.132560039               0.0       -0.15         0.0 
    40    34     -1.4217066926               0.0        -0.1         0.0 
    40    34     -0.7108533463               0.0       -0.05         0.0 
    40    34              -0.0               0.0        -0.0         0.0 
    40    34      0.7108533463               0.0        0.05         0.0 
    40    34      1.4217066926               0.0         0.1         0.0 
    40    34       2.132560039               0.0        0.15         0.0 
    40    34      2.8434133853               0.0         0.2         0.0 
    40    34      3.5542667316               0.0        0.25         0.0 
    40    34      4.2651200779               0.0         0.3         0.0 
    40    34      4.9759734242               0.0        0.35         0.0 
    40    34      5.6868267706               0.0         0.4         0.0 
    40    34      6.3976801169               0.0        0.45         0.0 
    40    34      7.1085334632               0.0         0.5         0.0 
    40    36     -7.4316138101               0.0        -0.5         0.0 
    40    36     -6.6884524291               0.0       -0.45         0.0 
    40    36     -5.9452910481               0.0        -0.4         0.0 
    40    36     -5.2021296671               0.0       -0.35         0.0 
    40    36     -4.4589682861               0.0        -0.3         0.0 
    40    36     -3.7158069051               0.0       -0.25         0.0 
    40    36      -2.972645524               0.0        -0.2         0.0 
    40    36      -2.229484143               0.0       -0.15         0.0 
    40    36      -1.486322762               0.0        -0.1         0.0 
    40    36      -0.743161381               0.0       -0.05         0.0 
    40    36              -0.0               0.0        -0.0         0.0 
    40    36       0.743161381               0.0        0.05         0.0 
    40    36       1.486322762               0.0         0.1         0.0 
    40    36       2.229484143               0.0        0.15         0.0 
    40    36       2.972645524               0.0         0.2         0.0 
    40    36      3.7158069051               0.0        0.25         0.0 
    40    36      4.4589682861               0.0         0.3         0.0 
    40    36      5.2021296671               0.0        0.35         0.0 
    40    36      5.9452910481               0.0         0.4         0.0 
    40    36      6.6884524291               0.0        0.45         0.0 
    40    36      7.4316138101               0.0         0.5         0.0 
    40    38     -7.7604126892               0.0        -0.5         0.0 
    40    38     -6.9843714203               0.0       -0.45         0.0 
    40    38     -6.2083301514               0.0        -0.4         0.0 
    40    38     -5.4322888825               0.0       -0.35         0.0 
    40    38     -4.6562476135               0.0        -0.3         0.0 
    40    38     -3.8802063446               0.0       -0.25         0.0 
    40    38     -3.1041650757               0.0        -0.2         0.0 
    40    38     -2.3281238068               0.0       -0.15         0.0 
    40    38     -1.5520825378               0.0        -0.1         0.0 
    40    38     -0.7760412689               0.0       -0.05         0.0 
    40    38              -0.0               0.0        -0.0         0.0 
    40    38      0.7760412689               0.0        0.05         0.0 
    40    38      1.5520825378               0.0         0.1         0.0 
    40    38      2.3281238068               0.0        0.15         0.0 
    40    38      3.1041650757               0.0         0.2         0.0 
    40    38      3.8802063446               0.0        0.25         0.0 
    40    38      4.6562476135               0.0         0.3         0.0 
    40    38      5.4322888825               0.0        0.35         0.0 
    40    38      6.2083301514               0.0         0.4         0.0 
    40    38      6.9843714203               0.0        0.45         0.0 
    40    38      7.7604126892               0.0         0.5         0.0 
    40    40      -8.094880793               0.0        -0.5         0.0 
    40    40     -7.2853927137               0.0       -0.45         0.0 
    40    40     -6.4759046344               0.0        -0.4         0.0 
    40    40     -5.6664165551               0.0       -0.35         0.0 
    40    40     -4.8569284758               0.0        -0.3         0.0 
    40    40     -4.0474403965               0.0       -0.25         0.0 
    40    40     -3.2379523172               0.0        -0.2         0.0 
    40    40     -2.4284642379               0.0       -0.15         0.0 
    40    40     -1.6189761586               0.0        -0.1         0.0 
    40    40     -0.8094880793               0.0       -0.05         0.0 
    40    40              -0.0               0.0        -0.0         0.0 
    40    40      0.8094880793               0.0        0.05         0.0 
    40    40      1.6189761586               0.0         0.1         0.0 
    40    40      2.4284642379               0.0        0.15         0.0 
    40    40      3.2379523172               0.0         0.2         0.0 
    40    40      4.0474403965               0.0        0.25         0.0 
    40    40      4.8569284758               0.0         0.3         0.0 
    40    40      5.6664165551               0.0        0.35         0.0 
    40    40      6.4759046344               0.0         0.4         0.0 
    40    40      7.2853927137               0.0        0.45         0.0 
    40    40       8.094880793               0.0         0.5         0.0 
    40    42      -8.434970472               0.0        -0.5         0.0 
    40    42     -7.5914734248               0.0       -0.45         0.0 
    40    42     -6.7479763776               0.0        -0.4         0.0 
    40    42     -5.9044793304               0.0       -0.35         0.0 
