 Nrows 
   3893 
    Z     N          Q20                 Q30           beta2       beta3
    12     2     -0.3545660853               0.0        -0.4         0.0 
    12     2     -0.3102453246               0.0       -0.35         0.0 
    12     2      -0.265924564               0.0        -0.3         0.0 
    12     2     -0.2216038033               0.0       -0.25         0.0 
    12     2     -0.1772830426               0.0        -0.2         0.0 
    12     2      -0.132962282               0.0       -0.15         0.0 
    12     2     -0.0886415213               0.0        -0.1         0.0 
    12     2     -0.0443207607               0.0       -0.05         0.0 
    12     2              -0.0               0.0        -0.0         0.0 
    12     2      0.0443207607               0.0        0.05         0.0 
    12     2      0.0886415213               0.0         0.1         0.0 
    12     2       0.132962282               0.0        0.15         0.0 
    12     2      0.1772830426               0.0         0.2         0.0 
    12     2      0.2216038033               0.0        0.25         0.0 
    12     2       0.265924564               0.0         0.3         0.0 
    12     2      0.3102453246               0.0        0.35         0.0 
    12     2      0.3545660853               0.0         0.4         0.0 
    12    14     -0.9948846104               0.0        -0.4         0.0 
    12    14     -0.8705240341               0.0       -0.35         0.0 
    12    14     -0.7461634578               0.0        -0.3         0.0 
    12    14     -0.6218028815               0.0       -0.25         0.0 
    12    14     -0.4974423052               0.0        -0.2         0.0 
    12    14     -0.3730817289               0.0       -0.15         0.0 
    12    14     -0.2487211526               0.0        -0.1         0.0 
    12    14     -0.1243605763               0.0       -0.05         0.0 
    12    14              -0.0               0.0        -0.0         0.0 
    12    14      0.1243605763               0.0        0.05         0.0 
    12    14      0.2487211526               0.0         0.1         0.0 
    12    14      0.3730817289               0.0        0.15         0.0 
    12    14      0.4974423052               0.0         0.2         0.0 
    12    14      0.6218028815               0.0        0.25         0.0 
    12    14      0.7461634578               0.0         0.3         0.0 
    12    14      0.8705240341               0.0        0.35         0.0 
    12    14      0.9948846104               0.0         0.4         0.0 
    24    36     -4.0093061201               0.0        -0.4         0.0 
    24    36     -3.5081428551               0.0       -0.35         0.0 
    24    36       -3.00697959               0.0        -0.3         0.0 
    24    36      -2.505816325               0.0       -0.25         0.0 
    24    36       -2.00465306               0.0        -0.2         0.0 
    24    36      -1.503489795               0.0       -0.15         0.0 
    24    36       -1.00232653               0.0        -0.1         0.0 
    24    36      -0.501163265               0.0       -0.05         0.0 
    24    36              -0.0               0.0        -0.0         0.0 
    24    36       0.501163265               0.0        0.05         0.0 
    24    36        1.00232653               0.0         0.1         0.0 
    24    36       1.503489795               0.0        0.15         0.0 
    24    36        2.00465306               0.0         0.2         0.0 
    24    36       2.505816325               0.0        0.25         0.0 
    24    36        3.00697959               0.0         0.3         0.0 
    24    36      3.5081428551               0.0        0.35         0.0 
    24    36      4.0093061201               0.0         0.4         0.0 
    26    24     -2.9586968784               0.0        -0.4         0.0 
    26    24     -2.5888597686               0.0       -0.35         0.0 
    26    24     -2.2190226588               0.0        -0.3         0.0 
    26    24      -1.849185549               0.0       -0.25         0.0 
    26    24     -1.4793484392               0.0        -0.2         0.0 
    26    24     -1.1095113294               0.0       -0.15         0.0 
    26    24     -0.7396742196               0.0        -0.1         0.0 
    26    24     -0.3698371098               0.0       -0.05         0.0 
    26    24              -0.0               0.0        -0.0         0.0 
    26    24      0.3698371098               0.0        0.05         0.0 
    26    24      0.7396742196               0.0         0.1         0.0 
