Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            11.420802            -0.349624            -0.066651              -0.341791              -1.453949                  -0.007891                       -1.46184                         0.0                             0.0                                0.0                         1.813722                0.583213               4.85238             2.166179               4.603144               4.932647             4              YES
22     46     68          -511.480551              0.12987             0.118315               0.121463               0.503257                   1.224716                       1.727973                         0.0                             0.0                                0.0                         0.991628                0.688203              3.736581              4.22341                4.07228                3.81068            30              YES
24     28     52          -454.979832              0.12712              0.10177               0.113296               0.495064                   0.475373                       0.970438                         0.0                             0.0                                0.0                         0.897092                0.914439              3.586431             3.636407               3.613427               3.678183            44              YES
24     46     70          -553.467219              0.20473             0.163371               0.175742               0.898459                   1.679858                       2.578317                         0.0                             0.0                                0.0                          0.92046                0.688934              3.807127             4.209354               4.075922               3.882485            64              YES
26     20     46          -353.641996             0.000421              6.9e-05               0.000279               0.001828                   0.000201                        0.00203                         0.0                             0.0                                0.0                          0.95536                1.030981               3.63831             3.403892               3.538298               3.734968            81              YES
32     48     80          -689.276309             0.148917             0.120664               0.131311               0.968769                   1.298065                       2.266833                         0.0                             0.0                                0.0                         0.794304                0.785522              4.014275             4.214873               4.135802                4.09173           102              YES
34     48     82          -711.780228             0.123591             0.101791               0.110426               0.874156                   1.097677                       1.971833                         0.0                             0.0                                0.0                         0.781218                0.866926              4.060755             4.219951               4.154683               4.138578           119              YES
34     56     90          -754.811354             0.163834             0.150619               0.155196                1.20397                   2.088556                       3.292527                         0.0                             0.0                                0.0                          0.80609                0.752245              4.139152             4.430317               4.322627               4.212286           129              YES
36     32     68          -547.025927            -0.166464            -0.171708               -0.16883                -1.2308                  -1.043824                      -2.274624                         0.0                             0.0                                0.0                         0.872081                0.853571              4.034846             3.880507               3.962965               4.120532           141              YES
36     38     74          -628.127418            -0.134943             -0.12733              -0.131064              -1.008604                  -0.988428                      -1.997032                         0.0                             0.0                                0.0                         0.991532                0.863516              4.056758             4.024026               4.039983               4.139654           159              YES
