Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
14     2      16     -0.082084           11.338718           11.420802           -0.165007      -0.335351      -0.341791      0.00644        
22     46     68     -0.002363           -511.482914         -511.480551         0.019564       0.124735       0.121463       0.003272       
24     28     52     -0.0015             -454.981332         -454.979832         0.092481       0.182093       0.113296       0.068797       
24     46     70     -5e-05              -553.467269         -553.467219         0.013967       0.176607       0.175742       0.000865       
26     20     46     -0.006964           -353.64896          -353.641996         0.025964       0.090486       0.000279       0.090207       
32     48     80     0.000583            -689.275726         -689.276309         0.021782       0.135421       0.131311       0.00411        
34     48     82     0.004827            -711.775401         -711.780228         0.017018       0.114126       0.110426       0.0037         
34     56     90     -0.000307           -754.811661         -754.811354         -0.021296      0.157983       0.155196       0.002787       
36     32     68     -6e-06              -547.025933         -547.025927         0.012886       -0.167738      -0.16883       0.001092       
36     38     74     -0.000167           -628.127585         -628.127418         0.024288       -0.124335      -0.131064      0.006729       
36     62     98     -0.000136           -806.417095         -806.416959         0.013032       -0.204498      -0.205234      0.000736       
36     64     100    -0.000124           -813.24167          -813.241546         0.013938       -0.207711      -0.208521      0.00081        
40     70     110    -0.000794           -897.239087         -897.238293         0.011561       -0.175088      -0.175902      0.000814       
46     58     104    -0.006478           -891.329499         -891.323021         -0.020458      0.157921       0.155268       0.002653       
52     66     118    -0.000747           -996.45675          -996.456003         0.025854       -0.147184      -0.152907      0.005723       
54     64     118    0.005978            -985.16749          -985.173468         0.046939       0.276745       0.273688       0.003057       
54     66     120    0.007086            -1005.453618        -1005.460704        0.059409       0.27296        0.266692       0.006268       
54     74     128    -4e-05              -1077.852939        -1077.852899        0.016581       0.164365       0.162261       0.002104       
54     90     144    -0.00077            -1175.434682        -1175.433912        0.058706       0.196024       0.178587       0.017437       
56     54     110    0.001836            -865.82839          -865.830226         0.015954       0.200155       0.199299       0.000856       
56     88     144    -0.14006            -1188.228128        -1188.088068        0.081527       0.176734       0.174061       0.002673       
56     90     146    -0.168173           -1197.516723        -1197.34855         0.091489       0.200833       0.19963        0.001203       
56     92     148    -0.030289           -1206.087179        -1206.05689         0.057797       0.227822       0.227963       -0.000141      
58     78     136    -0.000756           -1135.939199        -1135.938443        0.02547        0.13813        0.131449       0.006681       
58     86     144    -0.052689           -1194.680196        -1194.627507        0.03193        0.146863       0.145797       0.001066       
58     88     146    -0.223937           -1206.21625         -1205.992313        0.120754       0.192362       0.186528       0.005834       
58     90     148    -0.099561           -1216.908369        -1216.808808        0.144694       0.233556       0.229234       0.004322       
58     136    194    -0.054507           -1328.0964          -1328.041893        0.050306       0.153925       0.152015       0.00191        
58     138    196    -0.094557           -1327.227449        -1327.132892        0.068031       0.169178       0.166883       0.002295       
58     140    198    -0.089991           -1326.037019        -1325.947028        0.066038       0.18033        0.18032        1e-05          
60     78     138    -7.6e-05            -1145.515536        -1145.51546         0.02639        0.142226       0.135569       0.006657       
60     86     146    -0.051376           -1209.099584        -1209.048208        0.037025       0.146207       0.146837       -0.00063       
60     88     148    -0.081281           -1221.875522        -1221.794241        0.116886       0.211282       0.201736       0.009546       
60     92     152    0.002602            -1247.281814        -1247.284416        0.117549       0.327579       0.308754       0.018825       
60     118    178    -0.000422           -1344.44842         -1344.447998        0.025255       0.158317       0.154373       0.003944       
60     120    180    -0.001124           -1349.377818        -1349.376694        0.02271        0.118417       0.112225       0.006192       
60     134    194    -0.162339           -1366.950441        -1366.788102        0.075719       0.129668       0.124741       0.004927       
60     136    196    -0.281843           -1367.015276        -1366.733433        0.103572       0.154773       0.15193        0.002843       
60     138    198    -0.299113           -1366.795869        -1366.496756        0.110693       0.174827       0.176809       -0.001982      
62     90     152    0.000997            -1250.011869        -1250.012866        0.104199       0.308171       0.291365       0.016806       
62     132    194    -0.09516            -1402.482778        -1402.387618        0.047962       0.081624       0.075078       0.006546       
62     134    196    -0.38592            -1403.324671        -1402.938751        0.105206       0.120617       0.116287       0.00433        
62     136    198    -0.461568           -1403.946613        -1403.485045        0.130519       0.151887       0.158842       -0.006955      
64     88     152    -0.005693           -1247.898451        -1247.892758        0.075297       0.245188       0.229499       0.015689       
64     132    196    -0.258375           -1436.352394        -1436.094019        0.085385       0.079932       0.056422       0.02351        
64     134    198    -0.531815           -1437.780202        -1437.248387        0.125459       0.113899       0.118279       -0.00438       
64     136    200    -0.331471           -1439.023364        -1438.691893        0.131706       0.151848       0.175213       -0.023365      
66     70     136    0.008851            -1070.091312        -1070.100163        0.011905       0.349721       0.349721       0.0            
66     88     154    -0.001407           -1258.013055        -1258.011648        0.030325       0.22829        0.225323       0.002967       
66     90     156    0.003238            -1274.513743        -1274.516981        0.074202       0.284264       0.275317       0.008947       
66     92     158    0.008834            -1290.525192        -1290.534026        0.073947       0.31154        0.303648       0.007892       
66     94     160    0.007005            -1305.798001        -1305.805006        0.07382        0.324533       0.317403       0.00713        
66     132    198    -0.247093           -1468.101711        -1467.854618        0.067676       0.068896       0.062685       0.006211       
66     134    200    -0.296246           -1470.230782        -1469.934536        0.096113       0.111824       0.133003       -0.021179      
68     68     136    0.007389            -1039.878932        -1039.886321        0.018022       0.344924       0.344689       0.000235       
68     132    200    -0.054189           -1497.958665        -1497.904476        0.046766       0.07631        0.081419       -0.005109      
70     92     162    -0.000124           -1308.636149        -1308.636025        0.033449       0.259765       0.257189       0.002576       
70     94     164    -0.001921           -1325.963409        -1325.961488        0.040175       0.286066       0.283126       0.00294        
70     96     166    0.000205            -1342.811308        -1342.811513        0.029609       0.30664        0.306374       0.000266       
72     90     162    -0.000777           -1296.642384        -1296.641607        0.056115       0.215548       0.203986       0.011562       
74     90     164    -0.002857           -1300.52991         -1300.527053        0.04926        0.194495       0.183176       0.011319       
74     98     172    -2.9e-05            -1375.059659        -1375.05963         0.013223       0.288309       0.287996       0.000313       
76     88     164    -0.001704           -1281.525919        -1281.524215        0.036023       0.146931       0.134171       0.01276        
78     96     174    -0.000478           -1363.947183        -1363.946705        0.028883       0.176125       0.171513       0.004612       
78     98     176    -0.016766           -1383.859274        -1383.842508        0.015212       0.273827       0.273844       -1.7e-05       
86     132    218    -0.368009           -1683.572166        -1683.204157        0.083617       0.106776       0.097675       0.009101       
86     134    220    -0.469683           -1694.172861        -1693.703178        0.106714       0.130958       0.123849       0.007109       
86     136    222    -0.341236           -1704.244778        -1703.903542        0.113281       0.149638       0.145015       0.004623       
86     138    224    -0.105728           -1713.975896        -1713.870168        0.089896       0.16768        0.164914       0.002766       
86     194    280    -0.006071           -1861.334775        -1861.328704        0.033843       0.100078       0.097607       0.002471       
86     196    282    -0.03387            -1861.176145        -1861.142275        0.069464       0.125923       0.12215        0.003773       
88     130    218    -0.629613           -1680.482676        -1679.853063        0.082059       0.095054       0.073877       0.021177       
88     132    220    -1.149374           -1693.16125         -1692.011876        0.123024       0.13132        0.119837       0.011483       
88     134    222    -1.337873           -1705.158207        -1703.820334        0.145277       0.154948       0.147138       0.00781        
88     136    224    -1.107023           -1716.500818        -1715.393795        0.158467       0.174284       0.171427       0.002857       
88     138    226    -0.620465           -1727.31894         -1726.698475        0.154364       0.192502       0.191275       0.001227       
88     140    228    -0.164423           -1737.790556        -1737.626133        0.073241       0.207265       0.207015       0.00025        
88     192    280    -0.602747           -1891.913119        -1891.310372        0.090586       0.102306       0.00163        0.100676       
88     194    282    -0.770533           -1892.853445        -1892.082912        0.124216       0.129697       0.115183       0.014514       
88     196    284    -0.80934            -1893.537461        -1892.728121        0.13924        0.14786        0.138564       0.009296       
88     198    286    -0.503527           -1893.973798        -1893.470271        0.136514       0.163502       0.159054       0.004448       
88     200    288    -0.140321           -1894.345878        -1894.205557        0.101618       0.178443       0.176051       0.002392       
90     130    220    -1.051395           -1686.83461         -1685.783215        0.109347       0.109255       0.09187        0.017385       
90     132    222    -1.564033           -1700.675241        -1699.111208        0.143786       0.144451       0.137126       0.007325       
90     134    224    -1.55363            -1713.899697        -1712.346067        0.166551       0.16953        0.170515       -0.000985      
90     136    226    -0.999612           -1726.470888        -1725.471276        0.181206       0.190515       0.197773       -0.007258      
90     138    228    -0.330314           -1738.472196        -1738.141882        0.149864       0.207169       0.216979       -0.00981       
90     192    282    -1.106188           -1920.854531        -1919.748343        0.124171       0.114632       0.085038       0.029594       
90     194    284    -1.432029           -1922.548604        -1921.116575        0.150191       0.13993        0.126205       0.013725       
90     196    286    -1.320317           -1924.01761         -1922.697293        0.165435       0.158525       0.154291       0.004234       
90     198    288    -0.771921           -1925.18854         -1924.416619        0.169023       0.174631       0.176629       -0.001998      
90     200    290    -0.125304           -1926.163503        -1926.038199        0.150009       0.191333       0.193063       -0.00173       
92     130    222    -1.254952           -1691.410673        -1690.155721        0.123372       0.112743       0.100418       0.012325       
92     132    224    -1.503841           -1706.2284          -1704.724559        0.156278       0.151575       0.155177       -0.003602      
92     134    226    -1.197769           -1720.604154        -1719.406385        0.179273       0.181207       0.192863       -0.011656      
92     136    228    -0.507498           -1734.426501        -1733.919003        0.193222       0.206385       0.21956        -0.013175      
92     190    282    -0.187281           -1945.772682        -1945.585401        0.096214       0.072802       0.000678       0.072124       
92     192    284    -1.556204           -1948.065168        -1946.508964        0.138971       0.115263       -0.001029      0.116292       
92     194    286    -1.673712           -1950.376333        -1948.702621        0.163473       0.142489       0.138109       0.00438        
92     196    288    -1.234919           -1952.554085        -1951.319166        0.179551       0.163534       0.16975        -0.006216      
92     198    290    -0.523119           -1954.478863        -1953.955744        0.184222       0.182457       0.190919       -0.008462      
94     130    224    -1.294043           -1694.376369        -1693.082326        0.131507       0.10912        0.109135       -1.5e-05       
94     132    226    -1.072765           -1709.990673        -1708.917908        0.163962       0.15562        0.175928       -0.020308      
94     134    228    -0.629776           -1725.436965        -1724.807189        0.183959       0.194549       0.215476       -0.020927      
94     136    230    -0.198727           -1740.534589        -1740.335862        0.124321       0.222001       0.235555       -0.013554      
94     190    284    -1.018326           -1971.031841        -1970.013515        0.11551        0.074972       -0.000583      0.075555       
94     192    286    -1.937948           -1973.742436        -1971.804488        0.147786       0.10986        0.100493       0.009367       
94     194    288    -1.616134           -1976.519035        -1974.902901        0.171573       0.139776       0.148624       -0.008848      
94     196    290    -0.878409           -1979.272359        -1978.39395         0.187892       0.164699       0.181571       -0.016872      
94     198    292    -0.099145           -1981.878139        -1981.778994        0.188002       0.189713       0.201127       -0.011414      
94     232    326    -0.001761           -1991.932018        -1991.930257        0.065949       0.205901       0.192091       0.01381        
96     128    224    -0.16359            -1679.643319        -1679.479729        0.069942       0.032561       0.000844       0.031717       
96     130    226    -1.214347           -1695.86236         -1694.648013        0.136661       0.101044       0.119124       -0.01808       
96     132    228    -0.512566           -1712.173118        -1711.660552        0.167076       0.157399       0.215485       -0.058086      
96     188    284    -0.5478             -1991.068864        -1990.521064        0.084721       0.035214       0.0            0.035214       
96     190    286    -1.942714           -1994.709861        -1992.767147        0.12786        0.072021       0.0            0.072021       
96     192    288    -2.169692           -1997.9109          -1995.741208        0.155851       0.102932       0.110253       -0.007321      
96     194    290    -1.474563           -2001.100768        -1999.626205        0.177862       0.135496       0.155667       -0.020171      
96     196    292    -0.641412           -2004.395678        -2003.754266        0.193532       0.163912       0.190681       -0.026769      
96     230    326    -0.000888           -2027.91736         -2027.916472        0.068729       0.225274       0.214117       0.011157       
96     232    328    -0.0014             -2027.178577        -2027.177177        0.068795       0.21372        0.19981        0.01391        
96     240    336    -0.002148           -2023.360052        -2023.357904        0.05591        0.167731       0.150345       0.017386       
98     128    226    -0.465318           -1679.128           -1678.662682        0.087065       0.035146       -0.0           0.035146       
98     130    228    -0.826387           -1695.93781         -1695.111423        0.140222       0.092193       0.297487       -0.205294      
98     186    284    -0.210442           -2008.401696        -2008.191254        0.05737        0.010909       0.0            0.010909       
98     188    286    -1.268833           -2012.439349        -2011.170516        0.105511       0.041261       0.0            0.041261       
98     190    288    -2.626151           -2016.650846        -2014.024695        0.13657        0.068286       -0.001316      0.069602       
98     192    290    -2.087874           -2020.459078        -2018.371204        0.16289        0.09802        0.117486       -0.019466      
98     194    292    -1.348419           -2024.208429        -2022.86001         0.185314       0.133895       0.159628       -0.025733      
98     196    294    -0.575683           -2028.119106        -2027.543423        0.197073       0.163572       0.198096       -0.034524      
98     230    328    -0.007357           -2061.552226        -2061.544869        0.068197       0.231159       0.220642       0.010517       
98     234    332    -0.009001           -2060.614979        -2060.605978        0.069334       0.211001       0.195902       0.015099       
98     238    336    -0.006604           -2059.187039        -2059.180435        0.063158       0.187987       0.170948       0.017039       
100    126    226    -0.046052           -1659.334509        -1659.288457        0.032997       0.006614       0.000572       0.006042       
100    128    228    -0.586605           -1677.055624        -1676.469019        0.089999       0.029448       -0.0           0.029448       
100    168    268    -0.003892           -1954.861056        -1954.857164        0.062657       0.215434       0.2018         0.013634       
100    184    284    -0.01939            -2022.272048        -2022.252658        0.022634       0.000854       0.0            0.000854       
100    186    286    -0.491882           -2027.38748         -2026.895598        0.076921       0.014855       -0.00022       0.015075       
100    188    288    -1.532509           -2032.010661        -2030.478152        0.113665       0.038955       -0.000542      0.039497       
100    190    290    -2.442018           -2036.812276        -2034.370258        0.143983       0.065749       0.079583       -0.013834      
100    192    292    -1.856161           -2041.308345        -2039.452184        0.170046       0.096373       0.123386       -0.027013      
100    194    294    -1.109102           -2045.712505        -2044.603403        0.189963       0.134876       0.161833       -0.026957      
100    196    296    -0.420565           -2050.259815        -2049.83925         0.192867       0.165718       0.203763       -0.038045      
100    230    330    -0.005045           -2093.871607        -2093.866562        0.060822       0.233796       0.224951       0.008845       
100    232    332    -0.006856           -2093.844208        -2093.837352        0.070991       0.228923       0.216409       0.012514       
100    234    334    -0.005014           -2093.594946        -2093.589932        0.072105       0.220024       0.205405       0.014619       
100    236    336    -0.004141           -2093.181866        -2093.177725        0.070915       0.210889       0.192839       0.01805        
100    262    362    -0.409932           -2084.67411         -2084.264178        0.066392       0.018146       -0.000641      0.018787       
100    264    364    -1.04668            -2081.674646        -2080.627966        0.097333       0.053445       0.043262       0.010183       
102    128    230    -0.469705           -1673.416296        -1672.946591        0.082525       0.01905        -0.0           0.01905        
102    130    232    -0.265728           -1691.577326        -1691.311598        0.141015       0.085099       -0.289922      0.375021       
102    184    286    -0.055749           -2039.098337        -2039.042588        0.037497       0.001587       0.0            0.001587       
102    186    288    -0.494939           -2044.812632        -2044.317693        0.078008       0.00941        0.0            0.00941        
102    188    290    -1.37834            -2049.898895        -2048.520555        0.112655       0.031897       0.0            0.031897       
102    190    292    -2.023227           -2055.292393        -2053.269166        0.146197       0.063141       0.085598       -0.022457      
102    192    294    -1.116514           -2060.481558        -2059.365044        0.174996       0.095475       0.344271       -0.248796      
102    194    296    -0.351633           -2065.498678        -2065.147045        0.185594       0.138265       0.324769       -0.186504      
102    232    334    -0.000219           -2125.185032        -2125.184813        0.081365       0.239892       0.221953       0.017939       
102    234    336    -0.00566            -2125.274998        -2125.269338        0.079341       0.231721       0.213171       0.01855        
102    236    338    -0.005425           -2125.155391        -2125.149966        0.075995       0.220591       0.201519       0.019072       
102    260    362    -0.017094           -2123.483811        -2123.466717        0.037315       0.002846       0.000573       0.002273       
102    262    364    -0.485565           -2120.475404        -2119.989839        0.073688       0.018263       0.000675       0.017588       
102    264    366    -1.099535           -2117.659046        -2116.559511        0.098524       0.038338       0.040685       -0.002347      
104    134    238    0.01288             -1726.228527        -1726.241407        0.08705        -0.283905      -0.301468      0.017563       
104    136    240    0.00583             -1744.875732        -1744.881562        0.089465       -0.288475      -0.30637       0.017895       
104    170    274    -0.02081            -1989.162995        -1989.142185        0.063462       0.212897       0.198238       0.014659       
104    184    288    -0.017905           -2054.56448         -2054.546575        0.024139       6.3e-05        0.0            6.3e-05        
104    186    290    -0.325124           -2060.768656        -2060.443532        0.072081       0.005846       0.0            0.005846       
104    188    292    -1.017237           -2066.289741        -2065.272504        0.105877       0.023603       0.0            0.023603       
104    190    294    -1.579966           -2072.246777        -2070.666811        0.144741       0.060151       0.086527       -0.026376      
104    192    296    -1.075474           -2078.041871        -2076.966397        0.170196       0.091333       0.12979        -0.038457      
104    198    302    -0.009969           -2096.536224        -2096.526255        0.108887       0.327034       0.307911       0.019123       
104    234    338    -0.000183           -2155.555155        -2155.554972        0.081005       0.235059       0.216212       0.018847       
104    260    364    -0.036234           -2157.752354        -2157.71612         0.031648       0.005688       0.000781       0.004907       
104    262    366    -0.3265             -2154.933458        -2154.606958        0.073223       0.010669       0.001434       0.009235       
104    264    368    -1.025068           -2152.469307        -2151.444239        0.098397       0.034359       0.002852       0.031507       
106    164    270    0.002935            -1968.148438        -1968.151373        0.072341       0.255693       0.243168       0.012525       
106    186    292    -0.136174           -2075.417495        -2075.281321        0.054738       0.000412       0.0            0.000412       
106    188    294    -0.633539           -2081.367159        -2080.73362         0.092537       0.012363       0.0            0.012363       
106    190    296    -1.14316            -2087.819259        -2086.676099        0.138978       0.05614        0.082902       -0.026762      
106    192    298    -0.664315           -2094.152146        -2093.487831        0.161606       0.087143       0.128048       -0.040905      
106    198    304    0.00225             -2115.364489        -2115.366739        0.110842       0.348781       0.334976       0.013805       
106    200    306    0.001247            -2121.292107        -2121.293354        0.119065       0.334987       0.31555        0.019437       
106    262    368    -0.17874            -2188.289648        -2188.110908        0.064858       0.003953       0.001773       0.00218        
106    264    370    -0.79716            -2186.108493        -2185.311333        0.094972       0.029693       0.004215       0.025478       
108    158    266    0.012472            -1934.556015        -1934.568487        0.084439       0.275501       0.260143       0.015358       
108    164    272    0.003106            -1975.034601        -1975.037707        0.072668       0.251921       0.238618       0.013303       
108    170    278    -0.001914           -2008.896703        -2008.894789        0.063352       0.218505       0.203322       0.015183       
108    188    296    -0.250405           -2095.192872        -2094.942467        0.073106       0.004094       0.0            0.004094       
108    190    298    -0.739763           -2102.089305        -2101.349542        0.129317       0.052706       0.075164       -0.022458      
108    192    300    -0.321391           -2108.94589         -2108.624499        0.14643        0.089179       0.121075       -0.031896      
108    262    370    -0.058256           -2220.547848        -2220.489592        0.046421       0.006757       0.001748       0.005009       
108    264    372    -0.467155           -2218.539335        -2218.07218         0.091081       0.021591       0.004302       0.017289       
108    266    374    -1.045341           -2217.076829        -2216.031488        0.118482       0.052409       0.07048        -0.018071      
108    268    376    -0.846958           -2215.301692        -2214.454734        0.138027       0.078929       0.098836       -0.019907      
108    270    378    -0.406848           -2213.547661        -2213.140813        0.123497       0.112215       0.120933       -0.008718      
108    272    380    -0.1532             -2212.157718        -2212.004518        0.080058       0.140941       0.140875       6.6e-05        
110    166    276    0.031152            -1991.907456        -1991.938608        0.070556       0.237571       0.222234       0.015337       
110    168    278    -0.0011             -2004.099273        -2004.098173        0.070235       0.228046       0.211127       0.016919       
110    188    298    -0.006688           -2107.901171        -2107.894483        0.032874       0.002379       -8.1e-05       0.00246        
110    190    300    -0.376333           -2115.117698        -2114.741365        0.112359       0.051995       0.062929       -0.010934      
