 Nrows 
   917 
    Z     N          Q20                 Q30           beta2       beta3
   104   180     -66.874063419               0.0        -0.5         0.0 
   104   180    -60.1866570771               0.0       -0.45         0.0 
   104   180    -53.4992507352               0.0        -0.4         0.0 
   104   180    -46.8118443933               0.0       -0.35         0.0 
   104   180    -40.1244380514               0.0        -0.3         0.0 
   104   180    -33.4370317095               0.0       -0.25         0.0 
   104   180    -26.7496253676               0.0        -0.2         0.0 
   104   180    -20.0622190257               0.0       -0.15         0.0 
   104   180    -13.3748126838               0.0        -0.1         0.0 
   104   180     -6.6874063419               0.0       -0.05         0.0 
   104   180              -0.0               0.0        -0.0         0.0 
   104   180      6.6874063419               0.0        0.05         0.0 
   104   180     13.3748126838               0.0         0.1         0.0 
   104   180     20.0622190257               0.0        0.15         0.0 
   104   180     26.7496253676               0.0         0.2         0.0 
   104   180     33.4370317095               0.0        0.25         0.0 
   104   180     40.1244380514               0.0         0.3         0.0 
   104   180     46.8118443933               0.0        0.35         0.0 
   104   180     53.4992507352               0.0         0.4         0.0 
   104   180     60.1866570771               0.0        0.45         0.0 
   104   180      66.874063419               0.0         0.5         0.0 
   104   250    -96.5456215164               0.0        -0.5         0.0 
   104   250    -86.8910593647               0.0       -0.45         0.0 
   104   250    -77.2364972131               0.0        -0.4         0.0 
   104   250    -67.5819350615               0.0       -0.35         0.0 
   104   250    -57.9273729098               0.0        -0.3         0.0 
   104   250    -48.2728107582               0.0       -0.25         0.0 
   104   250    -38.6182486065               0.0        -0.2         0.0 
   104   250    -28.9636864549               0.0       -0.15         0.0 
   104   250    -19.3091243033               0.0        -0.1         0.0 
   104   250     -9.6545621516               0.0       -0.05         0.0 
   104   250              -0.0               0.0        -0.0         0.0 
   104   250      9.6545621516               0.0        0.05         0.0 
   104   250     19.3091243033               0.0         0.1         0.0 
   104   250     28.9636864549               0.0        0.15         0.0 
   104   250     38.6182486065               0.0         0.2         0.0 
   104   250     48.2728107582               0.0        0.25         0.0 
   104   250     57.9273729098               0.0         0.3         0.0 
   104   250     67.5819350615               0.0        0.35         0.0 
   104   250     77.2364972131               0.0         0.4         0.0 
   104   250     86.8910593647               0.0        0.45         0.0 
   104   250     96.5456215164               0.0         0.5         0.0 
   108   194    -74.0864384629               0.0        -0.5         0.0 
   108   194    -66.6777946166               0.0       -0.45         0.0 
   108   194    -59.2691507703               0.0        -0.4         0.0 
   108   194     -51.860506924               0.0       -0.35         0.0 
   108   194    -44.4518630778               0.0        -0.3         0.0 
   108   194    -37.0432192315               0.0       -0.25         0.0 
   108   194    -29.6345753852               0.0        -0.2         0.0 
   108   194    -22.2259315389               0.0       -0.15         0.0 
   108   194    -14.8172876926               0.0        -0.1         0.0 
   108   194     -7.4086438463               0.0       -0.05         0.0 
   108   194              -0.0               0.0        -0.0         0.0 
