Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      6      10           -71.603599               -0.002            -0.004575              -0.003648              -0.000539                  -0.002195                      -0.002734                         0.0                             0.0                                0.0                         2.601872                2.332461              2.311798             2.517387               2.437233               2.443821           275              YES
6      4      10           -67.230185            -0.006143            -0.002327              -0.004801              -0.003033                  -0.000623                      -0.003656                         0.0                             0.0                                0.0                         2.419953                2.453278              2.554003              2.30378               2.456974               2.692124           279              YES
18     12     30          -215.160405             0.003261             0.000502               0.002287               0.008237                   0.000692                       0.008929                         0.0                             0.0                                0.0                         1.528753                1.397247              3.335271             3.017111               3.211792               3.442185           284              YES
24     18     42          -321.645945             0.002422             0.001226                0.00195               0.009423                    0.00311                       0.012533                         0.0                             0.0                                0.0                         1.212516               -1.433842              3.584746             3.342844               3.483131               3.683114           289              YES
54     72     126        -1063.495311             0.157283             0.144936               0.150123               2.382788                   3.030762                        5.41355                         0.0                             0.0                                0.0                         1.328646                0.659542              4.715747             4.798068               4.762962               4.783876           293              YES
56     66     122        -1014.232837             0.254751             0.257742               0.256372               4.065928                   4.864735                       8.930664                         0.0                             0.0                                0.0                         1.220701                0.741975              4.753053             4.761126               4.757422               4.822518           297              YES
64     90     154        -1265.362769             0.296144             0.265374               0.277889                6.15918                   8.050583                      14.209763                         0.0                             0.0                                0.0                         1.147624                0.670328              5.075337             5.169016               5.130292               5.137877           300              YES
66     90     156        -1276.555567             0.288376             0.259462               0.271496               6.259108                   7.899039                      14.158147                         0.0                             0.0                                0.0                         1.143575                0.677227              5.105637              5.17814                5.14759               5.168289           304              YES
68     154    222        -1524.311522             0.321201             0.282046               0.292782               8.560343                  19.898737                       28.45908                         0.0                             0.0                                0.0                         1.313036                 0.37302              5.573753             6.026112               5.891243               5.621903           309              YES
70     88     158         -1274.54039             0.185278             0.168238               0.175748               4.277795                   4.929203                       9.206998                         0.0                             0.0                                0.0                         1.020126                 0.81794              5.113217             5.137237               5.126609               5.176971           312              YES
70     148    218        -1555.814476             0.291754             0.258292               0.268086               7.927611                  16.960606                      24.888217                         0.0                             0.0                                0.0                         1.308817                0.415784              5.547009             5.930341                5.81001               5.596949           317              YES
72     90     162        -1298.403807              0.19776             0.186104               0.191263               4.788977                   5.675217                      10.464194                         0.0                             0.0                                0.0                         1.061293                0.730003              5.163343             5.182468               5.173977               5.226566           321              YES
74     88     162         -1282.04693             0.131583             0.125222               0.128134               3.272652                   3.687615                       6.960267                         0.0                             0.0                                0.0                          1.00139                0.779842              5.161548              5.15034               5.155462               5.225467           325              YES
76     90     166        -1304.232937             0.132917             0.133055               0.132992               3.453626                   4.071109                       7.524735                         0.0                             0.0                                0.0                         1.084976                0.678209              5.205774             5.191163               5.197857               5.269212           329              YES
78     140    218         -1652.10444            -0.084523            -0.078054              -0.080236              -2.530186                  -4.591663                      -7.121849                         0.0                             0.0                                0.0                         1.400527                0.468444              5.515529             5.771217               5.681054               5.569082           331              YES
78     160    238        -1698.751351            -0.153044            -0.151292              -0.151819              -4.828135                  -11.09192                     -15.920054                         0.0                             0.0                                0.0                         1.443825                  0.3579              5.662118             6.026706               5.909698               5.711692           335              YES
84     162    246        -1785.106886            -0.097962            -0.104107               -0.10215              -3.410612                  -7.756129                     -11.166741                         0.0                             0.0                                0.0                         1.508349                0.313811               5.73181             6.037668               5.935001               5.782018           339              YES
86     158    244        -1796.885297             0.169216             0.171343               0.170637               6.076394                  12.383283                      18.459677                         0.0                             0.0                                0.0                         1.359046                 0.39572              5.753051             6.021442               5.928232                5.80399           344              YES
