Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
12     2      14             7.697941             -0.35827            -0.031894              -0.347216               -1.15803                  -0.003614                      -1.161644                         0.0                             0.0                                0.0                         1.423974                0.446006              4.620716             2.119126               4.352287               4.704643            86              YES
12     14     26          -211.275556             -0.16963            -0.158554               -0.16352               -0.22312                  -0.256587                      -0.479707                         0.0                             0.0                                0.0                           0.8758                1.243236              2.947625             3.026981               2.990617               3.058602            90              YES
16     4      20            -19.25017            -0.015424            -0.007709              -0.014837              -0.057075                  -0.002352                      -0.059427                         0.0                             0.0                                0.0                         1.304431                0.787558              4.281594              2.45876               3.984311               4.370929            10              YES
24     36     60          -510.862654             0.070566             0.054318               0.060285               0.286146                   0.379523                        0.66567                         0.0                             0.0                                0.0                         0.819981                0.855718              3.659609             3.922301               3.819393               3.744408            96              YES
26     24     50          -417.550408             0.210672             0.221853               0.215898               0.919084                    0.84931                       1.768394                         0.0                             0.0                                0.0                         0.646971                0.801952              3.646968              3.55582               3.603505               3.741017            99              YES
26     34     60          -524.004962             0.142518             0.125013               0.132267               0.640075                   0.793445                       1.433519                         0.0                             0.0                                0.0                          0.76006                0.761786              3.700318             3.846685               3.783954               3.787153           104              YES
26     36     62          -537.382875             0.101177             0.084886               0.091325               0.459324                   0.589554                       1.048878                         0.0                             0.0                                0.0                         0.824142                0.772736              3.720283             3.910555               3.831914                3.80549           107              YES
46     36     82          -596.766725             0.109567             0.113464               0.111169               1.182575                   0.854646                       2.037222                         0.0                             0.0                                0.0                         0.667759                0.731311              4.312607             4.072477               4.208872               4.394283           111              YES
52     72     124         -1050.10194            -0.120384            -0.119969              -0.120137              -1.704977                  -2.495128                      -4.200105                         0.0                             0.0                                0.0                         0.769705                0.472909               4.64642             4.785098               4.727438               4.714919           114              YES
52     74     126         -1065.73274             0.113795             0.105408               0.108737               1.620355                   2.281158                       3.901513                         0.0                             0.0                                0.0                         0.757164                0.455802              4.658938             4.814702               4.751038               4.726784           120              YES
56     56     112         -898.248159             0.230794             0.225913               0.228394               3.512878                   3.325273                       6.838151                         0.0                             0.0                                0.0                         0.497249                0.607347              4.641626             4.564513               4.603231               4.714933           123              YES
56     78     134        -1126.020265            -0.102629            -0.089834              -0.095012              -1.645345                  -2.118338                      -3.763684                         0.0                             0.0                                0.0                         0.565903                0.720783              4.763692             4.895261               4.840712                4.83043           126              YES
56     90     146        -1198.040027             0.209158             0.195102               0.200178               3.525268                   5.816743                       9.342011                         0.0                             0.0                                0.0                         0.545376                0.476884              4.884385             5.124282               5.033619               4.946981           131              YES
56     118    174        -1275.649511             0.177573             0.133027               0.145683               3.270495                   6.173475                        9.44397                         0.0                             0.0                                0.0                          0.59951                0.397729              5.105863             5.583404               5.434294               5.160155           135              YES
58     88     146        -1207.885674             0.195924             0.178176               0.184902               3.436244                   5.121303                       8.557547                         0.0                             0.0                                0.0                         0.488793                0.575258              4.895861             5.088256               5.012709               4.959365           140              YES
58     90     148        -1218.226189             0.244222             0.220279               0.229205               4.349169                   6.600503                      10.949672                         0.0                             0.0                                0.0                         0.519917                0.527913              4.933346             5.137186               5.058282               4.995973           144              YES
60     60     120         -949.831046             0.393656             0.387596               0.390678               6.966996                   6.628619                      13.595616                         0.0                             0.0                                0.0                          0.45223                0.554457              4.835414             4.753257               4.794512               4.905826            40              YES
60     74     134        -1110.425146            -0.246299            -0.233458              -0.239141              -4.397531                  -5.249638                      -9.647169                         0.0                             0.0                                0.0                         0.555475                0.648867              4.856718             4.907826               4.885008               4.924075           145              YES
60     86     146        -1212.054622             0.154503             0.138353               0.144756               2.806781                   3.826592                       6.633373                         0.0                             0.0                                0.0                         0.432586                0.685403              4.898976             5.049019               4.987903               4.963421           151              YES
60     88     148        -1224.389269             0.212167             0.188861               0.197949               3.912526                   5.448897                       9.361423                         0.0                             0.0                                0.0                         0.486434                0.630356              4.935817             5.097853               5.032792               4.999401           156              YES
60     136    196        -1365.730157            -0.097284            -0.108638               -0.10567              -2.038264                  -6.431257                      -8.469521                         0.0                             0.0                                0.0                         0.459345                0.470065              5.261127             5.873974               5.693378               5.312089           158              YES
60     138    198        -1365.679673            -0.112077            -0.122226              -0.119622              -2.359117                  -7.452849                      -9.811966                         0.0                             0.0                                0.0                         0.495147                0.463721              5.273343             5.918132               5.730408               5.323825           162              YES
60     140    200        -1365.010965            -0.150809            -0.153784              -0.153031              -3.205844                  -9.641686                      -12.84753                         0.0                             0.0                                0.0                         0.541422                0.449726              5.299405             5.958017               5.768335                5.34928           165              YES
62     134    196        -1401.734367            -0.085492            -0.092712              -0.090717              -1.860095                  -5.285067                      -7.145161                         0.0                             0.0                                0.0                         0.450204                0.474798              5.274162             5.806978               5.643876               5.326148           173              YES
62     136    198        -1403.110681             0.107636             0.119409               0.116215               2.355499                    7.01767                        9.37317                         0.0                             0.0                                0.0                         0.484588                0.484705              5.289469             5.852656               5.682311               5.340956           179              YES
62     138    200        -1403.317753            -0.142319            -0.139099              -0.139959              -3.141876                  -8.425655                     -11.567531                         0.0                             0.0                                0.0                         0.535413                 0.45445              5.312666             5.898545               5.723341               5.363581           182              YES
64     132    196        -1434.890166            -0.069577            -0.067559              -0.068146              -1.569732                  -3.717396                      -5.287127                         0.0                             0.0                                0.0                         0.434254                0.526619              5.286098             5.748243               5.601532               5.339042           186              YES
64     134    198        -1436.520203            -0.097536            -0.093899              -0.094938              -2.212785                  -5.329683                      -7.542468                         0.0                             0.0                                0.0                         0.472255                0.498513              5.300799             5.794451               5.639615               5.353259           190              YES
64     136    200         -1437.99867            -0.135478            -0.125002              -0.127947              -3.101587                  -7.316736                     -10.418323                         0.0                             0.0                                0.0                         0.521175                0.466102              5.324916             5.840847                5.68085               5.376804           194              YES
66     88     154        -1262.396503             0.234901             0.204358               0.217199                4.97387                   5.965335                      10.939205                         0.0                             0.0                                0.0                         0.479433                0.659685              5.042874             5.127728               5.091535                5.10664           200              YES
66     132    198        -1466.794542             -0.08122            -0.071517              -0.074428              -1.909188                  -3.923312                        -5.8325                         0.0                             0.0                                0.0                         0.446321                0.567559              5.313334             5.739561                5.60109               5.366686           202              YES
66     134    200        -1469.124288            -0.119812             -0.10393              -0.108618              -2.838797                  -5.880317                      -8.719114                         0.0                             0.0                                0.0                         0.498577                0.513298              5.334451             5.785258               5.640476               5.387267           206              YES
66     136    202        -1471.511038              -0.1568             -0.13537              -0.141606              -3.752869                  -7.893664                     -11.646534                         0.0                             0.0                                0.0                         0.538951                0.459544              5.361444               5.8298               5.681021               5.413672           210              YES
68     92     160         -1304.93526             0.301204             0.274375               0.285543               6.810733                   8.700662                      15.511395                         0.0                             0.0                                0.0                         0.539817                0.530358              5.134015             5.227026                 5.1877               5.196444           215              YES
68     132    200        -1492.122537             0.422326             0.370311               0.386506              11.022416                  21.376881                      32.399297                         0.0                             0.0                                0.0                         0.632382                0.375051              5.515758             5.887713               5.763942               5.567783           219              YES
70     136    206        -1532.619356             -0.16021            -0.134229              -0.142266               -4.15401                  -7.770341                     -11.924351                         0.0                             0.0                                0.0                          0.57668                0.486402              5.418569             5.808603               5.679073               5.471501           230              YES
72     130    202        -1541.551652             0.458044               0.4232               0.434803              13.047271                  24.144707                      37.191978                         0.0                             0.0                                0.0                         0.570482                0.373234              5.599963             5.898091               5.793587               5.652607           239              YES
74     96     170         -1362.66914             0.299265             0.287477               0.292536               7.715376                   9.856374                       17.57175                         0.0                             0.0                                0.0                         0.486659                0.544485              5.255082             5.320674               5.292222               5.316697           244              YES
74     98     172        -1380.629128             0.323158             0.306386               0.313485                 8.4219                  10.879597                      19.301497                         0.0                             0.0                                0.0                         0.464683                0.531253              5.283565              5.35925               5.326819               5.344558           248              YES
74     136    210        -1586.960549             -0.12959            -0.112549              -0.118104              -3.602865                  -6.469828                     -10.072693                         0.0                             0.0                                0.0                          0.62343                 0.50644              5.457166              5.78831               5.673827               5.510834           250              YES
76     98     174        -1386.488707              0.30692             0.297338               0.301469               8.276093                  10.578595                      18.854688                         0.0                             0.0                                0.0                         0.457703                0.541303              5.303207             5.364399               5.337758               5.364354           256              YES
80     96     176        -1369.519631             -0.32586             -0.31504              -0.319949              -9.599589                 -11.175845                     -20.775434                         0.0                             0.0                                0.0                         0.509511                0.474173              5.402702             5.412111               5.407836               5.463686           258              YES
86     134    220        -1689.332445            -0.325541            -0.304922              -0.312701             -11.623884                 -17.969946                      -29.59383                         0.0                             0.0                                0.0                         0.522957                  0.4571              5.736783             5.904342               5.839414               5.790663           265              YES
86     136    222        -1700.470565            -0.350787            -0.323995              -0.334001             -12.709464                 -19.691702                     -32.401165                         0.0                             0.0                                0.0                         0.510481                0.437849              5.778802             5.951794               5.885382               5.832062           269              YES
88     136    224        -1712.901035             -0.34741            -0.322535              -0.331995              -12.97494                 -19.627152                     -32.602092                         0.0                             0.0                                0.0                           0.5083                0.465723              5.800093             5.955468               5.894916               5.853516           285              YES
88     138    226        -1724.405142            -0.361289            -0.333185              -0.343763             -13.636351                 -20.836272                     -34.472623                         0.0                             0.0                                0.0                         0.506038                0.439441              5.830765             5.993388               5.930596               5.883685           289              YES
88     140    228        -1735.228099            -0.365972            -0.336688              -0.347592             -13.909321                 -21.570009                      -35.47933                         0.0                             0.0                                0.0                         0.510339                 0.42602              5.851035             6.022714               5.957038               5.903551           293              YES
88     196    284        -1889.637061               0.5052             0.443881               0.461068              22.311881                  50.338756                      72.650637                         0.0                             0.0                                0.0                          0.55248                0.331382              6.307248             6.772277               6.631671                6.35018           299              YES
88     198    286        -1890.690392              0.50443             0.442669               0.459812              22.364288                  51.079449                      73.443737                         0.0                             0.0                                0.0                          0.56464                0.327069              6.319469             6.796666               6.653483               6.362112           303              YES
88     200    288        -1891.592885             0.503963             0.441661               0.458787               22.42874                  51.851325                      74.280065                         0.0                             0.0                                0.0                         0.574095                0.324311              6.331502             6.821273               6.675434               6.373857           307              YES
88     202    290        -1893.049058            -0.253775            -0.228218              -0.235079             -10.561134                 -25.881085                     -36.442219                         0.0                             0.0                                0.0                         0.596714                0.324911              6.122579             6.670913               6.509406               6.166156           310              YES
90     134    224        -1711.212044            -0.312401            -0.297158              -0.303113             -11.821619                 -17.539667                     -29.361286                         0.0                             0.0                                0.0                         0.534761                0.478674              5.773063             5.908936               5.854723               5.827298           321              YES
90     136    226        -1723.787633            -0.337871            -0.317246              -0.325223             -12.965165                 -19.302686                     -32.267851                         0.0                             0.0                                0.0                         0.511553                0.473275              5.813493             5.955065               5.899094               5.867134           325              YES
90     138    228        -1736.086877             0.423823             0.390009               0.402977              16.502064                  24.412745                      40.914809                         0.0                             0.0                                0.0                         0.543342                0.460657              5.855992             5.996201               5.941251               5.909028           332              YES
90     194    284         -1918.53688             0.505622             0.445476               0.462883              22.901525                  49.538467                      72.439991                         0.0                             0.0                                0.0                         0.538705                0.331887              6.316013             6.740674               6.609053               6.359541           335              YES
90     196    286        -1920.331612             0.506597             0.446076               0.463427              23.056255                  50.510122                      73.566377                         0.0                             0.0                                0.0                         0.549653                0.327595              6.331213             6.767088               6.633013               6.374435           339              YES
90     198    288        -1921.931146              0.50897             0.447945               0.465278              23.289401                  51.666994                      74.956396                         0.0                             0.0                                0.0                         0.559638                0.323961              6.348289             6.795268               6.658811               6.391194           343              YES
90     200    290        -1923.507452            -0.279002            -0.255396              -0.261956             -12.004376                 -28.553844                     -40.558221                         0.0                             0.0                                0.0                         0.571921                0.347323               6.15588             6.656646               6.505362               6.199907           345              YES
90     202    292        -1925.060565             -0.27987            -0.254839              -0.261727             -12.091392                 -29.001143                     -41.092535                         0.0                             0.0                                0.0                         0.575713                0.348192              6.168558             6.682574                6.52846               6.212289           350              YES
92     134    226        -1719.806617            -0.315419            -0.299705              -0.305949             -12.317917                 -17.752275                     -30.070192                         0.0                             0.0                                0.0                         0.523656                 0.46655              5.800637             5.919328               5.871301               5.854938           361              YES
92     136    228        -1733.258811             0.410384             0.382785               0.393657              16.320375                  23.423637                      39.744012                         0.0                             0.0                                0.0                         0.542975                0.468436              5.853568             5.972073                5.92454               5.907168           367              YES
92     138    230        -1746.529083             0.427938             0.397526               0.409384              17.198897                  24.999302                      42.198198                         0.0                             0.0                                0.0                         0.525155                0.454231              5.884519             6.010168               5.960226               5.937627           372              YES
92     192    284        -1944.411282             0.515874             0.453905               0.472405              24.006269                  49.632883                      73.639152                         0.0                             0.0                                0.0                         0.533877                0.354994              6.332008             6.718876               6.596038               6.376052           375              YES
92     194    286        -1946.997808             0.516657             0.454023               0.472548              24.157874                   50.54871                      74.706584                         0.0                             0.0                                0.0                         0.542983                0.354093              6.347155             6.744664               6.619399               6.390896           379              YES
92     196    288        -1949.301157             0.522426              0.45823               0.477049              24.597714                  52.022106                       76.61982                         0.0                             0.0                                0.0                         0.555258                0.350245              6.369218              6.77593               6.648713               6.412612           383              YES
92     198    290        -1951.645226            -0.284886            -0.257548              -0.265397             -12.598887                 -28.280026                     -40.878913                         0.0                             0.0                                0.0                         0.576253                0.350981              6.172793              6.63015                6.48855               6.217356           386              YES
92     200    292        -1953.841805            -0.288079            -0.260796              -0.268556             -12.801745                 -29.159407                     -41.961152                         0.0                             0.0                                0.0                         0.569757                0.351806              6.187711             6.656846               6.512684               6.231964           390              YES
94     130    224        -1694.433247            -0.441352            -0.424668              -0.431566             -18.736784                 -25.575712                     -44.312495                         0.0                             0.0                                0.0                         0.454995                0.396397              5.983236             6.059858               6.027823               6.036601           393              YES
94     132    226        -1711.411146             0.402503             0.382873               0.390892               16.29425                  22.442598                      38.736848                         0.0                             0.0                                0.0                         0.551949                0.471606              5.842699             5.932905               5.895553               5.897126           399              YES
94     134    228        -1726.595666             0.408494             0.386989               0.395682              16.643838                  23.237663                      39.881501                         0.0                             0.0                                0.0                         0.539335                0.467675              5.861585             5.959906               5.919568                5.91563           403              YES
94     136    230        -1741.174577             0.417775             0.394251               0.403662              17.151231                  24.272278                      41.423509                         0.0                             0.0                                0.0                         0.521656                0.463745              5.883794              5.99024               5.946966               5.937429           407              YES
94     138    232        -1755.119848             0.439711             0.412182               0.423089              18.279158                  26.114562                       44.39372                         0.0                             0.0                                0.0                         0.500779                0.456172               5.92073             6.032568               5.987506               5.973826           412              YES
94     190    284         -1967.40108             0.519286             0.459568               0.477932              24.774101                  49.374469                      74.148571                         0.0                             0.0                                0.0                         0.530176                  0.3666              6.342736             6.694906                6.58043               6.387302           415              YES
94     192    286        -1970.863621             0.518198             0.457318               0.475865              24.818861                   49.99157                      74.810431                         0.0                             0.0                                0.0                         0.537685                0.367911              6.355123             6.717904               6.600868                6.39941           419              YES
94     194    288        -1973.990052             0.520081             0.458073               0.476794              25.040889                  50.995432                      76.036321                         0.0                             0.0                                0.0                         0.548486                  0.3675              6.371921             6.744385               6.625119                 6.4159           423              YES
94     196    290        -1976.862634            -0.288645            -0.258793              -0.267643             -13.108878                 -27.891143                     -41.000022                         0.0                             0.0                                0.0                         0.589981                0.341036              6.188451             6.601975               6.470832               6.233526           426              YES
94     198    292        -1979.881672            -0.291985            -0.262498              -0.271156              -13.32284                 -28.815263                     -42.138103                         0.0                             0.0                                0.0                         0.580809                0.339638              6.202962             6.629189               6.495032               6.247734           430              YES
96     128    224        -1682.004567             0.399874             0.387397               0.392681              16.506686                  21.775011                      38.281697                         0.0                             0.0                                0.0                         0.561317                0.480453              5.838181             5.899847               5.873498               5.893348           435              YES
96     130    226        -1699.161693             0.405747             0.391642               0.397551              16.852246                  22.559678                      39.411924                         0.0                             0.0                                0.0                          0.55319                0.483403              5.856132             5.926459               5.896688               5.910927           439              YES
96     132    228        -1712.653911            -0.456658            -0.438077              -0.445804             -20.278666                 -27.323912                     -47.602577                         0.0                             0.0                                0.0                         0.463791                0.430962              6.055272             6.120037               6.092851               6.108083           441              YES
96     134    230        -1731.823549             0.415934             0.397834               0.405261              17.491697                   24.03819                      41.529886                         0.0                             0.0                                0.0                         0.519996                0.480333              5.892684             5.978507               5.942836               5.946736           447              YES
96     188    284        -1987.469681             0.517487             0.461591               0.479287              25.277974                  48.671829                      73.949804                         0.0                             0.0                                0.0                         0.529468                0.378136              6.350834             6.667703               6.562304               6.395915           452              YES
96     190    286        -1991.785233              0.51472             0.456997               0.475099              25.218106                  49.006863                      74.224969                         0.0                             0.0                                0.0                         0.532459                0.377302              6.360335             6.688669               6.580286                6.40516           455              YES
96     192    288        -1995.771075             0.515011             0.456581               0.474741              25.346015                   49.82949                      75.175506                         0.0                             0.0                                0.0                         0.543281                0.375757              6.374647              6.71241               6.601742               6.419184           460              YES
96     194    290        -1999.478444             0.517138             0.457686               0.475999              25.587185                  50.870006                       76.45719                         0.0                             0.0                                0.0                         0.553631                0.373091              6.391717             6.738932               6.626007               6.435948           464              YES
96     196    292        -2003.010324            -0.292609            -0.262042              -0.271297              -13.68926                 -28.230979                     -41.920239                         0.0                             0.0                                0.0                         0.598497                0.328406              6.215202             6.600774               6.476544               6.260487           466              YES
96     198    294        -2006.595419            -0.295317            -0.265157              -0.274201             -13.877832                 -29.089265                     -42.967097                         0.0                             0.0                                0.0                         0.586071                0.325694              6.229113             6.627161               6.499867               6.274105           470              YES
98     128    226        -1682.925461             0.405156             0.395425               0.399605              17.250327                  22.355674                      39.606002                         0.0                             0.0                                0.0                         0.559527                0.490417                5.8684             5.917007               5.895979               5.923553           475              YES
98     130    228        -1700.955984             0.410342             0.398849               0.403735              17.575774                  23.102005                       40.67778                         0.0                             0.0                                0.0                         0.547835                0.494071              5.885944             5.942837                5.91845               5.940734           479              YES
98     132    230        -1718.462769             0.415397             0.401736               0.407485              17.902111                  23.831689                        41.7338                         0.0                             0.0                                0.0                         0.529021                0.493366              5.904079             5.968495               5.941134               5.958504           483              YES
98     186    284        -2004.669504              0.51109             0.458545               0.475647              25.497475                  47.409527                      72.907002                         0.0                             0.0                                0.0                         0.519048                0.390944              6.352313             6.637892               6.540757               6.397932           488              YES
