Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
4      4      8            -55.504782            -0.002774            -0.002861              -0.002818              -0.000711                  -0.000736                      -0.001447                         0.0                             0.0                                0.0                         1.751908                2.395958              2.254381             2.257408               2.255895               2.401694            44              YES
4      4      8            -55.472588             0.000788             0.000838               0.000813               0.000202                   0.000216                       0.000418                         0.0                             0.0                                0.0                         1.737367                2.392352              2.254852             2.258079               2.256466               2.402136            46              YES
4      4      8            -55.433771            -0.005015            -0.005518              -0.005267              -0.001285                  -0.001418                      -0.002703                         0.0                             0.0                                0.0                         1.732115                2.381967              2.253501             2.256642               2.255072               2.400868            43              YES
4      4      8            -39.510403             1.380337             1.379696               1.380016               2.287289                   2.285458                       4.572747                         0.0                             0.0                                0.0                         -1.40749               -2.008986              5.730374              5.72941               5.729892               5.789913            45              YES
6      4      10           -64.922876            -0.006503            -0.002356              -0.005065              -0.003162                  -0.000608                       -0.00377                         0.0                             0.0                                0.0                         1.568358                2.058724              2.534531             2.261288               2.428925               2.673658            48              YES
6      4      10           -64.894662              0.00309             0.000766               0.002285               0.001504                   0.000198                       0.001702                         0.0                             0.0                                0.0                        -1.560318               -2.036286              2.535796             2.261377               2.429751               2.674858            50              YES
6      4      10           -64.894482             0.002839             0.000863               0.002155               0.001382                   0.000223                       0.001605                         0.0                             0.0                                0.0                         1.558949               -2.035194              2.536128             2.261499               2.430004               2.675172            49              YES
6      4      10           -64.892245            -0.009871            -0.004205              -0.007905              -0.004792                  -0.001085                      -0.005877                         0.0                             0.0                                0.0                         1.562256                2.064776              2.532417             2.260945               2.427474               2.671654            47              YES
12     2      14            -0.008189             0.673051             0.038345               0.652832               2.294867                   0.004302                       2.299169                         0.0                             0.0                                0.0                         1.377605                0.730843              4.745797             2.108674               4.465455                4.82755            54              YES
12     2      14             0.123732               0.6089              0.04037               0.589978               1.989025                    0.00454                       1.993566                         0.0                             0.0                                0.0                         1.373684                0.749753              4.645169             2.111246               4.373997               4.728662            53              YES
12     2      14             0.195759            -0.343213            -0.043928              -0.332165              -1.013738                  -0.004973                      -1.018712                         0.0                             0.0                                0.0                         1.351205                0.769058               4.41708             2.118292                4.16706               4.504802            52              YES
12     2      14             0.296551            -0.372467            -0.043956              -0.360571              -1.121017                   -0.00497                      -1.125988                         0.0                             0.0                                0.0                         1.363911                 0.74399              4.458788             2.116965               4.204866               4.545706            51              YES
14     16     30          -258.001999            -0.001012            -0.001495              -0.001275              -0.001666                  -0.002934                        -0.0046                         0.0                             0.0                                0.0                         0.729734                1.150364              3.052357             3.118436               3.087775               3.160095            56              YES
14     16     30            -257.9925             0.000136             0.000379               0.000268               0.000223                   0.000745                       0.000968                         0.0                             0.0                                0.0                         0.723027                1.140929              3.052554             3.118867               3.088098               3.160285            57              YES
14     16     30          -257.985628            -0.001181            -0.001838              -0.001539              -0.001944                  -0.003608                      -0.005551                         0.0                             0.0                                0.0                         0.729046                1.145776              3.052188             3.118022               3.087474               3.159931            55              YES
14     16     30          -215.087992             1.454752             1.448332               1.451324              21.289722                   24.27287                      45.562592                         0.0                             0.0                                0.0                         0.745524                0.985846              9.102726             9.111955               9.107649               9.139417            58               NO
14     24     38          -303.042932             0.148098             0.165282               0.159768               0.265073                   0.626177                       0.891251                         0.0                             0.0                                0.0                         0.936839                   0.944              3.183384             3.537331               3.411205               3.276722            62              YES
14     24     38          -303.041988             0.148267             0.165344               0.159865               0.265379                   0.626516                       0.891895                         0.0                             0.0                                0.0                         0.934629                0.944078              3.183412             3.537621               3.411405               3.276749            61              YES
14     24     38          -302.641066            -0.079134            -0.080754              -0.080233              -0.140704                  -0.302676                      -0.443381                         0.0                             0.0                                0.0                         1.023456                0.972936              3.172874             3.518401               3.395195               3.266512            59              YES
14     24     38          -302.631274            -0.078346            -0.079475              -0.079111              -0.139296                  -0.297974                       -0.43727                         0.0                             0.0                                0.0                         1.016819                0.969405              3.172792             3.518961               3.395533               3.266432            60              YES
46     58     104         -892.955871             0.115998             0.113437               0.114543               1.308403                   1.684488                       2.992892                         0.0                             0.0                                0.0                         0.698996                0.691591              4.408712             4.504919               4.462622                4.48245            65              YES
46     58     104         -892.953491             0.115436             0.112851               0.113967               1.301988                   1.675637                       2.977625                         0.0                             0.0                                0.0                         0.701542                0.691361              4.408577             4.504726               4.462454               4.482316            66              YES
46     58     104         -892.578372            -0.019333            -0.018827              -0.019045              -0.216622                  -0.278079                      -0.494701                         0.0                             0.0                                0.0                         0.743481                0.730933              4.394049              4.49291               4.449454               4.468028            64              YES
46     58     104         -892.567432            -0.025993            -0.025431              -0.025673              -0.291256                  -0.375622                      -0.666878                         0.0                             0.0                                0.0                         0.742901                0.733114              4.394184             4.492871               4.449491               4.468162            63              YES
50     62     112          -953.63534             0.063797             0.076705               0.071038               0.822089                   1.262789                       2.084878                         0.0                             0.0                                0.0                         0.850638                0.500467              4.519807             4.587769               4.557554               4.592025            70              YES
