Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            11.133048             0.653136              0.05419               0.638629               2.887367                   0.009474                       2.896841                         0.0                             0.0                                0.0                         1.830424                0.560733              5.145432             2.144817               4.872481               5.221196            17              YES
14     2      16            11.253814            -0.397982            -0.066581              -0.389115              -1.660007                  -0.011594                      -1.671602                         0.0                             0.0                                0.0                         1.823932                0.563816              4.923598             2.159851               4.668481               5.002723             2              YES
14     2      16            11.267469            -0.424476             -0.06525              -0.415088              -1.834939                  -0.011316                      -1.846255                         0.0                             0.0                                0.0                         1.810366                0.540737              4.970718             2.154428               4.711659               5.049105             1              YES
14     2      16            11.417239             0.584701             0.058081               0.571392                2.48118                   0.010197                       2.491377                         0.0                             0.0                                0.0                         1.833536                0.583357               5.04464             2.149149               4.779613               5.121895            16              YES
14     2      16            11.420802            -0.349624            -0.066651              -0.341791              -1.393014                  -0.011687                      -1.404701                         0.0                             0.0                                0.0                         1.813722                0.583213               4.85238             2.166179               4.603144               4.932647             4              YES
14     2      16            11.458576            -0.369313            -0.068292              -0.361057              -1.493735                  -0.011943                      -1.505678                         0.0                             0.0                                0.0                          1.81274                0.582879              4.870389             2.163927               4.619624               4.950364             3              YES
14     2      16            11.699997             0.498159             0.056373               0.486501               2.059309                   0.009967                       2.069276                         0.0                             0.0                                0.0                          1.82028                0.611815               4.94531             2.153984                4.68818               5.024092            15              YES
14     2      16            11.714873                  0.0                  0.0                    0.0                  1e-06                        0.0                          1e-06                         0.0                             0.0                                0.0                         1.813832                0.606357              4.691468             2.179133               4.455582               4.774441             9              YES
14     2      16            11.716313             -0.04092            -0.007976              -0.039936              -0.145186                  -0.001435                      -0.146621                         0.0                             0.0                                0.0                         1.813982                0.603381               4.69342             2.179077               4.457378               4.776359             8              YES
14     2      16            11.718969             0.038201             0.006879               0.037265               0.138014                   0.001243                       0.139257                         0.0                             0.0                                0.0                         1.813959                0.602627              4.693181              2.17908               4.457157               4.776124            10              YES
14     2      16            11.872119             0.409857             0.056433               0.400135               1.668757                   0.010062                       1.678819                         0.0                             0.0                                0.0                         1.805776                0.625926               4.85524              2.16048               4.605447                4.93546            14              YES
14     2      16            11.892042            -0.279698            -0.057741              -0.273288              -1.057758                  -0.010165                      -1.067923                         0.0                             0.0                                0.0                         1.816717                0.637434              4.757203             2.170526                4.51564               4.839049             5              YES
14     2      16            11.897221            -0.175612            -0.040176              -0.171593              -0.634594                  -0.007161                      -0.641755                         0.0                             0.0                                0.0                         1.786695                0.631203              4.706289             2.177453               4.469135               4.789005             7              YES
14     2      16            11.952177            -0.234956            -0.050122              -0.229532              -0.870376                   -0.00887                      -0.879246                         0.0                             0.0                                0.0                         1.807504                0.644489              4.725541             2.173998               4.486667               4.807926             6              YES
14     2      16            11.968167             0.321696             0.052063               0.314041               1.288115                   0.009351                       1.297466                         0.0                             0.0                                0.0                         1.790073                0.644797              4.789034             2.165931               4.544711               4.870345            13              YES
